hhid,h10_respondent,s10q01,s10q02,s10q03,s10q04,s10q05a,s10q05b,s10q05c,s10q06,s10q07a,s10q07b,s10q08a,s10q08b,s10q08c,s10q08d,s10q08e,s10q08f,s10q08g,s10q08h,s10q08x,s10q08z,s10q09,s10q10,s10q11,s10q12,year
00858c2384184dc3bfc800550a6c8cb5,2.0,2.0,,,,,,1.0,2.0,,,,,,,,,,1.0,,,8.0,2.0,7.0,1.0,2018
0192be21a93d4c2d83997fb6dc1c3ea6,1.0,2.0,,,,,,4.0,2.0,,,,,,,,1.0,,,,,6.0,2.0,5.0,2.0,2018
01483c3751964ad2842b6e4a8b6edcdd,2.0,2.0,,,,,,1.0,2.0,,,,,,,,,,1.0,,,8.0,2.0,3.0,1.0,2018
039a11571b874a88b7a6c200469fe4f3,-999999999.0,,,,,,,,,,,,,,,,,,,,,,,,,2018
037866653c7c4cb99a80f05a38cdafb2,-999999999.0,,,,,,,,,,,,,,,,,,,,,,,,,2018
04a6909c35374a8088daf007b717dba1,1.0,2.0,,,,,,4.0,2.0,,,,,,,,,,1.0,,,8.0,2.0,5.0,1.0,2018
04e3098df42742428550ed1754b3cce9,2.0,2.0,,,,,,1.0,2.0,,,,,,,,,,1.0,,,8.0,1.0,4.0,3.0,2018
044525d42e7547cb844fa01062ed908c,11.0,2.0,,,,,,1.0,2.0,,,,,,,,,,1.0,,,8.0,2.0,6.0,1.0,2018
057fc24f426f48fca061898d6efa4f49,6.0,2.0,,,,,,1.0,2.0,,,,,,,,,,1.0,,,8.0,2.0,8.0,1.0,2018
057535df5a63411bb13f906e251b9130,1.0,2.0,,,,,,3.0,2.0,,,,,,,,,,1.0,,,8.0,2.0,4.0,1.0,2018
056cb993abee42a89f67363f1b38f878,2.0,2.0,,,,,,2.0,2.0,,,,,1.0,,,1.0,,1.0,,,8.0,2.0,8.0,3.0,2018
05ec278a95624c74957734e0ab70ff5b,1.0,2.0,,,,,,1.0,2.0,,,,,,,,,,1.0,,,8.0,2.0,4.0,1.0,2018
05d8c19cfc8f47d4b66bd70bbad5407f,1.0,2.0,,,,,,1.0,2.0,,,,,,,,,,1.0,,,8.0,2.0,6.0,2.0,2018
06270b496e1b4aa09b4906b0871c21b9,2.0,1.0,24.0,2.0,,,,,2.0,,,,,,,,1.0,,,,,6.0,2.0,5.0,1.0,2018
0634372d290947fc92bad833679f4f23,3.0,2.0,,,,,,1.0,2.0,,,,,,,,,,1.0,,,8.0,2.0,6.0,1.0,2018
0700ac37276743c3a73536d56c21b04e,2.0,2.0,,,,,,1.0,2.0,,,,,,,,,,1.0,,,8.0,2.0,4.0,1.0,2018
