Year,"Electricity consumption per capita, Uganda",Units
2000,0.03,MWh / Capita
2001,0.033,MWh / Capita
2002,0.031,MWh / Capita
2003,0.034,MWh / Capita
2004,0.037,MWh / Capita
2005,0.041,MWh / Capita
2006,0.033,MWh / Capita
2007,0.04,MWh / Capita
2008,0.053,MWh / Capita
2009,0.05,MWh / Capita
2010,0.06,MWh / Capita
2011,0.056,MWh / Capita
2012,0.06,MWh / Capita
2013,0.062,MWh / Capita
2014,0.065,MWh / Capita
2015,0.075,MWh / Capita
2016,0.076,MWh / Capita
2017,0.069,MWh / Capita
2018,0.075,MWh / Capita
2019,0.081,MWh / Capita
2020,0.079,MWh / Capita
2021,0.084,MWh / Capita
2022,0.09,MWh / Capita
