"T6FQ02a","T6FQ02b","HHID","PID","wgt_X"
2,,"H00101-04-01","P00101-005",2792.466796875
2,,"H00101-04-01","P00101-004",2792.466796875
2,,"H00101-04-01","P00101-001",2792.466796875
2,,"H00101-04-01","P00101-009",2792.466796875
2,,"H00101-04-01","P00101-008",2792.466796875
2,,"H00101-04-01","P00101-010",2792.466796875
2,,"H00102-04-01","P00102-003",2792.466796875
2,,"H00102-04-01","P00102-001",2792.466796875
2,,"H00102-04-01","P00102-004",2792.466796875
1,14,"H00102-04-01","P00102-002",2792.466796875
1,14,"H00104-04-01","P00104-005",2792.466796875
2,,"H00104-04-01","P00104-001",2792.466796875
2,,"H00104-04-01","P00104-007",2792.466796875
2,,"H00104-04-01","P00104-006",2792.466796875
1,14,"H00104-04-01","P00104-003",2792.466796875
1,14,"H00104-04-01","P00104-004",2792.466796875
2,,"H00104-04-01","P00104-002",2792.466796875
2,,"H00110-04-01","P00110-001",2792.466796875
2,,"H00110-04-01","P00110-004",2792.466796875
1,7,"H00208-04-01","P00208-005",1874.79821777344
2,,"H00208-04-01","P00208-002",1874.79821777344
1,4,"H00208-04-01","P00208-006",1874.79821777344
1,7,"H00208-04-01","P00208-004",1874.79821777344
2,,"H00208-04-01","P00208-001",1874.79821777344
2,,"H00209-04-01","P00209-001",1874.79821777344
2,,"H00209-04-01","P00209-005",1874.79821777344
2,,"H00209-04-01","P00209-003",1874.79821777344
2,,"H00209-04-01","P00209-006",1874.79821777344
2,,"H00209-04-01","P00209-004",1874.79821777344
2,,"H00211-04-01","P00211-003",1874.79821777344
2,,"H00211-04-01","P00211-010",1874.79821777344
2,,"H00211-04-01","P00211-008",1874.79821777344
2,,"H00211-04-01","P00211-009",1874.79821777344
2,,"H00211-04-01","P00211-004",1874.79821777344
2,,"H00211-04-01","P00211-001",1874.79821777344
2,,"H00211-04-01","P00211-007",1874.79821777344
1,2,"H00213-04-01","P00213-006",1874.79821777344
1,10,"H00213-04-01","P00213-001",1874.79821777344
2,,"H00213-04-01","P00213-004",1874.79821777344
1,3,"H00213-04-01","P00213-003",1874.79821777344
2,,"H00213-04-01","P00213-007",1874.79821777344
1,3,"H00213-04-01","P00213-005",1874.79821777344
2,,"H00213-04-01","P00213-011",1874.79821777344
2,,"H00301-04-01","P00301-008",1874.79821777344
2,,"H00301-04-01","P00301-002",1874.79821777344
2,,"H00301-04-01","P00301-001",1874.79821777344
2,,"H00301-04-01","P00301-006",1874.79821777344
2,,"H00301-04-01","P00301-003",1874.79821777344
2,,"H00301-04-01","P00301-004",1874.79821777344
1,12,"H00302-04-01","P00302-001",1874.79821777344
1,12,"H00302-04-01","P00302-003",1874.79821777344
2,,"H00303-04-01","P00303-014",1874.79821777344
,,"H00303-04-01","P00303-018",1874.79821777344
2,,"H00303-04-01","P00303-015",1874.79821777344
2,,"H00303-04-01","P00303-005",1874.79821777344
2,,"H00303-04-01","P00303-002",1874.79821777344
2,,"H00303-04-01","P00303-001",1874.79821777344
,,"H00303-04-01","P00303-019",1874.79821777344
2,,"H00304-04-01","P00304-001",1874.79821777344
2,,"H00307-04-01","P00307-001",1874.79821777344
2,,"H00307-04-01","P00307-003",1874.79821777344
2,,"H00307-04-01","P00307-002",1874.79821777344
2,,"H00307-04-01","P00307-005",1874.79821777344
2,,"H00312-04-01","P00312-002",1874.79821777344
