"HHID","district_code","urban","region","regurb","rotate","HHID_old","equiv","hsize","nrrexp30","cpexp30","welfare","plinen","ctpline","hpline","spline","poor_13"
"H00101-04-01","101",0,1,10,1,1013000201,2.87336665391922,3,553716.9375,223791.421875,77884.7421875,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H00102-04-01","111",0,1,10,1,1013000202,1.92703330516815,3,262868.625,105423.6796875,54707.76171875,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H00104-04-01","101",1,1,11,1,1013000204,3.28509993851185,5,342130.5,138476.859375,42153.01171875,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H00110-04-01","101",0,1,10,1,1013000210,1.9970999956131,2,559980.125,226163.90625,113246.1640625,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H00208-04-01","102",1,1,11,1,1021000108,4.52053332328796,5,1397768.5,554669.125,122699.9296875,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H00209-04-01","102",1,1,11,1,1021000109,4.28426665067673,5,1201514.125,482238.90625,112560.4296875,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H00211-04-01","102",1,1,11,1,1021000111,4.88109999895096,5,1725528.5,693630.375,142105.34375,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H00213-04-01","102",1,1,11,1,1021000113,2.87143331766129,3,3127529.25,1243223,432962.53125,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H00301-04-01","102",1,1,11,1,1021000201,2.889299929142,4,831940.25,331693.75,114800.734375,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H00302-04-01","102",1,1,11,1,1021000202,1.87336665391922,2,442709.71875,168937.125,90178.359375,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H00303-04-01","102",1,1,11,1,1021000203,3.99039995670319,5,334415.46875,131374.640625,32922.67578125,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H00304-04-01","102",1,1,11,1,1021000204,0.992266654968262,1,228415.75,87151.7890625,87831.015625,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H00307-04-01","102",1,1,11,1,1021000207,3.31263333559036,4,535868.4375,211408.671875,63818.91796875,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H00312-04-01","102",1,1,11,1,1021000212,5.75736665725708,6,978363.5,375762.03125,65266.30078125,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
