hhid,h10q1,h10q2,h10q3,h10q4,h10q5a,h10q5b,h10q6,h10q7a,h10q7b,h10q7c,h10q7d,h10q9,h10q10,h10q11,h10q12,hh
H0010101,No,,,,,,Yes,0.0,0.0,88000.0,22.0,Charcoal,No,5.0,In an outdoor space,H00101-05-01
H0010201,No,,,,,,No,,,,,Open fire,No,5.0,In an outdoor space,H00102-05-01
H0010401,No,,,,,,No,,,,,Charcoal,No,3.0,In an outdoor space,H00104-05-01
H0011001,No,,,,,,No,,,,,,,,,H00110-05-01
H0020801,Yes,23.0,Bill from power company,23.0,20000.0,30.0,No,,,,,Charcoal,No,6.0, In a room in the dwelling not just devoted to cooking,H00208-05-01
H0020901,Yes,12.0,Provide in rent,,,,No,,,,,Charcoal,No,10.0, In a room in the dwelling not just devoted to cooking,H00209-05-01
H0021101,Yes,24.0,Bill from power company,80.0,50000.0,30.0,No,,,,,Charcoal,No,8.0,In a separate kitchen,H00211-05-01
H0021301,Yes,24.0,Bill from power company,30.0,20000.0,30.0,No,,,,,Charcoal,No,6.0,In a separate kitchen,H00213-05-01
H0030101,Yes,23.0,Pay fee to neighbor,,15000.0,30.0,No,,,,,Charcoal,No,6.0,In an outdoor space,H00301-05-01
H0030201,Yes,20.0,Pay fee to neighbor,,30000.0,30.0,No,,,,,Charcoal,No,6.0, In a room in the dwelling not just devoted to cooking,H00302-05-01
H0030301,No,,,,,,No,,,,,Charcoal,No,6.0,In an outdoor space,H00303-05-01
H0030401,No,,,,,,No,,,,,Charcoal,No,1.0, In a room in the dwelling not just devoted to cooking,H00304-05-01
H0030701,Yes,24.0,Provide in rent,,,,No,,,,,Charcoal,No,6.0,In an outdoor space,H00307-05-01
H0031201,Yes,23.0,Pay fee to neighbor,,10000.0,30.0,No,,,,,Charcoal,No,6.0,In an outdoor space,H00312-05-01
H0031301,Yes,23.0,Bill from power company,40.0,20000.0,30.0,No,,,,,Charcoal,No,7.0,In a separate kitchen,H00313-05-01
H0060601,Yes,24.0,Provide in rent,,,,No,,,,,Charcoal,No,4.0, In a room in the dwelling not just devoted to cooking,H00606-05-01
H0070401,No,,,,,,No,,,,,Charcoal,No,7.0,In a separate kitchen,H00704-05-01
