hhid,h10q8_1,h10q8_2,hh
H0010101,Electric,No,H00101-05-01
H0010101,lpg,No,H00101-05-01
H0010101,Kerosene,No,H00101-05-01
H0010101,Wood / Sawdust Burning,No,H00101-05-01
H0010101,Efficient Wood Burning,No,H00101-05-01
H0010101,Charcoal,Yes,H00101-05-01
H0010101,Other Biomass Burning,No,H00101-05-01
H0010101,Open fire,No,H00101-05-01
H0010101,Other (specify),No,H00101-05-01
H0010201,Electric,No,H00102-05-01
H0010201,lpg,No,H00102-05-01
H0010201,Kerosene,No,H00102-05-01
H0010201,Wood / Sawdust Burning,No,H00102-05-01
H0010201,Efficient Wood Burning,No,H00102-05-01
H0010201,Charcoal,No,H00102-05-01
H0010201,Other Biomass Burning,No,H00102-05-01
H0010201,Open fire,Yes,H00102-05-01
H0010201,Other (specify),No,H00102-05-01
H0010401,Electric,No,H00104-05-01
H0010401,lpg,No,H00104-05-01
H0010401,Kerosene,Yes,H00104-05-01
H0010401,Wood / Sawdust Burning,No,H00104-05-01
H0010401,Efficient Wood Burning,No,H00104-05-01
H0010401,Charcoal,Yes,H00104-05-01
H0010401,Other Biomass Burning,No,H00104-05-01
H0010401,Open fire,No,H00104-05-01
H0010401,Other (specify),No,H00104-05-01
H0011001,Electric,No,H00110-05-01
H0011001,lpg,No,H00110-05-01
H0011001,Kerosene,No,H00110-05-01
H0011001,Wood / Sawdust Burning,No,H00110-05-01
H0011001,Efficient Wood Burning,No,H00110-05-01
H0011001,Charcoal,No,H00110-05-01
H0011001,Other Biomass Burning,No,H00110-05-01
H0011001,Open fire,No,H00110-05-01
H0011001,Other (specify),No,H00110-05-01
H0020801,Electric,No,H00208-05-01
H0020801,lpg,No,H00208-05-01
H0020801,Kerosene,No,H00208-05-01
H0020801,Wood / Sawdust Burning,No,H00208-05-01
H0020801,Efficient Wood Burning,No,H00208-05-01
H0020801,Charcoal,Yes,H00208-05-01
H0020801,Other Biomass Burning,No,H00208-05-01
H0020801,Open fire,No,H00208-05-01
H0020801,Other (specify),No,H00208-05-01
H0020901,Electric,No,H00209-05-01
H0020901,lpg,No,H00209-05-01
H0020901,Kerosene,No,H00209-05-01
H0020901,Wood / Sawdust Burning,No,H00209-05-01
H0020901,Efficient Wood Burning,No,H00209-05-01
H0020901,Charcoal,Yes,H00209-05-01
H0020901,Other Biomass Burning,No,H00209-05-01
H0020901,Open fire,No,H00209-05-01
H0020901,Other (specify),No,H00209-05-01
H0021101,Electric,No,H00211-05-01
H0021101,lpg,No,H00211-05-01
H0021101,Kerosene,Yes,H00211-05-01
H0021101,Wood / Sawdust Burning,No,H00211-05-01
H0021101,Efficient Wood Burning,No,H00211-05-01
H0021101,Charcoal,Yes,H00211-05-01
H0021101,Other Biomass Burning,No,H00211-05-01
H0021101,Open fire,No,H00211-05-01
H0021101,Other (specify),No,H00211-05-01
H0021301,Electric,No,H00213-05-01
H0021301,lpg,No,H00213-05-01
H0021301,Kerosene,No,H00213-05-01
H0021301,Wood / Sawdust Burning,No,H00213-05-01
H0021301,Efficient Wood Burning,No,H00213-05-01
H0021301,Charcoal,Yes,H00213-05-01
H0021301,Other Biomass Burning,No,H00213-05-01
H0021301,Open fire,No,H00213-05-01
H0021301,Other (specify),No,H00213-05-01
H0030101,Electric,No,H00301-05-01
H0030101,lpg,No,H00301-05-01
H0030101,Kerosene,No,H00301-05-01
H0030101,Wood / Sawdust Burning,No,H00301-05-01
H0030101,Efficient Wood Burning,No,H00301-05-01
H0030101,Charcoal,Yes,H00301-05-01
H0030101,Other Biomass Burning,No,H00301-05-01
H0030101,Open fire,No,H00301-05-01
H0030101,Other (specify),No,H00301-05-01
H0030201,Electric,No,H00302-05-01
H0030201,lpg,No,H00302-05-01
H0030201,Kerosene,No,H00302-05-01
H0030201,Wood / Sawdust Burning,No,H00302-05-01
H0030201,Efficient Wood Burning,No,H00302-05-01
H0030201,Charcoal,Yes,H00302-05-01
H0030201,Other Biomass Burning,No,H00302-05-01
H0030201,Open fire,No,H00302-05-01
H0030201,Other (specify),No,H00302-05-01
H0030301,Electric,No,H00303-05-01
H0030301,lpg,No,H00303-05-01
H0030301,Kerosene,No,H00303-05-01
H0030301,Wood / Sawdust Burning,No,H00303-05-01
H0030301,Efficient Wood Burning,No,H00303-05-01
H0030301,Charcoal,Yes,H00303-05-01
