"t0_hhid","hhid","A10itemcod_ID","s10q01a","s10q02a","s10q03aa","s10q04a","s10q05aa","s10q06a","s10q07aa","s10q08a"
"H1650506","004e93d7552248ed95d8bc3ec21bdbdb",22,0,,0,1,,1,1,0
"H1650506","004e93d7552248ed95d8bc3ec21bdbdb",1,2,8000,2,1,,2,,
"H1650506","004e93d7552248ed95d8bc3ec21bdbdb",3,0,,0,1,,1,1,0
"H1650506","004e93d7552248ed95d8bc3ec21bdbdb",14,0,,0,1,,1,1,28000
"H1650506","004e93d7552248ed95d8bc3ec21bdbdb",4,1,4000,1,1,,2,,
"H1810303","0071da69d26d4b29a8f9d29d458e68cf",22,1,5000,1,1,,2,,
"H1810303","0071da69d26d4b29a8f9d29d458e68cf",3,1,4000,1,1,,2,,
"H1810303","0071da69d26d4b29a8f9d29d458e68cf",1,2,10000,2,1,,2,,
"H1810303","0071da69d26d4b29a8f9d29d458e68cf",4,0,,0,1,,1,1,0
"H1810303","0071da69d26d4b29a8f9d29d458e68cf",14,1,120000,1,1,,2,,
"H2790801","00854d05d4f044c985ffce60c1b514c2",3,2,16000,2,1,,2,,
"H2790801","00854d05d4f044c985ffce60c1b514c2",1,6,54000,6,1,,1,2,0
"H1830701","00858c2384184dc3bfc800550a6c8cb5",22,2,20000,2,1,,2,,
"H1830701","00858c2384184dc3bfc800550a6c8cb5",3,2,8000,2,1,,2,,
"H1830701","00858c2384184dc3bfc800550a6c8cb5",14,1,100000,1,1,,2,,
"H1830701","00858c2384184dc3bfc800550a6c8cb5",5,1,80000,1,1,,2,,
"H1830701","00858c2384184dc3bfc800550a6c8cb5",12,1,2000,1,1,,2,,
"H1830701","00858c2384184dc3bfc800550a6c8cb5",1,4,24000,3,1,,2,,
"H3990301","008ffc050d4e47c7920e9c7c2e35887a",22,1,10000,1,1,,2,,
"H3990301","008ffc050d4e47c7920e9c7c2e35887a",12,1,5000,1,1,,2,,
"H3990301","008ffc050d4e47c7920e9c7c2e35887a",4,1,5000,1,1,,2,,
"H3990301","008ffc050d4e47c7920e9c7c2e35887a",3,0,,0,1,,1,1,0
"H3990301","008ffc050d4e47c7920e9c7c2e35887a",1,6,24000,6,1,,2,,
"H3990301","008ffc050d4e47c7920e9c7c2e35887a",14,1,150000,1,1,,2,,
"H3950701","00a09aedb8c049aa8364d377c26c5f81",1,3,21000,3,1,,2,,
"H3950701","00a09aedb8c049aa8364d377c26c5f81",14,1,150000,1,1,,2,,
"H3950701","00a09aedb8c049aa8364d377c26c5f81",3,1,3000,1,1,,2,,
"H0491302","00a68f13f97141199e9fda8aacbccc8d",3,1,5000,1,1,,2,,
"H0491302","00a68f13f97141199e9fda8aacbccc8d",1,2,20000,2,1,,1,1,0
"H3520701","00bbd034f88649bc980b091d4a5af645",13,1,1000,1,1,,2,,
"H3520701","00bbd034f88649bc980b091d4a5af645",7,1,1500,1,1,,2,,
"H3520701","00bbd034f88649bc980b091d4a5af645",3,2,6000,2,1,,2,,
"H3520701","00bbd034f88649bc980b091d4a5af645",4,1,2000,1,1,,2,,
"H3520701","00bbd034f88649bc980b091d4a5af645",1,4,25000,4,1,,2,,
"H3520701","00bbd034f88649bc980b091d4a5af645",12,1,1000,1,1,,2,,
"H3520701","00bbd034f88649bc980b091d4a5af645",19,1,35000,1,1,,2,,
"H3691002","00c9353d8ebe42faabf5919b81d7fae7",3,1,3000,1,1,,2,,
"H3691002","00c9353d8ebe42faabf5919b81d7fae7",1,5,35000,5,1,,2,,
"H1090502","00db391b5a9a4ef0954f50f148069c46",3,1,4000,1,1,,2,,
"H1090502","00db391b5a9a4ef0954f50f148069c46",19,0,,0,1,,1,1,0
"H1090502","00db391b5a9a4ef0954f50f148069c46",1,2,15000,2,1,,1,2,0
"H1090502","00db391b5a9a4ef0954f50f148069c46",14,1,250000,1,1,,2,,
"H2370701","00e23121bad94719bff27f93646437b3",3,1,5000,0,1,,2,,
"H2370701","00e23121bad94719bff27f93646437b3",1,4,20000,2,1,,2,,
"H0531001","00f1eb71d428408f888b058a8e8664fe",1,8,50000,8,1,,2,,
"H0531001","00f1eb71d428408f888b058a8e8664fe",19,1,80000,1,1,,2,,
"H0531001","00f1eb71d428408f888b058a8e8664fe",12,1,4000,1,1,,2,,
"H0531001","00f1eb71d428408f888b058a8e8664fe",5,1,50000,1,1,,2,,
"H0531001","00f1eb71d428408f888b058a8e8664fe",3,1,5000,1,1,,1,1,0
"H3730501","0101511a1da74f35b4fb8fd0c2cf8e69",4,1,3500,1,1,,2,,
"H3730501","0101511a1da74f35b4fb8fd0c2cf8e69",1,7,70000,7,1,,2,,
"H3730501","0101511a1da74f35b4fb8fd0c2cf8e69",3,1,6000,1,1,,2,,
"H3730501","0101511a1da74f35b4fb8fd0c2cf8e69",14,1,270000,1,1,,2,,
"H2451101","0103050b934841289df128242538e3ea",1,2,8000,2,1,,2,,
"H2451101","0103050b934841289df128242538e3ea",3,1,3000,1,1,,2,,
"H3780601","0125c97b154d4f249c07f630cd52a102",3,1,5000,1,1,,2,,
"H3780601","0125c97b154d4f249c07f630cd52a102",1,2,6000,2,1,,2,,
"H2780101","01483c3751964ad2842b6e4a8b6edcdd",1,5,25000,5,1,,2,,
"H2780101","01483c3751964ad2842b6e4a8b6edcdd",3,1,3000,1,1,,2,,
"H0670802","01c14a909dd54c2088fe1b32e84ae2ec",4,1,2000,1,1,,2,,
"H0670802","01c14a909dd54c2088fe1b32e84ae2ec",3,2,4000,2,1,,2,,
"H0670802","01c14a909dd54c2088fe1b32e84ae2ec",1,4,16000,4,1,,2,,
"H0670802","01c14a909dd54c2088fe1b32e84ae2ec",12,1,3000,1,1,,2,,
"H0670802","01c14a909dd54c2088fe1b32e84ae2ec",19,1,40000,1,1,,2,,
"H2970601","01c6b5639280472aa1dbfea2b7c10c24",8,1,2000,1,1,,2,,
"H2970601","01c6b5639280472aa1dbfea2b7c10c24",3,2,6000,2,1,,2,,
"H2970601","01c6b5639280472aa1dbfea2b7c10c24",1,3,18000,3,1,,2,,
"H1530901","01dfba97dd29447f9a82aef0f59237de",3,1,5000,1,1,,2,,
"H1530901","01dfba97dd29447f9a82aef0f59237de",1,3,29000,3,1,,2,,
"H2090701","01fc2a6821064f528ca01e20dbea8db2",1,6,30000,6,1,,2,,
"H1400501","020fd884bebf40b0a97f2156b8eda1b6",2,1,150000,1,1,,2,,
"H1400501","020fd884bebf40b0a97f2156b8eda1b6",3,,,,,,,,
"H1400501","020fd884bebf40b0a97f2156b8eda1b6",1,3,12000,3,2,1,,,
"H1400501","020fd884bebf40b0a97f2156b8eda1b6",4,0,,1,1,,1,1,4000
"H3770703","021babeee5f646108cbe9bb3b2a4c485",1,2,14000,2,1,,2,,
"H3770703","021babeee5f646108cbe9bb3b2a4c485",3,0,,0,1,,1,1,0
"H4250801","02257a7aa9a94ca9b464e910e2bd642d",13,1,8000,1,1,,2,,
"H4250801","02257a7aa9a94ca9b464e910e2bd642d",12,2,14000,2,1,,2,,
"H4250801","02257a7aa9a94ca9b464e910e2bd642d",1,2,16000,2,1,,2,,
"H4250801","02257a7aa9a94ca9b464e910e2bd642d",3,2,12000,2,1,,2,,
"H3430401","024a80a27283471e857285cf751564ae",1,2,9500,2,1,,2,,
"H3430401","024a80a27283471e857285cf751564ae",3,1,5000,1,1,,2,,
"H0620801","02617e359bfc48cbaa6ff204cb915790",1,3,30000,3,1,,2,,
"H0620801","02617e359bfc48cbaa6ff204cb915790",3,1,5000,1,1,,2,,
"H3850702","02a50a54fb3a4c9f989e246cb0c9200e",4,1,1000,1,1,,2,,
"H3850702","02a50a54fb3a4c9f989e246cb0c9200e",3,1,3000,1,1,,2,,
"H3850702","02a50a54fb3a4c9f989e246cb0c9200e",1,2,4000,2,1,,2,,
"H2620906","031fbb84e2af4d5e889ccc7492ecbf55",12,1,3000,1,1,,2,,
"H2620906","031fbb84e2af4d5e889ccc7492ecbf55",3,1,3000,1,1,,2,,
"H2620906","031fbb84e2af4d5e889ccc7492ecbf55",4,1,2000,1,1,,2,,
"H2620906","031fbb84e2af4d5e889ccc7492ecbf55",1,2,10000,2,1,,2,,
"H0491306","03292ce0d7f24e42801500e576140648",12,1,3000,1,1,,2,,
"H0491306","03292ce0d7f24e42801500e576140648",3,1,3000,1,1,,2,,
"H0491306","03292ce0d7f24e42801500e576140648",5,1,100000,1,1,,2,,
"H0491306","03292ce0d7f24e42801500e576140648",19,1,25000,1,1,,2,,
"H0491306","03292ce0d7f24e42801500e576140648",1,4,20000,4,1,,2,,
"H0491306","03292ce0d7f24e42801500e576140648",8,1,2000,1,2,1,,,
"H1070601","034f0004fa7a4a25b4aacdb196177f2b",3,1,5000,1,1,,2,,
"H1070601","034f0004fa7a4a25b4aacdb196177f2b",1,5,35000,5,1,,2,,
"H0381001","037866653c7c4cb99a80f05a38cdafb2",3,1,4000,1,1,,2,,
"H0381001","037866653c7c4cb99a80f05a38cdafb2",1,2,8500,2,1,,2,,
"H3171001","038bf67186f048d1966a17475bedd578",3,1,5000,1,1,,2,,
"H3171001","038bf67186f048d1966a17475bedd578",1,3,20000,3,1,,2,,
"H3860601","03c42091117d479097bf8be7a9dfebb1",7,2,10000,2,1,,2,,
"H3860601","03c42091117d479097bf8be7a9dfebb1",13,0,,0,1,,1,1,0
"H3860601","03c42091117d479097bf8be7a9dfebb1",1,6,18000,4,1,,2,,
"H3860601","03c42091117d479097bf8be7a9dfebb1",19,0,,0,1,,1,2,0
"H3860601","03c42091117d479097bf8be7a9dfebb1",22,1,13000,1,1,,2,,
"H3860601","03c42091117d479097bf8be7a9dfebb1",12,0,,1,2,3,,,
"H3860601","03c42091117d479097bf8be7a9dfebb1",4,0,,0,1,,1,1,0
"H3860601","03c42091117d479097bf8be7a9dfebb1",3,1,2500,1,1,,2,,
"H3220901","03d4f5f6631747878b76ad399fb2b80c",12,2,16000,2,1,,2,,
"H3220901","03d4f5f6631747878b76ad399fb2b80c",4,1,5000,1,1,,2,,
"H3220901","03d4f5f6631747878b76ad399fb2b80c",1,4,32000,4,1,,2,,
"H3220901","03d4f5f6631747878b76ad399fb2b80c",3,2,6000,2,1,,2,,
"H3880301","03f862af923942ad9f37fa65f52a8f3d",4,1,2000,1,1,,2,,
"H3880301","03f862af923942ad9f37fa65f52a8f3d",1,4,15000,4,1,,2,,
"H3880301","03f862af923942ad9f37fa65f52a8f3d",3,2,7000,2,1,,2,,
"H3880301","03f862af923942ad9f37fa65f52a8f3d",12,1,5000,1,1,,2,,
"H2540901","04077875a3894775bb24f2f42e7adc67",1,5,40000,5,1,,2,,
"H2540901","04077875a3894775bb24f2f42e7adc67",3,2,6000,2,1,,2,,
"H0590101","0418981cf19046bd930dbbfe8af3c1c4",12,1,10000,1,1,,2,,
"H0590101","0418981cf19046bd930dbbfe8af3c1c4",3,1,6000,1,1,,2,,
"H0590101","0418981cf19046bd930dbbfe8af3c1c4",1,4,40000,4,1,,2,,
"H2601001","042c4cc37a904f18a05671d5323d78d3",1,3,25000,3,1,,2,,
"H2601001","042c4cc37a904f18a05671d5323d78d3",5,1,40000,1,1,,2,,
"H2601001","042c4cc37a904f18a05671d5323d78d3",19,2,100000,2,1,,2,,
"H2601001","042c4cc37a904f18a05671d5323d78d3",21,,,,,,,,
"H2601001","042c4cc37a904f18a05671d5323d78d3",12,1,10000,1,1,,2,,
"H2601001","042c4cc37a904f18a05671d5323d78d3",20,,,,,,,,
"H2601001","042c4cc37a904f18a05671d5323d78d3",3,3,15000,3,1,,2,,
"H2601001","042c4cc37a904f18a05671d5323d78d3",4,2,10000,2,1,,2,,
"H2601001","042c4cc37a904f18a05671d5323d78d3",13,1,10000,1,1,,2,,
"64","043058c9577d4e2ebeeb2c62c20acb22",3,1,6000,1,1,,2,,
"64","043058c9577d4e2ebeeb2c62c20acb22",1,1,5000,1,1,,1,5,0
"H3510201","0436a29148344151a89c6a941e52e1d0",1,4,12000,4,1,,2,,
"H3510201","0436a29148344151a89c6a941e52e1d0",12,1,3000,1,2,1,,,
"H3510201","0436a29148344151a89c6a941e52e1d0",4,1,3000,1,1,,2,,
"H3510201","0436a29148344151a89c6a941e52e1d0",3,2,4000,2,1,,2,,
"H1880501","044525d42e7547cb844fa01062ed908c",1,4,24000,5,1,,2,,
"H1880501","044525d42e7547cb844fa01062ed908c",22,1,6500,1,1,,2,,
"H1880501","044525d42e7547cb844fa01062ed908c",3,0,,1,1,,1,1,0
"H1880501","044525d42e7547cb844fa01062ed908c",14,1,150000,1,1,,2,,
"H2231002","044c92119a6e44b6bd74f41b5131f7fb",14,1,180000,1,1,,2,,
"H2231002","044c92119a6e44b6bd74f41b5131f7fb",22,1,6000,1,1,,2,,
"H2231002","044c92119a6e44b6bd74f41b5131f7fb",1,2,12000,2,1,,2,,
"H3370501","044fe31f64084ca4bb3d0474820c95ff",1,1,3500,1,1,,2,,
"H2920501","0475d96d540e42f48e10f7e052c18533",13,1,8000,1,1,,2,,
"H2920501","0475d96d540e42f48e10f7e052c18533",3,2,10000,2,1,,2,,
"H2920501","0475d96d540e42f48e10f7e052c18533",8,1,3000,1,1,,2,,
"H2920501","0475d96d540e42f48e10f7e052c18533",1,2,12000,2,1,,2,,
"H2920501","0475d96d540e42f48e10f7e052c18533",4,1,5000,1,1,,2,,
"H2600905","048117d75d7e486587c27ca4bb7d294f",3,1,4000,1,1,,2,,
"H2600905","048117d75d7e486587c27ca4bb7d294f",1,2,20000,2,1,,2,,
"H2600905","048117d75d7e486587c27ca4bb7d294f",4,1,3000,1,1,,2,,
"H3600301","04adcf9e96a14cc2879a6d47da1a2ae9",1,1,3000,1,1,,2,,
"H3440201","04beb1f67d72438a95bbd2da5ae9bc56",22,1,5000,1,1,,2,,
"H3440201","04beb1f67d72438a95bbd2da5ae9bc56",3,1,3000,1,1,,2,,
"H3440201","04beb1f67d72438a95bbd2da5ae9bc56",19,1,30000,1,2,1,,,
"H3440201","04beb1f67d72438a95bbd2da5ae9bc56",1,3,10000,3,1,,2,,
"H3350301","04e3098df42742428550ed1754b3cce9",1,12,70000,12,1,,2,,
"H3350301","04e3098df42742428550ed1754b3cce9",4,1,7000,1,1,,2,,
"H3350301","04e3098df42742428550ed1754b3cce9",12,1,5000,1,1,,2,,
"H3350301","04e3098df42742428550ed1754b3cce9",3,2,12000,0,1,,2,,
"H3350301","04e3098df42742428550ed1754b3cce9",19,1,50000,1,1,,2,,
"H1510902","04e34e77abfc4a14a6ddb3f8604a51ee",3,1,4000,1,1,,2,,
"H1510902","04e34e77abfc4a14a6ddb3f8604a51ee",1,3,19000,3,1,,2,,
"H1510902","04e34e77abfc4a14a6ddb3f8604a51ee",12,2,8000,2,1,,2,,
"H2970602","04fbfbe14e064de88046b1bd162fb008",1,3,9000,3,1,,2,,
"H4280401","05052c1f4a06454ca9f2ef68f4ed9918",19,1,85000,1,1,,2,,
"H4280401","05052c1f4a06454ca9f2ef68f4ed9918",1,2,20000,2,1,,2,,
"H4280401","05052c1f4a06454ca9f2ef68f4ed9918",3,1,6000,1,1,,2,,
"H1821002","053050b9f02d468dabfb5515b9f97be6",4,1,4000,1,1,,2,,
"H1821002","053050b9f02d468dabfb5515b9f97be6",1,5,32000,5,1,,2,,
