"interview__key","hhid","parcelID","t0_hhid","a2aq1owned","s2aq3_1a","s2aq4","s2aq5","s2aq6","s2aq7","s2aq8","s2aq9","s2aq10","s2aq11a","s2aq11b","s2aq14","s2aq15a","s2aq15b","a2aq28","a2aq29a","a2aq29b","s2aq16","s2aq17","a2aq18","s2aq19","s2aq20","s2aq21","s2aq22a","s2aq22b","s2aq23","a2aq31","s2aq26__0","s2aq26__1","a2aq32","a2aq33a","a2aq33b","s2aq24__0","s2aq24__1","s2aq27__0","s2aq27__1","a2aq34","a2aq25","a2aq35","a2aq36","a2aq37","a2aq38","a2aq39"
"84-75-55-16","004e93d7552248ed95d8bc3ec21bdbdb",1,"H1650506",1,2,,,,,,999,1,6,1,,,60,1,1,,,,2,,2,,,,4,,,,2,,,1,,1,,6,2,2,,1,,2500000
"59-74-52-26","0071da69d26d4b29a8f9d29d458e68cf",1,"H1810303",1,2,,,,,,999,1,5,1,,,50,1,1,,,,2,,2,,,,4,,,,1,2,,1,,1,,2,2,2,,1,,1500000
"59-74-52-26","0071da69d26d4b29a8f9d29d458e68cf",2,"H1810303",1,2,,,,,,999,1,5,5,,,,2,,,,,2,,2,,,,4,,,,1,2,,1,,1,,2,2,2,,1,,2000000
"27-88-02-78","00854d05d4f044c985ffce60c1b514c2",1,"H2790801",1,2,,,,,,999,1,2,2,,100,100,1,1,,,,2,,2,,,,4,,,,1,1,,,,,,1,2,2,,1,,24000000
"36-92-38-74","00858c2384184dc3bfc800550a6c8cb5",1,"H1830701",1,2,,,,,,999,1,1,1,,100,100,2,,,,,2,,2,,,,4,,,,2,,,1,2,1,2,2,2,2,,1,,8400000
"36-92-38-74","00858c2384184dc3bfc800550a6c8cb5",2,"H1830701",1,2,,,,,,999,1,3,3,120000,,,2,,,,,2,,2,,,,4,,,,2,,,1,2,1,2,2,2,2,,1,,3600000
"36-92-38-74","00858c2384184dc3bfc800550a6c8cb5",3,"H1830701",1,,,4,1,4,,1990,1,1,1,,100,100,2,,,1,1,2,3,2,,,,4,,,,2,,,1,2,1,2,2,2,2,,1,,10000000
"34-94-77-09","008ffc050d4e47c7920e9c7c2e35887a",1,"H3990301",1,2,,,,,,999,1,5,5,,,,1,1,,,,2,,2,,,,4,,,,2,,,1,,1,,2,1,1,1,2,1,3000000
"34-94-77-09","008ffc050d4e47c7920e9c7c2e35887a",3,"H3990301",1,2,,,,,,999,1,5,5,,,,2,,,,,2,,2,,,,4,,,,2,,,1,,1,,2,1,1,1,2,1,900000
"34-94-77-09","008ffc050d4e47c7920e9c7c2e35887a",5,"H3990301",1,2,,,,,,999,2,1,1,,30,80,1,1,,,,2,,2,,,,4,,,,1,2,,1,,1,,2,2,2,,1,,3500000
"75-12-07-76","00a09aedb8c049aa8364d377c26c5f81",1,"H3950701",1,2,,,,,,999,1,2,2,,100,100,1,1,,,,2,,2,,,,4,,,,2,,,1,2,1,2,2,1,1,1,2,1,20000000
"75-12-07-76","00a09aedb8c049aa8364d377c26c5f81",2,"H3950701",1,2,,,,,,999,1,5,2,,,50,2,,,,,2,,2,,,,4,,,,2,,,1,2,1,2,2,1,1,1,2,1,4000000
"11-81-90-47","00bbd034f88649bc980b091d4a5af645",1,"H3520701",1,2,,,,,,999,2,1,1,,50,50,1,1,,,,2,,2,,,,1,2012,1,,,,,1,,1,,1,2,2,,1,,15000000
