"hhid","parcelID","pltid","t0_hhid","interview__key","s3aq03","s3aq03_2","s3aq03_3","s3aq03a","s3aq04","s3aq05","s3aq06","s3aq07","s3aq08","s3aq09","s3aq12","s3aq13","s3aq14","s3aq15","s3aq16","s3aq17","s3aq18","s3aq19","s3aq22","s3aq23","s3aq24a","s3aq24b","s3aq25","s3aq26","s3aq27","s3aq28","s3aq34","s3aq35a","s3aq35b","s3aq35c","s3aq36","s4aq07"
"004e93d7552248ed95d8bc3ec21bdbdb",1,1,"H1650506","84-75-55-16","CASSAVA",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.35
"00858c2384184dc3bfc800550a6c8cb5",1,1,"H1830701","36-92-38-74","mogo",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,1,1,0,0,10000,1.5
"00858c2384184dc3bfc800550a6c8cb5",3,2,"H1830701","36-92-38-74","mwagi",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,1,2,0,0,15000,0.7
"00858c2384184dc3bfc800550a6c8cb5",1,2,"H1830701","36-92-38-74","Apena",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,1,0,9,0,32000,2
"00858c2384184dc3bfc800550a6c8cb5",3,1,"H1830701","36-92-38-74","awera",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,1,0,6,0,20000,1.5
"008ffc050d4e47c7920e9c7c2e35887a",5,1,"H3990301","34-94-77-09","Cassava",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,1
"00a09aedb8c049aa8364d377c26c5f81",3,1,"H3950701","75-12-07-76","PINY",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,1,1,1,0,15000,1.5
"00a09aedb8c049aa8364d377c26c5f81",1,2,"H3950701","75-12-07-76","PACO MAIZE",2,,1,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.5
"00a09aedb8c049aa8364d377c26c5f81",1,1,"H3950701","75-12-07-76","PACO FINGER MILLET",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,1,1,1,0,10000,1
"00a68f13f97141199e9fda8aacbccc8d",1,2,"H0491302","49-05-74-03","BEANS",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.15
"00a68f13f97141199e9fda8aacbccc8d",1,1,"H0491302","49-05-74-03","BANANAS AND MAIZE",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.25
"00a68f13f97141199e9fda8aacbccc8d",0,1,"H0491302","49-05-74-03","IRISH POTATOES",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.25
"00a68f13f97141199e9fda8aacbccc8d",0,2,"H0491302","49-05-74-03","BEANS",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.25
"00bbd034f88649bc980b091d4a5af645",1,4,"H3520701","11-81-90-47","LUMONDE",1,"1",2,2,,,,,,,2,,,,,,,2,,,,,,,,1,0,18,0,55000,0.25
"00bbd034f88649bc980b091d4a5af645",1,3,"H3520701","11-81-90-47","KASOLI",1,"1",2,2,,,,,,,2,,,,,,,1,1,2,1,1,1,3500,2,1,0,12,0,40000,0.25
"00bbd034f88649bc980b091d4a5af645",1,6,"H3520701","11-81-90-47","FALLOW",1,"1",2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,
"00bbd034f88649bc980b091d4a5af645",1,1,"H3520701","11-81-90-47","MWANYI",1,"1",2,2,,,,,,,1,1,25,1,25,40000,2,2,,,,,,,,1,4,0,0,25000,0.5
"00bbd034f88649bc980b091d4a5af645",1,2,"H3520701","11-81-90-47","LUSUKU",1,"1",2,2,,,,,,,1,1,25,1,25,40000,2,2,,,,,,,,2,,,,,0.5
"00c9353d8ebe42faabf5919b81d7fae7",2,1,"H3691002","81-81-85-20","beans",1,"4",2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.25
"00c9353d8ebe42faabf5919b81d7fae7",2,2,"H3691002","81-81-85-20","maize",1,"4",2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.75
"00c9353d8ebe42faabf5919b81d7fae7",1,0,"H3691002","81-81-85-20","MAIZE",1,"4",2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,1
"00db391b5a9a4ef0954f50f148069c46",1,1,"H1090502","68-96-48-36","CASSAVA",2,,2,2,,,,,,,2,,,,,,,1,1,2,1,1,1,8000,2,2,,,,,0.3
"00db391b5a9a4ef0954f50f148069c46",1,2,"H1090502","68-96-48-36","POTATOES",1,"1",2,2,,,,,,,2,,,,,,,1,1,2,0.5,1,0.5,4000,3,2,,,,,0.2
