"hhid","parcelID","pltid","t0_hhid","interview__key","s3aq03b","s3bq03_1","s3bq03_2","s3bq03_3","s3bq03a","s3bq04","s3bq05","s3bq06","s3bq07","s3bq08","s3bq09","s3bq12","s3bq13","s3bq14","s3bq15","s3bq16","s3bq17","s3bq18","s3bq22","s3bq23","s3bq24a","s3bq24b","s3bq25","s3bq26","s3bq27","s3bq28","s3bq35b","s4bq07"
"0071da69d26d4b29a8f9d29d458e68cf",1,1,"H1810303","59-74-52-26","Cassava","2",1,"2",2,2,,,,,,,2,,,,,,2,,,,,,,,,0.5
"0071da69d26d4b29a8f9d29d458e68cf",1,2,"H1810303","59-74-52-26","Pigeon peas","2",1,"2",2,2,,,,,,,2,,,,,,2,,,,,,,,,0.25
"0071da69d26d4b29a8f9d29d458e68cf",1,3,"H1810303","59-74-52-26","soya beans","2",1,"2",2,2,,,,,,,2,,,,,,2,,,,,,,,,0.35
"008071c371724fe49a5bb047472df87f",1,1,"H1400702","17-53-77-76",".","3",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,1,1.62
"008071c371724fe49a5bb047472df87f",2,1,"H1400702","17-53-77-76",".","3",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,0,0.62
"00854d05d4f044c985ffce60c1b514c2",1,1,"H2790801","27-88-02-78",".","2",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,,1.5
"00854d05d4f044c985ffce60c1b514c2",1,3,"H2790801","27-88-02-78",".","2",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,,1.5
"00854d05d4f044c985ffce60c1b514c2",2,1,"H2790801","27-88-02-78",".","2",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,,2
"00854d05d4f044c985ffce60c1b514c2",1,2,"H2790801","27-88-02-78",".","2",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,,0.5
"008ffc050d4e47c7920e9c7c2e35887a",5,3,"H3990301","34-94-77-09","Sorghum","1",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,,1.5
"008ffc050d4e47c7920e9c7c2e35887a",5,2,"H3990301","34-94-77-09","Maize","1",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,,1
"008ffc050d4e47c7920e9c7c2e35887a",5,5,"H3990301","34-94-77-09","Cassava","2",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,,0.5
"008ffc050d4e47c7920e9c7c2e35887a",5,4,"H3990301","34-94-77-09","Beans","1",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,,0.5
"008ffc050d4e47c7920e9c7c2e35887a",5,1,"H3990301","34-94-77-09","Sunflower","1",1,"1",2,2,,,,,,,2,,,,,,2,,,,,,,,,1
"00a09aedb8c049aa8364d377c26c5f81",1,1,"H3950701","75-12-07-76","PACO sunflower","1",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,1,1
"00a09aedb8c049aa8364d377c26c5f81",3,1,"H3950701","75-12-07-76","RENTED PINY","1",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,1,1
"00a09aedb8c049aa8364d377c26c5f81",2,1,"H3950701","75-12-07-76","TE OLAM","1",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,2,0.3
"00a09aedb8c049aa8364d377c26c5f81",1,2,"H3950701","75-12-07-76","PACO cassava +maize","1",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,2,0.5
"00a68f13f97141199e9fda8aacbccc8d",0,2,"H0491302","49-05-74-03","beans","1",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,,0.25
"00a68f13f97141199e9fda8aacbccc8d",1,2,"H0491302","49-05-74-03","cassava","1",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,,0.15
"00a68f13f97141199e9fda8aacbccc8d",0,1,"H0491302","49-05-74-03","Irish potatoes","1",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,,0.25
"00a68f13f97141199e9fda8aacbccc8d",1,1,"H0491302","49-05-74-03","matooke","1",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,,0.25
"00bbd034f88649bc980b091d4a5af645",1,2,"H3520701","11-81-90-47","PLOT B BANANA","1",1,"1",2,2,,,,,,,2,,,,,,2,,,,,,,,,0.5
"00bbd034f88649bc980b091d4a5af645",1,3,"H3520701","11-81-90-47","PLOT C MAIZE","1",1,"1",2,2,,,,,,,2,,,,,,2,,,,,,,,,0.5
"00bbd034f88649bc980b091d4a5af645",1,1,"H3520701","11-81-90-47","PLOT A COFFEE","1",1,"1",2,2,,,,,,,2,,,,,,2,,,,,,,,,0.5
"00db391b5a9a4ef0954f50f148069c46",2,1,"H1090502","68-96-48-36","MAIZE","1",2,,1,2,,,,,,,2,,,,,,2,,,,,,,,,0.5
"00db391b5a9a4ef0954f50f148069c46",1,2,"H1090502","68-96-48-36","MAIZE","1",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,0,0.5
"00db391b5a9a4ef0954f50f148069c46",1,1,"H1090502","68-96-48-36","POTATOES","1",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,0,0.5
"00e23121bad94719bff27f93646437b3",3,1,"H2370701","09-18-87-82","CASSAVA","1",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,,
"00e23121bad94719bff27f93646437b3",2,1,"H2370701","09-18-87-82","CASSAVA","1",1,"1",2,2,,,,,,,2,,,,,,2,,,,,,,,,1
"00f1eb71d428408f888b058a8e8664fe",1,4,"H0531001","67-00-40-20","GROUND NUTS PLOT","2",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,6,2
"00f1eb71d428408f888b058a8e8664fe",1,1,"H0531001","67-00-40-20","BANANA FOOD PLOT","2",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,,1.08
"00f1eb71d428408f888b058a8e8664fe",1,3,"H0531001","67-00-40-20","MAIZE AND BEANS, PLUS CASSAVA PLOT","2",2,,2,2,,,,,,,2,,,,,,1,5,2,1,1,1,12000,2,3,1.5
"00f1eb71d428408f888b058a8e8664fe",1,2,"H0531001","67-00-40-20","COFFEE PLOT","2",1,"1",2,2,,,,,,,2,,,,,,1,4,2,2,1,2,30000,2,,5.9
"0101511a1da74f35b4fb8fd0c2cf8e69",1,1,"H3730501","82-64-90-90","1.OLD CASSAVA","1",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,,1.5
"0101511a1da74f35b4fb8fd0c2cf8e69",2,1,"H3730501","82-64-90-90","1.NAIZE","1",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,,1
"0101511a1da74f35b4fb8fd0c2cf8e69",1,2,"H3730501","82-64-90-90","2.MATOOKE","1",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,,0.5
"0103050b934841289df128242538e3ea",1,1,"H2451101","26-80-16-01","MAIZE","2",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,0,1
"0103050b934841289df128242538e3ea",2,1,"H2451101","26-80-16-01","MAIZE","2",1,"2",2,2,,,,,,,2,,,,,,2,,,,,,,,,1
"01152e19bbdd4744a712260121f34bf7",1,1,"H0120905","69-27-42-27",".","2",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,0,0.5
"0125c97b154d4f249c07f630cd52a102",1,1,"H3780601","26-94-84-05","MATOOKE, COFFEE AND BEANS PLOT","1",1,"1",2,1,140,2,,,,1,2,,,,,,2,,,,,,,,,0.25
"0130f7b8553e41139cc871d924491db2",1,1,"H1910701","90-64-42-92",".","1",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,0,2
"0130f7b8553e41139cc871d924491db2",3,1,"H1910701","90-64-42-92",".","1",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,,1
"0130f7b8553e41139cc871d924491db2",5,1,"H1910701","90-64-42-92",".","1",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,,0.4
"0130f7b8553e41139cc871d924491db2",4,1,"H1910701","90-64-42-92",".","1",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,,0.4
"014de44f6ef44053a6742d1db80fe516",1,1,"H1300901","29-56-41-39",".","1",1,"1",2,2,,,,,,,2,,,,,,2,,,,,,,,3,1
"014de44f6ef44053a6742d1db80fe516",2,3,"H1300901","29-56-41-39",".","1",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,,0.4
"014de44f6ef44053a6742d1db80fe516",3,1,"H1300901","29-56-41-39",".","1",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,8,1
"014de44f6ef44053a6742d1db80fe516",2,1,"H1300901","29-56-41-39",".","1",1,"1",2,2,,,,,,,2,,,,,,2,,,,,,,,21,1
"014de44f6ef44053a6742d1db80fe516",2,2,"H1300901","29-56-41-39",".","1",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,6,0.6
"01c14a909dd54c2088fe1b32e84ae2ec",1,1,"H0670802","34-97-38-28","COFFEE AND BANANA FOOD PLOT","1",2,,2,2,,,,,,,2,,,,,,1,4,2,1,1,1,16000,2,,0.5
"01c14a909dd54c2088fe1b32e84ae2ec",3,1,"H0670802","34-97-38-28","MAIZE AND BEANS PLOT","1",2,,2,2,,,,,,,1,4,250,1,250,6000,1,4,2,1,1,1,16000,2,0,1
"01c6b5639280472aa1dbfea2b7c10c24",1,1,"H2970601","62-85-68-81","BANANA FOOD/BANANA BEER","1",1,"1",2,2,,,,,,,2,,,,,,2,,,,,,,,,1.5
"01c6b5639280472aa1dbfea2b7c10c24",2,1,"H2970601","62-85-68-81","COFFEE","1",1,"1",2,2,,,,,,,2,,,,,,2,,,,,,,,,0.5
"01c6b5639280472aa1dbfea2b7c10c24",1,2,"H2970601","62-85-68-81","BEANS","1",1,"1",2,2,,,,,,,2,,,,,,2,,,,,,,,,0.3
"01dfba97dd29447f9a82aef0f59237de",0,1,"H1530901","76-20-54-99","Matooke plot","1",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,,0.5
"01fc2a6821064f528ca01e20dbea8db2",1,1,"H2090701","67-03-98-74","MALO","2",1,"2",2,2,,,,,,,2,,,,,,2,,,,,,,,,0.5
"01fc2a6821064f528ca01e20dbea8db2",2,2,"H2090701","67-03-98-74","PINY cassava simon","2",1,"5",2,2,,,,,,,2,,,,,,2,,,,,,,,3,0.5
"01fc2a6821064f528ca01e20dbea8db2",2,1,"H2090701","67-03-98-74","PINY cassava mego","2",1,"2",2,2,,,,,,,2,,,,,,2,,,,,,,,3,0.5
"020fd884bebf40b0a97f2156b8eda1b6",1,1,"H1400501","41-05-05-87","SORGHUM","1",1,"1",2,2,,,,,,,2,,,,,,2,,,,,,,,,2
"021babeee5f646108cbe9bb3b2a4c485",1,4,"H3770703","04-45-65-45","RICE","1",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,,0.2
"021babeee5f646108cbe9bb3b2a4c485",1,3,"H3770703","04-45-65-45","SWEET POTATOES","2",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,,0.13
"021babeee5f646108cbe9bb3b2a4c485",1,2,"H3770703","04-45-65-45","GROUNDNUTS","2",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,,0.12
"021babeee5f646108cbe9bb3b2a4c485",1,1,"H3770703","04-45-65-45","MAIZE AND BEANS","2",2,,1,2,,,,,,,2,,,,,,2,,,,,,,,,0.3
"02257a7aa9a94ca9b464e910e2bd642d",1,2,"H4250801","53-84-98-61","COFFEE","1",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,,0.25
"02257a7aa9a94ca9b464e910e2bd642d",0,1,"H4250801","53-84-98-61","BEANS MAIZE","1",1,"1",2,2,,,,,,,2,,,,,,2,,,,,,,,,0.5
"02257a7aa9a94ca9b464e910e2bd642d",1,1,"H4250801","53-84-98-61","MATOOKE","1",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,,0.25
"024a80a27283471e857285cf751564ae",1,1,"H3430401","68-97-24-12","coffee plot","1",1,"1",2,2,,,,,,,2,,,,,,2,,,,,,,,,0.6
"02617e359bfc48cbaa6ff204cb915790",1,1,"H0620801","05-60-52-12","MAIZE","1",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,0,1
"02a50a54fb3a4c9f989e246cb0c9200e",3,1,"H3850702","41-39-54-27","PLOT 1","1",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,,
"02a50a54fb3a4c9f989e246cb0c9200e",2,1,"H3850702","41-39-54-27","Plot A","1",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,,
"031fbb84e2af4d5e889ccc7492ecbf55",1,2,"H2620906","13-87-67-95","CASSAVA","1",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,,0.18
"031fbb84e2af4d5e889ccc7492ecbf55",1,1,"H2620906","13-87-67-95","MAIZE","1",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,,0.25
"03292ce0d7f24e42801500e576140648",0,1,"H0491306","81-48-72-54","Plot A maize","1",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,,0.5
"0349cc41571b406e889303445fe7e34c",1,2,"H1910601","84-58-78-04",".","1",1,"1",2,2,,,,,,,2,,,,,,2,,,,,,,,1,1
"0349cc41571b406e889303445fe7e34c",2,1,"H1910601","84-58-78-04",".","1",1,"1",2,2,,,,,,,2,,,,,,2,,,,,,,,2,2
"0349cc41571b406e889303445fe7e34c",1,1,"H1910601","84-58-78-04",".","1",1,"1",2,2,,,,,,,2,,,,,,2,,,,,,,,1,1
"0349cc41571b406e889303445fe7e34c",3,1,"H1910601","84-58-78-04",".","1",1,"1",2,2,,,,,,,2,,,,,,2,,,,,,,,2,0.9
"034e9ec479764a228fa3ebdd8d359cf0",1,6,"H0640501","28-39-74-39",".","1",1,"1",2,2,,,,,,,2,,,,,,2,,,,,,,,,0.25
"034e9ec479764a228fa3ebdd8d359cf0",1,3,"H0640501","28-39-74-39",".","1",1,"2",2,2,,,,,,,2,,,,,,2,,,,,,,,,0.4
"034e9ec479764a228fa3ebdd8d359cf0",1,5,"H0640501","28-39-74-39",".","7",1,"2",2,2,,,,,,,2,,,,,,2,,,,,,,,,0.4
"034e9ec479764a228fa3ebdd8d359cf0",1,4,"H0640501","28-39-74-39",".","1",1,"2",2,2,,,,,,,2,,,,,,2,,,,,,,,,0.2
"034e9ec479764a228fa3ebdd8d359cf0",1,2,"H0640501","28-39-74-39",".","1",1,"1",2,2,,,,,,,2,,,,,,2,,,,,,,,,0.5
"034e9ec479764a228fa3ebdd8d359cf0",1,1,"H0640501","28-39-74-39",".","1",1,"1",2,2,,,,,,,2,,,,,,2,,,,,,,,,0.86
"034f0004fa7a4a25b4aacdb196177f2b",1,4,"H1070601","39-67-74-38","POTATOES","2",,,2,2,,,,,,,2,,,,,,2,,,,,,,,,
"034f0004fa7a4a25b4aacdb196177f2b",1,3,"H1070601","39-67-74-38","MILLET","2",1,"2",2,2,,,,,,,2,,,,,,2,,,,,,,,,
"034f0004fa7a4a25b4aacdb196177f2b",1,1,"H1070601","39-67-74-38","GROUND NUTS","2",1,"2",2,2,,,,,,,2,,,,,,2,,,,,,,,,
"034f0004fa7a4a25b4aacdb196177f2b",1,2,"H1070601","39-67-74-38","BEANS","2",1,"2",2,2,,,,,,,2,,,,,,2,,,,,,,,,
"035c9f46cc9a41f9bacdbe9a5de03d8c",2,1,"H0660901","57-30-46-30",".","2",1,"2",2,2,,,,,,,1,4,50,1,50,120000,1,1,2,0.25,1,0.25,10000,2,,1
"035c9f46cc9a41f9bacdbe9a5de03d8c",3,1,"H0660901","57-30-46-30",".","2",2,,2,2,,,,,,,2,,,,,,1,1,2,1,1,1,35000,3,0,4
"035c9f46cc9a41f9bacdbe9a5de03d8c",1,1,"H0660901","57-30-46-30",".","2",2,,2,2,,,,,,,1,4,150,1,150,360000,2,,,,,,,,,1.45
"0367b97ab6cb487095e018a1ffdf17a9",1,2,"H1440801","38-36-53-02",".","1",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,,0.3
"0367b97ab6cb487095e018a1ffdf17a9",2,1,"H1440801","38-36-53-02",".","1",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,,0.5
"0367b97ab6cb487095e018a1ffdf17a9",1,1,"H1440801","38-36-53-02",".","1",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,,0.3
"038bf67186f048d1966a17475bedd578",2,2,"H3171001","87-05-36-36","Groundnuts","2",1,"2",2,2,,,,,,,2,,,,,,2,,,,,,,,,0.25
"038bf67186f048d1966a17475bedd578",2,3,"H3171001","87-05-36-36","Sorghum","2",1,"2",2,2,,,,,,,2,,,,,,2,,,,,,,,,0.3
"038bf67186f048d1966a17475bedd578",1,3,"H3171001","87-05-36-36","Ground nut","2",1,"2",2,2,,,,,,,2,,,,,,2,,,,,,,,,0.3
"038bf67186f048d1966a17475bedd578",2,1,"H3171001","87-05-36-36","Coffee","2",1,"2",2,2,,,,,,,2,,,,,,2,,,,,,,,,0.25
"038bf67186f048d1966a17475bedd578",1,2,"H3171001","87-05-36-36","Beans","2",1,"2",2,2,,,,,,,2,,,,,,2,,,,,,,,1,0.25
"03c42091117d479097bf8be7a9dfebb1",0,3,"H3860601","88-07-20-35","CASSAVA 2018","4",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,0,0.5
"03c42091117d479097bf8be7a9dfebb1",4,1,"H3860601","88-07-20-35","TOBACCO","4",1,"4",2,2,,,,,,,1,2,25,2,,,1,1,2,1,2,,,,5,0.25
"03c42091117d479097bf8be7a9dfebb1",1,1,"H3860601","88-07-20-35","CASSAVA","4",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,,0.16
"03c42091117d479097bf8be7a9dfebb1",3,1,"H3860601","88-07-20-35","TOBACCO","4",1,"4",2,2,,,,,,,1,2,50,2,,,1,1,2,2,2,,,,3,0.37
"03c42091117d479097bf8be7a9dfebb1",0,2,"H3860601","88-07-20-35","CASSAVA MAY","4",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,,0.25
"03c42091117d479097bf8be7a9dfebb1",0,1,"H3860601","88-07-20-35","CASSAVA APRIL","4",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,,0.33
"03c42091117d479097bf8be7a9dfebb1",1,2,"H3860601","88-07-20-35","MAIZE","4",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,0,0.09
"03d4f5f6631747878b76ad399fb2b80c",1,1,"H3220901","01-48-23-62","BEANS","2",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,,0.5
"03d4f5f6631747878b76ad399fb2b80c",2,1,"H3220901","01-48-23-62","MATOOKE","2",1,"2",1,1,200,2,,,,2,2,,,,,,2,,,,,,,,,0.35
"03d4f5f6631747878b76ad399fb2b80c",1,2,"H3220901","01-48-23-62","SWEET POTATOES","2",1,"2",2,2,,,,,,,2,,,,,,2,,,,,,,,,0.15
"03d4f5f6631747878b76ad399fb2b80c",2,2,"H3220901","01-48-23-62","IRISH POTATOES","2",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,,0
"03dcda394fdc4008868fe663e6f762c8",1,1,"H3430601","30-03-61-37",".","2",1,"2",2,2,,,,,,,2,,,,,,2,,,,,,,,,0.5
"03dcda394fdc4008868fe663e6f762c8",2,2,"H3430601","30-03-61-37",".","2",1,"2",2,2,,,,,,,2,,,,,,2,,,,,,,,,0.25
"03dcda394fdc4008868fe663e6f762c8",2,1,"H3430601","30-03-61-37",".","2",1,"2",2,2,,,,,,,2,,,,,,2,,,,,,,,,1
"03dcda394fdc4008868fe663e6f762c8",1,2,"H3430601","30-03-61-37",".","2",2,,2,2,,,,,,,2,,,,,,2,,,,,,,,,0.25
"03f862af923942ad9f37fa65f52a8f3d",2,1,"H3880301","94-11-03-26","CASSAVA","1",1,"1",2,2,,,,,,,2,,,,,,2,,,,,,,,,0.7
"03f862af923942ad9f37fa65f52a8f3d",1,1,"H3880301","94-11-03-26","COFFEE","1",1,"1",2,2,,,,,,,2,,,,,,2,,,,,,,,,0.25
"03f862af923942ad9f37fa65f52a8f3d",5,1,"H3880301","94-11-03-26","GNUTS,MAIZE","1",1,"1",2,2,,,,,,,2,,,,,,2,,,,,,,,,0.5
"03f862af923942ad9f37fa65f52a8f3d",3,1,"H3880301","94-11-03-26","CASSAVA","1",1,"1",2,2,,,,,,,2,,,,,,2,,,,,,,,,0.5
"03f862af923942ad9f37fa65f52a8f3d",4,1,"H3880301","94-11-03-26","CASSAVA","1",1,"1",2,2,,,,,,,2,,,,,,2,,,,,,,,,0.75
"04077875a3894775bb24f2f42e7adc67",0,1,"H2540901","34-10-35-48","MATOOKE","1",1,"1",2,2,,,,,,,2,,,,,,2,,,,,,,,,2
"040ecbcfb343431bb6645772dd87c2bb",1,1,"H1640904","38-80-66-85",".","2",2,,1,2,,,,,,,2,,,,,,1,1,2,1,1,1,5000,2,3,0.75
"0418981cf19046bd930dbbfe8af3c1c4",1,2,"H0590101","24-87-96-19","PLOT 2-MAIZE","2",1,"2",2,2,,,,,,,2,,,,,,2,,,,,,,,,1
"0418981cf19046bd930dbbfe8af3c1c4",1,1,"H0590101","24-87-96-19","PLOT 1-BEANS","2",1,"2",2,2,,,,,,,2,,,,,,2,,,,,,,,,1.5
