"hhid","parcelID","pltid","t0_hhid","cropID","interview__key","s4aq06_1","s4aq08","s4aq09","s4aq09_1","s4aq09_2","s4aq16","s4aq11a","s4aq11b","s4aq12a","s4aq12b","s4aq13","s4aq14","s4aq10","s4aq15","s4aq07"
"004e93d7552248ed95d8bc3ec21bdbdb",1,1,"H1650506",630,"84-75-55-16","1",1,,7,2017,1,1,10,,,1,,2,,0.35
"00858c2384184dc3bfc800550a6c8cb5",1,1,"H1830701",630,"36-92-38-74","2",1,,4,2017,1,3,10,,,1,,1,18000,1.5
"00858c2384184dc3bfc800550a6c8cb5",1,2,"H1830701",223,"36-92-38-74","2",1,,4,2017,1,5,1,,,1,,1,5000,2
"00858c2384184dc3bfc800550a6c8cb5",3,1,"H1830701",150,"36-92-38-74","2",1,,9,2017,1,8,1,,,1,,2,,1.5
"00858c2384184dc3bfc800550a6c8cb5",3,2,"H1830701",130,"36-92-38-74","2",1,,9,2017,1,5,1,,,1,,1,3000,0.7
"008ffc050d4e47c7920e9c7c2e35887a",5,1,"H3990301",630,"34-94-77-09","1",1,,3,2016,2,,,,,,,,,1
"00a09aedb8c049aa8364d377c26c5f81",1,1,"H3950701",141,"75-12-07-76","1",1,,8,2017,1,8,96,,,1,,2,,1
"00a09aedb8c049aa8364d377c26c5f81",1,2,"H3950701",130,"75-12-07-76","1",1,,8,2017,1,15,96,,,1,,2,,0.5
"00a09aedb8c049aa8364d377c26c5f81",3,1,"H3950701",330,"75-12-07-76","1",1,,8,2017,1,2,1,,,2,1,1,35000,1.5
"00a68f13f97141199e9fda8aacbccc8d",0,1,"H0491302",610,"49-05-74-03","1",1,,9,2017,1,2,22,,,1,,2,,0.25
"00a68f13f97141199e9fda8aacbccc8d",0,2,"H0491302",210,"49-05-74-03","1",1,,9,2017,1,3,1,,,1,,2,,0.25
"00a68f13f97141199e9fda8aacbccc8d",1,1,"H0491302",741,"49-05-74-03","1",2,80,1,9998,2,,,,,,,,,0.25
"00a68f13f97141199e9fda8aacbccc8d",1,1,"H0491302",130,"49-05-74-03","1",2,20,9,2017,1,0.5,1,5,1,1,,2,,0.25
"00a68f13f97141199e9fda8aacbccc8d",1,2,"H0491302",210,"49-05-74-03","1",1,,9,2017,1,2,1,,,1,,2,,0.15
"00bbd034f88649bc980b091d4a5af645",1,1,"H3520701",810,"11-81-90-47","1",2,80,1,9998,2,,,,,,,,,0.5
"00bbd034f88649bc980b091d4a5af645",1,1,"H3520701",630,"11-81-90-47","1",2,20,9,2017,2,,,,,,,,,0.5
"00bbd034f88649bc980b091d4a5af645",1,2,"H3520701",741,"11-81-90-47","1",2,90,1,9998,2,,,,,,,,,0.5
"00bbd034f88649bc980b091d4a5af645",1,2,"H3520701",810,"11-81-90-47","1",2,10,1,9998,2,,,,,,,,,0.5
"00bbd034f88649bc980b091d4a5af645",1,3,"H3520701",130,"11-81-90-47","1",2,50,9,2017,1,2,1,4,1,1,,2,,0.25
"00bbd034f88649bc980b091d4a5af645",1,3,"H3520701",210,"11-81-90-47","1",2,50,10,2017,1,8,1,8,1,1,,2,,0.25
"00bbd034f88649bc980b091d4a5af645",1,4,"H3520701",620,"11-81-90-47","1",1,,8,2017,2,,,,,,,,,0.25
"00c9353d8ebe42faabf5919b81d7fae7",1,0,"H3691002",630,"81-81-85-20","4",2,40,5,2016,2,,,,,,,,,1
"00c9353d8ebe42faabf5919b81d7fae7",1,0,"H3691002",130,"81-81-85-20","4",2,60,8,2017,1,4,1,10,1,1,,2,,1
"00c9353d8ebe42faabf5919b81d7fae7",2,1,"H3691002",210,"81-81-85-20","4",1,,8,2017,1,5,1,,,1,,2,,0.25
"00c9353d8ebe42faabf5919b81d7fae7",2,2,"H3691002",320,"81-81-85-20","4",2,40,8,2017,1,5,1,8,1,1,,2,,0.75
"00c9353d8ebe42faabf5919b81d7fae7",2,2,"H3691002",130,"81-81-85-20","4",2,60,7,2017,1,4,1,6,1,1,,2,,0.75
"00db391b5a9a4ef0954f50f148069c46",1,1,"H1090502",630,"68-96-48-36","2",1,,3,2017,1,1,9,,,1,,2,,0.3
"00db391b5a9a4ef0954f50f148069c46",1,2,"H1090502",620,"68-96-48-36","2",1,,4,2017,1,1,10,,,1,,2,,0.2
"00db391b5a9a4ef0954f50f148069c46",2,1,"H1090502",320,"68-96-48-36","2",2,30,4,2017,1,6,1,14,1,1,,2,,1
"00db391b5a9a4ef0954f50f148069c46",2,1,"H1090502",130,"68-96-48-36","2",2,70,4,2017,1,10,1,10,1,1,,2,,1
"00e23121bad94719bff27f93646437b3",1,1,"H2370701",440,"09-18-87-82","1",1,,7,2017,1,1,22,,,1,,1,14000,0.07
"00e23121bad94719bff27f93646437b3",1,2,"H2370701",130,"09-18-87-82","1",1,,7,2017,1,1,1,,,2,3,1,3000,0.06
"00e23121bad94719bff27f93646437b3",2,1,"H2370701",630,"09-18-87-82","1",1,,8,2017,1,3,10,,,1,,2,,1
"00e23121bad94719bff27f93646437b3",3,1,"H2370701",630,"09-18-87-82","1",1,,5,2016,2,,,,,,,,,0.5
"00f1eb71d428408f888b058a8e8664fe",1,1,"H0531001",741,"67-00-40-20","2",1,,1,2013,2,,,,,,,,,1.08
"00f1eb71d428408f888b058a8e8664fe",1,2,"H0531001",310,"67-00-40-20","2",1,,8,2017,1,6,1,,,1,,2,,0.34
"00f1eb71d428408f888b058a8e8664fe",1,3,"H0531001",210,"67-00-40-20","2",2,40,9,2017,1,15,1,25,1,1,,2,,0.82
"00f1eb71d428408f888b058a8e8664fe",1,3,"H0531001",130,"67-00-40-20","2",2,30,9,2017,1,5,1,10,1,1,,2,,0.82
"00f1eb71d428408f888b058a8e8664fe",1,3,"H0531001",630,"67-00-40-20","2",2,40,8,2016,2,,,,,,,,,0.82
"00f1eb71d428408f888b058a8e8664fe",1,4,"H0531001",810,"67-00-40-20","2",1,,1,9998,2,,,,,,,,,5.9
"0125c97b154d4f249c07f630cd52a102",1,1,"H3780601",741,"26-94-84-05","1",2,30,3,2017,2,,,,,,,,,0.25
"0125c97b154d4f249c07f630cd52a102",1,1,"H3780601",210,"26-94-84-05","1",2,40,8,2017,1,5,1,20,1,1,,1,10000,0.25
"0125c97b154d4f249c07f630cd52a102",1,1,"H3780601",810,"26-94-84-05","1",2,30,4,1980,2,,,,,,,,,0.25
"01483c3751964ad2842b6e4a8b6edcdd",1,1,"H2780101",810,"08-93-76-98","2",1,,9,1994,2,,,,,,,,,1
"01483c3751964ad2842b6e4a8b6edcdd",1,2,"H2780101",630,"08-93-76-98","2",2,30,10,2017,1,5,66,40,66,1,,2,,0.6
"01483c3751964ad2842b6e4a8b6edcdd",1,2,"H2780101",210,"08-93-76-98","2",2,10,8,2017,1,6,31,10,31,1,,1,6000,0.6
"01483c3751964ad2842b6e4a8b6edcdd",1,2,"H2780101",810,"08-93-76-98","2",2,40,1,2015,1,100,85,200,85,1,,2,,0.6
"01483c3751964ad2842b6e4a8b6edcdd",1,2,"H2780101",741,"08-93-76-98","2",2,20,1,1994,2,,,,,,,,,0.6
"01483c3751964ad2842b6e4a8b6edcdd",1,2,"H2780101",811,,,,,,,,,,,,,,,,0.6
"01483c3751964ad2842b6e4a8b6edcdd",2,1,"H2780101",610,"08-93-76-98","2",1,,8,2017,1,3,22,,,1,,2,,0.25
"01483c3751964ad2842b6e4a8b6edcdd",2,2,"H2780101",630,"08-93-76-98","2",2,50,8,2017,1,1,10,3,10,1,,2,,0.75
"01483c3751964ad2842b6e4a8b6edcdd",2,2,"H2780101",130,"08-93-76-98","2",2,30,8,2017,1,1,31,10,31,1,,2,,0.75
"01483c3751964ad2842b6e4a8b6edcdd",2,2,"H2780101",210,"08-93-76-98","2",2,20,8,2017,1,8,31,50,31,1,,1,8800,0.75
"01c14a909dd54c2088fe1b32e84ae2ec",1,1,"H0670802",810,"34-97-38-28","1",2,60,1,2009,2,,,,,,,,,0.25
