"hhid","t0_hhid","parcelID","pltid","cropID","interview__key","s4bq06_1","s4bq08","s4bq09","s4bq09_1","s4bq09_2","s4bq16","s4bq11a","s4bq11b","s4bq12a","s4bq12b","s4bq13","s4bq14","s4bq10","s4bq15","s4bq07"
"0071da69d26d4b29a8f9d29d458e68cf","H1810303",1,2,223,"59-74-52-26","2",1,100,3,2018,1,0.5,1,,,1,,2,,0.25
"0071da69d26d4b29a8f9d29d458e68cf","H1810303",1,3,320,"59-74-52-26","2",1,100,4,2018,1,5,1,,,1,,2,,0.35
"008071c371724fe49a5bb047472df87f","H1400702",2,1,150,"17-53-77-76","1",1,100,3,2018,1,2,29,,,1,,2,,0.62
"00854d05d4f044c985ffce60c1b514c2","H2790801",1,1,210,"27-88-02-78","6",1,,3,2018,1,25,1,58,1,1,,2,,1.5
"00854d05d4f044c985ffce60c1b514c2","H2790801",1,2,620,"27-88-02-78","2",1,100,3,2018,1,18,66,,,,,2,,0.5
"00854d05d4f044c985ffce60c1b514c2","H2790801",1,3,741,"27-88-02-78","2",2,40,10,9998,2,,,,,,,,,1.5
"00854d05d4f044c985ffce60c1b514c2","H2790801",1,3,810,"27-88-02-78","3",2,60,6,9998,2,,,,,,,,,1.5
"00854d05d4f044c985ffce60c1b514c2","H2790801",2,1,130,"27-88-02-78","2",2,30,3,2018,1,30,1,50,1,1,,2,,2
"00854d05d4f044c985ffce60c1b514c2","H2790801",2,1,210,"27-88-02-78","2",2,70,3,2018,1,80,1,80,1,1,,1,160000,2
"008ffc050d4e47c7920e9c7c2e35887a","H3990301",5,1,330,"34-94-77-09","1",1,100,5,2018,1,1,1,,,2,1,1,35000,1
"008ffc050d4e47c7920e9c7c2e35887a","H3990301",5,2,130,"34-94-77-09","1",1,100,4,2018,1,5,1,,,1,,2,,1
"008ffc050d4e47c7920e9c7c2e35887a","H3990301",5,3,150,"34-94-77-09","1",1,100,5,2018,1,3,1,,,1,,2,,1.5
"008ffc050d4e47c7920e9c7c2e35887a","H3990301",5,4,210,"34-94-77-09","1",1,100,6,2018,1,16,1,,,1,,2,,0.5
"008ffc050d4e47c7920e9c7c2e35887a","H3990301",5,5,630,"34-94-77-09","1",1,100,3,2016,2,,,,,,,,,0.5
"00a09aedb8c049aa8364d377c26c5f81","H3950701",1,1,330,"75-12-07-76","1",1,100,4,2018,1,3,1,,,2,1,1,150000,1
"00a09aedb8c049aa8364d377c26c5f81","H3950701",1,2,130,"75-12-07-76","1",1,,4,2018,1,10,96,10,99,1,,2,,0.5
"00a09aedb8c049aa8364d377c26c5f81","H3950701",2,1,620,"75-12-07-76","1",1,100,4,2018,1,4,10,,,1,,2,,0.3
"00a09aedb8c049aa8364d377c26c5f81","H3950701",3,1,130,"75-12-07-76","1",1,100,3,2018,1,10,96,,,1,,2,,1
"00a68f13f97141199e9fda8aacbccc8d","H0491302",0,1,610,"49-05-74-03","1",1,100,3,2018,1,6,22,,,1,,2,,0.25
"00a68f13f97141199e9fda8aacbccc8d","H0491302",0,2,210,"49-05-74-03","1",1,100,3,2018,1,8,1,,,1,,2,,0.25
"00a68f13f97141199e9fda8aacbccc8d","H0491302",1,1,741,"49-05-74-03","1",1,100,1,9998,2,,,,,,,,,0.25
"00bbd034f88649bc980b091d4a5af645","H3520701",1,1,810,"11-81-90-47","1",1,100,1,9998,2,,,,,,,,,0.5
"00bbd034f88649bc980b091d4a5af645","H3520701",1,2,741,"11-81-90-47","1",2,80,1,9998,2,,,,,,,,,0.5
"00bbd034f88649bc980b091d4a5af645","H3520701",1,2,810,"11-81-90-47","1",2,20,1,9998,2,,,,,,,,,0.5
"00bbd034f88649bc980b091d4a5af645","H3520701",1,3,130,"11-81-90-47","1",2,50,2,2018,1,2,1,3,1,1,,2,,0.5
"00bbd034f88649bc980b091d4a5af645","H3520701",1,3,210,"11-81-90-47","1",2,50,2,2018,1,10,1,12,1,1,,2,,0.5
"00db391b5a9a4ef0954f50f148069c46","H1090502",1,1,620,"68-96-48-36","1",1,,5,2018,1,2,10,2.5,10,1,,2,,0.5
"00db391b5a9a4ef0954f50f148069c46","H1090502",1,2,130,"68-96-48-36","1",1,100,1,2018,1,3,1,,,1,,2,,0.5
