"hhid","parcelID","pltid","t0_hhid","interview__key","cropID","s5aq05_1","s5aq05_2","harvest","s5aq06a_1","a5aq6b","a5aq6d","s5aq22_1","s5aq06e_1","s5aq06e_1_1","s5aq06f_1","s5aq06f_1_1","s5aq06a_1_1","s5aq06a_2_1","s5aq06a3","s5aq06a4","s5aq07a_1","s5aq07b_1","s5aq07c_1","s5aq08_1","s5aq09_1","s5aq10_1","s5aq11e_1","s5aq11f_1","s5aq11g","s5aq11h","s5aq12_1","a5aq6c"
"00858c2384184dc3bfc800550a6c8cb5",1,1,"H1830701","36-92-38-74",630,"2",2,2,3,20,120,,12,2017,3,2018,2,,1,2,0,,,,,,,,,,0.2,20
"00858c2384184dc3bfc800550a6c8cb5",1,2,"H1830701","36-92-38-74",223,"2",2,1,40,45,1,,12,2017,12,2017,2,,1,2,0,,,,,,,,,,5,45
"00858c2384184dc3bfc800550a6c8cb5",3,1,"H1830701","36-92-38-74",150,"2",2,1,240,45,1,,12,2017,12,2017,2,,1,2,120,45,1,60000,2,,2,,1,2,8,45
"00858c2384184dc3bfc800550a6c8cb5",3,2,"H1830701","36-92-38-74",130,"2",2,1,130,45,1,,12,2017,12,2017,2,,1,2,0,,,,,,,,,,60,45
"008ffc050d4e47c7920e9c7c2e35887a",5,1,"H3990301","34-94-77-09",630,"1",2,2,4,20,90,,7,2017,12,2017,2,,1,2,0,,,,,,,,,,0.5,20
"00a09aedb8c049aa8364d377c26c5f81",1,1,"H3950701","75-12-07-76",141,"1",2,1,210,45,1,,11,2017,11,2017,2,,1,2,0,,,,,,,,,,5,45
"00a09aedb8c049aa8364d377c26c5f81",1,2,"H3950701","75-12-07-76",130,"1",2,1,960,45,1,,11,2017,11,2017,2,,1,2,840,45,1,504000,2,,2,,1,2,0,45
"00a09aedb8c049aa8364d377c26c5f81",3,1,"H3950701","75-12-07-76",330,"1",2,1,279,42,1,,11,2017,11,2017,2,,1,2,279,35,1,279000,2,,2,,1,2,0,42
"00a68f13f97141199e9fda8aacbccc8d",0,1,"H0491302","49-05-74-03",610,"1",2,1,4,20,18,,12,2017,12,2017,2,,1,4,0,,,,,,,,,,0,20
"00a68f13f97141199e9fda8aacbccc8d",0,2,"H0491302","49-05-74-03",210,"1",2,1,2,45,20,,12,2017,12,2017,2,,1,4,1.5,45,20,30000,2,,2,,1,4,0,45
"00a68f13f97141199e9fda8aacbccc8d",1,1,"H0491302","49-05-74-03",130,"1",2,1,2,23,7,,11,2017,1,2018,2,,1,4,0,,,,,,,,,,0,23
"00a68f13f97141199e9fda8aacbccc8d",1,1,"H0491302","49-05-74-03",741,"1",2,1,20,20,8,,6,2017,12,2017,2,,1,4,0,,,,,,,,,,0,20
"00a68f13f97141199e9fda8aacbccc8d",1,2,"H0491302","49-05-74-03",210,"1",2,1,1,45,20,,12,2017,12,2017,2,,1,4,0,,,,,,,,,,0,45
"00bbd034f88649bc980b091d4a5af645",1,1,"H3520701","11-81-90-47",630,"1",2,1,2,20,140,,2,2018,4,2018,1,"1",,,0,,,,,,,,,,1,20
"00bbd034f88649bc980b091d4a5af645",1,1,"H3520701","11-81-90-47",810,"1",2,1,75,45,1,,10,2017,12,2017,1,"1",,,75,45,,187500,2,0,1,"1",,,0,24
"00bbd034f88649bc980b091d4a5af645",1,2,"H3520701","11-81-90-47",741,"1",2,1,69,20,9,,7,2017,12,2017,1,"1",,,0,,,,,,,,,,19,20
"00bbd034f88649bc980b091d4a5af645",1,3,"H3520701","11-81-90-47",130,"1",2,1,1,45,100,,2,2018,2,2018,1,"1",,,0,,,,,,,,,,0.5,22
"00bbd034f88649bc980b091d4a5af645",1,3,"H3520701","11-81-90-47",210,"1",2,1,50,45,1,,12,2017,12,2017,1,"1",,,0,,,,,,,,,,20,21
"00bbd034f88649bc980b091d4a5af645",1,4,"H3520701","11-81-90-47",620,"1",2,1,5,20,130,,12,2017,4,2018,1,"1",,,0,,,,,,,,,,3,20
"00c9353d8ebe42faabf5919b81d7fae7",1,0,"H3691002","81-81-85-20",130,"4",2,1,2,35,100,,12,2017,12,2017,1,"4",,,0,,,,,,,,,,0,23
"00c9353d8ebe42faabf5919b81d7fae7",1,0,"H3691002","81-81-85-20",630,"4",2,1,3,20,100,,7,2017,12,2017,1,"4",,,0,,,,,,,,,,0,20
"00c9353d8ebe42faabf5919b81d7fae7",2,1,"H3691002","81-81-85-20",210,"4",2,1,1,35,15,,11,2017,11,2017,2,,4,,0,,,,,,,,,,0,24
"00c9353d8ebe42faabf5919b81d7fae7",2,2,"H3691002","81-81-85-20",130,"4",2,1,2,35,100,,12,2017,12,2017,1,"4",,,2,45,10,80000,2,,1,"4",,,0,35
"00c9353d8ebe42faabf5919b81d7fae7",2,2,"H3691002","81-81-85-20",320,"4",2,1,2,35,15,,12,2017,12,2017,1,"4",,,1,35,22,15000,2,,1,"4",,,0,35
"00db391b5a9a4ef0954f50f148069c46",1,1,"H1090502","68-96-48-36",630,"2",2,1,2,20,100,,9,2017,11,2017,1,"2",,,0,,,,,,,,,,0.5,20
"00db391b5a9a4ef0954f50f148069c46",1,2,"H1090502","68-96-48-36",620,"2",2,1,2,20,100,,7,2017,9,2017,2,,1,2,0,,,,,,,,,,0.5,20
"00db391b5a9a4ef0954f50f148069c46",2,1,"H1090502","68-96-48-36",130,"2",2,1,2,13,15,,7,2017,7,2017,1,"1",,,0,,,,,0,,,,,0,13
"00db391b5a9a4ef0954f50f148069c46",2,1,"H1090502","68-96-48-36",320,"2",2,1,150,45,1,,8,2017,8,2017,2,,1,2,130,45,1,260000,2,,2,,1,2,0,45
"00e23121bad94719bff27f93646437b3",1,1,"H2370701","09-18-87-82",440,"1",2,1,3.5,20,18,,9,2017,9,2017,1,"1",,,2,20,22,54000,2,,1,"1",,,0.25,20
"00e23121bad94719bff27f93646437b3",1,2,"H2370701","09-18-87-82",130,"1",2,1,10,40,1,,11,2017,12,2017,2,,1,2,0,,,,,,,,,,2,40
"00e23121bad94719bff27f93646437b3",3,1,"H2370701","09-18-87-82",630,"1",2,2,10,40,18,,1,2018,5,2018,2,,1,2,4,40,22,48000,4,,2,,1,2,0.5,40
"00f1eb71d428408f888b058a8e8664fe",1,1,"H0531001","67-00-40-20",741,"2",2,1,76,20,20,,7,2017,12,2017,1,"2",,,20,20,68,300000,2,,2,,1,2,4,20
"00f1eb71d428408f888b058a8e8664fe",1,2,"H0531001","67-00-40-20",310,"2",2,1,60,45,1,,12,2017,12,2017,1,"2",,,0,,,,,,,,,,5,45
"00f1eb71d428408f888b058a8e8664fe",1,3,"H0531001","67-00-40-20",630,"2",2,2,6,20,140,,12,2017,5,2018,2,,1,2,5,20,9,250000,6,,2,,1,2,0,20
"00f1eb71d428408f888b058a8e8664fe",1,3,"H0531001","67-00-40-20",130,"2",2,1,1,13,60,,11,2017,11,2017,1,"1",,,0,,,,,0,,,,,0,13
"00f1eb71d428408f888b058a8e8664fe",1,3,"H0531001","67-00-40-20",210,"2",2,1,15,20,1,,11,2017,11,2017,1,"1",,,0,,,,,0,,,,,0,20
"00f1eb71d428408f888b058a8e8664fe",1,4,"H0531001","67-00-40-20",810,"2",2,1,8,44,75,,7,2017,12,2017,1,"1",,,8,44,,1200000,2,,1,"1",,,0,44
"0125c97b154d4f249c07f630cd52a102",1,1,"H3780601","26-94-84-05",811,"1",2,1,100,24,1,,10,2017,11,2017,1,"1",,,100,24,1,100000,2,,1,"1",,,0,24
"01483c3751964ad2842b6e4a8b6edcdd",1,1,"H2780101","08-93-76-98",811,"2",2,1,50,45,1,,8,2017,9,2017,2,,1,2,50,45,1,250000,2,,2,,1,2,0,45
"01483c3751964ad2842b6e4a8b6edcdd",1,2,"H2780101","08-93-76-98",741,"2",2,1,18,20,12,,7,2017,12,2017,2,,1,2,12,20,68,120000,2,,1,"2",,,0,20
"01483c3751964ad2842b6e4a8b6edcdd",1,2,"H2780101","08-93-76-98",210,"2",2,1,2,24,15,,10,2017,11,2017,2,,1,2,0,,,,,,,,,,0,24
"01483c3751964ad2842b6e4a8b6edcdd",2,1,"H2780101","08-93-76-98",610,"2",2,1,6,20,15,,11,2017,12,2017,2,,1,2,0,,,,,,,,,,0,20
"01483c3751964ad2842b6e4a8b6edcdd",2,2,"H2780101","08-93-76-98",210,"2",2,1,3,24,15,,11,2017,11,2017,2,,1,2,0,,,,,,,,,,0,24
"01483c3751964ad2842b6e4a8b6edcdd",2,2,"H2780101","08-93-76-98",130,"2",2,1,1,23,20,,11,2017,12,2017,2,,1,2,0,,,,,,,,,,0,23
"01c14a909dd54c2088fe1b32e84ae2ec",1,1,"H0670802","34-97-38-28",741,"1",2,1,14,20,8,,7,2017,12,2017,2,,1,2,0,,,,,,,,,,0,20
"01c14a909dd54c2088fe1b32e84ae2ec",1,1,"H0670802","34-97-38-28",812,"1",2,1,70,44,1,,11,2017,12,2017,2,,1,2,70,44,1,161000,2,,2,,1,2,0,44
"01c14a909dd54c2088fe1b32e84ae2ec",1,2,"H0670802","34-97-38-28",130,"1",2,1,1,12,40,,11,2017,12,2017,2,,1,2,0,,,,,0,,,,,0,12
"01c14a909dd54c2088fe1b32e84ae2ec",1,2,"H0670802","34-97-38-28",210,"1",2,1,3,24,8,,11,2017,11,2017,2,,1,2,0,,,,,0,,,,,0,24
"01c14a909dd54c2088fe1b32e84ae2ec",3,1,"H0670802","34-97-38-28",130,"1",2,1,14,45,120,,1,2018,1,2018,2,,1,2,13,45,10,780000,2,,2,,1,2,0,45
"01c6b5639280472aa1dbfea2b7c10c24",1,0,"H2970601","62-85-68-81",741,"1",2,1,140,20,10,,7,2017,12,2017,1,"1",,,40,20,68,300000,3,,1,"1",,,0,20
"01c6b5639280472aa1dbfea2b7c10c24",1,0,"H2970601","62-85-68-81",742,"1",2,1,12,20,8,,7,2017,12,2017,1,"1",,,12,20,68,36000,3,,1,"1",,,0,20
"01c6b5639280472aa1dbfea2b7c10c24",1,1,"H2970601","62-85-68-81",210,"1",2,1,2,24,10,,11,2017,12,2017,1,"1",,,0,,,,,0,,,,,0,24
"01c6b5639280472aa1dbfea2b7c10c24",2,1,"H2970601","62-85-68-81",811,"1",2,1,4,44,60,,9,2017,11,2017,1,"1",,,4,44,10,640000,3,,1,"1",,,0,44
"01dfba97dd29447f9a82aef0f59237de",0,1,"H1530901","76-20-54-99",741,"1",2,1,25,20,14,,7,2017,12,2017,2,,1,6,20,20,68,140000,2,,2,,1,6,0,20
"01dfba97dd29447f9a82aef0f59237de",0,1,"H1530901","76-20-54-99",811,"1",2,1,200,24,1,,9,2017,11,2017,2,,1,6,200,24,1,500000,2,,2,,1,,0,24
"01dfba97dd29447f9a82aef0f59237de",0,2,"H1530901","76-20-54-99",811,"1",2,1,40,24,1,,9,2017,10,2017,2,,1,6,40,24,1,48000,2,,2,,1,6,0,24
"01dfba97dd29447f9a82aef0f59237de",0,2,"H1530901","76-20-54-99",741,"1",2,1,30,20,14,,7,2017,12,2017,2,,1,6,15,20,68,90000,2,,2,,1,6,0,20
"01dfba97dd29447f9a82aef0f59237de",0,2,"H1530901","76-20-54-99",210,"1",2,1,60,45,1,,9,2017,10,2017,2,,1,6,40,45,1,48000,2,,2,,1,6,0,45
"020fd884bebf40b0a97f2156b8eda1b6",1,1,"H1400501","41-05-05-87",150,"1",2,1,0.5,45,60,,9,2017,9,2017,1,"1",,,0,,,,,,,,,,0,45
"021babeee5f646108cbe9bb3b2a4c485",1,1,"H3770703","04-45-65-45",310,"2",2,1,2,42,5,,11,2017,11,2017,2,,1,2,0,,,,,,,,,,0,42
"021babeee5f646108cbe9bb3b2a4c485",1,2,"H3770703","04-45-65-45",130,"2",2,1,2,12,10,,11,2017,11,2017,2,,1,2,0,,,,,,,,,,0,12
"021babeee5f646108cbe9bb3b2a4c485",1,3,"H3770703","04-45-65-45",620,"2",2,1,1,20,100,,9,2017,12,2017,2,,1,2,0,,,,,,,,,,0,20
"02257a7aa9a94ca9b464e910e2bd642d",0,1,"H4250801","53-84-98-61",210,"7",2,1,4,24,15,,10,2017,10,2017,2,,1,7,0,,,,,,,,,,1,24
"02257a7aa9a94ca9b464e910e2bd642d",0,2,"H4250801","53-84-98-61",310,"7",2,1,90,42,1,,11,2017,11,2017,2,,1,7,45,42,1,80000,4,,2,,1,7,0,42
"02257a7aa9a94ca9b464e910e2bd642d",1,1,"H4250801","53-84-98-61",741,"7",2,1,30,20,25,,9,2017,12,2017,2,,1,7,4,20,68,32000,5,,2,,1,7,2,20
"02257a7aa9a94ca9b464e910e2bd642d",1,2,"H4250801","53-84-98-61",812,"7",2,1,14,24,15,,9,2017,12,2017,2,,1,7,14,24,22,210000,4,,2,,1,7,0,24
"024a80a27283471e857285cf751564ae",1,1,"H3430401","68-97-24-12",812,"1",2,1,2,44,30,,4,2018,6,2018,1,"1",,,2,45,12,60000,2,,1,"1",,,0,44
"024a80a27283471e857285cf751564ae",1,1,"H3430401","68-97-24-12",210,"1",2,1,6,24,1,,10,2017,11,2017,1,"1",,,0,,,,,0,,,,,0,24
"024a80a27283471e857285cf751564ae",1,1,"H3430401","68-97-24-12",741,"1",2,1,5,20,5,,3,2017,6,2017,1,"1",,,0,,,,,,,,,,0,20
"024a80a27283471e857285cf751564ae",1,2,"H3430401","68-97-24-12",310,"1",2,1,1,44,60,,12,2017,12,2017,1,"1",,,0,,,,,,,,,,0,44
"02617e359bfc48cbaa6ff204cb915790",1,0,"H0620801","05-60-52-12",130,"2",2,1,4,43,100,,12,2017,12,2017,2,,1,2,4,45,10,200000,2,,2,,1,2,0,43
"02a50a54fb3a4c9f989e246cb0c9200e",2,1,"H3850702","41-39-54-27",620,"1",2,1,1.5,20,80,,11,2017,11,2017,2,,1,2,0,,,,,,,,,,0,20
"02a50a54fb3a4c9f989e246cb0c9200e",3,1,"H3850702","41-39-54-27",150,"1",2,3,4,45,16,,12,2017,1,2018,2,,1,2,0,,,,,,,,,,0,45
"02a50a54fb3a4c9f989e246cb0c9200e",3,1,"H3850702","41-39-54-27",310,"1",2,1,3,45,15,,12,2017,12,2017,2,,1,2,0,,,,,,,,,,0,45
"02a50a54fb3a4c9f989e246cb0c9200e",3,1,"H3850702","41-39-54-27",620,"1",2,1,7,20,18,,11,2017,12,2017,2,,1,2,0,,,,,,,,,,0,20
"02dd448165ce46279ca601a02865d543",1,1,"H2620907","29-29-34-08",210,"-999999999",2,1,16,,,,,,,,,,,,,,,,,,,,,,,24
"02dd448165ce46279ca601a02865d543",1,1,"H2620907","29-29-34-08",741,"-999999999",2,1,3,,,,,,,,,,,,,,,,,,,,,,,99
"031fbb84e2af4d5e889ccc7492ecbf55",1,1,"H2620906","13-87-67-95",210,"1",2,1,2,24,15,,9,2017,10,2017,1,"1",,,0,,,,,,,,,,1,24
"031fbb84e2af4d5e889ccc7492ecbf55",1,2,"H2620906","13-87-67-95",310,"1",2,1,1,45,20,,11,2017,11,2017,1,"1",,,0,,,,,,,,,,0.1,45
"031fbb84e2af4d5e889ccc7492ecbf55",1,3,"H2620906","13-87-67-95",630,"1",2,2,1,20,50,,4,2017,6,2017,2,,1,2,0,,,,,,,,,,0,20
"03292ce0d7f24e42801500e576140648",0,1,"H0491306","81-48-72-54",210,"9",2,1,10,22,3,,11,2017,11,2017,1,"1",,,0,,,,,,,,,,0,22
"034f0004fa7a4a25b4aacdb196177f2b",1,0,"H1070601","39-67-74-38",210,"2",2,1,1,24,12,,10,2017,10,2017,1,"2",,,0,,,,,,,,,,0,24
"034f0004fa7a4a25b4aacdb196177f2b",1,0,"H1070601","39-67-74-38",130,"2",2,1,0.5,24,100,,11,2017,11,2017,1,"2",,,0,,,,,,,,,,0.1,24
"034f0004fa7a4a25b4aacdb196177f2b",1,1,"H1070601","39-67-74-38",310,"2",2,1,1,45,1,,10,2017,10,2017,1,"2",,,0,,,,,,,,,,0,45
"034f0004fa7a4a25b4aacdb196177f2b",1,2,"H1070601","39-67-74-38",141,"2",2,1,0.5,44,70,,12,2017,12,2017,1,"2",,,0,,,,,,,,,,0,44
"037866653c7c4cb99a80f05a38cdafb2",2,3,"H0381001","68-76-57-83",130,"1",2,1,20,23,20,,11,2017,12,2017,1,"1",,,0,,,,,0,,,,,15,23
"037866653c7c4cb99a80f05a38cdafb2",2,3,"H0381001","68-76-57-83",210,"1",2,1,30,24,1,,10,2017,11,2017,1,"1",,,0,,,,,,,,,,0,24
"037866653c7c4cb99a80f05a38cdafb2",2,4,"H0381001","68-76-57-83",620,"1",2,2,2,20,15,,12,2017,12,2017,1,"1",,,0,,,,,,,,,,0,20
"038bf67186f048d1966a17475bedd578",1,0,"H3171001","87-05-36-36",141,"2",2,1,5,32,50,,1,2018,1,2018,1,"2",,,0,,,,,,,,,,0,32
"038bf67186f048d1966a17475bedd578",1,2,"H3171001","87-05-36-36",210,"2",2,1,15,24,1,,11,2017,12,2017,1,"2",,,0,,,,,,,,,,0,24
"038bf67186f048d1966a17475bedd578",1,3,"H3171001","87-05-36-36",150,"2",2,1,1,35,20,,2,2018,2,2018,1,"2",,,0,,,,,,,,,,0,35
"038bf67186f048d1966a17475bedd578",2,0,"H3171001","87-05-36-36",811,"2",2,1,4,24,100,,7,2017,10,2017,1,"1",,,4,24,10,360000,2,,1,"1",,,0,24
"038bf67186f048d1966a17475bedd578",2,2,"H3171001","87-05-36-36",310,"2",2,1,1.2,45,20,,1,2018,1,2018,1,"2",,,0,,,,,,,,,,0,32
"03c42091117d479097bf8be7a9dfebb1",0,2,"H3860601","88-07-20-35",210,"4",2,1,4,45,15,,9,2017,9,2017,2,,4,5,0,,,,,,,,,,0,45
"03c42091117d479097bf8be7a9dfebb1",1,1,"H3860601","88-07-20-35",630,"4",2,2,13,40,15,,4,2018,7,2018,2,,4,5,4,40,22,72000,4,,2,,4,5,0,40
"03d4f5f6631747878b76ad399fb2b80c",1,0,"H3220901","01-48-23-62",610,"2",2,1,1.5,20,120,,11,2017,12,2017,1,"2",,,0,,,,,,,,,,0,20
"03d4f5f6631747878b76ad399fb2b80c",1,1,"H3220901","01-48-23-62",620,"2",2,1,48,20,15,,10,2017,8,2018,1,"2",,,0,,,,,,,,,,2,20
"03d4f5f6631747878b76ad399fb2b80c",1,2,"H3220901","01-48-23-62",130,"2",2,1,1,23,100,,11,2017,12,2017,2,,1,2,0,,,,,,,,,,0,23
"03d4f5f6631747878b76ad399fb2b80c",1,2,"H3220901","01-48-23-62",210,"2",2,1,8,24,15,,10,2017,11,2017,1,"2",,,0,,,,,,,,,,0,24
"03d4f5f6631747878b76ad399fb2b80c",2,0,"H3220901","01-48-23-62",741,"2",2,1,34,20,7.5,,7,2017,12,2017,2,,1,2,10,20,68,100000,4,,2,,1,2,0,20
"03d4f5f6631747878b76ad399fb2b80c",2,0,"H3220901","01-48-23-62",811,"2",2,1,2,44,15,,9,2017,11,2017,1,"1",,,2,44,22,50000,2,,1,"1",,,0,44
"03f862af923942ad9f37fa65f52a8f3d",1,1,"H3880301","94-11-03-26",741,"1",2,1,5,20,18,,7,2017,12,2017,1,"1",,,5,20,68,22000,4,,1,"1",,,0,20
