"t0_hhid","ALiveStock_Small_ID","hhid","s6bq03a","s6bq03b","s6bq03c","s6bq03d","s6bq03e","s6bq03f","s6bq04a","s6bq04b","s6bq04c","s6bq05a","s6b05b","s6bq05c","s6bq06","s6bq07","s6bq08","s6bq09","s6bq10","s6bq11","s6bq12","s6bq13a","s6bq13b","s6bq14a","s6bq14b","s6bq15","s6bq15b","s6bq15c","s6bq16"
"H1810303",18,"0071da69d26d4b29a8f9d29d458e68cf",0,,,,,,0,,,0,,,1,0,0,0,1,0,0,0,,0,,0,1,4,1
"H1810303",19,"0071da69d26d4b29a8f9d29d458e68cf",4,1,,2,,2,0,,,0,,,4,0,0,0,0,0,0,0,,0,,0,1,4,1
"H2790801",18,"00854d05d4f044c985ffce60c1b514c2",1,,,,,2,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,1,6,1
"H2790801",19,"00854d05d4f044c985ffce60c1b514c2",2,,,,,2,0,,,0,,,5,0,0,0,0,0,0,0,,3,120000,0,1,6,1
"H1830701",19,"00858c2384184dc3bfc800550a6c8cb5",2,1,2,2,,2,0,,,0,,,4,0,0,1,1,0,0,0,,0,,0,1,5,1
"H1830701",18,"00858c2384184dc3bfc800550a6c8cb5",2,1,2,2,,2,0,,,0,,,3,0,0,0,1,0,0,0,,0,,0,1,5,1
"H1830701",22,"00858c2384184dc3bfc800550a6c8cb5",2,2,,2,,2,0,,,0,,,2,4,0,0,0,0,3,0,,1,80000,0,1,5,1
"H3990301",18,"008ffc050d4e47c7920e9c7c2e35887a",1,1,,1,2,2,0,,,0,,,0,0,1,0,0,0,0,0,,0,,0,1,4,1
"H3990301",19,"008ffc050d4e47c7920e9c7c2e35887a",3,1,,1,2,2,0,,,0,,,2,1,0,0,0,0,0,0,,0,,0,1,4,1
"H3990301",22,"008ffc050d4e47c7920e9c7c2e35887a",0,,,,,,6,1,2,0,,,0,0,0,0,0,0,0,0,,0,,0,4,5,1
"H3520701",22,"00bbd034f88649bc980b091d4a5af645",4,1,,1,,2,0,,,0,,,3,0,0,0,0,0,0,1,50000,0,,0,1,,1
"H3520701",19,"00bbd034f88649bc980b091d4a5af645",6,1,,1,,2,0,,,0,,,4,2,0,0,0,0,0,0,,0,,0,1,4,1
"H3691002",19,"00c9353d8ebe42faabf5919b81d7fae7",3,4,,4,,2,0,,,0,,,2,1,0,0,0,0,0,0,,0,,0,1,,1
"H3691002",18,"00c9353d8ebe42faabf5919b81d7fae7",1,4,,4,,2,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,1,,1
"H2370701",18,"00e23121bad94719bff27f93646437b3",2,1,2,1,6,2,0,,,0,,,0,2,0,0,0,0,0,0,,0,,0,1,6,1
"H2370701",22,"00e23121bad94719bff27f93646437b3",2,1,2,1,2,2,0,,,0,,,0,0,0,0,0,0,0,2,60000,0,,0,1,,2
"H2370701",19,"00e23121bad94719bff27f93646437b3",4,1,2,1,6,2,0,,,0,,,2,2,0,0,0,0,0,0,,0,,0,6,1,1
"H0531001",19,"00f1eb71d428408f888b058a8e8664fe",2,2,,2,,2,0,,,0,,,1,1,0,0,0,0,0,0,,0,,0,1,3,1
"H3730501",22,"0101511a1da74f35b4fb8fd0c2cf8e69",2,1,7,1,7,2,0,,,0,,,2,16,0,0,0,0,0,0,,16,30000,0,1,5,1
"H2451101",19,"0103050b934841289df128242538e3ea",3,2,7,2,4,2,0,,,0,,,4,0,0,0,0,1,0,0,,0,,0,5,6,1
"H2451101",21,"0103050b934841289df128242538e3ea",4,2,,6,,2,0,,,0,,,2,2,0,0,0,0,0,0,,0,,0,5,1,1
"H2780101",19,"01483c3751964ad2842b6e4a8b6edcdd",2,1,2,1,2,2,0,,,0,,,2,0,0,0,0,0,0,0,,0,,0,1,3,1
"H2780101",18,"01483c3751964ad2842b6e4a8b6edcdd",1,1,2,1,2,2,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,1,3,1
"H3550301",18,"015b2f40827d4d70a5aa4ac958235a78",1,1,,1,,1,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,1,,1
"H3550301",19,"015b2f40827d4d70a5aa4ac958235a78",3,1,,1,,1,0,,,0,,,3,0,0,0,0,0,0,0,,0,,0,1,3,1
"H0670802",22,"01c14a909dd54c2088fe1b32e84ae2ec",3,1,2,1,2,2,0,,,0,,,1,2,0,0,0,0,0,0,,0,,0,1,,2
"H2970601",19,"01c6b5639280472aa1dbfea2b7c10c24",3,1,,1,,2,0,,,0,,,4,0,0,0,0,0,1,0,,0,,0,1,3,2
"H1400501",19,"020fd884bebf40b0a97f2156b8eda1b6",7,1,,1,,2,0,,,0,,,4,3,0,0,0,0,0,0,,0,,0,3,,2
"H3770703",19,"021babeee5f646108cbe9bb3b2a4c485",2,1,,1,2,2,0,,,0,,,3,0,0,0,0,0,0,0,,1,70000,0,1,6,1
"H4250801",19,"02257a7aa9a94ca9b464e910e2bd642d",2,1,7,7,,2,0,,,0,,,2,2,0,0,0,0,0,0,,2,100000,0,1,6,1
"H4250801",22,"02257a7aa9a94ca9b464e910e2bd642d",4,7,,2,7,2,0,,,0,,,0,0,0,0,0,0,0,4,30000,0,,0,1,6,1
"H3430401",18,"024a80a27283471e857285cf751564ae",0,,,,,,0,,,0,,,1,0,0,0,0,1,0,0,,0,,0,5,1,1
"H3430401",19,"024a80a27283471e857285cf751564ae",0,,,,,,0,,,0,,,1,2,0,0,3,0,0,0,,0,,0,1,5,1
"H0620801",20,"02617e359bfc48cbaa6ff204cb915790",1,2,,2,,1,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,1,,2
