"t0_hhid","APCode","hhid","s6cq03a","s6cq03b","s6cq03c","s6cq03d","s6cq03e","s6cq03f","s6cq04a","s6cq04b","s6cq04c","s6cq05a","s6cq05b","s6cq05c","s6cq06","s6cq07","s6cq08","s6cq09","s6cq10","s6cq11","s6cq12","s6cq13a","s6cq13b","s6cq14a","s6cq14b","s6cq15","s6cq15b","s6cq15c","s6cq16"
"H1650506",23,"004e93d7552248ed95d8bc3ec21bdbdb",6,1,,1,2,2,0,,,0,,,30,0,0,0,4,0,8,0,,9,12000,3,5,1,1
"H1810303",23,"0071da69d26d4b29a8f9d29d458e68cf",11,1,,2,,2,0,,,0,,,15,0,0,0,0,0,4,0,,0,,0,1,3,1
"H2790801",23,"00854d05d4f044c985ffce60c1b514c2",8,,,,,2,0,,,0,,,10,8,0,0,0,2,0,0,,6,15000,2,1,3,1
"H1830701",23,"00858c2384184dc3bfc800550a6c8cb5",12,2,3,2,,2,0,,,0,,,10,6,0,0,2,0,0,0,,0,,2,1,3,1
"H3990301",23,"008ffc050d4e47c7920e9c7c2e35887a",32,1,2,1,2,2,0,,,0,,,24,16,0,0,0,4,0,0,,2,8000,2,1,3,1
"H3950701",23,"00a09aedb8c049aa8364d377c26c5f81",12,1,2,1,2,2,0,,,0,,,14,9,0,0,0,0,4,0,,2,9000,5,3,1,1
"H3520701",23,"00bbd034f88649bc980b091d4a5af645",18,1,,1,,2,0,,,0,,,6,12,0,0,0,0,0,0,,0,,0,4,1,1
"H3691002",23,"00c9353d8ebe42faabf5919b81d7fae7",15,4,,4,,2,0,,,0,,,4,18,0,0,0,4,0,0,,2,12000,1,1,3,1
"H0531001",23,"00f1eb71d428408f888b058a8e8664fe",12,2,,2,,2,0,,,0,,,15,9,0,0,0,0,10,0,,0,,2,3,1,1
"H3730501",23,"0101511a1da74f35b4fb8fd0c2cf8e69",10,1,15,1,15,2,0,,,0,,,3,7,0,0,0,0,0,0,,0,,0,1,3,1
"H2451101",23,"0103050b934841289df128242538e3ea",2,2,,1,2,2,0,,,0,,,2,0,0,0,0,0,0,0,,0,,0,6,5,1
"H0670802",23,"01c14a909dd54c2088fe1b32e84ae2ec",15,1,2,1,2,2,0,,,0,,,8,8,0,0,0,0,0,0,,0,,1,1,3,1
"H1530901",23,"01dfba97dd29447f9a82aef0f59237de",38,1,6,1,6,2,0,,,0,,,7,32,0,0,0,0,0,0,,0,,1,1,3,1
"H2090701",23,"01fc2a6821064f528ca01e20dbea8db2",18,1,2,1,2,2,0,,,0,,,4,14,0,0,0,0,0,0,,0,,0,4,1,1
"H1400501",26,"020fd884bebf40b0a97f2156b8eda1b6",3,1,,1,,2,0,,,0,,,1,4,0,0,0,2,0,0,,0,,0,3,,1
"H1400501",23,"020fd884bebf40b0a97f2156b8eda1b6",7,1,,1,,2,0,,,0,,,3,6,0,0,0,0,0,0,,0,,2,3,1,1
"H4250801",23,"02257a7aa9a94ca9b464e910e2bd642d",9,1,7,1,7,2,0,,,0,,,10,9,0,0,3,6,0,0,,0,,1,1,6,1
"H0620801",23,"02617e359bfc48cbaa6ff204cb915790",3,8,,8,,1,0,,,0,,,5,0,0,0,0,2,0,0,,0,,0,3,,2
