"t0_hhid","hhid","h9q03a__1","h9q03a__2","h9q03a__3","h9q03a__4","h9q03a__5","h9q03a__7","h9q03a__6","h9q11a","h9q12a","h9q13a","h9q14a","h9q15a","h9q16a"
"H1830701","00858c2384184dc3bfc800550a6c8cb5",0,0,0,0,0,0,0,1,2,2,,2,2
"H0600701","0192be21a93d4c2d83997fb6dc1c3ea6",,,,,,,,,,,,,
"H2780101","01483c3751964ad2842b6e4a8b6edcdd",1,0,0,0,0,1,0,1,2,2,,2,2
"H3240401","039a11571b874a88b7a6c200469fe4f3",,,,,,,,,,,,,
"H0381001","037866653c7c4cb99a80f05a38cdafb2",0,0,0,0,0,0,0,2,2,2,,2,2
"H3530701","04a6909c35374a8088daf007b717dba1",,,,,,,,,,,,,
"H3350301","04e3098df42742428550ed1754b3cce9",1,0,0,0,0,0,0,1,1,1,2,2,2
"H1880501","044525d42e7547cb844fa01062ed908c",0,0,0,0,0,0,0,2,2,2,,2,2
"H1301001","057fc24f426f48fca061898d6efa4f49",0,0,0,0,0,0,0,1,2,1,2,2,2
"H4180301","057535df5a63411bb13f906e251b9130",0,0,0,0,0,0,0,2,2,2,,2,2
"H4110601","056cb993abee42a89f67363f1b38f878",0,0,0,0,0,0,0,2,2,2,,2,2
"H2480401","05ec278a95624c74957734e0ab70ff5b",0,0,0,0,0,0,0,2,2,2,,2,2
"H1900601","05d8c19cfc8f47d4b66bd70bbad5407f",0,0,0,0,0,0,0,2,2,2,,2,2
"H3280101","06270b496e1b4aa09b4906b0871c21b9",,,,,,,,,,,,,
"H1810404","0634372d290947fc92bad833679f4f23",0,0,0,0,0,0,0,1,2,2,,2,2
"H1890201","0700ac37276743c3a73536d56c21b04e",0,0,0,0,0,0,0,1,2,1,2,2,2
"H1270901","069ce1000ec94312a038a19b8efdd983",0,0,0,0,0,0,0,2,2,2,,2,2
"H4100701","08a228d06e764dc49fbbf00d813880b8",0,0,0,0,0,0,0,1,2,2,,2,2
"H1270701","092f4d6bc16a49d19c00dbf10038cb3b",0,0,0,0,0,0,0,2,2,2,,2,2
"H1750401","0b5e2febcfa54a2aa9c1369db7b62f76",0,0,0,0,0,0,0,1,2,1,2,1,2
"H3240201","0b922762b1a14c53a9f6bbd6ef3ff337",,,,,,,,,,,,,
"H1751103","0d05119207a2485cbe3a503f04c33f1d",0,0,0,0,0,0,0,1,2,1,2,1,2
"H4180201","0ccd9462978a4880b1f650cecd2d26dd",0,0,0,0,0,0,0,1,2,2,,2,2
"H1741001","0d15c30cd22c44ca829cb62b6e630c26",0,0,0,0,0,0,0,1,2,1,2,1,2
"H0950101","0e7c523a5c34420c9fdba2a12575cd14",,,,,,,,,,,,,
"H1801101","0eb527381cfb4f258ee6a1ad0862d96b",1,0,0,0,0,0,0,1,2,1,2,1,2
"H0750903","0f0210463290453bb298ac2094d5322e",1,0,0,0,0,0,0,1,1,2,,2,2
"H0351101","0fd53ca28fec43eea667c453445091b8",,,,,,,,,,,,,
"H0750702","10ceb21bdb8d4898873a3a75df1feb74",,,,,,,,,,,,,
"H1260101","10c39a24e0784c66897740bdbc426cc8",0,0,0,0,0,0,0,1,2,1,2,2,2
"H0271102","11d9f40f48184bc3a967131e8ed79d24",,,,,,,,,,,,,
"H0750902","12a8632b753f40c6959744f160ade8ff",0,0,1,0,0,0,0,1,2,1,2,1,2
"H0540601","137047ed72be45cbbe79528e9a8febcf",0,0,0,0,0,0,0,2,2,2,,2,2
"H4190101","139766f7e0d947e39160c8cdbe782c90",0,0,0,0,0,0,0,2,2,2,,2,2
"H3610501","1335c4b914e64b079a15b82332bc3a62",0,0,0,0,0,0,0,1,2,2,,2,2
"H0380401","142f863d5d3747d4b12da5a96819e8c8",,,,,,,,,,,,,
"H3730201","13c8dabea0a14e74b5409df736d0c6fc",0,0,0,0,0,0,0,2,2,2,,2,2
"H3730401","13e8276c99cd496081c2d78d058b2a21",0,0,0,0,0,0,0,1,2,1,2,1,2
"H0420902","15c0f37757dc46b28873a77b5e8a913d",,,,,,,,,,,,,
"H3540101","161df9ca153241e19e955e373574448f",0,0,0,0,0,0,0,2,2,2,,2,2
"H0750101","16c883aca79d42159da4d313e9a0a17e",0,0,0,0,0,0,0,1,2,1,2,1,2
"H0300301","16daa4b4720d4509a216757cff6903d4",,,,,,,,,,,,,
"H3090601","162c504b1fed4a5b9848882e7752940a",0,0,0,0,0,0,0,1,2,1,2,2,2
"H0750801","174d7bce575c45bbae624af39a4e3f2c",0,0,0,0,0,0,0,2,2,2,,2,2
"H3860101","1768619d23c9442697014eeb7964388a",0,0,0,0,0,0,0,2,2,2,,2,2
"H1280801","17378333324c461a88f1ea03eb7e316d",0,0,0,0,0,0,0,1,2,2,,2,2
"H0230501","179b274951eb4449a19d4de2deede9d6",,,,,,,,,,,,,
"H0750906","17eb32a03c28409db6e2cf12fc379298",,,,,,,,,,,,,
"H3900701","17f8b87f9b8f4438bf729c2dea6df75d",0,0,0,0,0,0,0,2,2,1,2,2,2
"H1420702","1928b1ae90cf45a68b37285a9554df5c",0,0,0,0,0,0,0,2,2,2,,2,2
"H2780801","192ec8f527de48c3b711479b69a57f9c",0,0,0,0,0,0,0,2,2,2,,2,2
"H1241101","19783a8d2c5046e7ad2f63aa7e5189a9",,,,,,,,,,,,,
"H2850301","1a5e7470e5e349f4bdf3b8bd8779b225",0,0,0,0,0,0,0,1,2,2,,2,2
"H3030301","1a01d47d8c8d492294f5d2c3f47d5d3d",0,0,0,0,0,0,0,1,2,2,,2,2
"H2790301","1a270f97ea7144f7ba1c5543ad51845a",0,0,0,0,0,0,0,1,2,1,2,2,2
"H3350401","1b599a7d26094ccaadac933ba550fd0a",0,0,0,0,0,0,0,2,2,2,,2,2
"H0940301","1b233cd5eb5b438e805f2e541344a522",0,0,0,0,0,0,0,1,2,2,,2,2
"H0180601","1bf9208ea3ba4e8fa359969292351972",,,,,,,,,,,,,
"H0950501","1c287823471441bc9a6706f55636bfbb",0,0,0,0,0,0,0,2,2,2,,2,2
"H3360301","1bfd952f27704db5aa96059df2731fa2",0,0,0,0,0,0,0,1,2,1,2,1,2
"H1270301","1f13028b882145f1904e9519ce5f1d68",0,0,0,0,0,0,0,2,2,2,,2,2
"H1880803","1f9c7edda3584270b8139bfb81fef543",0,0,0,0,0,0,0,1,2,1,2,1,2
"H1550801","1e99e5da500a4d44aef666fb07a8d0d2",0,0,0,0,0,0,0,1,2,1,2,1,2
"H4140301","1fb71e7cd7cb4488a4a64e121fc228a3",0,0,0,0,0,0,0,1,2,2,,2,2
"H1810301","215eced7f754465182ee352aefe848a0",0,0,0,0,0,0,0,1,2,1,2,2,2
"H1940203","2062fd74021e4fdc81f6dc28ca48674c",0,0,0,0,0,0,0,1,2,2,,2,2
"H3580402","217a20d82c0446a4928918df038adca4",0,0,0,0,0,0,1,2,2,2,,2,2
"H0660601","217f9496103b47e39d7c19fed9636482",0,0,0,0,0,0,0,2,2,2,,2,2
"H3400101","22774e78ebc7419585623a08408c8f96",0,0,0,0,0,0,0,2,2,2,,2,2
"H2350302","21c1e89cf5b74595b06ebbd7bc9271c8",0,0,0,0,0,0,0,1,1,1,2,1,1
"H3270101","222fb7e72b764d618cdb129c1097002e",,,,,,,,,,,,,
"H2780401","236a304fee1f4de29bda56006ce6d313",0,0,0,0,0,0,0,1,2,2,,2,2
"H0731101","2677113d57394f6ab63d882b90de3cab",0,0,0,0,0,0,0,2,2,2,,2,2
"H3110201","2668508cadbf4cfbb5d1b183c94e2df7",0,0,0,0,0,0,0,2,2,2,,2,2
"H1480501","2651254af3e44058890c9eb3c3409a41",0,0,0,0,0,0,0,1,2,2,,2,2
"H2790102","27237f19b78242dbbc6cb7d6b3b68dcb",0,0,0,0,0,0,0,1,2,2,,2,2
"H0751001","2699e718776c46c3bce1a0e2bec03fce",0,0,0,0,0,0,0,1,2,1,2,1,2
"H3060501","276430fd8d7e4c538fcf6a118cc79610",1,0,0,0,0,0,0,1,1,1,1,1,1
"H3740701","277509c12a5148299027784fbb1bfd7c",0,0,0,0,0,0,0,2,2,2,,2,2
"H0640401","277c319e936645189c0663410f818f91",0,0,0,0,0,0,0,2,2,2,,2,2
"H2351301","27b6e91ecead43f9b441b684d9d0bc6d",0,0,0,0,0,0,0,2,2,2,,2,2
"H3690301","2845cc47e5704aa9ac7cdf15776878c0",0,0,0,0,0,0,0,2,2,2,,2,2
"H2030201","28b00383e78549e59d1653af0d7a1105",0,0,0,0,0,0,0,1,2,2,,2,2
"H3900101","28a179792a564fd496adc09a3de78988",0,0,0,0,0,0,0,2,2,2,,2,2
"H3500301","28fae53d8b8b40708861a82637daba05",0,0,0,0,0,0,0,2,2,2,,2,2
"H1400802","2996bdef98fc498eb7d1544ab289a949",0,0,0,0,0,0,0,1,2,1,2,1,2
"H2850502","29559b97fd1542908cd36929b5c0efdf",0,0,0,0,0,0,0,2,2,2,,2,2
"H1740801","298d0a675d804e58bbd49ce037f2312d",1,0,0,0,0,0,0,1,1,1,1,1,1
"H0370601","295fa0511fcc44728e35080273e881bd",0,0,0,0,0,0,0,1,2,1,2,1,2
"H2480101","2b11ec128a1249a9aaa725d1ab17bf15",,,,,,,,,,,,,
"H0960501","2aec52ee5834414abf0b648fd8248ac4",,,,,,,,,,,,,
"H0730701","2ac0a1e73f624dfc91343ac47f68c9f4",0,0,0,0,0,0,0,1,2,1,2,2,2
"H0730901","29e7916bdd2645b48211aeb4920fbd67",0,0,0,0,0,0,0,2,2,2,,2,2
