"EA_code","interview__key","s11q01"
"00928229c3e64db9a66fd1f0d4dff345","12-09-37-88",1
"03e3d013ed9a4a7b9e72a04e5867ed88","13-26-94-05",1
"06aeb38cf33a4c6b9ad71262908541eb","34-90-92-66",
"0548b11d746b41149960bad12ade2187","94-25-74-66",1
"06c492654e8342fabe3ec8af1aad4cef","66-47-37-97",1
"07d762b045a54167af44618c38f26e49","39-29-24-84",1
"09583a0be3d943588eccede22daecd45","74-65-87-03",1
"09bd271138b34050a20647bb26da164e","96-05-61-85",1
"0b6fdf9b7d2b484ea36915e5f8b3940d","05-20-15-42",1
"0e2cb66e0eaa46feb1f41a241a8c4910","54-45-74-15",2
"09e5567a67b24c56b7c7bb13800ead7e","02-82-25-55",1
"120df4dbf75444178f10871b972869ac","24-08-96-20",
"0e53cc68fc734154a21bb2def6bbc5c6","98-06-19-96",1
"0e5fc948d76340ac9c27380a8837c56c","13-72-15-50",
"12810e18eb6c41d7ac10cbb28f40fdf3","76-22-41-77",
"13a34d9690b54ab7b9eee7d1ddafbe9f","97-89-02-98",1
"13f4006f120f4c3b800e7ccaedd4aee4","75-98-78-48",1
"150cdba4fed14b4a87d582d398577942","98-86-51-07",1
"155c5c1261c04747be7944ce3daa6ac2","16-77-56-74",1
"15e14a2aedca4f1dad88f6a30e6d8a2c","48-96-08-15",1
"15cebd17f95047b3b242caab688fc2a0","70-23-73-82",
"166579dc0f4d4f19bdc2c8e6c2e31a0f","13-39-91-73",1
"1816825774944a8fa45dde05fc0e79dc","77-05-32-40",2
"191a256cbcac47a2966d2f058153bc70","34-03-95-15",1
"16c6c976a02c414f8e01d02dddc97a5d","05-10-89-43",1
"195e5a9b4fcb4d7dbe18eaf543a9283b","41-72-74-44",1
"1a257e54482e4ecf8b6aedc7cc89f8fd","01-51-54-41",1
"1dce5f2d227147f4a9f8e27ad9423f5d","32-45-14-74",1
"168d74660fc04a2792cb437eedcec5e1","61-27-08-63",1
"2000d66f97714765bc8e85e671ad8283","48-93-82-89",2
"20eb974e8c9b4361a62ccde0ce8611ad","02-80-79-45",2
"20188c3dd7af4786a15806bc3d9cc605","36-96-62-29",1
"218cb290a69743c69e521b6122a6d507","20-02-77-43",1
"21e9da8b1950402aa3169598c2efeb4e","25-50-00-53",
"237d3bd58d47443f984a1146cfb17596","76-53-22-95",1
"228bcac6d0b147dbaebbc943965f78c1","90-21-50-09",1
"2625ab72d0ca4e74bcc7a51eefc3c049","71-53-71-15",1
"2b9fe8ab9b854dc1a78be4554e2db70f","10-91-96-82",2
"2be916b9e8004a559894ec6c28948826","54-21-11-77",
"29d53afc2900441fa7931d2da4f6ab7e","01-86-81-64",2
"2c005b61e9d3469bb8b37576d7c0a9dc","37-99-38-49",1
"29fdcdf88e2e444f9fbb7d235214e8e1","55-22-88-49",1
"2c09ec554d4e489bb9d6e97baaebfa65","18-49-15-19",2
"2c1eac5793354569a5f6598d4cc1c4d9","91-50-78-15",1
"2caf4db31e1947578d134f4b52b91d8f","02-42-11-75",1
"2c79b64a9c5544fabbddb2b71590e49f","33-98-51-91",1
"2ce29c6cfe0a456793b78a9eea712769","67-79-02-00",2
"2f452dce46214291b99d8f76038d10c9","49-53-35-89",1
"2d0189f201a24a6eb390e7644e7127ac","44-82-68-29",1
"2f82e41b4d9140b1a887dffbd36193b8","88-51-03-21",1
"2fc7c42417e64ebcaea375ffa538326d","65-91-23-57",1
"30fabcc38b1c4f909a0de8b415a2988e","72-50-29-68",1
"3048ed3a5a8a4ff69391cbfedd13657c","68-00-06-79",1
"305b636544344f65aabef33609978907","37-68-69-42",1
"30a233559a484aa884a3c795efb64cdf","83-68-83-41",1
"31b1bf8fbcc54ee09f83e940546a45b8","87-78-01-68",2
"2dd8b36de95c4d5bba92df1210413388","42-91-93-12",1
"332221c6e42c4c7693f07f18bf883c77","91-29-19-18",1
"2e97754263a84e12b95022950c69f673","43-35-34-23",1
"3b39a3793b9e42deb8bea71311058e8a","56-67-32-81",1
"36a60129e57347bea99b101f51c2d0a0","31-50-07-11",1
"3c068ff6dd2648088c08a9fcdcb812f2","26-54-44-39",2
"3c7b52089dbc43ecb5f3c5e354f1ec09","61-93-15-21",1
