"interview__key","EA_code","programme_id","s11q03"
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",2,1
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",1,2
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",5,2
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",4,1
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",3,2
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",4,1
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",2,1
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",5,1
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",3,1
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",1,1
"94-25-74-66","0548b11d746b41149960bad12ade2187",1,1
"94-25-74-66","0548b11d746b41149960bad12ade2187",4,1
"94-25-74-66","0548b11d746b41149960bad12ade2187",5,2
"94-25-74-66","0548b11d746b41149960bad12ade2187",3,1
"94-25-74-66","0548b11d746b41149960bad12ade2187",2,1
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",1,2
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",3,2
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",5,2
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",4,2
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",2,1
"39-29-24-84","07d762b045a54167af44618c38f26e49",5,2
"39-29-24-84","07d762b045a54167af44618c38f26e49",4,2
"39-29-24-84","07d762b045a54167af44618c38f26e49",2,2
"39-29-24-84","07d762b045a54167af44618c38f26e49",1,1
"39-29-24-84","07d762b045a54167af44618c38f26e49",3,2
"74-65-87-03","09583a0be3d943588eccede22daecd45",5,1
"74-65-87-03","09583a0be3d943588eccede22daecd45",2,1
"74-65-87-03","09583a0be3d943588eccede22daecd45",3,1
"74-65-87-03","09583a0be3d943588eccede22daecd45",4,1
"74-65-87-03","09583a0be3d943588eccede22daecd45",1,1
"96-05-61-85","09bd271138b34050a20647bb26da164e",4,1
"96-05-61-85","09bd271138b34050a20647bb26da164e",3,1
"96-05-61-85","09bd271138b34050a20647bb26da164e",1,2
"96-05-61-85","09bd271138b34050a20647bb26da164e",5,2
"96-05-61-85","09bd271138b34050a20647bb26da164e",2,1
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",1,1
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",5,1
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",2,1
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",4,1
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",3,1
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",1,1
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",5,2
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",4,2
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",3,2
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",2,2
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",2,1
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",4,1
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",1,1
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",3,1
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",5,2
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",5,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",1,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",3,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",2,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",4,
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",4,1
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",1,1
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",2,1
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",5,2
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",3,1
"75-98-78-48","13f4006f120f4c3b800e7ccaedd4aee4",2,1
"75-98-78-48","13f4006f120f4c3b800e7ccaedd4aee4",3,1
"75-98-78-48","13f4006f120f4c3b800e7ccaedd4aee4",1,1
"75-98-78-48","13f4006f120f4c3b800e7ccaedd4aee4",4,1
"75-98-78-48","13f4006f120f4c3b800e7ccaedd4aee4",5,1
"98-86-51-07","150cdba4fed14b4a87d582d398577942",1,1
"98-86-51-07","150cdba4fed14b4a87d582d398577942",3,1
"98-86-51-07","150cdba4fed14b4a87d582d398577942",2,1
"98-86-51-07","150cdba4fed14b4a87d582d398577942",5,2
"98-86-51-07","150cdba4fed14b4a87d582d398577942",4,1
"16-77-56-74","155c5c1261c04747be7944ce3daa6ac2",5,2
"16-77-56-74","155c5c1261c04747be7944ce3daa6ac2",3,1
"16-77-56-74","155c5c1261c04747be7944ce3daa6ac2",4,2
"16-77-56-74","155c5c1261c04747be7944ce3daa6ac2",2,1
"16-77-56-74","155c5c1261c04747be7944ce3daa6ac2",1,2
"48-96-08-15","15e14a2aedca4f1dad88f6a30e6d8a2c",3,2
