"EA_code","t0_EA_code","c1aq01b","c1aq02b","c1aq03b","s1aq04b","s1aq05b","interview__key","s1aq06__1","s1aq06__2","s1aq06__3","s1aq06__4"
"00928229c3e64db9a66fd1f0d4dff345",,,,".",".",,"12-09-37-88",1,1,2,2
"03e3d013ed9a4a7b9e72a04e5867ed88",,,,".",".",,"13-26-94-05",1,2,1,2
"0548b11d746b41149960bad12ade2187","3211070717",321,"1","7","6","17","94-25-74-66",1,1,1,1
"06aeb38cf33a4c6b9ad71262908541eb",,,,".",".",,"34-90-92-66",1,1,1,1
"06c492654e8342fabe3ec8af1aad4cef","1074030303",107,"4","3","6","1074030603","66-47-37-97",1,1,2,1
"07d762b045a54167af44618c38f26e49","4032050503",403,"2","5","4","4032050403","39-29-24-84",1,1,1,2
"09583a0be3d943588eccede22daecd45",,,,".",".",,"74-65-87-03",1,2,1,2
"09bd271138b34050a20647bb26da164e","3072020202",307,"2","2","3","3072020302","96-05-61-85",1,1,1,1
"09e5567a67b24c56b7c7bb13800ead7e","1121040410",112,"1","4","2","10","02-82-25-55",1,1,1,1
"0b6fdf9b7d2b484ea36915e5f8b3940d","3081020206",308,"1","2","6","6","05-20-15-42",1,1,1,1
"0e2cb66e0eaa46feb1f41a241a8c4910","1101050507",110,"1","5","1","7","54-45-74-15",1,1,1,2
"0e53cc68fc734154a21bb2def6bbc5c6","2081070701",208,"1","7","13","1","98-06-19-96",1,1,1,1
"0e5fc948d76340ac9c27380a8837c56c","2162020206",216,"2","2","3","6","13-72-15-50",1,1,1,2
"120df4dbf75444178f10871b972869ac","1042080804",104,"2","8","4","4","24-08-96-20",1,1,2,2
"12810e18eb6c41d7ac10cbb28f40fdf3","3211050502",321,"1","5","5","2","76-22-41-77",1,1,1,1
"13a34d9690b54ab7b9eee7d1ddafbe9f","3023030305",302,"3","3","2","3022030205","97-89-02-98",1,1,1,1
"13f4006f120f4c3b800e7ccaedd4aee4","1133030301",113,"3","3","1","1133030101","75-98-78-48",2,1,1,2
"150cdba4fed14b4a87d582d398577942","1231080801",123,"1","8","3","1231080301","98-86-51-07",1,1,1,1
"155c5c1261c04747be7944ce3daa6ac2","2231212105",223,"1","21","1","2231210105","16-77-56-74",1,1,1,2
"15cebd17f95047b3b242caab688fc2a0","1221060618",122,"1","6","2","1221060218","70-23-73-82",,,,
"15e14a2aedca4f1dad88f6a30e6d8a2c","4241050502",424,"1","5","2","4241050202","48-96-08-15",1,1,1,2
"166579dc0f4d4f19bdc2c8e6c2e31a0f","4033010102",403,"3","1","3","2","13-39-91-73",1,2,2,2
"168d74660fc04a2792cb437eedcec5e1","1051050501",105,"1","5","2","1051050201","61-27-08-63",1,1,1,2
"16c6c976a02c414f8e01d02dddc97a5d","2322030305",232,"2","3","4","2322030405","05-10-89-43",1,1,1,1
"1816825774944a8fa45dde05fc0e79dc","4201080809",420,"1","8","3","4201080309","77-05-32-40",1,2,2,2
"191a256cbcac47a2966d2f058153bc70","4122030305",412,"2","3","4","5","34-03-95-15",1,1,1,1
"195e5a9b4fcb4d7dbe18eaf543a9283b","1021010102",102,"1","1","4","02","41-72-74-44",1,2,2,2
"1a257e54482e4ecf8b6aedc7cc89f8fd","1121020202",112,"1","2","3","1121020302","01-51-54-41",1,1,1,2
"1dce5f2d227147f4a9f8e27ad9423f5d","3231040401",323,"1","4","3","3231040301","32-45-14-74",1,1,1,1
"2000d66f97714765bc8e85e671ad8283","4151101004",415,"1","10","4","4151100404","48-93-82-89",1,1,1,2
"20188c3dd7af4786a15806bc3d9cc605","4151050504",415,"1","5","2","4151050204","36-96-62-29",1,1,1,2
"20eb974e8c9b4361a62ccde0ce8611ad","4192040405",419,"2","4","2","5","02-80-79-45",1,1,1,1
"218cb290a69743c69e521b6122a6d507","3231070704",323,"1","7","1","3231070104","20-02-77-43",1,1,1,1
"21e9da8b1950402aa3169598c2efeb4e","4062010103",406,"2","1","2","3","25-50-00-53",2,1,1,2
"228bcac6d0b147dbaebbc943965f78c1","2241050511",224,"1","5","5","11","90-21-50-09",1,1,1,1
"237d3bd58d47443f984a1146cfb17596","3111030302",311,"1","3","2","3111030202","76-53-22-95",1,1,1,1
