"EA_code","t0_EA_code","interview__key","trip_num","s1b_visit","s1bq2a","s1bq2b","s1bq2d","s1bq2e","s1bq2c","s1bq3a","s1bq3b","s1bq3a_v2","s1bq3b_v2","s1bq3d","s1bq3e","s1bq3c","s1bq4a","s1bq4b","s1bq4a_v2","s1bq4b_v2","s1bq4d","s1bq4e","s1bq4c","s1bq5a","s1bq5b","s1bq5d","s1bq5e","s1bq5c","s1bq6a","s1bq6b","s1bq6d","s1bq6e","s1bq6c"
"00928229c3e64db9a66fd1f0d4dff345",,"12-09-37-88",1,3,"2018-12-08","2018-12-08T02:52:06",,1,"2018-12-08T03:20:11","2018-12-08","2018-12-08T04:41:14","2018-12-08","2018-12-08T04:47:00",,1,"2018-12-08T05:51:07",,,,,,,,,,,,,"2018-12-08","2018-12-08T03:20:44",,1,"2018-12-08T03:50:29"
"03e3d013ed9a4a7b9e72a04e5867ed88",,"13-26-94-05",1,3,"2018-09-21","2018-09-21T01:59:21",1,1,"2018-09-21T03:01:10",,,,,,,,"2018-09-21","2018-09-21T03:13:28","2018-09-21","2018-09-21T03:27:16",1,2,,,,,,,"2018-09-21","2018-09-21T03:01:20",2,2,"2018-09-21T03:28:12"
"06aeb38cf33a4c6b9ad71262908541eb",,"34-90-92-66",9,3,"2018-11-16","2018-11-16T06:12:58",1,1,,,,,,,,,,,,,,,,,,,,,,,,,
"0548b11d746b41149960bad12ade2187","3211070717","94-25-74-66",1,3,"2018-03-17","2018-03-17T04:10:59",1,3,"2018-03-17T05:40:44","2018-03-17","2018-03-17T06:24:00","2019-02-11","2019-02-11T09:18:12",2,3,"2018-03-17T06:19:47","2018-09-06","2018-09-06T02:16:32","2018-09-06","2018-09-06T02:16:44",3,1,"2018-09-06T04:56:38","2018-09-06","2018-09-06T05:47:06",3,1,"2018-09-06T07:06:53","2018-03-17","2018-09-07T08:18:51",1,3,"2018-09-06T09:38:43"
"06c492654e8342fabe3ec8af1aad4cef","1074030303","66-47-37-97",1,3,"2018-10-11","2018-10-11T07:22:13",,1,"2018-10-11T08:35:06","2018-10-10","2018-10-10T05:42:45","2018-10-10","2018-10-10T05:43:02",1,1,"2018-10-10T07:19:29",,,,,,,,"2019-01-26","2019-01-26T09:32:17",,1,"2019-01-26T09:56:03","2018-10-11","2018-10-11T08:35:15",,1,"2018-10-11T09:01:38"
"07d762b045a54167af44618c38f26e49","4032050503","39-29-24-84",1,3,"2018-05-03","2018-05-03T09:09:43",1,1,"2018-05-03T10:02:11","2018-06-18","2018-06-18T05:47:06","2018-12-13","2018-12-13T04:38:52",1,3,"2018-06-18T06:57:14","2018-12-13","2018-12-13T03:20:14","2018-12-13","2018-12-13T03:20:08",1,1,"2018-12-13T04:36:33","2018-12-13",,3,3,"2018-12-13T03:16:56","2018-05-03","2018-05-03T10:02:24",1,1,"2018-05-03T10:32:29"
"09583a0be3d943588eccede22daecd45",,"74-65-87-03",12,3,"2019-01-15","2019-01-15T06:19:47",1,1,"2019-01-15T09:19:03",,,,,,,,"2019-01-15","2019-01-15T07:27:25",,,,3,,"2019-01-30","2019-01-30T06:04:05",3,3,"2019-01-30T06:04:33","2019-01-15","2019-01-15T09:19:31",1,1,"2019-01-15T10:48:02"
"09bd271138b34050a20647bb26da164e","3072020202","96-05-61-85",1,3,"2018-04-29","2018-04-29T07:01:44",1,1,"2018-04-29T07:46:35","2018-04-30","2018-04-30T02:15:14","2018-11-12","2018-11-12T04:12:44",1,2,"2018-11-12T04:46:57",,,,,3,3,,"2018-11-12","2018-11-12T05:23:45",3,1,"2018-11-12T06:18:46","2018-04-29","2018-04-29T07:47:13",2,1,"2018-04-29T08:37:51"
"0b6fdf9b7d2b484ea36915e5f8b3940d","3081020206","05-20-15-42",1,3,"2018-05-10","2018-05-10T09:47:19",1,1,"2018-05-10T10:28:32","2018-05-30","2018-05-30T11:49:18","2018-12-04","2018-12-04T03:22:56",1,1,"2018-12-04T03:36:23","2018-06-25","2018-06-25T13:49:33","2018-12-04","2018-12-04T02:08:51",1,1,"2018-12-04T02:46:18","2018-06-25","2018-06-25T12:50:23",1,1,"2018-06-25T13:12:07","2018-05-10","2018-05-10T10:32:04",1,1,"2018-05-10T10:59:12"
"0e2cb66e0eaa46feb1f41a241a8c4910","1101050507","54-45-74-15",1,3,"2018-03-17","2018-03-17T05:39:26",1,,"2018-03-17T07:12:22","2018-07-31","2018-07-31T08:20:12",,,1,,"2018-07-31T09:17:04","2018-05-05","2018-05-05T02:26:54","2018-09-12","2018-09-12T09:51:50",1,1,"2018-05-05T03:16:46",,,,,,"2018-03-17","2018-03-17T07:15:43",1,,"2018-03-17T07:46:15"
