"interview__key","EA_code","service_availabilty__id","s2aq03_1","s2aq05","s2aq06","s2aq07","s2aq08"
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",2,1,0.5,1,15,3
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",15,1,0.1,1,5,3
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",10,1,0.2,1,10,3
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",1,1,0.3,1,10,3
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",25,2,40,9,180,2
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",16,1,0.1,1,5,2
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",17,1,0.1,1,5,2
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",32,1,0.2,1,10,2
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",9,2,50,9,180,2
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",31,1,0,1,0,2
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",1,2,2,1,15,1
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",13,2,1,6,5,1
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",22,1,0,1,1,1
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",25,2,4,6,10,1
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",2,2,0.5,1,10,1
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",14,2,5,2,20,1
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",32,1,0.2,1,6,1
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",17,2,3,2,10,1
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",5,1,0.2,1,5,1
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",10,1,0.2,1,5,1
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",19,2,0.2,1,5,1
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",11,2,7,2,30,1
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",12,1,0,1,5,1
