"interview__key","EA_code","payment_id","s3q26","s3q27","s3q28","s3q29"
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",4,1,2,,
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",8,2,,,
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",1,2,,,
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",5,2,,,
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",7,2,,,
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",3,2,,,
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",9,2,,,
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",0,,1,5000,2
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",6,2,,,
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",2,1,1,15000,4
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",9,,,,
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",8,,,,
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",0,,,,
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",6,,,,
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",7,,,,
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",5,,,,
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",2,,,,
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",4,,,,
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",1,,,,
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",3,,,,
"94-25-74-66","0548b11d746b41149960bad12ade2187",1,1,1,32000,2
"94-25-74-66","0548b11d746b41149960bad12ade2187",9,1,1,4000,2
"94-25-74-66","0548b11d746b41149960bad12ade2187",4,2,,,
"94-25-74-66","0548b11d746b41149960bad12ade2187",3,2,,,
"94-25-74-66","0548b11d746b41149960bad12ade2187",7,2,,,
"94-25-74-66","0548b11d746b41149960bad12ade2187",5,2,,,
"94-25-74-66","0548b11d746b41149960bad12ade2187",2,2,,,
"94-25-74-66","0548b11d746b41149960bad12ade2187",6,2,,,
"94-25-74-66","0548b11d746b41149960bad12ade2187",0,,1,3000,2
"94-25-74-66","0548b11d746b41149960bad12ade2187",8,2,,,
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",1,,,,
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",3,,,,
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",9,,,,
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",0,,,,
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",6,,,,
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",4,,,,
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",8,,,,
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",2,,,,
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",7,,,,
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",5,,,,
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",8,2,,,
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",0,,1,15000,2
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",2,1,1,30000,4
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",3,2,,,
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",5,2,,,
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",6,2,,,
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",4,1,2,,
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",7,2,,,
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",9,2,,,
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",1,1,1,35000,2
"39-29-24-84","07d762b045a54167af44618c38f26e49",4,2,,,
"39-29-24-84","07d762b045a54167af44618c38f26e49",5,2,,,
"39-29-24-84","07d762b045a54167af44618c38f26e49",6,2,,,
"39-29-24-84","07d762b045a54167af44618c38f26e49",8,2,,,
"39-29-24-84","07d762b045a54167af44618c38f26e49",0,,2,,
"39-29-24-84","07d762b045a54167af44618c38f26e49",1,2,,,
"39-29-24-84","07d762b045a54167af44618c38f26e49",3,2,,,
"39-29-24-84","07d762b045a54167af44618c38f26e49",7,2,,,
"39-29-24-84","07d762b045a54167af44618c38f26e49",2,2,,,
"39-29-24-84","07d762b045a54167af44618c38f26e49",9,1,1,10000,2
"74-65-87-03","09583a0be3d943588eccede22daecd45",5,,,,
"74-65-87-03","09583a0be3d943588eccede22daecd45",4,,,,
"74-65-87-03","09583a0be3d943588eccede22daecd45",3,,,,
"74-65-87-03","09583a0be3d943588eccede22daecd45",6,,,,
"74-65-87-03","09583a0be3d943588eccede22daecd45",9,,,,
"74-65-87-03","09583a0be3d943588eccede22daecd45",0,,,,
"74-65-87-03","09583a0be3d943588eccede22daecd45",7,,,,
"74-65-87-03","09583a0be3d943588eccede22daecd45",8,,,,
"74-65-87-03","09583a0be3d943588eccede22daecd45",2,,,,
"74-65-87-03","09583a0be3d943588eccede22daecd45",1,,,,
"96-05-61-85","09bd271138b34050a20647bb26da164e",6,2,,,
"96-05-61-85","09bd271138b34050a20647bb26da164e",8,2,,,
"96-05-61-85","09bd271138b34050a20647bb26da164e",5,2,,,
"96-05-61-85","09bd271138b34050a20647bb26da164e",1,1,1,70000,2
"96-05-61-85","09bd271138b34050a20647bb26da164e",7,2,,,
"96-05-61-85","09bd271138b34050a20647bb26da164e",3,2,,,
"96-05-61-85","09bd271138b34050a20647bb26da164e",0,,1,44000,2
"96-05-61-85","09bd271138b34050a20647bb26da164e",2,2,,,
"96-05-61-85","09bd271138b34050a20647bb26da164e",9,2,,,
"96-05-61-85","09bd271138b34050a20647bb26da164e",4,2,,,
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",0,,1,8000,2
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",5,2,,,
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",7,2,,,
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",4,2,,,
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",2,2,,,
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",9,2,,,
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",1,1,1,5000,2
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",3,2,,,
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",8,2,,,
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",6,2,,,
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",6,2,,,
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",7,2,,,
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",2,2,,,
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",1,1,2,,
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",8,2,,,
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",5,2,,,
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",3,1,2,,
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",9,1,2,,
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",0,,1,20000,2
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",4,1,2,,
"54-45-74-15","0e2cb66e0eaa46feb1f41a241a8c4910",1,1,1,5000,2
"54-45-74-15","0e2cb66e0eaa46feb1f41a241a8c4910",7,2,,,
"54-45-74-15","0e2cb66e0eaa46feb1f41a241a8c4910",8,1,2,,
"54-45-74-15","0e2cb66e0eaa46feb1f41a241a8c4910",9,2,,,
"54-45-74-15","0e2cb66e0eaa46feb1f41a241a8c4910",0,,1,5000,2
"54-45-74-15","0e2cb66e0eaa46feb1f41a241a8c4910",4,1,2,,
"54-45-74-15","0e2cb66e0eaa46feb1f41a241a8c4910",6,2,,,
"54-45-74-15","0e2cb66e0eaa46feb1f41a241a8c4910",5,2,,,
"54-45-74-15","0e2cb66e0eaa46feb1f41a241a8c4910",2,2,,,
"54-45-74-15","0e2cb66e0eaa46feb1f41a241a8c4910",3,2,,,
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",5,2,,,
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",2,2,,,
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",4,1,2,,
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",0,,1,3000,2
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",6,2,,,
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",9,1,2,,
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",8,2,,,
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",7,2,,,
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",1,2,,,
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",3,2,,,
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",9,1,2,,
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",6,2,,,
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",7,2,,,
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",3,2,,,
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",5,2,,,
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",0,,1,6000,2
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",8,2,,,
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",2,2,,,
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",1,1,1,75000,2
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",4,1,2,,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",6,,,,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",2,,,,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",7,,,,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",8,,,,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",1,,,,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",3,,,,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",4,,,,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",0,,,,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",5,,,,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",9,,,,
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",1,1,1,80000,2
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",8,2,,,
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",3,2,,,
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",6,2,,,
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",5,2,,,
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",2,2,,,
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",0,,1,5000,2
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",7,2,,,
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",9,1,1,105000,2
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",4,2,,,
"75-98-78-48","13f4006f120f4c3b800e7ccaedd4aee4",2,2,,,
"75-98-78-48","13f4006f120f4c3b800e7ccaedd4aee4",9,2,,,
"75-98-78-48","13f4006f120f4c3b800e7ccaedd4aee4",0,,1,5000,2
"75-98-78-48","13f4006f120f4c3b800e7ccaedd4aee4",5,2,,,
"75-98-78-48","13f4006f120f4c3b800e7ccaedd4aee4",7,2,,,
"75-98-78-48","13f4006f120f4c3b800e7ccaedd4aee4",1,1,1,10000,2
"75-98-78-48","13f4006f120f4c3b800e7ccaedd4aee4",4,2,,,
"75-98-78-48","13f4006f120f4c3b800e7ccaedd4aee4",6,2,,,
"75-98-78-48","13f4006f120f4c3b800e7ccaedd4aee4",3,2,,,
"75-98-78-48","13f4006f120f4c3b800e7ccaedd4aee4",8,2,,,
"98-86-51-07","150cdba4fed14b4a87d582d398577942",5,2,,,
"98-86-51-07","150cdba4fed14b4a87d582d398577942",6,2,,,
"98-86-51-07","150cdba4fed14b4a87d582d398577942",4,2,,,
"98-86-51-07","150cdba4fed14b4a87d582d398577942",2,2,,,
"98-86-51-07","150cdba4fed14b4a87d582d398577942",7,2,,,
"98-86-51-07","150cdba4fed14b4a87d582d398577942",1,1,1,3000,2
"98-86-51-07","150cdba4fed14b4a87d582d398577942",9,2,,,
"98-86-51-07","150cdba4fed14b4a87d582d398577942",0,,1,5000,2
"98-86-51-07","150cdba4fed14b4a87d582d398577942",3,2,,,
"98-86-51-07","150cdba4fed14b4a87d582d398577942",8,2,,,
"16-77-56-74","155c5c1261c04747be7944ce3daa6ac2",4,1,2,,
"16-77-56-74","155c5c1261c04747be7944ce3daa6ac2",6,2,,,
"16-77-56-74","155c5c1261c04747be7944ce3daa6ac2",0,,1,2000,1
"16-77-56-74","155c5c1261c04747be7944ce3daa6ac2",8,2,,,
"16-77-56-74","155c5c1261c04747be7944ce3daa6ac2",1,1,1,12000,2
"16-77-56-74","155c5c1261c04747be7944ce3daa6ac2",3,2,,,
"16-77-56-74","155c5c1261c04747be7944ce3daa6ac2",9,2,,,
"16-77-56-74","155c5c1261c04747be7944ce3daa6ac2",5,2,,,
