"interview__key","EA_code","year_id","s3q30a","s3q30b","s3q31a","s3q31b","s3q32a","s3q32b","s3q33a","s3q33b"
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",0,3,5,0,0,2,5,0,0
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",1,7,9,3,0,4,6,0,2
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",1,,,,,,,,
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",0,,,,,,,,
"94-25-74-66","0548b11d746b41149960bad12ade2187",0,17,19,0,0,3,2,4,9
"94-25-74-66","0548b11d746b41149960bad12ade2187",1,,,,,,,,
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",1,,,,,,,,
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",0,,,,,,,,
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",0,80,75,6,0,46,45,13,16
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",1,88,86,10,2,54,41,14,27
"39-29-24-84","07d762b045a54167af44618c38f26e49",1,,,,,,,,
"39-29-24-84","07d762b045a54167af44618c38f26e49",0,,,,,,,,
"74-65-87-03","09583a0be3d943588eccede22daecd45",0,,,,,,,,
"74-65-87-03","09583a0be3d943588eccede22daecd45",1,,,,,,,,
"96-05-61-85","09bd271138b34050a20647bb26da164e",1,62,50,1,2,30,37,14,14
"96-05-61-85","09bd271138b34050a20647bb26da164e",0,37,32,6,1,30,27,1,4
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",0,19,12,0,0,1,0,7,5
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",1,16,13,0,0,0,1,2,1
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",0,41,15,0,0,31,8,4,4
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",1,18,7,1,0,17,3,2,4
"54-45-74-15","0e2cb66e0eaa46feb1f41a241a8c4910",0,9,14,0,0,4,6,3,6
"54-45-74-15","0e2cb66e0eaa46feb1f41a241a8c4910",1,8,18,0,0,1,4,5,5
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",1,24,13,2,0,6,4,12,7
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",0,21,24,0,0,12,5,8,10
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",0,27,25,0,0,14,10,7,5
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",1,27,18,0,0,12,8,10,4
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",1,,,,,,,,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",0,,,,,,,,
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",1,40,16,4,0,29,14,5,2
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",0,31,32,1,1,25,18,3,8
"75-98-78-48","13f4006f120f4c3b800e7ccaedd4aee4",1,,,,,,,,
