"EA_code","t0_EA_code","interview__key","schoolmeeting_id","s3q39a","s3q38","s3q39b","s3q40","s3q41"
"00928229c3e64db9a66fd1f0d4dff345",,"12-09-37-88",1,10,1,2018,1,96
"00928229c3e64db9a66fd1f0d4dff345",,"12-09-37-88",2,9,1,2016,1,6
"00928229c3e64db9a66fd1f0d4dff345",,"12-09-37-88",5,,2,,,
"00928229c3e64db9a66fd1f0d4dff345",,"12-09-37-88",4,,2,,,
"00928229c3e64db9a66fd1f0d4dff345",,"12-09-37-88",3,,2,,,
"03e3d013ed9a4a7b9e72a04e5867ed88",,"13-26-94-05",1,,,,,
"03e3d013ed9a4a7b9e72a04e5867ed88",,"13-26-94-05",3,,,,,
"03e3d013ed9a4a7b9e72a04e5867ed88",,"13-26-94-05",5,,,,,
"03e3d013ed9a4a7b9e72a04e5867ed88",,"13-26-94-05",4,,,,,
"03e3d013ed9a4a7b9e72a04e5867ed88",,"13-26-94-05",2,,,,,
"0548b11d746b41149960bad12ade2187","3211070717","94-25-74-66",2,11,1,2017,1,5
"0548b11d746b41149960bad12ade2187","3211070717","94-25-74-66",1,2,1,2018,1,96
"0548b11d746b41149960bad12ade2187","3211070717","94-25-74-66",4,,2,,,
"0548b11d746b41149960bad12ade2187","3211070717","94-25-74-66",5,,2,,,
"0548b11d746b41149960bad12ade2187","3211070717","94-25-74-66",3,10,1,2017,1,4
"06aeb38cf33a4c6b9ad71262908541eb",,"34-90-92-66",2,,,,,
"06aeb38cf33a4c6b9ad71262908541eb",,"34-90-92-66",1,,,,,
"06aeb38cf33a4c6b9ad71262908541eb",,"34-90-92-66",4,,,,,
"06aeb38cf33a4c6b9ad71262908541eb",,"34-90-92-66",5,,,,,
"06aeb38cf33a4c6b9ad71262908541eb",,"34-90-92-66",3,,,,,
"06c492654e8342fabe3ec8af1aad4cef","1074030303","66-47-37-97",2,7,1,2018,1,3
"06c492654e8342fabe3ec8af1aad4cef","1074030303","66-47-37-97",3,7,1,2018,1,3
"06c492654e8342fabe3ec8af1aad4cef","1074030303","66-47-37-97",4,6,1,2018,,3
"06c492654e8342fabe3ec8af1aad4cef","1074030303","66-47-37-97",5,6,1,2018,,6
"06c492654e8342fabe3ec8af1aad4cef","1074030303","66-47-37-97",1,6,1,2018,2,96
"07d762b045a54167af44618c38f26e49","4032050503","39-29-24-84",2,3,1,2018,1,3
"07d762b045a54167af44618c38f26e49","4032050503","39-29-24-84",4,5,1,2017,,5
"07d762b045a54167af44618c38f26e49","4032050503","39-29-24-84",3,5,1,2018,1,6
"07d762b045a54167af44618c38f26e49","4032050503","39-29-24-84",5,3,1,2018,,5
"07d762b045a54167af44618c38f26e49","4032050503","39-29-24-84",1,5,1,2018,1,2
"09583a0be3d943588eccede22daecd45",,"74-65-87-03",2,,,,,
"09583a0be3d943588eccede22daecd45",,"74-65-87-03",5,,,,,
"09583a0be3d943588eccede22daecd45",,"74-65-87-03",3,,,,,
"09583a0be3d943588eccede22daecd45",,"74-65-87-03",4,,,,,
"09583a0be3d943588eccede22daecd45",,"74-65-87-03",1,,,,,
"09bd271138b34050a20647bb26da164e","3072020202","96-05-61-85",4,3,1,2018,,3
"09bd271138b34050a20647bb26da164e","3072020202","96-05-61-85",5,2,1,2018,,6
"09bd271138b34050a20647bb26da164e","3072020202","96-05-61-85",3,2,1,2018,1,6
"09bd271138b34050a20647bb26da164e","3072020202","96-05-61-85",1,3,1,2018,1,3
"09bd271138b34050a20647bb26da164e","3072020202","96-05-61-85",2,1,1,2018,1,4
"09e5567a67b24c56b7c7bb13800ead7e","1121040410","02-82-25-55",2,6,1,2018,1,3
"09e5567a67b24c56b7c7bb13800ead7e","1121040410","02-82-25-55",5,,,,,
"09e5567a67b24c56b7c7bb13800ead7e","1121040410","02-82-25-55",1,5,1,2018,1,96
"09e5567a67b24c56b7c7bb13800ead7e","1121040410","02-82-25-55",4,3,1,2018,,3
"09e5567a67b24c56b7c7bb13800ead7e","1121040410","02-82-25-55",3,5,1,2018,1,96
"0b6fdf9b7d2b484ea36915e5f8b3940d","3081020206","05-20-15-42",4,11,1,2017,,3
"0b6fdf9b7d2b484ea36915e5f8b3940d","3081020206","05-20-15-42",2,12,1,2016,1,5
"0b6fdf9b7d2b484ea36915e5f8b3940d","3081020206","05-20-15-42",1,4,1,2018,1,6
"0b6fdf9b7d2b484ea36915e5f8b3940d","3081020206","05-20-15-42",3,5,1,2018,1,6
"0b6fdf9b7d2b484ea36915e5f8b3940d","3081020206","05-20-15-42",5,4,1,2018,,96
"0e2cb66e0eaa46feb1f41a241a8c4910","1101050507","54-45-74-15",4,6,1,2018,,3
"0e2cb66e0eaa46feb1f41a241a8c4910","1101050507","54-45-74-15",2,7,1,2018,1,96
"0e2cb66e0eaa46feb1f41a241a8c4910","1101050507","54-45-74-15",5,7,1,2018,,2
"0e2cb66e0eaa46feb1f41a241a8c4910","1101050507","54-45-74-15",1,7,1,2018,1,96
"0e2cb66e0eaa46feb1f41a241a8c4910","1101050507","54-45-74-15",3,7,1,2018,1,96
"0e53cc68fc734154a21bb2def6bbc5c6","2081070701","98-06-19-96",5,12,1,2018,,3
"0e53cc68fc734154a21bb2def6bbc5c6","2081070701","98-06-19-96",1,2,1,2018,1,96
"0e53cc68fc734154a21bb2def6bbc5c6","2081070701","98-06-19-96",4,,2,,,
"0e53cc68fc734154a21bb2def6bbc5c6","2081070701","98-06-19-96",3,2,1,2018,1,3
"0e53cc68fc734154a21bb2def6bbc5c6","2081070701","98-06-19-96",2,2,1,2018,1,96
"0e5fc948d76340ac9c27380a8837c56c","2162020206","13-72-15-50",5,8,1,2018,,3
"0e5fc948d76340ac9c27380a8837c56c","2162020206","13-72-15-50",4,10,1,2018,,3
"0e5fc948d76340ac9c27380a8837c56c","2162020206","13-72-15-50",1,9,1,2018,1,6
"0e5fc948d76340ac9c27380a8837c56c","2162020206","13-72-15-50",3,7,1,2018,1,96
