"interview__key","EA_code","position_id","s3q43a","s3q43b"
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",2,6,0
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",0,0,0
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",1,2,0
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",1,,
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",0,,
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",2,,
"94-25-74-66","0548b11d746b41149960bad12ade2187",0,5,0
"94-25-74-66","0548b11d746b41149960bad12ade2187",1,6,3
"94-25-74-66","0548b11d746b41149960bad12ade2187",2,0,0
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",1,,
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",0,,
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",2,,
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",0,9,0
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",1,16,0
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",2,0,0
"39-29-24-84","07d762b045a54167af44618c38f26e49",1,4,0
"39-29-24-84","07d762b045a54167af44618c38f26e49",2,4,0
"39-29-24-84","07d762b045a54167af44618c38f26e49",0,1,8
"74-65-87-03","09583a0be3d943588eccede22daecd45",0,,
"74-65-87-03","09583a0be3d943588eccede22daecd45",2,,
"74-65-87-03","09583a0be3d943588eccede22daecd45",1,,
"96-05-61-85","09bd271138b34050a20647bb26da164e",0,20,0
"96-05-61-85","09bd271138b34050a20647bb26da164e",2,0,0
"96-05-61-85","09bd271138b34050a20647bb26da164e",1,11,0
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",0,2,0
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",2,0,0
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",1,8,0
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",0,6,0
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",1,22,0
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",2,0,0
"54-45-74-15","0e2cb66e0eaa46feb1f41a241a8c4910",1,6,0
"54-45-74-15","0e2cb66e0eaa46feb1f41a241a8c4910",0,4,0
"54-45-74-15","0e2cb66e0eaa46feb1f41a241a8c4910",2,3,0
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",1,8,8
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",0,1,2
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",2,2,0
