"interview__key","EA_code","class_id","s3q53","s3q54","s3q55a","s3q55b","s3q56","s3q57","s3q58","s3q59","s3q60","s3q61","s3q62","s3q63","s3q64","s3q65","s3q66","s3q53_v2","s3q54_v2","s3q55a_v2","s3q55b_v2","s3q56_v2","s3q57_v2","s3q58_v2","s3q59_v2","s3q60_v2","s3q60_oth_v2","s3q61_v2","s3q61_oth_v2","s3q62_v2","s3q63_v2","s3q64_v2","s3q65_v2","s3q66_v2"
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",3,,,,,,,,,,,,,,,,1,2,9,7,2,2,,,,,,,,,,,
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",1,,,,,,,,,,,,,,,,2,3,10,6,2,1,,,,,,,,,,,
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",0,,,,,,,,,,,,,,,,1,3,13,9,2,2,,,,,,,,,,,
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",6,,,,,,,,,,,,,,,,1,3,4,1,2,2,,,,,,,,,,,
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",2,,,,,,,,,,,,,,,,2,3,9,5,2,2,,,,,,,,,,,
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",5,,,,,,,,,,,,,,,,1,2,7,7,2,2,,,,,,,,,,,
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",4,,,,,,,,,,,,,,,,1,2,0,5,2,2,,,,,,,,,,,
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"94-25-74-66","0548b11d746b41149960bad12ade2187",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"94-25-74-66","0548b11d746b41149960bad12ade2187",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"94-25-74-66","0548b11d746b41149960bad12ade2187",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"94-25-74-66","0548b11d746b41149960bad12ade2187",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"94-25-74-66","0548b11d746b41149960bad12ade2187",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"94-25-74-66","0548b11d746b41149960bad12ade2187",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"94-25-74-66","0548b11d746b41149960bad12ade2187",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",0,2,2,145,135,2,1,1,,,,1,261,2,2,1,2,2,153,144,2,1,1,,,,,,1,286,3,2,1
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",6,1,2,76,97,1,3,1,,,,1,173,1,1,1,1,1,76,97,1,2,1,,,,,,1,171,1,1,1
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",1,2,1,122,124,2,1,1,,,,1,286,2,2,1,2,1,179,134,2,1,1,,,,,,1,263,2,2,1
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",4,2,2,170,190,1,3,1,,,,1,375,2,1,1,2,2,176,196,1,3,1,,,,,,1,316,2,1,1
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",5,2,1,121,116,1,3,1,,,,1,234,1,1,1,2,1,122,133,1,2,1,,,,,,1,326,2,1,1
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",3,2,1,211,192,1,2,1,,,,1,379,2,1,1,2,2,217,199,1,3,1,,,,,,1,372,2,1,1
