"EA_code","t0_EA_code","initiative_id","interview__key","s3mq1","s3mq2"
"00928229c3e64db9a66fd1f0d4dff345",,1,"12-09-37-88",2,
"00928229c3e64db9a66fd1f0d4dff345",,2,"12-09-37-88",2,
"00928229c3e64db9a66fd1f0d4dff345",,3,"12-09-37-88",2,
"00928229c3e64db9a66fd1f0d4dff345",,4,"12-09-37-88",2,
"00928229c3e64db9a66fd1f0d4dff345",,5,"12-09-37-88",2,
"00928229c3e64db9a66fd1f0d4dff345",,6,"12-09-37-88",2,
"00928229c3e64db9a66fd1f0d4dff345",,7,"12-09-37-88",2,
"00928229c3e64db9a66fd1f0d4dff345",,8,"12-09-37-88",2,
"00928229c3e64db9a66fd1f0d4dff345",,9,"12-09-37-88",2,
"00928229c3e64db9a66fd1f0d4dff345",,10,"12-09-37-88",2,
"00928229c3e64db9a66fd1f0d4dff345",,11,"12-09-37-88",1,1
"00928229c3e64db9a66fd1f0d4dff345",,12,"12-09-37-88",2,
"00928229c3e64db9a66fd1f0d4dff345",,13,"12-09-37-88",2,
"00928229c3e64db9a66fd1f0d4dff345",,14,"12-09-37-88",2,
"00928229c3e64db9a66fd1f0d4dff345",,15,"12-09-37-88",2,
"00928229c3e64db9a66fd1f0d4dff345",,16,"12-09-37-88",2,
"00928229c3e64db9a66fd1f0d4dff345",,17,"12-09-37-88",2,
"00928229c3e64db9a66fd1f0d4dff345",,18,"12-09-37-88",2,
"00928229c3e64db9a66fd1f0d4dff345",,19,"12-09-37-88",2,
"00928229c3e64db9a66fd1f0d4dff345",,20,"12-09-37-88",2,
"03e3d013ed9a4a7b9e72a04e5867ed88",,1,"13-26-94-05",,
"03e3d013ed9a4a7b9e72a04e5867ed88",,2,"13-26-94-05",,
"03e3d013ed9a4a7b9e72a04e5867ed88",,3,"13-26-94-05",,
"03e3d013ed9a4a7b9e72a04e5867ed88",,4,"13-26-94-05",,
"03e3d013ed9a4a7b9e72a04e5867ed88",,5,"13-26-94-05",,
"03e3d013ed9a4a7b9e72a04e5867ed88",,6,"13-26-94-05",,
"03e3d013ed9a4a7b9e72a04e5867ed88",,7,"13-26-94-05",,
"03e3d013ed9a4a7b9e72a04e5867ed88",,8,"13-26-94-05",,
"03e3d013ed9a4a7b9e72a04e5867ed88",,9,"13-26-94-05",,
"03e3d013ed9a4a7b9e72a04e5867ed88",,10,"13-26-94-05",,
"03e3d013ed9a4a7b9e72a04e5867ed88",,11,"13-26-94-05",,
"03e3d013ed9a4a7b9e72a04e5867ed88",,12,"13-26-94-05",,
