"EA_code","t0_EA_code","interview__key","common_stock_id","s4eq61","s4eq61_v2","s4eq62","s4eq63","s4eq62_v2","s4eq63_v2"
"00928229c3e64db9a66fd1f0d4dff345",,"12-09-37-88",7,,,,,,
"00928229c3e64db9a66fd1f0d4dff345",,"12-09-37-88",3,,,,,,
"00928229c3e64db9a66fd1f0d4dff345",,"12-09-37-88",2,,,,,,
"00928229c3e64db9a66fd1f0d4dff345",,"12-09-37-88",8,,,,,,
"00928229c3e64db9a66fd1f0d4dff345",,"12-09-37-88",12,,,,,,
"00928229c3e64db9a66fd1f0d4dff345",,"12-09-37-88",11,,,,,,
"00928229c3e64db9a66fd1f0d4dff345",,"12-09-37-88",4,,,,,,
"00928229c3e64db9a66fd1f0d4dff345",,"12-09-37-88",10,,,,,,
"00928229c3e64db9a66fd1f0d4dff345",,"12-09-37-88",1,,,,,,
"00928229c3e64db9a66fd1f0d4dff345",,"12-09-37-88",6,,,,,,
"00928229c3e64db9a66fd1f0d4dff345",,"12-09-37-88",9,,,,,,
"00928229c3e64db9a66fd1f0d4dff345",,"12-09-37-88",5,,,,,,
"03e3d013ed9a4a7b9e72a04e5867ed88",,"13-26-94-05",2,2,2,,,,
"03e3d013ed9a4a7b9e72a04e5867ed88",,"13-26-94-05",1,2,2,,,,
"03e3d013ed9a4a7b9e72a04e5867ed88",,"13-26-94-05",9,2,2,,,,
"03e3d013ed9a4a7b9e72a04e5867ed88",,"13-26-94-05",10,2,2,,,,
"03e3d013ed9a4a7b9e72a04e5867ed88",,"13-26-94-05",7,2,2,,,,
"03e3d013ed9a4a7b9e72a04e5867ed88",,"13-26-94-05",3,2,2,,,,
"03e3d013ed9a4a7b9e72a04e5867ed88",,"13-26-94-05",4,2,2,,,,
"03e3d013ed9a4a7b9e72a04e5867ed88",,"13-26-94-05",12,2,2,,,,
"03e3d013ed9a4a7b9e72a04e5867ed88",,"13-26-94-05",6,2,2,,,,
"03e3d013ed9a4a7b9e72a04e5867ed88",,"13-26-94-05",11,2,2,,,,
"03e3d013ed9a4a7b9e72a04e5867ed88",,"13-26-94-05",5,2,2,,,,
"03e3d013ed9a4a7b9e72a04e5867ed88",,"13-26-94-05",8,2,2,,,,
"0548b11d746b41149960bad12ade2187","3211070717","94-25-74-66",11,1,1,1,2,1,2
"0548b11d746b41149960bad12ade2187","3211070717","94-25-74-66",1,1,1,2,2,2,2
"0548b11d746b41149960bad12ade2187","3211070717","94-25-74-66",4,2,2,,,,
"0548b11d746b41149960bad12ade2187","3211070717","94-25-74-66",5,2,2,,,,
"0548b11d746b41149960bad12ade2187","3211070717","94-25-74-66",10,2,2,,,,
"0548b11d746b41149960bad12ade2187","3211070717","94-25-74-66",6,1,1,1,2,1,2
"0548b11d746b41149960bad12ade2187","3211070717","94-25-74-66",3,1,1,2,2,2,2
"0548b11d746b41149960bad12ade2187","3211070717","94-25-74-66",12,1,1,2,2,2,2
"0548b11d746b41149960bad12ade2187","3211070717","94-25-74-66",2,2,2,,,,
"0548b11d746b41149960bad12ade2187","3211070717","94-25-74-66",8,2,2,,,,
"0548b11d746b41149960bad12ade2187","3211070717","94-25-74-66",7,1,1,1,2,1,2
"0548b11d746b41149960bad12ade2187","3211070717","94-25-74-66",9,1,1,1,2,1,2
"06aeb38cf33a4c6b9ad71262908541eb",,"34-90-92-66",3,,,,,,
"06aeb38cf33a4c6b9ad71262908541eb",,"34-90-92-66",10,,,,,,
"06aeb38cf33a4c6b9ad71262908541eb",,"34-90-92-66",8,,,,,,
"06aeb38cf33a4c6b9ad71262908541eb",,"34-90-92-66",5,,,,,,
"06aeb38cf33a4c6b9ad71262908541eb",,"34-90-92-66",2,,,,,,
"06aeb38cf33a4c6b9ad71262908541eb",,"34-90-92-66",9,,,,,,
"06aeb38cf33a4c6b9ad71262908541eb",,"34-90-92-66",4,,,,,,
"06aeb38cf33a4c6b9ad71262908541eb",,"34-90-92-66",11,,,,,,
"06aeb38cf33a4c6b9ad71262908541eb",,"34-90-92-66",1,,,,,,
"06aeb38cf33a4c6b9ad71262908541eb",,"34-90-92-66",7,,,,,,
"06aeb38cf33a4c6b9ad71262908541eb",,"34-90-92-66",6,,,,,,
"06aeb38cf33a4c6b9ad71262908541eb",,"34-90-92-66",12,,,,,,
"06c492654e8342fabe3ec8af1aad4cef","1074030303","66-47-37-97",5,,,,,,
"06c492654e8342fabe3ec8af1aad4cef","1074030303","66-47-37-97",1,,,,,,
"06c492654e8342fabe3ec8af1aad4cef","1074030303","66-47-37-97",10,,,,,,
"06c492654e8342fabe3ec8af1aad4cef","1074030303","66-47-37-97",3,,,,,,
"06c492654e8342fabe3ec8af1aad4cef","1074030303","66-47-37-97",11,,,,,,
"06c492654e8342fabe3ec8af1aad4cef","1074030303","66-47-37-97",4,,,,,,
"06c492654e8342fabe3ec8af1aad4cef","1074030303","66-47-37-97",6,,,,,,
"06c492654e8342fabe3ec8af1aad4cef","1074030303","66-47-37-97",2,,,,,,
"06c492654e8342fabe3ec8af1aad4cef","1074030303","66-47-37-97",7,,,,,,
"06c492654e8342fabe3ec8af1aad4cef","1074030303","66-47-37-97",9,,,,,,
