"interview__key","EA_code","c4h_elementyear_id","s4hq83","s4hq84","s4hq85","s4hq86","s4hq82v2","s4hq83v2","s4hq84v2","s4hq85v2","s4hq86v2"
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",5,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##","##N/A##",,"##N/A##"
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",0,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##","##N/A##",,"##N/A##"
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",4,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##","##N/A##",,"##N/A##"
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",2,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##","##N/A##",,"##N/A##"
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",1,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##","##N/A##",,"##N/A##"
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",3,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##","##N/A##",,"##N/A##"
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",5,"0","0",2,"NO VACCINE","##N/A##","##N/A##","##N/A##",,"##N/A##"
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",4,"0","0",2,"NO VACCINE","##N/A##","##N/A##","##N/A##",,"##N/A##"
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",0,"408","408",2,"NONE","##N/A##","##N/A##","##N/A##",,"##N/A##"
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",1,"609","609",2,"NONE","##N/A##","##N/A##","##N/A##",,"##N/A##"
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",3,"9","9",2,"NONE","##N/A##","##N/A##","##N/A##",,"##N/A##"
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",2,"6","6",2,"NONE","##N/A##","##N/A##","##N/A##",,"##N/A##"
"94-25-74-66","0548b11d746b41149960bad12ade2187",0,"0","871",1,"Missing  HmIs  105","728","0","721",1,"Wrong  numbering"
"94-25-74-66","0548b11d746b41149960bad12ade2187",4,"0","211",1,"Missing  HmIs  105","155","0","152",1,"Wrong  tallying"
"94-25-74-66","0548b11d746b41149960bad12ade2187",3,"0","40",1,"Missing  HmIs  105","69","0","69",2,"ok"
"94-25-74-66","0548b11d746b41149960bad12ade2187",2,"0","56",1,"Missing  HmIs  105","50","0","50",2,"ok"
