"EA_code","t0_EA_code","interview__key","s4oq113","s4oq114"
"00928229c3e64db9a66fd1f0d4dff345",,"12-09-37-88",,
"03e3d013ed9a4a7b9e72a04e5867ed88",,"13-26-94-05",1,1
"06aeb38cf33a4c6b9ad71262908541eb",,"34-90-92-66",,
"0548b11d746b41149960bad12ade2187","3211070717","94-25-74-66",1,1
"06c492654e8342fabe3ec8af1aad4cef","1074030303","66-47-37-97",,
"07d762b045a54167af44618c38f26e49","4032050503","39-29-24-84",1,1
"09583a0be3d943588eccede22daecd45",,"74-65-87-03",,
"09bd271138b34050a20647bb26da164e","3072020202","96-05-61-85",,
"0b6fdf9b7d2b484ea36915e5f8b3940d","3081020206","05-20-15-42",1,1
"0e2cb66e0eaa46feb1f41a241a8c4910","1101050507","54-45-74-15",1,2
"09e5567a67b24c56b7c7bb13800ead7e","1121040410","02-82-25-55",1,1
"120df4dbf75444178f10871b972869ac","1042080804","24-08-96-20",,
"0e53cc68fc734154a21bb2def6bbc5c6","2081070701","98-06-19-96",1,1
"0e5fc948d76340ac9c27380a8837c56c","2162020206","13-72-15-50",1,1
"12810e18eb6c41d7ac10cbb28f40fdf3","3211050502","76-22-41-77",,
"13a34d9690b54ab7b9eee7d1ddafbe9f","3023030305","97-89-02-98",,
"13f4006f120f4c3b800e7ccaedd4aee4","1133030301","75-98-78-48",1,1
"150cdba4fed14b4a87d582d398577942","1231080801","98-86-51-07",1,1
"155c5c1261c04747be7944ce3daa6ac2","2231212105","16-77-56-74",1,1
"15e14a2aedca4f1dad88f6a30e6d8a2c","4241050502","48-96-08-15",1,1
"15cebd17f95047b3b242caab688fc2a0","1221060618","70-23-73-82",,
"166579dc0f4d4f19bdc2c8e6c2e31a0f","4033010102","13-39-91-73",,
"1816825774944a8fa45dde05fc0e79dc","4201080809","77-05-32-40",,
"191a256cbcac47a2966d2f058153bc70","4122030305","34-03-95-15",2,
"16c6c976a02c414f8e01d02dddc97a5d","2322030305","05-10-89-43",1,1
"195e5a9b4fcb4d7dbe18eaf543a9283b","1021010102","41-72-74-44",,
"1a257e54482e4ecf8b6aedc7cc89f8fd","1121020202","01-51-54-41",1,1
"1dce5f2d227147f4a9f8e27ad9423f5d","3231040401","32-45-14-74",1,1
