"interview__key","EA_code","medical_staff_id","s4pq116a","s4pq116b"
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",6,,
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",4,,
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",1,,
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",3,,
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",0,,
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",2,,
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",5,,
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",7,,
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",7,0,0
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",4,0,0
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",6,2,0
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",2,0,0
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",0,0,0
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",5,2,0
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",1,2,0
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",3,2,0
"94-25-74-66","0548b11d746b41149960bad12ade2187",7,0,0
"94-25-74-66","0548b11d746b41149960bad12ade2187",5,3,1
"94-25-74-66","0548b11d746b41149960bad12ade2187",2,1,0
"94-25-74-66","0548b11d746b41149960bad12ade2187",3,0,0
"94-25-74-66","0548b11d746b41149960bad12ade2187",1,1,0
"94-25-74-66","0548b11d746b41149960bad12ade2187",0,0,0
"94-25-74-66","0548b11d746b41149960bad12ade2187",4,2,0
"94-25-74-66","0548b11d746b41149960bad12ade2187",6,3,0
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",0,,
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",2,,
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",5,,
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",1,,
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",7,,
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",4,,
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",6,,
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",3,,
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",6,,
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",2,,
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",7,,
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",5,,
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",3,,
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",4,,
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",1,,
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",0,,
"39-29-24-84","07d762b045a54167af44618c38f26e49",2,16,0
"39-29-24-84","07d762b045a54167af44618c38f26e49",5,8,0
"39-29-24-84","07d762b045a54167af44618c38f26e49",3,4,0
"39-29-24-84","07d762b045a54167af44618c38f26e49",6,9,0
"39-29-24-84","07d762b045a54167af44618c38f26e49",4,0,0
"39-29-24-84","07d762b045a54167af44618c38f26e49",0,0,2
"39-29-24-84","07d762b045a54167af44618c38f26e49",7,0,2
"39-29-24-84","07d762b045a54167af44618c38f26e49",1,6,0
"74-65-87-03","09583a0be3d943588eccede22daecd45",7,,
"74-65-87-03","09583a0be3d943588eccede22daecd45",2,,
"74-65-87-03","09583a0be3d943588eccede22daecd45",1,,
"74-65-87-03","09583a0be3d943588eccede22daecd45",0,,
"74-65-87-03","09583a0be3d943588eccede22daecd45",5,,
"74-65-87-03","09583a0be3d943588eccede22daecd45",3,,
"74-65-87-03","09583a0be3d943588eccede22daecd45",6,,
