"EA_code","t0_EA_code","interview__key","community_groups_id","s6bq01","s6bq02","s6bq03","s6bq04","s6bq05"
"00928229c3e64db9a66fd1f0d4dff345",,"12-09-37-88",303,2,,,,
"00928229c3e64db9a66fd1f0d4dff345",,"12-09-37-88",307,2,,,,
"00928229c3e64db9a66fd1f0d4dff345",,"12-09-37-88",302,2,,,,
"00928229c3e64db9a66fd1f0d4dff345",,"12-09-37-88",305,2,,,,
"00928229c3e64db9a66fd1f0d4dff345",,"12-09-37-88",309,2,,,,
"00928229c3e64db9a66fd1f0d4dff345",,"12-09-37-88",308,2,,,,
"00928229c3e64db9a66fd1f0d4dff345",,"12-09-37-88",312,2,,,,
"00928229c3e64db9a66fd1f0d4dff345",,"12-09-37-88",304,1,1,2010,2,30
"00928229c3e64db9a66fd1f0d4dff345",,"12-09-37-88",310,2,,,,
"00928229c3e64db9a66fd1f0d4dff345",,"12-09-37-88",311,2,,,,
"00928229c3e64db9a66fd1f0d4dff345",,"12-09-37-88",301,2,,,,
"00928229c3e64db9a66fd1f0d4dff345",,"12-09-37-88",306,2,,,,
"00928229c3e64db9a66fd1f0d4dff345",,"12-09-37-88",313,2,,,,
"03e3d013ed9a4a7b9e72a04e5867ed88",,"13-26-94-05",311,2,,,,
"03e3d013ed9a4a7b9e72a04e5867ed88",,"13-26-94-05",308,2,,,,
"03e3d013ed9a4a7b9e72a04e5867ed88",,"13-26-94-05",307,2,,,,
"03e3d013ed9a4a7b9e72a04e5867ed88",,"13-26-94-05",306,2,,,,
"03e3d013ed9a4a7b9e72a04e5867ed88",,"13-26-94-05",313,2,,,,
"03e3d013ed9a4a7b9e72a04e5867ed88",,"13-26-94-05",309,2,,,,
"03e3d013ed9a4a7b9e72a04e5867ed88",,"13-26-94-05",310,2,,,,
"03e3d013ed9a4a7b9e72a04e5867ed88",,"13-26-94-05",312,2,,,,
"03e3d013ed9a4a7b9e72a04e5867ed88",,"13-26-94-05",303,2,,,,
"03e3d013ed9a4a7b9e72a04e5867ed88",,"13-26-94-05",305,2,,,,
"03e3d013ed9a4a7b9e72a04e5867ed88",,"13-26-94-05",302,2,,,,
"03e3d013ed9a4a7b9e72a04e5867ed88",,"13-26-94-05",301,2,,,,
"03e3d013ed9a4a7b9e72a04e5867ed88",,"13-26-94-05",304,2,,,,
"0548b11d746b41149960bad12ade2187","3211070717","94-25-74-66",306,2,,,,
"0548b11d746b41149960bad12ade2187","3211070717","94-25-74-66",302,1,6,2010,4,20
"0548b11d746b41149960bad12ade2187","3211070717","94-25-74-66",312,1,3,2015,2,30
"0548b11d746b41149960bad12ade2187","3211070717","94-25-74-66",304,1,7,2015,3,30
"0548b11d746b41149960bad12ade2187","3211070717","94-25-74-66",313,1,1,2017,3,10
"0548b11d746b41149960bad12ade2187","3211070717","94-25-74-66",308,2,,,,
"0548b11d746b41149960bad12ade2187","3211070717","94-25-74-66",301,2,,,,
"0548b11d746b41149960bad12ade2187","3211070717","94-25-74-66",310,2,,,,
"0548b11d746b41149960bad12ade2187","3211070717","94-25-74-66",305,2,,,,
"0548b11d746b41149960bad12ade2187","3211070717","94-25-74-66",311,2,,,,
"0548b11d746b41149960bad12ade2187","3211070717","94-25-74-66",303,2,,,,
"0548b11d746b41149960bad12ade2187","3211070717","94-25-74-66",307,2,,,,
"0548b11d746b41149960bad12ade2187","3211070717","94-25-74-66",309,1,2,2010,3,0
"06aeb38cf33a4c6b9ad71262908541eb",,"34-90-92-66",307,,,,,
"06aeb38cf33a4c6b9ad71262908541eb",,"34-90-92-66",302,,,,,
