"interview__key","EA_code","ngo_id","s6cq0","s6cq01","s6cq02","s6cq03","s6cq04","s6cq05"
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",1,"KALINA COMMUNITY DEVELOPMENT AGENCY",1,2008,1,40,27
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",2,"Compassion Uganda",3,2007,4,40,30
"74-65-87-03","09583a0be3d943588eccede22daecd45",1,"KAMWOKYA CHRISTIAN COMMUNITY",1,2000,1,600,400
"96-05-61-85","09bd271138b34050a20647bb26da164e",1,"OBATWANA",2,2016,4,5,2
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",2,"World food",3,2014,3,7,3
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",1,"Save the  children",3,1998,4,11,7
"61-27-08-63","168d74660fc04a2792cb437eedcec5e1",1,"Unbound",3,2000,4,98,98
"55-22-88-49","29fdcdf88e2e444f9fbb7d235214e8e1",1,"HOFOKAM",2,2013,5,30,8
"33-98-51-91","2c79b64a9c5544fabbddb2b71590e49f",1,"IPA",3,2016,3,16,9
"83-68-83-41","30a233559a484aa884a3c795efb64cdf",1,"Reach Out",1,2000,1,5000,3200
"72-50-29-68","30fabcc38b1c4f909a0de8b415a2988e",1,"Nescop",2,2017,5,60,40
"91-29-19-18","332221c6e42c4c7693f07f18bf883c77",1,"Mercy Corps",2,2017,4,32,25
"91-29-19-18","332221c6e42c4c7693f07f18bf883c77",2,"Unicef",3,2015,1,25,10
"31-50-07-11","36a60129e57347bea99b101f51c2d0a0",2,"IRC",3,2017,1,0,0
"31-50-07-11","36a60129e57347bea99b101f51c2d0a0",3,"ARC",3,2017,4,0,0
"31-50-07-11","36a60129e57347bea99b101f51c2d0a0",7,"RED CROSS",3,2017,1,0,0
"31-50-07-11","36a60129e57347bea99b101f51c2d0a0",1,"ZOA",3,2017,5,0,0
"31-50-07-11","36a60129e57347bea99b101f51c2d0a0",4,"SAVE THE CHILDREN",3,2017,4,0,0
"31-50-07-11","36a60129e57347bea99b101f51c2d0a0",5,"ECO",3,2018,1,0,0
"31-50-07-11","36a60129e57347bea99b101f51c2d0a0",6,"WAR CHILD  HOLLAND",3,2018,1,0,0
"56-67-32-81","3b39a3793b9e42deb8bea71311058e8a",1,"Caritas",3,2015,4,30,12
"08-02-90-92","3c03c72ff5bb4e43bb462f77bc401895",1,"Caritas",3,2010,4,0,0
"26-54-44-39","3c068ff6dd2648088c08a9fcdcb812f2",1,"World Vision",3,2005,1,50,20
"24-54-97-79","3e4cfe4688a44d3ba5524f2574dbed04",1,"PLAN",3,2008,4,1,1
"98-74-07-23","4ecbd2e7063b4921af2e0b7e0a8db0ce",2,"Mellinium",3,2015,5,20,10
"03-45-89-44","56c850451863421290489c656c6356a1",1,"KALITAS FARMERS GROUP",1,2000,5,36,24
"67-70-56-85","61187e593ce849f6b0b6f20972734150",1,"WORLD VISION",3,2005,4,117,
"56-99-39-47","62c15549e2894eee9032940da84f6170",1,"ACET",3,2016,4,83,36
"92-26-77-38","68f903f5bf9145f88554337640a5e431",1,"AFARD",3,2016,5,30,12
"92-26-77-38","68f903f5bf9145f88554337640a5e431",2,"Cream",2,2016,96,30,26
"64-64-66-34","6fdd02cc5fad4b6aaaa699355b50a2c5",1,"World Vision",3,2005,4,50,30
"23-95-21-09","741a8331efc04b6b845110d8a212aec0",1,"COMPASSION INTERNATIONAL",3,2010,4,8,5
"23-95-21-09","741a8331efc04b6b845110d8a212aec0",2,"MUGAHINGA BWINDI CONSERVATION TRUST",3,2010,5,200,93
"30-46-55-37","7663bb1198824f56a0370fa6f07e858a",1,"CHRISTIAN CHILD FUND ( CCF)",3,1992,4,40,18
"94-83-94-74","7746d7555f5844d3aa4e1b1db205baaa",1,"HEWASA",2,2007,2,0,0
"19-39-69-85","7ce87defa03b47d28ca7a85807a835eb",2,"RED CROSS",3,2010,1,90,60
"19-39-69-85","7ce87defa03b47d28ca7a85807a835eb",3,"ICOB",2,2011,1,80,50
"19-39-69-85","7ce87defa03b47d28ca7a85807a835eb",1,"AFRICA CARE",2,2010,1,30,18
"97-06-48-22","819574132d744fb58ef76356982dab3e",1,"IDI",2,2014,3,20,9
"97-06-48-22","819574132d744fb58ef76356982dab3e",2,"WORLD VISION",2,1998,4,20,5
"07-11-57-90","856d1989c4994c0bb213bd69b1cc4e28",1,"CARITAS",1,2016,5,35,20
"68-41-72-67","8873c7ea649641a9aa484ff5a2071ce5",1,"Plan International",3,1995,4,27,15
"59-49-37-12","8e0674510f124c79adff16fa72a15dbf",1,"WORLD VISION",3,2003,1,20,15
"19-59-74-37","8e2224a0b6494414a93947f05e8d132e",1,"RAISING THE VILLAGE (RTV)",1,2014,9,41,25
"22-11-58-99","9c9917e6e1554969a1d66ac128e8d541",1,"BRAC",2,2010,96,60,55
"55-27-58-19","a0b8bff5458e45b08b17f5b96f939cfb",1,"BATWA COMMUNITY",3,2008,96,15,8
"41-07-98-38","a2b201c029f84e18ae079b30d287184d",1,"COMPASSION INTERNATIONAL",3,2009,4,6,3
"26-48-88-55","a3e0e5b0bb6045dbb836bcae2ae555c5",1,"COMPASSION INTERNATIONAL",3,2007,4,13,6
"83-94-15-57","a63fa436b8c141679c0885b968ae1d73",1,"MUCOBABI",3,2017,96,30,25
"82-09-93-64","a8fe82d0ebbd444d98af07dc137b4e07",1,"PLAN INTERNATIONAL",3,1993,4,31,14
"74-93-61-60","aca7e45fe9774f0781f5651e408038e6",1,"Goal",3,2016,1,9,3
"72-13-08-02","b21b3ee4c5394287abdaa88134b11078",1,"Compassion",3,2010,4,98,98
"72-13-08-02","b21b3ee4c5394287abdaa88134b11078",2,"BRAC",2,2011,96,98,98
"81-20-77-29","b389c239719a4796854b290e12631dbb",1,"Mercy Corps",3,2013,3,21,13
"81-20-77-29","b389c239719a4796854b290e12631dbb",3,"World vision",3,2013,4,18,5
"81-20-77-29","b389c239719a4796854b290e12631dbb",2,"CAFH",3,2010,3,3,2
"66-28-67-92","cd53be65dbb54ae58e54c8e2e8876a98",1,"DAR 3",2,2016,5,30,15
"54-82-15-45","d91d6fec7fec4232a968ff6c765ab1eb",3,"Mellinium",3,2015,5,160,100
"54-82-15-45","d91d6fec7fec4232a968ff6c765ab1eb",2,"Save the Children",3,2015,4,68,64
"54-82-15-45","d91d6fec7fec4232a968ff6c765ab1eb",1,"Welt Hunger",3,2012,9,50,15
"39-31-02-27","dacd91af18154d51894a52d02a3cb2b1",1,"COMPASSION",2,2011,3,8,4
"51-48-45-42","ee1ae37bb5574ebb8cfcaa312e7e1f0b",3,"World food programe",3,2008,3,13,6
"51-48-45-42","ee1ae37bb5574ebb8cfcaa312e7e1f0b",1,"Mercy Corps",2,2016,1,85,60
"51-48-45-42","ee1ae37bb5574ebb8cfcaa312e7e1f0b",2,"World vision",3,2017,4,31,14
"65-42-84-81","f1dca8894a0b46eab802b52b2ecc70c0",1,"Brac",2,2010,96,30,25
"63-52-54-38","f33d7de27c14495a89301cb34c6e6dfb",1,"BRAC",2,2010,5,40,40
"38-55-59-69","f4836ae1155c495c9363570573d1f81a",1,"World Vision",3,,4,10,
"36-13-76-78","f875111d04594103a21af312cda6e741",2,"KIZIBA POST TEST CLUB",1,2004,1,28,25
"36-13-76-78","f875111d04594103a21af312cda6e741",1,"MBAGWA FAMILY CARE AND SUPPORT GROUP",1,2008,5,19,8
"36-13-76-78","f875111d04594103a21af312cda6e741",3,"INTERGRATED COMMUNITY BASED INITIATIVE (ICOBI)",1,2008,1,35,20
"83-86-63-56","fecc0f5ccad940ceb621e46eb9f59f77",1,"Socadido",2,2008,5,30,20
