"interview__key","EA_code","community_needs_id","s6dq1","s6dq2","s6qd3","s6dqd4","s6dq5","s6dq6","s6dq7","s6dq08a","s6dq08b","s6dq08c","s6dq09","s6dq10","s6dq11","s6dq12a","s6dq12b","s6dq12c","s6dq13","s6dq14","s6dq15","s6dq16","s6dq17a","s6dq17b","s6dq17c","s6dq17_oth0"
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",105,1,2,1,,1,1,1,104,,,2,5,,,,,,,,,,,,
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",110,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",106,2,1,1,,2,,,104,,,2,4,,,,,,,,,,,,
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",108,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",101,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",107,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",109,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",103,1,1,1,,1,1,1,104,,,1,1,2017,104,,,9998,9998,1,2,,,,
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",111,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",104,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"12-09-37-88","00928229c3e64db9a66fd1f0d4dff345",102,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",109,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",111,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",104,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",101,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",110,1,1,1,,1,1,1,106,,,1,4,,,,,,,,,,,,
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",105,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",107,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",103,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",102,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",108,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",106,2,2,2,2,,,,,,,,,,,,,,,,,,,,
