"EA_code","t0_EA_code","interview__key","communal_resource_id","s6eq01","s6eq02","s6eq03","s6eq04","s6eq05","s6eq06","s6eq07a","s6eq07b","s6eq07c","s6eq08a","s6eq08b","s6eq08c","s6eq09a","s6eq09b","s6eq09c","s6eq10","s6eq11","s6eq12","s6eq13","s6eq14"
"00928229c3e64db9a66fd1f0d4dff345",,"12-09-37-88",105,1,1,2,2,2,2,,,,102,,,,,,2,2,,2,
"00928229c3e64db9a66fd1f0d4dff345",,"12-09-37-88",102,2,,,,,,,,,,,,,,,,,,,
"00928229c3e64db9a66fd1f0d4dff345",,"12-09-37-88",101,2,,,,,,,,,,,,,,,,,,,
"00928229c3e64db9a66fd1f0d4dff345",,"12-09-37-88",103,2,,,,,,,,,,,,,,,,,,,
"00928229c3e64db9a66fd1f0d4dff345",,"12-09-37-88",104,2,,,,,,,,,,,,,,,,,,,
"03e3d013ed9a4a7b9e72a04e5867ed88",,"13-26-94-05",103,2,,,,,,,,,,,,,,,,,,,
"03e3d013ed9a4a7b9e72a04e5867ed88",,"13-26-94-05",105,2,,,,,,,,,,,,,,,,,,,
"03e3d013ed9a4a7b9e72a04e5867ed88",,"13-26-94-05",102,2,,,,,,,,,,,,,,,,,,,
"03e3d013ed9a4a7b9e72a04e5867ed88",,"13-26-94-05",104,2,,,,,,,,,,,,,,,,,,,
"03e3d013ed9a4a7b9e72a04e5867ed88",,"13-26-94-05",101,2,,,,,,,,,,,,,,,,,,,
"0548b11d746b41149960bad12ade2187","3211070717","94-25-74-66",101,2,,,,,,,,,,,,,,,,,,,
"0548b11d746b41149960bad12ade2187","3211070717","94-25-74-66",105,2,,,,,,,,,,,,,,,,,,,
"0548b11d746b41149960bad12ade2187","3211070717","94-25-74-66",103,2,,,,,,,,,,,,,,,,,,,
"0548b11d746b41149960bad12ade2187","3211070717","94-25-74-66",104,2,,,,,,,,,,,,,,,,,,,
"0548b11d746b41149960bad12ade2187","3211070717","94-25-74-66",102,2,,,,,,,,,,,,,,,,,,,
"06aeb38cf33a4c6b9ad71262908541eb",,"34-90-92-66",101,,,,,,,,,,,,,,,,,,,,
"06aeb38cf33a4c6b9ad71262908541eb",,"34-90-92-66",105,,,,,,,,,,,,,,,,,,,,
"06aeb38cf33a4c6b9ad71262908541eb",,"34-90-92-66",102,,,,,,,,,,,,,,,,,,,,
"06aeb38cf33a4c6b9ad71262908541eb",,"34-90-92-66",104,,,,,,,,,,,,,,,,,,,,
"06aeb38cf33a4c6b9ad71262908541eb",,"34-90-92-66",103,,,,,,,,,,,,,,,,,,,,
"06c492654e8342fabe3ec8af1aad4cef","1074030303","66-47-37-97",103,2,,,,,,,,,,,,,,,,,,,
"06c492654e8342fabe3ec8af1aad4cef","1074030303","66-47-37-97",104,2,,,,,,,,,,,,,,,,,,,
"06c492654e8342fabe3ec8af1aad4cef","1074030303","66-47-37-97",101,2,,,,,,,,,,,,,,,,,,,
"06c492654e8342fabe3ec8af1aad4cef","1074030303","66-47-37-97",102,2,,,,,,,,,,,,,,,,,,,
"06c492654e8342fabe3ec8af1aad4cef","1074030303","66-47-37-97",105,2,,,,,,,,,,,,,,,,,,,
"07d762b045a54167af44618c38f26e49","4032050503","39-29-24-84",101,2,,,,,,,,,,,,,,,,,,,
"07d762b045a54167af44618c38f26e49","4032050503","39-29-24-84",103,2,,,,,,,,,,,,,,,,,,,
"07d762b045a54167af44618c38f26e49","4032050503","39-29-24-84",105,2,,,,,,,,,,,,,,,,,,,
