"hhid","h10_respondent","s10q01","s10q02","s10q03","s10q04","s10q05a","s10q05b","s10q05c","s10q06","s10q07a","s10q07b","s10q08a","s10q08b","s10q08c","s10q08d","s10q08e","s10q08f","s10q08g","s10q08h","s10q08x","s10q08z","s10q09","s10q10","s10q11","s10q12"
"00858c2384184dc3bfc800550a6c8cb5","2",2,,,,,,1,2,,,,,,,,,,1,,,8,2,7,1
"0192be21a93d4c2d83997fb6dc1c3ea6","1",2,,,,,,4,2,,,,,,,,1,,,,,6,2,5,2
"01483c3751964ad2842b6e4a8b6edcdd","2",2,,,,,,1,2,,,,,,,,,,1,,,8,2,3,1
"039a11571b874a88b7a6c200469fe4f3","-999999999",,,,,,,,,,,,,,,,,,,,,,,,
"037866653c7c4cb99a80f05a38cdafb2","-999999999",,,,,,,,,,,,,,,,,,,,,,,,
"04a6909c35374a8088daf007b717dba1","1",2,,,,,,4,2,,,,,,,,,,1,,,8,2,5,1
"04e3098df42742428550ed1754b3cce9","2",2,,,,,,1,2,,,,,,,,,,1,,,8,1,4,3
"044525d42e7547cb844fa01062ed908c","11",2,,,,,,1,2,,,,,,,,,,1,,,8,2,6,1
"057fc24f426f48fca061898d6efa4f49","6",2,,,,,,1,2,,,,,,,,,,1,,,8,2,8,1
"057535df5a63411bb13f906e251b9130","1",2,,,,,,3,2,,,,,,,,,,1,,,8,2,4,1
"056cb993abee42a89f67363f1b38f878","2",2,,,,,,2,2,,,,,1,,,1,,1,,,8,2,8,3
"05ec278a95624c74957734e0ab70ff5b","1",2,,,,,,1,2,,,,,,,,,,1,,,8,2,4,1
"05d8c19cfc8f47d4b66bd70bbad5407f","1",2,,,,,,1,2,,,,,,,,,,1,,,8,2,6,2
"06270b496e1b4aa09b4906b0871c21b9","2",1,24,2,,,,,2,,,,,,,,1,,,,,6,2,5,1
"0634372d290947fc92bad833679f4f23","3",2,,,,,,1,2,,,,,,,,,,1,,,8,2,6,1
"0700ac37276743c3a73536d56c21b04e","2",2,,,,,,1,2,,,,,,,,,,1,,,8,2,4,1
"069ce1000ec94312a038a19b8efdd983","1",2,,,,,,2,2,,,,,,,,,,1,,,8,2,6,1
"08a228d06e764dc49fbbf00d813880b8","1",2,,,,,,1,2,,,,,,,,,,1,,,8,2,4,1
"092f4d6bc16a49d19c00dbf10038cb3b","1",1,24,3,,,,,2,,,,,,,,,,1,,,8,2,4,1
"0b5e2febcfa54a2aa9c1369db7b62f76","1",2,,,,,,1,2,,,,,,,,,,1,,,8,1,3,1
"0b922762b1a14c53a9f6bbd6ef3ff337","2",1,24,5,,10000,30,,2,,,,,,,,1,,,,,6,2,6,2
"0d05119207a2485cbe3a503f04c33f1d","2",2,,,,,,1,2,,,,,,,,,,1,,,8,1,3,1
"0ccd9462978a4880b1f650cecd2d26dd","2",2,,,,,,1,2,,,,,,,,,,1,,,8,2,4,1
"0d15c30cd22c44ca829cb62b6e630c26","2",1,24,5,,22500,30,,2,,,,,,,,1,,,,,6,1,3,1
"0e7c523a5c34420c9fdba2a12575cd14","1",2,,,,,,3,2,,,,,1,,,1,,,,,6,2,1,3
"0eb527381cfb4f258ee6a1ad0862d96b","2",1,24,5,,12000,30,,2,,,1,,,,,1,,,,,6,2,8,2
"0f0210463290453bb298ac2094d5322e","3",2,,,,,,1,2,,,,,,,,,,1,,,8,2,6,1
"0fd53ca28fec43eea667c453445091b8","3",2,,,,,,3,2,,,,,,,,1,,,,,6,2,2,2
"10ceb21bdb8d4898873a3a75df1feb74","1",2,,,,,,1,2,,,,,,,,,,,1,,96,2,1,3
"10c39a24e0784c66897740bdbc426cc8","2",2,,,,,,1,2,,,,,,,,1,,1,,,8,2,6,1
"11d9f40f48184bc3a967131e8ed79d24","1",1,24,4,,25000,30,,2,,,,,,,,,,,,1,,,,
