"t0_hhid","hhid","s10q13","s10q15a","s10q15b","s10q15c","s10q16","s10q17a","s10q17b","s10q17c","s10q14"
"H1650506","004e93d7552248ed95d8bc3ec21bdbdb",1,1,2,2,6,,,,1
"H1650506","004e93d7552248ed95d8bc3ec21bdbdb",9,,1,,1,3500,,,
"H1810303","0071da69d26d4b29a8f9d29d458e68cf",1,1,2,2,6,,,,1
"H1810303","0071da69d26d4b29a8f9d29d458e68cf",9,,1,,1,0,,,
"H1400702","008071c371724fe49a5bb047472df87f",1,1,2,2,6,,,,1
"H1400702","008071c371724fe49a5bb047472df87f",9,,1,,1,1000,,,
"H2790801","00854d05d4f044c985ffce60c1b514c2",1,1,2,2,6,,,,1
"H2790801","00854d05d4f044c985ffce60c1b514c2",4,2,1,2,1,3800,1,2,1
"H1830701","00858c2384184dc3bfc800550a6c8cb5",1,1,2,2,5,,,,1
"H1830701","00858c2384184dc3bfc800550a6c8cb5",7,2,1,2,,,,,1
"H1830701","00858c2384184dc3bfc800550a6c8cb5",9,,1,,1,0,,,
"H3990301","008ffc050d4e47c7920e9c7c2e35887a",1,1,2,2,6,,,,1
"H3990301","008ffc050d4e47c7920e9c7c2e35887a",9,,1,,1,1000,,,
"H3950701","00a09aedb8c049aa8364d377c26c5f81",1,1,2,2,6,,,,1
"H3950701","00a09aedb8c049aa8364d377c26c5f81",9,,1,,1,0,,,
"H0491302","00a68f13f97141199e9fda8aacbccc8d",1,1,2,2,2,16000,16,18,1
"H0491302","00a68f13f97141199e9fda8aacbccc8d",7,2,1,2,,,,,1
"H3520701","00bbd034f88649bc980b091d4a5af645",1,1,2,2,5,,,,1
"H3520701","00bbd034f88649bc980b091d4a5af645",6,1,2,2,1,5000,1,14,1
"H3520701","00bbd034f88649bc980b091d4a5af645",8,2,1,2,,,,,1
"H1090502","00db391b5a9a4ef0954f50f148069c46",1,1,2,2,6,,,,1
"H1090502","00db391b5a9a4ef0954f50f148069c46",3,1,2,2,5,,,,1
"H1090502","00db391b5a9a4ef0954f50f148069c46",4,2,1,2,1,3200,16,15,1
"H2370701","00e23121bad94719bff27f93646437b3",1,1,2,1,6,,,,1
