"s12q02","NA1a","NA1b","NA1c","NA1d","NA1e","NA1f","NA1g","NA1h","hhid"
"1",2,2,2,2,2,2,2,2,"004e93d7552248ed95d8bc3ec21bdbdb"
"2",2,2,2,2,2,2,2,2,"0071da69d26d4b29a8f9d29d458e68cf"
"1",2,2,2,2,2,2,2,2,"008071c371724fe49a5bb047472df87f"
"2",2,1,2,2,2,2,2,2,"00854d05d4f044c985ffce60c1b514c2"
"2",2,2,2,1,2,2,2,2,"00858c2384184dc3bfc800550a6c8cb5"
"1",2,2,2,2,2,2,2,2,"008ffc050d4e47c7920e9c7c2e35887a"
"1",2,2,2,2,2,2,2,2,"00bbd034f88649bc980b091d4a5af645"
"2",2,2,2,2,2,2,2,2,"00db391b5a9a4ef0954f50f148069c46"
"1",2,2,2,2,2,2,2,2,"00eb1114df14443a9effe1db5343435d"
"2",2,2,2,2,2,2,2,2,"00f1eb71d428408f888b058a8e8664fe"
"15",2,2,2,2,2,2,2,2,"0101511a1da74f35b4fb8fd0c2cf8e69"
"1",2,2,2,2,2,2,2,2,"0125c97b154d4f249c07f630cd52a102"
"1",2,2,2,2,2,2,2,2,"0130f7b8553e41139cc871d924491db2"
"2",2,2,2,2,2,2,2,2,"01483c3751964ad2842b6e4a8b6edcdd"
"1",2,2,2,2,2,2,2,2,"014de44f6ef44053a6742d1db80fe516"
"1",2,2,2,2,2,2,2,2,"01946faa112841669f992ad1c026ddb6"
"1",2,2,2,2,2,2,2,2,"01dfba97dd29447f9a82aef0f59237de"
"2",2,2,2,2,2,2,2,2,"021babeee5f646108cbe9bb3b2a4c485"
"1",2,2,2,2,2,2,2,2,"024a80a27283471e857285cf751564ae"
"10",2,2,2,2,2,2,2,2,"02931fcf3f8c4454919998cd30c933d3"
"1",2,2,2,2,2,2,2,2,"02ad65979b5d4f9e8654d5912304304d"
"1",2,2,2,2,2,2,2,2,"0349cc41571b406e889303445fe7e34c"
"1",2,2,2,2,2,2,2,2,"034f0004fa7a4a25b4aacdb196177f2b"
"1",2,2,2,2,2,2,2,2,"0367b97ab6cb487095e018a1ffdf17a9"
"2",2,2,2,2,2,2,2,2,"038bf67186f048d1966a17475bedd578"
"4",2,2,2,2,2,2,2,2,"03c42091117d479097bf8be7a9dfebb1"
"1",2,2,1,2,2,2,2,2,"04077875a3894775bb24f2f42e7adc67"
"2",2,2,2,2,2,2,2,2,"042c4cc37a904f18a05671d5323d78d3"
"1",2,2,2,2,2,2,2,2,"0436a29148344151a89c6a941e52e1d0"
"1",2,2,2,2,2,2,2,2,"044c92119a6e44b6bd74f41b5131f7fb"
"1",2,2,2,2,2,2,2,2,"044fe31f64084ca4bb3d0474820c95ff"
"1",2,2,2,2,2,2,2,2,"0475d96d540e42f48e10f7e052c18533"
"4",2,2,2,2,2,1,2,2,"048117d75d7e486587c27ca4bb7d294f"
"2",2,2,2,2,2,2,2,2,"04adcf9e96a14cc2879a6d47da1a2ae9"
"2",2,2,2,1,2,2,2,2,"05052c1f4a06454ca9f2ef68f4ed9918"
"1",2,2,2,2,2,2,2,2,"053050b9f02d468dabfb5515b9f97be6"
"1",2,2,2,2,2,2,2,2,"0566d903b26649e59275f92f6118361d"
"2",2,2,1,2,2,2,2,1,"056cb993abee42a89f67363f1b38f878"
"1",2,2,2,2,2,2,2,2,"057535df5a63411bb13f906e251b9130"
"6",2,2,2,2,2,2,2,2,"057fc24f426f48fca061898d6efa4f49"
"2",2,2,2,2,2,2,2,2,"058bd214d86846f5949c782fb2f1bfbb"
"1",2,2,2,2,2,2,2,2,"0592013fe59d4dce8b33b8661323c86d"
"1",2,2,2,2,2,2,2,2,"05ec278a95624c74957734e0ab70ff5b"
"3",2,2,2,2,2,2,2,2,"0634372d290947fc92bad833679f4f23"
"1",2,2,2,2,2,2,2,2,"0667b6f1adac439db81e063ceead3b03"
"1",2,2,2,2,2,2,2,2,"069465eb8c264016bc63f2ba390ad118"
"2",2,2,2,2,2,2,2,2,"06afa3273f6a49a38b98ba52ba888ed8"
"1",2,2,2,2,2,2,2,2,"06b881a31ba7466e919d01bb09f5e672"
"1",2,2,2,2,2,2,2,2,"06ba04343a6e4f678e01eec018cac7db"
"1",2,2,2,2,2,2,2,2,"06d940520a174c5c843dd683f49c2f95"
"2",2,2,2,2,2,2,2,2,"06e12afed6db4f9a99423fc4169cc802"
"6",2,2,2,2,2,2,2,2,"0731c33c39714e7a8fe032a4c6840fc5"
"6",2,2,2,2,2,2,2,2,"0774323f6795452793f0f563fcf08d08"
"2",2,2,2,2,2,2,2,2,"07919f0a80fb43dc9dbbc762b869adbf"
"1",2,2,2,2,2,2,2,2,"0795321942c34174a89d745e644df105"
"1",2,2,2,2,2,2,2,2,"07999cf798314e05b4cfb6005c1092cb"
"1",2,2,2,2,2,2,2,2,"07c445ca0f284db081b29aa91ee7988e"
"2",2,2,2,2,2,2,2,2,"08211a3e91eb4227bb201b44001ea21b"
"2",2,2,2,2,2,2,2,2,"087401704b5c4990995dc6b7af8a6b0a"
"1",1,2,2,2,2,2,2,2,"08a2071726b54dae84b17e7b8017588d"
"1",2,1,2,2,2,2,2,2,"08a228d06e764dc49fbbf00d813880b8"
"6",2,2,2,2,2,2,2,2,"08a88de2ed7b46648366085ed5bef13b"
"1",2,2,2,2,2,2,2,2,"08b6ed18afcc4300b2c916163a857437"
"4",2,2,2,2,2,2,2,2,"08f3d91754ba4911865d5913f19172fc"
"1",2,2,2,2,2,2,2,2,"08f99cd6418241cda1841d6a644074f9"
"1",2,2,2,2,2,2,2,2,"092f4d6bc16a49d19c00dbf10038cb3b"
"1",2,1,2,2,2,2,2,2,"099f3b6855dc42158237614c25bfb571"
"1",2,2,2,2,2,2,2,2,"09c865966539496a8242c1018e90ef5f"
