"t0_hhid","interview__key","hhid","t0_bizroster__id","s12q03a","entID_unps","t0_entDesc","t0_entLoc","t0_entStartMon","t0_entStartYear","t0_operateEnt","t0_whyNotOperate","h12q01","h12q01_1","h12q02_oneDigit","h12q02_twoDigit","h12q02_threeDigit","h12q02_fourDigit","h12q02_superConfirm","h12q03","h12q04","h12q15","h12q16","h12q16b","h12q05","h12q05b","h12q06_1","h12q07_1","h12q07_1other","h12q08a","h12q08b","h12q08c","h12q08d","h12q08e","h12q19a","h12q19b","h12q09","h12q20","h12q10","h12q11A","h12q11B","h12q12","h12q13","h12q14","h12q17","h12q18A","h12q18B","h12q18C","h12q18D","h12q18E","h12q18F","h12q18G","h12q18H","h12q18I","h12q18J","h12q18K","h12q18L","h12q18M","h12q18N","h12q18O","h12q18P","h12q18X","h12q18Q","h12q18_other","h12q21","h12q22"
"H2370701","09-18-87-82","00e23121bad94719bff27f93646437b3",1,"SELLS FISH (SILVER&SMOKED FISH)","1","SELLS FISH (SILVER&SMOKED FISH)",1,98,2012,1,,"SELLER MUKENE (SILVER FISH)",2,71111,47,479,4799,1,2,2009,1,4,,2,,1,8,,2,,,,,2,,5,1,180000,0,1,0,70000,20000,1,,,,,,,,,,,,,,,,,,,,2,2
"H2451101","26-80-16-01","0103050b934841289df128242538e3ea",1,"SELLING FIREWOOD","1","SELLING FIREWOOD",4,12,2012,1,,"SELLING FIREWOOD",4,11111,2,21222,210,1,2,2005,8,1,,2,,2,,,2,4,5,,,2,,12,,300000,0,0,,150000,0,1,,,,,,,,,,,,,,,,,,,,2,2
"H3550301","43-25-51-32","015b2f40827d4d70a5aa4ac958235a78",1,"OWNS AND RIDES A BODA BODA","1","OWNS AND RIDES A BODA BODA",6,98,2014,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H0670802","34-97-38-28","01c14a909dd54c2088fe1b32e84ae2ec",1,"MAKING AND SELLING MATS","1","MAKING AND SELLING MATS",1,4,2015,1,,"making and selling ,mats",2,71111,47,479,4799,1,2,2014,1,1,,2,,2,,,2,,,,,1,2,8,2,55000,0,0,,30000,3000,2,,1,,,,,,,,,,,,,,,,,,2,2
"H2970601","62-85-68-81","01c6b5639280472aa1dbfea2b7c10c24",1,"RETAIL SHOP AND A BAR","1","RETAIL SHOP AND A BAR",1,98,2006,1,,"RETAIL SHOP AND BAR",2,71111,47,472,4722,1,1,2000,1,1,,2,,2,,,1,,,,,1,,12,,30000,0,0,,120000,0,2,,1,1,,,,,,,,,,,,,,,,,2,2
"H0620801","05-60-52-12","02617e359bfc48cbaa6ff204cb915790",1,"MAKING AND SELLING GHEE","1","MAKING AND SELLING GHEE",1,98,2016,1,,"MAKING SELLING GHEE",1,71111,47,479,4799,,2,2004,2,2,,2,,2,,,2,,,,,2,,12,,150000,0,5,0,0,0,1,,,,,,,,,,,,,,,,,,,,2,2
"H1000201","38-95-27-76","036b190944154e22bbd0d574a8d08be0",1,"PLUMBING SERVICES","1","PLUMBING SERVICES",8,98,1986,1,,"PLUMBING",2,61111,43,432,4322,1,1,1986,8,1,,2,,2,,,1,,,,,1,,12,,1200000,0,1,0,300000,50000,1,,,,,,,,,,,,,,,,,,,,9,9
"H3220901","01-48-23-62","03d4f5f6631747878b76ad399fb2b80c",1,"BODABODA","1","BODABODA",6,98,2015,1,,"BODABODA",2,81111,49,492,4921,1,1,2012,8,2,,2,,2,,,,,,,,1,,12,,280000,1,0,60000,0,40000,3,1,,,,,,,,,,,,,,,,,,,2,2
"H2590703","19-35-15-58","04079e5069be47278c3ec71eb77a8997",1,"CLINIC","1","DRUG SHOP",1,2,2012,1,,"DRUG SHOP",2,171111,86,862,8620,,1,2014,1,1,,2,,2,,,1,2,,,,1,2,12,,300000,0,0,,80000,0,1,,,,,,,,,,,,,,,,,,,,2,2
"H0590101","24-87-96-19","0418981cf19046bd930dbbfe8af3c1c4",1,"RETAILSALE OF FOOD STUFFS","1","RETAILSALE OF FOOD STUFFS",4,98,2004,1,,"MARKET SALES",2,71111,47,478,4789,1,1,2004,7,1,,2,,2,,,2,,,,,2,,12,,500000,0,0,,200000,0,2,1,,1,,,,,,,,,,,,,,,,,2,2
