"hhid","FF02","FF01","FF_21a","FF_21b"
"004e93d7552248ed95d8bc3ec21bdbdb",127,"Cooking oil",1,"UO-1146"
"004e93d7552248ed95d8bc3ec21bdbdb",150,"Salt",2,
"004e93d7552248ed95d8bc3ec21bdbdb",991,"Cooking fat",2,
"0071da69d26d4b29a8f9d29d458e68cf",127,"Cooking oil",2,
"0071da69d26d4b29a8f9d29d458e68cf",150,"Salt",2,
"0071da69d26d4b29a8f9d29d458e68cf",991,"Cooking fat",2,
"008071c371724fe49a5bb047472df87f",127,"Cooking oil",2,
"008071c371724fe49a5bb047472df87f",150,"Salt",2,
"008071c371724fe49a5bb047472df87f",991,"Cooking fat",2,
"00854d05d4f044c985ffce60c1b514c2",127,"Cooking oil",1,"UO-1778"
"00854d05d4f044c985ffce60c1b514c2",150,"Salt",2,
"00854d05d4f044c985ffce60c1b514c2",991,"Cooking fat",2,
"00858c2384184dc3bfc800550a6c8cb5",127,"Cooking oil",1,"UO-2228"
"00858c2384184dc3bfc800550a6c8cb5",150,"Salt",1,"US-2228"
"00858c2384184dc3bfc800550a6c8cb5",991,"Cooking fat",2,
"008ffc050d4e47c7920e9c7c2e35887a",127,"Cooking oil",2,
"008ffc050d4e47c7920e9c7c2e35887a",150,"Salt",1,"US-2270"
"008ffc050d4e47c7920e9c7c2e35887a",991,"Cooking fat",1,"UF-2270"
"00a09aedb8c049aa8364d377c26c5f81",127,"Cooking oil",1,"UO-5699"
"00a09aedb8c049aa8364d377c26c5f81",150,"Salt",1,"US-5699"
"00a09aedb8c049aa8364d377c26c5f81",991,"Cooking fat",2,
"00a68f13f97141199e9fda8aacbccc8d",127,"Cooking oil",2,
"00a68f13f97141199e9fda8aacbccc8d",150,"Salt",2,
"00a68f13f97141199e9fda8aacbccc8d",991,"Cooking fat",2,
"00bbd034f88649bc980b091d4a5af645",127,"Cooking oil",2,
"00bbd034f88649bc980b091d4a5af645",150,"Salt",2,
"00bbd034f88649bc980b091d4a5af645",991,"Cooking fat",2,
"00db391b5a9a4ef0954f50f148069c46",127,"Cooking oil",1,"UO-1944"
"00db391b5a9a4ef0954f50f148069c46",150,"Salt",1,"US-1944"
"00db391b5a9a4ef0954f50f148069c46",991,"Cooking fat",2,
"00e23121bad94719bff27f93646437b3",127,"Cooking oil",2,
"00e23121bad94719bff27f93646437b3",150,"Salt",1,"US-1012"
"00e23121bad94719bff27f93646437b3",991,"Cooking fat",2,
"00eb1114df14443a9effe1db5343435d",127,"Cooking oil",2,
"00eb1114df14443a9effe1db5343435d",150,"Salt",2,
"00eb1114df14443a9effe1db5343435d",991,"Cooking fat",2,
"00f1eb71d428408f888b058a8e8664fe",127,"Cooking oil",1,"UO-2071"
"00f1eb71d428408f888b058a8e8664fe",150,"Salt",2,
"00f1eb71d428408f888b058a8e8664fe",991,"Cooking fat",2,
"0101511a1da74f35b4fb8fd0c2cf8e69",150,"Salt",2,
"0103050b934841289df128242538e3ea",127,"Cooking oil",2,
"0103050b934841289df128242538e3ea",150,"Salt",2,
"0103050b934841289df128242538e3ea",991,"Cooking fat",2,
"01152e19bbdd4744a712260121f34bf7",127,"Cooking oil",1,"UO-2504"
"01152e19bbdd4744a712260121f34bf7",150,"Salt",1,"US-2504"
"01152e19bbdd4744a712260121f34bf7",991,"Cooking fat",2,
"0125c97b154d4f249c07f630cd52a102",127,"Cooking oil",2,
"0125c97b154d4f249c07f630cd52a102",150,"Salt",2,
"0125c97b154d4f249c07f630cd52a102",991,"Cooking fat",2,
"0130f7b8553e41139cc871d924491db2",127,"Cooking oil",2,
"0130f7b8553e41139cc871d924491db2",150,"Salt",2,
"0130f7b8553e41139cc871d924491db2",991,"Cooking fat",2,
"01474a4d9efd4b8190c37f5fba89a005",127,"Cooking oil",1,"UO-1432"
"01474a4d9efd4b8190c37f5fba89a005",150,"Salt",2,
"01474a4d9efd4b8190c37f5fba89a005",991,"Cooking fat",2,
"01483c3751964ad2842b6e4a8b6edcdd",127,"Cooking oil",1,"UO-1672"
"01483c3751964ad2842b6e4a8b6edcdd",150,"Salt",1,"US-1672"
"01483c3751964ad2842b6e4a8b6edcdd",991,"Cooking fat",2,
"014de44f6ef44053a6742d1db80fe516",127,"Cooking oil",1,"UO-2369"
"014de44f6ef44053a6742d1db80fe516",150,"Salt",2,
"014de44f6ef44053a6742d1db80fe516",991,"Cooking fat",2,
"0192be21a93d4c2d83997fb6dc1c3ea6",127,"Cooking oil",1,"UO-2013"
"0192be21a93d4c2d83997fb6dc1c3ea6",150,"Salt",1,"US-2013"
