"hhid","CEE01","CEE02","CEE03","CEE02_1"
"004e93d7552248ed95d8bc3ec21bdbdb","User fees and charges (passport, legal, photocopying service of marriage)",803,12000,1
"004e93d7552248ed95d8bc3ec21bdbdb","Funerals and other social functions",807,6000,1
"0071da69d26d4b29a8f9d29d458e68cf","Funerals and other social functions",807,6000,1
"008ffc050d4e47c7920e9c7c2e35887a","Funerals and other social functions",807,12000,1
"00a09aedb8c049aa8364d377c26c5f81","Funerals and other social functions",807,80000,1
"00bbd034f88649bc980b091d4a5af645","Remittances, gifts, and other transfers",806,30000,1
"00db391b5a9a4ef0954f50f148069c46","Remittances, gifts, and other transfers",806,50000,1
"00db391b5a9a4ef0954f50f148069c46","Funerals and other social functions",807,40000,1
"00e23121bad94719bff27f93646437b3","Interest on loans",808,40000,1
"00eb1114df14443a9effe1db5343435d","User fees and charges (passport, legal, photocopying service of marriage)",803,6000,1
"00eb1114df14443a9effe1db5343435d","Remittances, gifts, and other transfers",806,300000,1
"0103050b934841289df128242538e3ea","User fees and charges (passport, legal, photocopying service of marriage)",803,12000,1
"0130f7b8553e41139cc871d924491db2","Remittances, gifts, and other transfers",806,130000,1
"0130f7b8553e41139cc871d924491db2","Funerals and other social functions",807,52000,1
"01483c3751964ad2842b6e4a8b6edcdd","Funerals and other social functions",807,20000,1
"014de44f6ef44053a6742d1db80fe516","Funerals and other social functions",807,80000,1
"015b2f40827d4d70a5aa4ac958235a78","Remittances, gifts, and other transfers",806,250000,1
"0192be21a93d4c2d83997fb6dc1c3ea6","User fees and charges (passport, legal, photocopying service of marriage)",803,30000,1
"0192be21a93d4c2d83997fb6dc1c3ea6","Remittances, gifts, and other transfers",806,700000,1
"01c14a909dd54c2088fe1b32e84ae2ec","Remittances, gifts, and other transfers",806,80000,1
"01c14a909dd54c2088fe1b32e84ae2ec","Funerals and other social functions",807,20000,1
"01dfba97dd29447f9a82aef0f59237de","Funerals and other social functions",807,18000,1
"01fc2a6821064f528ca01e20dbea8db2","Funerals and other social functions",807,40000,1
"021babeee5f646108cbe9bb3b2a4c485","Remittances, gifts, and other transfers",806,100000,1
"021babeee5f646108cbe9bb3b2a4c485","Funerals and other social functions",807,25000,1
"021babeee5f646108cbe9bb3b2a4c485","Interest on loans",808,250000,1
"02257a7aa9a94ca9b464e910e2bd642d","Funerals and other social functions",807,50000,1
"02257a7aa9a94ca9b464e910e2bd642d","Interest on loans",808,100000,1
"02931fcf3f8c4454919998cd30c933d3","Income tax",801,1776000,1
"02931fcf3f8c4454919998cd30c933d3","Local Service tax",804,90000,1
"02931fcf3f8c4454919998cd30c933d3","Pension and social security payments",805,584540,1
"02931fcf3f8c4454919998cd30c933d3","Remittances, gifts, and other transfers",806,500000,1
"02931fcf3f8c4454919998cd30c933d3","Funerals and other social functions",807,200000,1
"02931fcf3f8c4454919998cd30c933d3","Interest on loans",808,500000,1
"02931fcf3f8c4454919998cd30c933d3","Others (like subscriptions, interest to consumer debts, etc.)",809,216000,1
"02ad65979b5d4f9e8654d5912304304d","Remittances, gifts, and other transfers",806,150000,1
"03292ce0d7f24e42801500e576140648","Remittances, gifts, and other transfers",806,25000,1
"03292ce0d7f24e42801500e576140648","Funerals and other social functions",807,50000,1
"0349cc41571b406e889303445fe7e34c","Funerals and other social functions",807,1200000,1
"034e9ec479764a228fa3ebdd8d359cf0","Remittances, gifts, and other transfers",806,30000,1
"034e9ec479764a228fa3ebdd8d359cf0","Funerals and other social functions",807,105000,1
"034f0004fa7a4a25b4aacdb196177f2b","Funerals and other social functions",807,12000,1
"035c9f46cc9a41f9bacdbe9a5de03d8c","Remittances, gifts, and other transfers",806,100000,1
"035c9f46cc9a41f9bacdbe9a5de03d8c","Funerals and other social functions",807,30000,1
"038bf67186f048d1966a17475bedd578","Funerals and other social functions",807,24000,1
"03c42091117d479097bf8be7a9dfebb1","Remittances, gifts, and other transfers",806,60000,1
"03c42091117d479097bf8be7a9dfebb1","Funerals and other social functions",807,15000,1
"03c42091117d479097bf8be7a9dfebb1","Interest on loans",808,25000,1
"03f862af923942ad9f37fa65f52a8f3d","Funerals and other social functions",807,208000,1
"04079e5069be47278c3ec71eb77a8997","Local Service tax",804,10000,1
"04079e5069be47278c3ec71eb77a8997","Funerals and other social functions",807,30000,1
"040ecbcfb343431bb6645772dd87c2bb","User fees and charges (passport, legal, photocopying service of marriage)",803,12000,1
"040ecbcfb343431bb6645772dd87c2bb","Funerals and other social functions",807,15000,1
"0418981cf19046bd930dbbfe8af3c1c4","Others (like subscriptions, interest to consumer debts, etc.)",809,6000,1
"042c4cc37a904f18a05671d5323d78d3","Funerals and other social functions",807,55000,1
"0436a29148344151a89c6a941e52e1d0","Interest on loans",808,1600000,1
"044525d42e7547cb844fa01062ed908c","Funerals and other social functions",807,48000,1
"044c92119a6e44b6bd74f41b5131f7fb","Remittances, gifts, and other transfers",806,500000,1
"044c92119a6e44b6bd74f41b5131f7fb","Funerals and other social functions",807,100000,1
"04a6909c35374a8088daf007b717dba1","Remittances, gifts, and other transfers",806,30000,1
"04e3098df42742428550ed1754b3cce9","Remittances, gifts, and other transfers",806,100000,1
"04e34e77abfc4a14a6ddb3f8604a51ee","Funerals and other social functions",807,10000,1
"04fbfbe14e064de88046b1bd162fb008","Funerals and other social functions",807,200000,1
"04fbfbe14e064de88046b1bd162fb008","Interest on loans",808,160000,1
"053050b9f02d468dabfb5515b9f97be6","Funerals and other social functions",807,20000,1
"0566d903b26649e59275f92f6118361d","Funerals and other social functions",807,18000,1
