"hhid","s16qa01","s16q02a","s16q02y","s16q02b","s10q03a","s16q03b","s16q03c","s16q03d","s16q04a","s16q04b","s16q04c","s16q01"
"004e93d7552248ed95d8bc3ec21bdbdb",111,3,2017,4,2,2,2,2,40,,,1
"004e93d7552248ed95d8bc3ec21bdbdb",1011,5,2017,0,1,2,1,2,5,,,1
"0071da69d26d4b29a8f9d29d458e68cf",116,11,2017,2,2,2,2,2,1,6,,1
"00858c2384184dc3bfc800550a6c8cb5",104,6,2017,1,1,2,1,1,8,,,1
"00858c2384184dc3bfc800550a6c8cb5",115,1,2018,3,2,2,2,2,40,,,1
"00db391b5a9a4ef0954f50f148069c46",102,3,2018,1,1,2,1,2,3,8,1,1
"00db391b5a9a4ef0954f50f148069c46",104,6,2017,1,1,2,1,1,3,8,1,1
"00e23121bad94719bff27f93646437b3",117,3,2018,0,2,1,2,2,40,,,1
"0130f7b8553e41139cc871d924491db2",1011,6,2018,2,2,2,1,2,8,40,,1
"01483c3751964ad2842b6e4a8b6edcdd",104,12,2016,12,1,2,2,1,8,,,1
"01c14a909dd54c2088fe1b32e84ae2ec",114,11,2017,0,2,1,2,2,8,,,1
"020fd884bebf40b0a97f2156b8eda1b6",102,9,2018,0,2,2,1,2,1,,,1
"020fd884bebf40b0a97f2156b8eda1b6",1012,3,2018,1,2,2,1,1,8,13,,1
"021babeee5f646108cbe9bb3b2a4c485",110,10,2018,0,1,1,1,1,8,13,1,1
"02257a7aa9a94ca9b464e910e2bd642d",1011,7,2017,2,1,1,1,1,3,,,1
"024a80a27283471e857285cf751564ae",113,9,2018,1,1,2,1,1,40,,,1
"02931fcf3f8c4454919998cd30c933d3",112,2,2018,2,1,2,2,1,1,3,9,1
"0349cc41571b406e889303445fe7e34c",1011,7,2017,3,1,1,1,1,1,,,1
"036b190944154e22bbd0d574a8d08be0",111,5,2018,5,1,2,2,1,8,,,1
"036b190944154e22bbd0d574a8d08be0",116,7,2018,1,1,2,2,1,3,8,,1
"04077875a3894775bb24f2f42e7adc67",1011,8,2017,2,1,2,1,2,8,,,1
"040ecbcfb343431bb6645772dd87c2bb",1012,7,2018,1,2,2,1,2,40,,,1
"043058c9577d4e2ebeeb2c62c20acb22",102,6,2018,1,2,2,1,2,3,,,1
"043058c9577d4e2ebeeb2c62c20acb22",1011,4,2018,1,2,2,1,2,3,,,1
"044525d42e7547cb844fa01062ed908c",1011,6,2017,3,1,2,1,1,3,8,,1
"048117d75d7e486587c27ca4bb7d294f",1011,12,2017,2,1,2,1,2,3,5,,1
"04e3098df42742428550ed1754b3cce9",104,4,2017,3,2,2,1,1,4,,,1
"04fbfbe14e064de88046b1bd162fb008",113,9,2017,4,1,1,1,1,9,,,1
"04fbfbe14e064de88046b1bd162fb008",1011,7,2017,2,1,1,1,1,5,,,1
"05052c1f4a06454ca9f2ef68f4ed9918",1011,7,2018,3,1,2,1,1,4,3,,1
"053050b9f02d468dabfb5515b9f97be6",118,7,2018,5,1,2,1,2,3,8,,1
"053050b9f02d468dabfb5515b9f97be6",1011,6,2018,5,1,2,1,2,3,8,,1
"056cb993abee42a89f67363f1b38f878",1011,7,2017,2,1,2,1,2,12,,,1
"056cb993abee42a89f67363f1b38f878",1012,7,2017,1,1,2,1,2,12,,,1
"056fa1dd91d740dcaa47fc4937363a95",110,10,2016,12,1,1,1,1,1,3,,1
"0583ffbf78c441f7828b4e53acdd71f1",1011,10,2017,3,2,2,1,2,3,,,1
"05d8c19cfc8f47d4b66bd70bbad5407f",1011,5,2017,2,1,2,1,2,3,5,,1
"05dca1a459fe4754bd19d0d175b4da74",104,6,2017,7,1,2,2,2,40,,,1
"05dca1a459fe4754bd19d0d175b4da74",114,12,2017,4,1,1,2,1,40,,,1
"05dca1a459fe4754bd19d0d175b4da74",1011,4,2018,1,2,2,2,2,40,,,1
"05dca1a459fe4754bd19d0d175b4da74",1012,8,2017,4,1,2,1,2,40,,,1
"05e99dfa6f5a44a79677019330c423f7",110,5,2018,2,1,2,2,1,1,3,8,1
"05ec278a95624c74957734e0ab70ff5b",102,7,2017,2,1,2,1,2,40,,,1
"05ec278a95624c74957734e0ab70ff5b",114,5,2017,0,2,1,2,2,96,,,1
"0634372d290947fc92bad833679f4f23",104,4,2017,2,1,2,1,2,40,,,1
"06c85056727c434f90b8215d4b1df0a2",102,5,2018,3,1,1,1,1,5,8,40,1
"06d940520a174c5c843dd683f49c2f95",1012,6,2018,2,2,2,1,2,3,1,,1
"0700ac37276743c3a73536d56c21b04e",1011,7,2017,3,1,1,1,2,40,,,1
"0731c33c39714e7a8fe032a4c6840fc5",113,7,2018,3,2,2,2,2,8,1,,1
"0751ec0e0fe949e68111233049babbaf",1011,7,2017,3,2,2,2,2,40,,,1
"07919f0a80fb43dc9dbbc762b869adbf",1011,4,2018,2,1,2,1,1,3,,,1
"07b307a143384b5cb48a35412b6788d6",117,8,2017,8,1,1,2,2,1,8,,1
"08a2071726b54dae84b17e7b8017588d",1011,1,2017,6,1,2,1,1,3,5,,1
"08a2071726b54dae84b17e7b8017588d",1012,1,2017,6,1,2,1,1,3,5,,1
"08f3d91754ba4911865d5913f19172fc",112,1,2018,9,1,1,1,1,1,6,3,1
"08f99cd6418241cda1841d6a644074f9",1011,10,2018,1,1,2,1,1,40,,,1
"097ea672d9004012a57a7084a54061ab",1011,6,2018,1,1,2,1,1,3,9,,1
"099f3b6855dc42158237614c25bfb571",104,6,2017,3,2,2,1,2,9,,,1
"099f3b6855dc42158237614c25bfb571",1011,6,2017,1,2,2,1,2,9,,,1
"09c865966539496a8242c1018e90ef5f",1011,7,2017,3,2,2,2,2,3,,,1
"09eb11716b004f3db526ff17444387ae",1012,9,2018,3,1,2,1,1,8,3,1,1
"0a3fa4ae17e5425780754137a4e60987",1011,7,2017,3,1,1,1,2,3,,,1
"0a3fa4ae17e5425780754137a4e60987",1032,10,2017,0,1,1,1,1,4,,,1
"0a762151047143afb734fafb9be8275c",102,4,2018,2,1,1,1,1,3,4,,1
"0ab5e0705d5b40beb0a2e79f49183356",1012,7,2017,3,2,2,1,2,3,1,,1
