"hhid","PID","pid_unps","t0_hhid","h2q3","h2q4","h2q5","h2q6","h2q7","h2q8","h2q9a","h2q9b","h2q9c","h2q10"
"004e93d7552248ed95d8bc3ec21bdbdb",1,,"H1650506",1,1,12,,1,31,7,10,1986,1
"004e93d7552248ed95d8bc3ec21bdbdb",2,,"H1650506",2,2,12,,1,25,98,98,1993,1
"004e93d7552248ed95d8bc3ec21bdbdb",3,,"H1650506",2,3,10,1,1,0,24,8,2017,
"004e93d7552248ed95d8bc3ec21bdbdb",4,,"H1650506",2,7,10,13,2,12,98,98,2006,5
"0071da69d26d4b29a8f9d29d458e68cf",1,"P18103-010","H1810303",1,1,7,13,1,31,14,2,1987,1
"0071da69d26d4b29a8f9d29d458e68cf",2,"P18103-011","H1810303",2,2,12,,1,28,30,3,1990,1
"0071da69d26d4b29a8f9d29d458e68cf",3,"P18103-012","H1810303",2,3,12,,1,8,28,8,2009,
"0071da69d26d4b29a8f9d29d458e68cf",4,"P18103-026","H1810303",2,3,12,,1,5,22,8,2012,
"0071da69d26d4b29a8f9d29d458e68cf",5,"P18103-033","H1810303",2,3,12,,1,2,3,7,2015,
"0071da69d26d4b29a8f9d29d458e68cf",6,,"H1810303",2,3,0,1,1,0,30,11,2017,
"008071c371724fe49a5bb047472df87f",1,"P14007-004","H1400702",2,1,12,,1,36,10,9,1982,1
"008071c371724fe49a5bb047472df87f",2,"P14007-019","H1400702",1,8,0,10,,,,,,
"008071c371724fe49a5bb047472df87f",3,,"H1400702",1,2,12,,1,26,98,98,1992,1
"008071c371724fe49a5bb047472df87f",4,,"H1400702",2,3,12,,1,3,23,12,2014,
"008071c371724fe49a5bb047472df87f",5,,"H1400702",2,10,3,13,7,,,,,
"008071c371724fe49a5bb047472df87f",6,,"H1400702",1,10,3,13,7,,,,,
"008071c371724fe49a5bb047472df87f",7,,"H1400702",1,3,8,1,1,0,4,1,2018,
"00854d05d4f044c985ffce60c1b514c2",1,"P27908-001","H2790801",1,1,12,,1,73,28,2,1945,2
"00854d05d4f044c985ffce60c1b514c2",2,"P27908-002","H2790801",2,2,12,,1,55,5,8,1963,2
"00854d05d4f044c985ffce60c1b514c2",3,"P27908-003","H2790801",2,2,12,,1,53,10,7,1965,2
"00854d05d4f044c985ffce60c1b514c2",4,"P27908-004","H2790801",1,3,12,,1,28,28,2,1990,5
