"hhid","PID","s2bq1_1","h2bq02","h2bq03","h2bq04","h2qb05A","h2qb05B","h2bq06","h2bq07a","s2bq07b1","s2bq07b2","s2bq07b3a","s2bq07b3b","s2bq07b4a","s2bq07b4b","s2bq07b5","h2bq07b6"
"004e93d7552248ed95d8bc3ec21bdbdb",1,"1",2,,,,,,,,,,,,,,
"004e93d7552248ed95d8bc3ec21bdbdb",2,"1",2,,,,,,,,,,,,,,
"004e93d7552248ed95d8bc3ec21bdbdb",3,"1",2,,,,,,,,,,,,,,
"004e93d7552248ed95d8bc3ec21bdbdb",4,"1",2,,,,,,,,,,,,,,
"0071da69d26d4b29a8f9d29d458e68cf",1,"2",2,,,,,,,,,,,,,,
"0071da69d26d4b29a8f9d29d458e68cf",2,"2",2,,,,,,,,,,,,,,
"0071da69d26d4b29a8f9d29d458e68cf",3,"2",2,,,,,,,,,,,,,,
"0071da69d26d4b29a8f9d29d458e68cf",4,"2",2,,,,,,,,,,,,,,
"0071da69d26d4b29a8f9d29d458e68cf",5,"2",2,,,,,,,,,,,,,,
"0071da69d26d4b29a8f9d29d458e68cf",6,"2",2,,,,,,,,,,,,,,
"008071c371724fe49a5bb047472df87f",1,"1",2,,,,,,,,,,,,,,
"008071c371724fe49a5bb047472df87f",3,"1",2,,,,,,,,,,,,,,
"008071c371724fe49a5bb047472df87f",4,"3",2,,,,,,,,,,,,,,
"008071c371724fe49a5bb047472df87f",7,"3",2,,,,,,,,,,,,,,
"00854d05d4f044c985ffce60c1b514c2",1,"6",2,,,,,,,,,,,,,,
"00854d05d4f044c985ffce60c1b514c2",2,"2",2,,,,,,,,,,,,,,
"00854d05d4f044c985ffce60c1b514c2",3,"6",2,,,,,,,,,,,,,,
"00854d05d4f044c985ffce60c1b514c2",4,"2",2,,,,,,,,,,,,,,
"00854d05d4f044c985ffce60c1b514c2",6,"6",2,,,,,,,,,,,,,,
"00854d05d4f044c985ffce60c1b514c2",8,"6",2,,,,,,,,,,,,,,
"00854d05d4f044c985ffce60c1b514c2",9,"2",2,,,,,,,,,,,,,,
"00854d05d4f044c985ffce60c1b514c2",10,"6",2,,,,,,,,,,,,,,
"00854d05d4f044c985ffce60c1b514c2",12,"2",2,,,,,,,,,,,,,,
"00854d05d4f044c985ffce60c1b514c2",13,"6",2,,,,,,,,,,,,,,
"00858c2384184dc3bfc800550a6c8cb5",1,"2",2,,,,,,,,,,,,,,
"00858c2384184dc3bfc800550a6c8cb5",2,"2",2,,,,,,,,,,,,,,
"00858c2384184dc3bfc800550a6c8cb5",3,"2",2,,,,,,,,,,,,,,
"00858c2384184dc3bfc800550a6c8cb5",4,"2",2,,,,,,,,,,,,,,
"00858c2384184dc3bfc800550a6c8cb5",6,"2",2,,,,,,,,,,,,,,
"00858c2384184dc3bfc800550a6c8cb5",7,"2",2,,,,,,,,,,,,,,
"008ffc050d4e47c7920e9c7c2e35887a",1,"1",2,,,,,,,,,,,,,,
"008ffc050d4e47c7920e9c7c2e35887a",2,"1",2,,,,,,,,,,,,,,
"008ffc050d4e47c7920e9c7c2e35887a",4,"1",2,,,,,,,,,,,,,,
"008ffc050d4e47c7920e9c7c2e35887a",5,"1",2,,,,,,,,,,,,,,
"008ffc050d4e47c7920e9c7c2e35887a",6,"1",2,,,,,,,,,,,,,,
"008ffc050d4e47c7920e9c7c2e35887a",7,"1",2,,,,,,,,,,,,,,
"008ffc050d4e47c7920e9c7c2e35887a",8,"1",2,,,,,,,,,,,,,,
"008ffc050d4e47c7920e9c7c2e35887a",9,"1",2,,,,,,,,,,,,,,
"00a09aedb8c049aa8364d377c26c5f81",1,"1",2,,,,,,,,,,,,,,
"00a09aedb8c049aa8364d377c26c5f81",2,"1",2,,,,,,,,,,,,,,
"00a09aedb8c049aa8364d377c26c5f81",3,"1",2,,,,,,,,,,,,,,
"00a09aedb8c049aa8364d377c26c5f81",4,"2",2,,,,,,,,,,,,,,
"00a09aedb8c049aa8364d377c26c5f81",5,"1",2,,,,,,,,,,,,,,
"00a09aedb8c049aa8364d377c26c5f81",6,"2",2,,,,,,,,,,,,,,
"00a09aedb8c049aa8364d377c26c5f81",7,"2",2,,,,,,,,,,,,,,
"00a68f13f97141199e9fda8aacbccc8d",1,"1",1,2,7,6,,1,70000,0,0,1,1,0,,,70000
"00a68f13f97141199e9fda8aacbccc8d",2,"1",1,2,7,6,,2,0,0,0,0,0,0,0,,0
"00a68f13f97141199e9fda8aacbccc8d",3,"1",1,2,7,6,,2,0,0,0,0,0,0,0,,0
"00a68f13f97141199e9fda8aacbccc8d",4,"1",2,,,,,,,,,,,,,,
"00bbd034f88649bc980b091d4a5af645",1,"1",1,1,1,5,,1,20000,0,0,20000,0,0,,,0
"00bbd034f88649bc980b091d4a5af645",2,"1",2,,,,,,,,,,,,,,
"00bbd034f88649bc980b091d4a5af645",3,"1",2,,,,,,,,,,,,,,
"00bbd034f88649bc980b091d4a5af645",4,"1",2,,,,,,,,,,,,,,
"00bbd034f88649bc980b091d4a5af645",5,"1",1,1,3,6,,1,10000,0,0,10000,0,0,,,0
"00c9353d8ebe42faabf5919b81d7fae7",1,,,,,,,,,,,,,,,,
"00c9353d8ebe42faabf5919b81d7fae7",4,,,,,,,,,,,,,,,,
"00c9353d8ebe42faabf5919b81d7fae7",5,,,,,,,,,,,,,,,,
"00c9353d8ebe42faabf5919b81d7fae7",6,,,,,,,,,,,,,,,,
"00c9353d8ebe42faabf5919b81d7fae7",7,,,,,,,,,,,,,,,,
"00c9353d8ebe42faabf5919b81d7fae7",8,,,,,,,,,,,,,,,,
"00c9353d8ebe42faabf5919b81d7fae7",9,,,,,,,,,,,,,,,,
"00c9353d8ebe42faabf5919b81d7fae7",11,,,,,,,,,,,,,,,,
"00db391b5a9a4ef0954f50f148069c46",1,"1",2,,,,,,,,,,,,,,
"00db391b5a9a4ef0954f50f148069c46",2,"2",2,,,,,,,,,,,,,,
"00db391b5a9a4ef0954f50f148069c46",3,"2",2,,,,,,,,,,,,,,
"00db391b5a9a4ef0954f50f148069c46",4,"2",2,,,,,,,,,,,,,,
"00db391b5a9a4ef0954f50f148069c46",5,"2",2,,,,,,,,,,,,,,
"00db391b5a9a4ef0954f50f148069c46",6,"2",2,,,,,,,,,,,,,,
"00db391b5a9a4ef0954f50f148069c46",7,"2",2,,,,,,,,,,,,,,
"00db391b5a9a4ef0954f50f148069c46",8,"1",2,,,,,,,,,,,,,,
"00e23121bad94719bff27f93646437b3",1,"1",2,,,,,,,,,,,,,,
"00e23121bad94719bff27f93646437b3",2,"8",2,,,,,,,,,,,,,,
"00e23121bad94719bff27f93646437b3",4,"1",2,,,,,,,,,,,,,,
"00e23121bad94719bff27f93646437b3",6,"1",2,,,,,,,,,,,,,,
"00e23121bad94719bff27f93646437b3",7,"1",2,,,,,,,,,,,,,,
"00e23121bad94719bff27f93646437b3",8,"1",2,,,,,,,,,,,,,,
"00eb1114df14443a9effe1db5343435d",1,"1",2,,,,,,,,,,,,,,
"00eb1114df14443a9effe1db5343435d",2,"2",2,,,,,,,,,,,,,,
"00eb1114df14443a9effe1db5343435d",3,"2",2,,,,,,,,,,,,,,
"00f1eb71d428408f888b058a8e8664fe",1,"1",1,2,3,96,,1,55000,0,5000,50000,0,0,,,0
"00f1eb71d428408f888b058a8e8664fe",2,"1",1,2,3,96,,1,55000,0,5000,50000,0,0,,,0
"00f1eb71d428408f888b058a8e8664fe",4,"1",2,,,,,,,,,,,,,,
"00f1eb71d428408f888b058a8e8664fe",5,"1",2,,,,,,,,,,,,,,
"00f1eb71d428408f888b058a8e8664fe",6,"1",2,,,,,,,,,,,,,,
"00f1eb71d428408f888b058a8e8664fe",7,"1",2,,,,,,,,,,,,,,
"0101511a1da74f35b4fb8fd0c2cf8e69",1,"1",2,,,,,,,,,,,,,,
"0101511a1da74f35b4fb8fd0c2cf8e69",4,"15",2,,,,,,,,,,,,,,
"0101511a1da74f35b4fb8fd0c2cf8e69",6,"1",2,,,,,,,,,,,,,,
"0101511a1da74f35b4fb8fd0c2cf8e69",7,"7",2,,,,,,,,,,,,,,
"0101511a1da74f35b4fb8fd0c2cf8e69",8,"8",2,,,,,,,,,,,,,,
"0101511a1da74f35b4fb8fd0c2cf8e69",9,"9",2,,,,,,,,,,,,,,
"0101511a1da74f35b4fb8fd0c2cf8e69",10,"15",2,,,,,,,,,,,,,,
"0101511a1da74f35b4fb8fd0c2cf8e69",11,"15",2,,,,,,,,,,,,,,
"0101511a1da74f35b4fb8fd0c2cf8e69",15,"15",2,,,,,,,,,,,,,,
"0101511a1da74f35b4fb8fd0c2cf8e69",16,"15",2,,,,,,,,,,,,,,
"0101511a1da74f35b4fb8fd0c2cf8e69",17,"15",1,1,3,6,,1,0,0,0,0,0,0,,,0
"0101511a1da74f35b4fb8fd0c2cf8e69",18,"18",2,,,,,,,,,,,,,,
"0101511a1da74f35b4fb8fd0c2cf8e69",19,"19",2,,,,,,,,,,,,,,
"0103050b934841289df128242538e3ea",1,"2",1,1,7,4,6,1,20000,0,0,15000,0,0,,,5000
"0103050b934841289df128242538e3ea",2,"2",2,,,,,,,,,,,,,,
"0103050b934841289df128242538e3ea",4,"2",2,,,,,,,,,,,,,,
"0103050b934841289df128242538e3ea",5,"2",2,,,,,,,,,,,,,,
"0103050b934841289df128242538e3ea",6,"2",2,,,,,,,,,,,,,,
"0103050b934841289df128242538e3ea",7,"2",2,,,,,,,,,,,,,,
"0103050b934841289df128242538e3ea",8,"2",2,,,,,,,,,,,,,,
"0103050b934841289df128242538e3ea",9,"2",2,,,,,,,,,,,,,,
