"hhid","PID","s4q02","s4q03","s4q04","s4q04_1","s4q05","s4q06","s4q07","s4q08","s4q09","s4q10","s4q11","s4q12","s4q7_1a","s4q7_1b","s4q07a","s4q12_1","s4q13","s4q14","s4q14b","h4q15h","h4q15i","h4q15j","h4q15e","h4q15b","h4q15c","h4q15d","h4q15k","s4h15f","h4q15g_1","h4q15g","s4q16","s4q17","s4q18"
"004e93d7552248ed95d8bc3ec21bdbdb",1,1,,4,2,2,,16,3,,,,,,,,,,,,,,,,,,,,,,,,,
"004e93d7552248ed95d8bc3ec21bdbdb",2,2,1,4,,2,,32,3,,,,,,,,,,,,,,,,,,,,,,,,,
"004e93d7552248ed95d8bc3ec21bdbdb",4,2,1,1,,3,,,,11,12,1,1,,,,,1,30,1,10000,,7500,,10000,9000,,,1,,36500,1,1,3
"0071da69d26d4b29a8f9d29d458e68cf",1,2,2,4,,2,,17,9,,,,,,,,,,,,,,,,,,,,,,,,,
"0071da69d26d4b29a8f9d29d458e68cf",2,1,,4,2,2,,16,3,,,,,,,,,,,,,,,,,,,,,,,,,
"0071da69d26d4b29a8f9d29d458e68cf",3,2,2,1,,3,,,,1,10,2,1,,,,,2.5,30,1,180000,,30000,,,14600,,,105000,,329600,2,,2
"0071da69d26d4b29a8f9d29d458e68cf",4,2,2,1,,3,,,,1,1,2,1,,,,,2.5,30,1,125000,,6000,,,12000,,,105000,,248000,2,,2
"008071c371724fe49a5bb047472df87f",1,2,3,4,,2,,34,3,,,,,,,,,,,,,,,,,,,,,,,,,
"008071c371724fe49a5bb047472df87f",3,1,,4,2,2,,17,3,,,,,,,,,,,,,,,,,,,,,,,,,
"008071c371724fe49a5bb047472df87f",4,2,3,1,,3,,,,1,1,2,1,,,,,1,30,1,165000,,15000,,,7600,,,36000,,223600,2,,2
"00854d05d4f044c985ffce60c1b514c2",1,2,6,4,,2,,16,3,,,,,,,,,,,,,,,,,,,,,,,,,
"00854d05d4f044c985ffce60c1b514c2",2,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00854d05d4f044c985ffce60c1b514c2",3,2,2,4,,2,,17,3,,,,,,,,,,,,,,,,,,,,,,,,,
