"hhidold","PID","t2a_ta","t2a_tb","t2a_tc","t2a_td","t2a_te","t2a_tf","t2a_tg","t2a_th","t2a_ti","t2a_tj","t2a_tk","t2a_tl","t2a_tm","t2a_tm1","t2a_tn","t2a_to","t2a_tp","t2a_tq","t2a_tr","t2a_ts","t2a_tt","t3","hhid"
"H0600701","7",2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,0,"0192be21a93d4c2d83997fb6dc1c3ea6"
"H2780101","8",1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,"01483c3751964ad2842b6e4a8b6edcdd"
"H3530701","8",1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,"04a6909c35374a8088daf007b717dba1"
"H3350301","14",1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,"04e3098df42742428550ed1754b3cce9"
"H1810404","5",2,2,1,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,3,"0634372d290947fc92bad833679f4f23"
"H4100701","9",1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,"08a228d06e764dc49fbbf00d813880b8"
"H3240201","5",1,2,2,2,1,2,2,2,2,2,1,1,1,2,1,1,2,2,2,2,2,8,"0b922762b1a14c53a9f6bbd6ef3ff337"
"H1751103","5",1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,0,"0d05119207a2485cbe3a503f04c33f1d"
"H0420902","3",1,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,1,1,"15c0f37757dc46b28873a77b5e8a913d"
"H3540101","4",2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,3,"161df9ca153241e19e955e373574448f"
"H2850301","5",1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,"1a5e7470e5e349f4bdf3b8bd8779b225"
