"PID","t31","t32","t33","t34","t35","t36","hhid"
3,2,,1,2,2,,"004e93d7552248ed95d8bc3ec21bdbdb"
6,2,,2,,,,"0071da69d26d4b29a8f9d29d458e68cf"
4,2,,1,2,2,,"008071c371724fe49a5bb047472df87f"
-999999999,,,,,,,"00c9353d8ebe42faabf5919b81d7fae7"
3,2,,2,,,,"00eb1114df14443a9effe1db5343435d"
4,2,,2,,,,"01152e19bbdd4744a712260121f34bf7"
29,2,,1,2,2,,"01474a4d9efd4b8190c37f5fba89a005"
8,2,,1,2,2,,"01483c3751964ad2842b6e4a8b6edcdd"
7,2,,2,,,,"0192be21a93d4c2d83997fb6dc1c3ea6"
10,2,,2,,,,"01fc2a6821064f528ca01e20dbea8db2"
4,1,2,1,1,2,,"021babeee5f646108cbe9bb3b2a4c485"
7,2,,2,,,,"024a80a27283471e857285cf751564ae"
10,2,,2,,,,"02617e359bfc48cbaa6ff204cb915790"
6,2,,1,2,2,,"03c42091117d479097bf8be7a9dfebb1"
3,2,,2,,,,"04079e5069be47278c3ec71eb77a8997"
6,2,,1,2,2,,"040ecbcfb343431bb6645772dd87c2bb"
5,2,,2,,,,"044c92119a6e44b6bd74f41b5131f7fb"
8,2,,2,,,,"04a6909c35374a8088daf007b717dba1"
14,2,,1,2,2,,"04e3098df42742428550ed1754b3cce9"
7,2,,2,,,,"053050b9f02d468dabfb5515b9f97be6"
13,2,,2,,,,"0583ffbf78c441f7828b4e53acdd71f1"
5,2,,2,,,,"0634372d290947fc92bad833679f4f23"
8,1,2,1,2,2,,"0667b6f1adac439db81e063ceead3b03"
13,2,,1,2,2,,"08a2071726b54dae84b17e7b8017588d"
9,1,1,1,2,2,,"08a228d06e764dc49fbbf00d813880b8"
15,1,1,1,2,2,,"0a396d4827b24ea099971029d14bd817"
-999999999,2,,1,2,2,,"0a762151047143afb734fafb9be8275c"
10,2,,1,2,2,,"0ad4b37a214a455aa6080a4f197e50ca"
5,2,,1,2,2,,"0b7f6c75dec34a6bb3c0990283c92be6"
5,2,,2,,,,"0b922762b1a14c53a9f6bbd6ef3ff337"
6,2,,2,,,,"0cf284629d3f460eb8d1ac4e90b0639b"
5,2,,1,2,2,,"0d05119207a2485cbe3a503f04c33f1d"
3,2,,1,2,2,,"0df38d4bdeaa40a8b3407e57cc315e31"
3,1,1,1,2,2,,"0e530e4dff074880bc7b09f4d3755c2d"
7,2,,1,2,2,,"0fc2473477df48789bebde3b8239f2c4"
4,2,,2,,,,"0fcb437569834d1c9c2606f6766add88"
4,2,,2,,,,"117be70b702543a2a9b2c6ed42bde0d8"
8,1,2,1,2,2,,"11cce051e10f463e9d807eac544f8298"
5,2,,1,2,2,,"11fe2002e4b64d6a9f6f9dc246c6b5cb"
6,2,,2,,,,"1254e7d5420845449d4b2d63d8f8b555"
5,2,,2,,,,"13e1b70c74264df2b3ce9571a64d04b7"
13,1,2,1,2,98,,"15112bb7ee2c432d83517c273c01cf0b"
3,1,1,1,1,2,,"158fdcb371864b379252dd73d6a526b2"
3,2,,1,2,2,,"15c0f37757dc46b28873a77b5e8a913d"
6,2,,2,,,,"15fd3aeeaeb34f6ea14d42f6bcdee0d6"
4,2,,2,,,,"161df9ca153241e19e955e373574448f"
6,1,1,1,2,2,,"16282cde170b4278acdeccb779ce6b33"
12,2,,2,,,,"168c7ae537cc4394827298958c374b1d"
6,2,,1,2,2,,"16c0790e52ec43c58fcd99e7d75e10d3"
12,2,,2,,,,"16db46d7f22e41f9a04f1fbe342a0392"
3,2,,1,1,2,,"170275f8246f4dbebe53a915373b5984"
9,2,,2,,,,"1743a758fcdf491da96b27fd16b6021d"
4,2,,1,2,2,,"17befd96efff47ca9c60b12d3dd1071c"
11,2,,1,2,2,,"1825c65f6b9f4adf9694914c8b688f31"
-999999999,2,,1,1,2,,"1870fa2f0f224496a94898fe205ab40d"
10,2,,2,,,,"1882689344ef46b39e66d162a2a98a99"
4,2,,1,1,2,,"192773eb6e2f480d8283caef17b07c92"
10,2,,2,,,,"194a945af9444a8bb7ce17dd53a03244"
