"hhid","childFoodDiversity__id","T2_c","PID"
"004e93d7552248ed95d8bc3ec21bdbdb",4,2,3
"004e93d7552248ed95d8bc3ec21bdbdb",13,5,3
"004e93d7552248ed95d8bc3ec21bdbdb",9,1,3
"004e93d7552248ed95d8bc3ec21bdbdb",1,3,3
"008071c371724fe49a5bb047472df87f",10,4,4
"008071c371724fe49a5bb047472df87f",1,7,4
"00eb1114df14443a9effe1db5343435d",10,2,3
"00eb1114df14443a9effe1db5343435d",1,7,3
"01152e19bbdd4744a712260121f34bf7",11,7,4
"01152e19bbdd4744a712260121f34bf7",1,7,4
"01152e19bbdd4744a712260121f34bf7",4,2,4
"01474a4d9efd4b8190c37f5fba89a005",5,6,29
"01474a4d9efd4b8190c37f5fba89a005",1,7,29
"01474a4d9efd4b8190c37f5fba89a005",19,7,29
"01474a4d9efd4b8190c37f5fba89a005",11,7,29
"01483c3751964ad2842b6e4a8b6edcdd",3,7,8
"01483c3751964ad2842b6e4a8b6edcdd",1,7,8
"01483c3751964ad2842b6e4a8b6edcdd",4,2,8
"0192be21a93d4c2d83997fb6dc1c3ea6",15,2,7
"0192be21a93d4c2d83997fb6dc1c3ea6",19,7,7
"01fc2a6821064f528ca01e20dbea8db2",3,5,10
"01fc2a6821064f528ca01e20dbea8db2",11,4,10
"01fc2a6821064f528ca01e20dbea8db2",15,3,10
"021babeee5f646108cbe9bb3b2a4c485",3,3,4
"021babeee5f646108cbe9bb3b2a4c485",11,2,4
"021babeee5f646108cbe9bb3b2a4c485",19,4,4
"021babeee5f646108cbe9bb3b2a4c485",1,6,4
"021babeee5f646108cbe9bb3b2a4c485",13,2,4
"021babeee5f646108cbe9bb3b2a4c485",4,1,4
"024a80a27283471e857285cf751564ae",3,2,7
"024a80a27283471e857285cf751564ae",1,2,7
"02617e359bfc48cbaa6ff204cb915790",12,1,10
"02617e359bfc48cbaa6ff204cb915790",1,1,10
"02617e359bfc48cbaa6ff204cb915790",13,1,10
"02617e359bfc48cbaa6ff204cb915790",11,1,10
"03c42091117d479097bf8be7a9dfebb1",3,7,6
"03c42091117d479097bf8be7a9dfebb1",15,1,6
"03c42091117d479097bf8be7a9dfebb1",4,3,6
"03c42091117d479097bf8be7a9dfebb1",1,7,6
"03c42091117d479097bf8be7a9dfebb1",19,7,6
"03c42091117d479097bf8be7a9dfebb1",11,7,6
"04079e5069be47278c3ec71eb77a8997",8,1,3
"04079e5069be47278c3ec71eb77a8997",1,7,3
"04079e5069be47278c3ec71eb77a8997",13,7,3
"04079e5069be47278c3ec71eb77a8997",11,7,3
"040ecbcfb343431bb6645772dd87c2bb",1,7,6
"040ecbcfb343431bb6645772dd87c2bb",8,2,6
"040ecbcfb343431bb6645772dd87c2bb",11,5,6
"040ecbcfb343431bb6645772dd87c2bb",13,7,6
"044c92119a6e44b6bd74f41b5131f7fb",11,4,5
"044c92119a6e44b6bd74f41b5131f7fb",5,1,5
"044c92119a6e44b6bd74f41b5131f7fb",4,3,5
"04a6909c35374a8088daf007b717dba1",1,2,8
"04a6909c35374a8088daf007b717dba1",23,1,8
"04a6909c35374a8088daf007b717dba1",6,2,8
"04a6909c35374a8088daf007b717dba1",21,4,8
"04e3098df42742428550ed1754b3cce9",13,7,14
"04e3098df42742428550ed1754b3cce9",10,2,14
"04e3098df42742428550ed1754b3cce9",1,7,14
"053050b9f02d468dabfb5515b9f97be6",11,7,7
"053050b9f02d468dabfb5515b9f97be6",1,7,7
"0583ffbf78c441f7828b4e53acdd71f1",22,7,13
"0583ffbf78c441f7828b4e53acdd71f1",3,2,13
"0583ffbf78c441f7828b4e53acdd71f1",19,4,13
"0583ffbf78c441f7828b4e53acdd71f1",13,7,13
"0583ffbf78c441f7828b4e53acdd71f1",10,4,13
"0583ffbf78c441f7828b4e53acdd71f1",1,7,13
"0583ffbf78c441f7828b4e53acdd71f1",23,7,13
"0634372d290947fc92bad833679f4f23",3,7,5
"0634372d290947fc92bad833679f4f23",4,3,5
"0634372d290947fc92bad833679f4f23",11,4,5
"0634372d290947fc92bad833679f4f23",13,5,5
"0667b6f1adac439db81e063ceead3b03",11,7,8
"0667b6f1adac439db81e063ceead3b03",3,4,8
"0667b6f1adac439db81e063ceead3b03",1,7,8
"08a2071726b54dae84b17e7b8017588d",11,3,13
"08a2071726b54dae84b17e7b8017588d",23,7,13
"08a2071726b54dae84b17e7b8017588d",3,3,13
"08a2071726b54dae84b17e7b8017588d",8,1,13
"08a2071726b54dae84b17e7b8017588d",13,3,13
"08a2071726b54dae84b17e7b8017588d",2,5,13
"08a2071726b54dae84b17e7b8017588d",4,7,13
"08a2071726b54dae84b17e7b8017588d",22,3,13
"08a2071726b54dae84b17e7b8017588d",19,5,13
"08a228d06e764dc49fbbf00d813880b8",1,7,9
"08a228d06e764dc49fbbf00d813880b8",4,3,9
"08a228d06e764dc49fbbf00d813880b8",10,3,9
"0a396d4827b24ea099971029d14bd817",1,7,15
"0a396d4827b24ea099971029d14bd817",3,7,15
"0a396d4827b24ea099971029d14bd817",11,7,15
"0a762151047143afb734fafb9be8275c",3,3,-999999999
"0a762151047143afb734fafb9be8275c",10,2,-999999999
"0a762151047143afb734fafb9be8275c",1,7,-999999999
"0a762151047143afb734fafb9be8275c",5,1,-999999999
"0ad4b37a214a455aa6080a4f197e50ca",3,7,10
"0ad4b37a214a455aa6080a4f197e50ca",8,1,10
"0ad4b37a214a455aa6080a4f197e50ca",1,7,10
"0ad4b37a214a455aa6080a4f197e50ca",11,5,10
"0b7f6c75dec34a6bb3c0990283c92be6",13,7,5
"0b7f6c75dec34a6bb3c0990283c92be6",10,4,5
"0b7f6c75dec34a6bb3c0990283c92be6",1,4,5
"0b7f6c75dec34a6bb3c0990283c92be6",21,4,5
"0b7f6c75dec34a6bb3c0990283c92be6",9,1,5
"0b7f6c75dec34a6bb3c0990283c92be6",4,3,5
"0b7f6c75dec34a6bb3c0990283c92be6",23,7,5
"0b922762b1a14c53a9f6bbd6ef3ff337",11,3,5
"0b922762b1a14c53a9f6bbd6ef3ff337",13,1,5
"0b922762b1a14c53a9f6bbd6ef3ff337",1,7,5
"0b922762b1a14c53a9f6bbd6ef3ff337",12,7,5
"0b922762b1a14c53a9f6bbd6ef3ff337",5,2,5
"0b922762b1a14c53a9f6bbd6ef3ff337",16,7,5
"0b922762b1a14c53a9f6bbd6ef3ff337",15,7,5
"0cf284629d3f460eb8d1ac4e90b0639b",1,7,6
"0cf284629d3f460eb8d1ac4e90b0639b",11,7,6
"0d05119207a2485cbe3a503f04c33f1d",19,7,5
"0d05119207a2485cbe3a503f04c33f1d",1,3,5
"0d05119207a2485cbe3a503f04c33f1d",11,4,5
"0df38d4bdeaa40a8b3407e57cc315e31",3,2,3
"0df38d4bdeaa40a8b3407e57cc315e31",1,3,3
"0df38d4bdeaa40a8b3407e57cc315e31",23,7,3
"0df38d4bdeaa40a8b3407e57cc315e31",11,3,3
"0e530e4dff074880bc7b09f4d3755c2d",3,3,3
"0e530e4dff074880bc7b09f4d3755c2d",13,4,3
"0e530e4dff074880bc7b09f4d3755c2d",1,7,3
"0e530e4dff074880bc7b09f4d3755c2d",6,3,3
"0e530e4dff074880bc7b09f4d3755c2d",11,7,3
"0fc2473477df48789bebde3b8239f2c4",10,1,7
"0fc2473477df48789bebde3b8239f2c4",1,7,7
"0fc2473477df48789bebde3b8239f2c4",19,7,7
"0fc2473477df48789bebde3b8239f2c4",11,7,7
"0fcb437569834d1c9c2606f6766add88",13,3,4
"0fcb437569834d1c9c2606f6766add88",4,7,4
"0fcb437569834d1c9c2606f6766add88",1,7,4
"0fcb437569834d1c9c2606f6766add88",12,7,4
"117be70b702543a2a9b2c6ed42bde0d8",11,4,4
"117be70b702543a2a9b2c6ed42bde0d8",1,4,4
"117be70b702543a2a9b2c6ed42bde0d8",10,1,4
"117be70b702543a2a9b2c6ed42bde0d8",3,3,4
"11cce051e10f463e9d807eac544f8298",5,2,8
"11cce051e10f463e9d807eac544f8298",4,5,8
"11cce051e10f463e9d807eac544f8298",19,5,8
"11cce051e10f463e9d807eac544f8298",1,7,8
"11cce051e10f463e9d807eac544f8298",2,7,8
"11fe2002e4b64d6a9f6f9dc246c6b5cb",13,7,5
"11fe2002e4b64d6a9f6f9dc246c6b5cb",16,4,5
"11fe2002e4b64d6a9f6f9dc246c6b5cb",11,3,5
"11fe2002e4b64d6a9f6f9dc246c6b5cb",1,7,5
"1254e7d5420845449d4b2d63d8f8b555",11,7,6
"1254e7d5420845449d4b2d63d8f8b555",1,7,6
"15112bb7ee2c432d83517c273c01cf0b",12,1,13
"15112bb7ee2c432d83517c273c01cf0b",4,2,13
"15112bb7ee2c432d83517c273c01cf0b",3,0,13
"15112bb7ee2c432d83517c273c01cf0b",23,7,13
"15112bb7ee2c432d83517c273c01cf0b",21,3,13
"15112bb7ee2c432d83517c273c01cf0b",1,7,13
"15112bb7ee2c432d83517c273c01cf0b",5,7,13
"158fdcb371864b379252dd73d6a526b2",13,7,3
"158fdcb371864b379252dd73d6a526b2",8,2,3
"158fdcb371864b379252dd73d6a526b2",1,7,3
"158fdcb371864b379252dd73d6a526b2",23,98,3
"158fdcb371864b379252dd73d6a526b2",2,7,3
"158fdcb371864b379252dd73d6a526b2",3,3,3
"158fdcb371864b379252dd73d6a526b2",11,2,3
"15c0f37757dc46b28873a77b5e8a913d",1,3,3
"15c0f37757dc46b28873a77b5e8a913d",9,7,3
"15c0f37757dc46b28873a77b5e8a913d",3,0,3
"15c0f37757dc46b28873a77b5e8a913d",13,7,3
"15c0f37757dc46b28873a77b5e8a913d",23,3,3
"15c0f37757dc46b28873a77b5e8a913d",19,2,3
"15fd3aeeaeb34f6ea14d42f6bcdee0d6",1,7,6
"161df9ca153241e19e955e373574448f",10,1,4
"161df9ca153241e19e955e373574448f",9,1,4
"16282cde170b4278acdeccb779ce6b33",10,7,6
"16282cde170b4278acdeccb779ce6b33",1,3,6
"168c7ae537cc4394827298958c374b1d",3,5,12
"168c7ae537cc4394827298958c374b1d",4,4,12
"16c0790e52ec43c58fcd99e7d75e10d3",1,7,6
"16c0790e52ec43c58fcd99e7d75e10d3",23,7,6
"16c0790e52ec43c58fcd99e7d75e10d3",12,3,6
"16c0790e52ec43c58fcd99e7d75e10d3",3,3,6
"16c0790e52ec43c58fcd99e7d75e10d3",19,2,6
"16c0790e52ec43c58fcd99e7d75e10d3",10,4,6
"16c0790e52ec43c58fcd99e7d75e10d3",9,1,6
"16c0790e52ec43c58fcd99e7d75e10d3",13,7,6
"16db46d7f22e41f9a04f1fbe342a0392",11,6,12
"16db46d7f22e41f9a04f1fbe342a0392",1,6,12
"16db46d7f22e41f9a04f1fbe342a0392",13,6,12
"170275f8246f4dbebe53a915373b5984",11,7,3
"170275f8246f4dbebe53a915373b5984",1,7,3
"1743a758fcdf491da96b27fd16b6021d",3,4,9
"17befd96efff47ca9c60b12d3dd1071c",23,3,4
"17befd96efff47ca9c60b12d3dd1071c",1,2,4
"1825c65f6b9f4adf9694914c8b688f31",21,7,11
"1825c65f6b9f4adf9694914c8b688f31",1,1,11
"1882689344ef46b39e66d162a2a98a99",19,7,10
"1882689344ef46b39e66d162a2a98a99",1,5,10
"1882689344ef46b39e66d162a2a98a99",4,1,10
"1882689344ef46b39e66d162a2a98a99",3,3,10
"192773eb6e2f480d8283caef17b07c92",9,4,4
"192773eb6e2f480d8283caef17b07c92",3,2,4
"192773eb6e2f480d8283caef17b07c92",8,1,4
"192773eb6e2f480d8283caef17b07c92",1,7,4
"192773eb6e2f480d8283caef17b07c92",13,7,4
"194a945af9444a8bb7ce17dd53a03244",3,1,10
"194a945af9444a8bb7ce17dd53a03244",10,1,10
"194a945af9444a8bb7ce17dd53a03244",11,1,10
"194c70f94cca497aac045956fa1b6124",1,7,5
"194c70f94cca497aac045956fa1b6124",5,7,5
"194c70f94cca497aac045956fa1b6124",13,3,5
"194c70f94cca497aac045956fa1b6124",4,7,5
"194c70f94cca497aac045956fa1b6124",10,7,5
"19c4fc257abc424384647435dadb3700",1,7,7
"1a01d47d8c8d492294f5d2c3f47d5d3d",12,7,7
"1a37d2e805614d7d9a3373852ab74ea4",19,7,3
"1a37d2e805614d7d9a3373852ab74ea4",4,4,3
"1a37d2e805614d7d9a3373852ab74ea4",3,7,3
"1a37d2e805614d7d9a3373852ab74ea4",11,2,3
"1a4e07a2e001491990c1a79b3c0b06cc",19,3,17
"1a4e07a2e001491990c1a79b3c0b06cc",10,3,17
"1a4e07a2e001491990c1a79b3c0b06cc",4,3,17
"1a4e07a2e001491990c1a79b3c0b06cc",5,3,17
"1a4e07a2e001491990c1a79b3c0b06cc",1,7,17
"1a5e7470e5e349f4bdf3b8bd8779b225",3,1,5
"1a5e7470e5e349f4bdf3b8bd8779b225",11,7,5
"1a5e7470e5e349f4bdf3b8bd8779b225",1,7,5
"1ac5be311466436b889555bae1886fd6",11,5,4
"1ac5be311466436b889555bae1886fd6",5,7,4
"1ac5be311466436b889555bae1886fd6",2,1,4
"1ac5be311466436b889555bae1886fd6",3,3,4
"1b2a1dd8c61d47d99f229fec9267bd22",4,3,3
"1b2a1dd8c61d47d99f229fec9267bd22",1,5,3
"1b2a1dd8c61d47d99f229fec9267bd22",13,6,3
"1d8871f1764249158f6fd0c5bf6e97b7",11,4,5
"1d8871f1764249158f6fd0c5bf6e97b7",19,7,5
"1d8871f1764249158f6fd0c5bf6e97b7",13,7,5
"1d8871f1764249158f6fd0c5bf6e97b7",15,7,5
"1d8871f1764249158f6fd0c5bf6e97b7",3,4,5
"1d938aa42c73429e9889c7a86cedaa2f",4,7,4
"1d98098213a349f1852ee5bd9db570cf",11,7,5
"1d98098213a349f1852ee5bd9db570cf",1,7,5
"1d98098213a349f1852ee5bd9db570cf",4,1,5
"1d9e7c2ca373492bbd6da273b791c7be",1,7,9
"1d9e7c2ca373492bbd6da273b791c7be",2,7,9
"1d9e7c2ca373492bbd6da273b791c7be",6,7,9
"1d9e7c2ca373492bbd6da273b791c7be",4,7,9
"1d9e7c2ca373492bbd6da273b791c7be",19,7,9
"1ddfeff49903462293869d882e446f43",1,7,12
"1ddfeff49903462293869d882e446f43",4,7,12
