"hhid","s11q01","h7_respondent","h11q02","CB05","CB06A","CB06B","CB06C","CB06D","CB06E","CB06F","CB06G","CB06H","CB06I","CB06J","CB06X","CB06Z"
"004e93d7552248ed95d8bc3ec21bdbdb",3,"1",2,3,2,2,2,2,2,2,2,2,2,2,2,1
"0071da69d26d4b29a8f9d29d458e68cf",3,"2",3,1,1,2,2,2,2,2,2,2,2,2,2,2
"008071c371724fe49a5bb047472df87f",1,"1",4,1,1,2,2,2,2,2,2,2,1,2,2,2
"00854d05d4f044c985ffce60c1b514c2",1,"2",4,1,1,1,2,2,2,2,2,2,2,2,2,2
"00858c2384184dc3bfc800550a6c8cb5",1,"2",4,1,2,2,2,2,2,1,2,2,1,2,2,2
"008ffc050d4e47c7920e9c7c2e35887a",1,"1",4,4,2,2,2,2,2,1,2,2,2,2,2,2
"00a09aedb8c049aa8364d377c26c5f81",1,"1",4,1,1,2,2,2,2,1,2,2,2,2,2,2
"00a68f13f97141199e9fda8aacbccc8d",3,"1",2,1,2,2,2,2,2,2,2,2,2,2,2,2
"00bbd034f88649bc980b091d4a5af645",7,"1",3,4,2,2,2,2,2,2,2,2,1,2,2,2
"00db391b5a9a4ef0954f50f148069c46",1,"2",4,1,1,2,2,2,2,2,2,2,2,2,2,2
"00e23121bad94719bff27f93646437b3",1,"1",6,2,1,2,2,2,2,1,2,2,2,2,2,2
"00eb1114df14443a9effe1db5343435d",3,"1",6,1,2,1,2,2,2,2,2,2,2,2,2,2
"00f1eb71d428408f888b058a8e8664fe",1,"2",4,4,1,2,2,2,2,2,2,1,1,1,2,2
"0101511a1da74f35b4fb8fd0c2cf8e69",1,"15",4,4,2,2,2,2,2,1,2,2,2,2,2,2
"0103050b934841289df128242538e3ea",1,"2",4,3,1,2,2,2,2,2,2,2,2,2,2,2
"01152e19bbdd4744a712260121f34bf7",4,"2",1,4,2,2,2,2,2,2,2,1,2,2,2,2
"0125c97b154d4f249c07f630cd52a102",1,"1",4,4,2,2,2,2,2,1,2,2,2,2,2,2
"0130f7b8553e41139cc871d924491db2",1,"1",4,1,1,2,2,2,2,1,2,2,2,2,2,2
"01474a4d9efd4b8190c37f5fba89a005",4,"2",1,1,2,2,2,2,2,2,2,1,2,2,2,2
"01483c3751964ad2842b6e4a8b6edcdd",1,"2",4,4,2,2,2,2,2,2,1,2,1,2,2,2
"014de44f6ef44053a6742d1db80fe516",1,"1",4,2,2,2,2,2,2,1,2,2,2,2,2,2
"015b2f40827d4d70a5aa4ac958235a78",3,"1",2,4,1,2,2,2,2,2,2,1,1,1,2,2
"0192be21a93d4c2d83997fb6dc1c3ea6",4,"1",1,1,2,2,2,2,2,2,2,1,2,2,2,2
"01946faa112841669f992ad1c026ddb6",5,"1",6,3,2,2,2,2,2,2,2,2,2,2,2,2
"01c14a909dd54c2088fe1b32e84ae2ec",1,"1",4,1,2,2,2,2,2,1,2,2,2,2,2,2
"01c6b5639280472aa1dbfea2b7c10c24",4,"1",1,1,2,2,2,2,2,2,2,2,1,1,2,2
"01dfba97dd29447f9a82aef0f59237de",1,"1",4,2,1,2,2,2,2,2,2,2,2,2,2,2
"01fc2a6821064f528ca01e20dbea8db2",4,"2",1,1,2,2,2,2,2,1,2,2,2,2,2,2
"020fd884bebf40b0a97f2156b8eda1b6",1,"2",4,4,1,2,2,2,2,2,2,1,2,2,2,2
"021babeee5f646108cbe9bb3b2a4c485",1,"2",4,4,2,2,2,2,2,2,2,2,2,2,2,1
"02257a7aa9a94ca9b464e910e2bd642d",4,"7",3,1,1,2,2,2,2,1,2,2,2,2,2,2
"023400859c2e49d9a0701040d93fa0f2",7,"1",3,4,2,2,2,2,2,2,2,2,2,2,2,1
"024a80a27283471e857285cf751564ae",3,"1",6,3,2,2,2,2,2,2,2,2,2,2,2,1
"02617e359bfc48cbaa6ff204cb915790",4,"2",4,1,1,2,2,2,2,2,2,1,2,2,2,2
"02931fcf3f8c4454919998cd30c933d3",3,"10",3,4,1,1,1,2,2,2,1,2,1,1,2,2
"02a50a54fb3a4c9f989e246cb0c9200e",4,"1",6,1,2,2,2,2,2,2,2,2,2,2,2,2
"02ad65979b5d4f9e8654d5912304304d",3,"1",3,1,1,2,2,2,2,2,2,2,2,2,2,2
"031fbb84e2af4d5e889ccc7492ecbf55",3,"1",1,4,2,1,2,2,2,2,2,2,2,2,2,2
"03292ce0d7f24e42801500e576140648",4,"9",1,3,2,2,2,2,2,2,2,2,2,2,2,1
"0349cc41571b406e889303445fe7e34c",7,"1",3,1,2,2,2,2,2,2,2,2,2,2,2,2
"034e9ec479764a228fa3ebdd8d359cf0",1,"1",4,3,2,2,2,2,2,2,2,2,2,2,2,2
"034f0004fa7a4a25b4aacdb196177f2b",1,"1",6,1,1,2,2,2,2,2,2,2,2,2,2,2
"035c9f46cc9a41f9bacdbe9a5de03d8c",1,"2",4,1,2,2,2,1,2,2,2,2,2,2,2,2
"0367b97ab6cb487095e018a1ffdf17a9",1,"1",6,4,2,2,2,2,2,2,2,2,2,2,2,1
"036b190944154e22bbd0d574a8d08be0",4,"2",1,4,2,2,2,2,2,2,2,2,2,2,2,1
"038bf67186f048d1966a17475bedd578",4,"2",4,1,1,2,2,2,2,2,2,2,2,2,2,2
"03c42091117d479097bf8be7a9dfebb1",1,"4",4,3,2,2,2,2,2,1,2,2,2,2,2,2
"03d4f5f6631747878b76ad399fb2b80c",1,"2",4,4,2,2,2,2,2,2,1,2,2,2,2,2
"03dcda394fdc4008868fe663e6f762c8",4,"2",4,4,2,2,2,2,2,1,2,2,1,2,2,2
"03f862af923942ad9f37fa65f52a8f3d",1,"1",4,1,1,2,2,2,2,1,2,2,2,2,2,2
"04077875a3894775bb24f2f42e7adc67",1,"1",4,4,2,2,2,1,2,2,2,2,2,2,2,2
"04079e5069be47278c3ec71eb77a8997",4,"1",1,1,1,2,2,1,2,2,2,2,2,2,2,2
"040ecbcfb343431bb6645772dd87c2bb",1,"2",4,1,2,2,2,2,2,1,2,2,2,2,2,2
"0418981cf19046bd930dbbfe8af3c1c4",4,"2",1,4,1,2,2,2,2,2,2,1,2,2,2,2
"042c4cc37a904f18a05671d5323d78d3",96,"1",3,1,2,1,2,2,2,2,2,2,2,2,2,2
"043058c9577d4e2ebeeb2c62c20acb22",4,"1",2,1,1,2,2,2,2,2,2,2,2,2,2,2
"0436a29148344151a89c6a941e52e1d0",1,"1",4,1,2,2,2,1,2,2,2,2,2,2,2,2
"044525d42e7547cb844fa01062ed908c",1,"1",6,3,1,2,2,2,2,1,2,2,2,2,2,2
"044c92119a6e44b6bd74f41b5131f7fb",1,"1",4,4,2,2,2,2,2,2,2,2,2,2,2,2
"044fe31f64084ca4bb3d0474820c95ff",3,"1",3,3,2,2,2,2,2,2,2,2,2,2,2,1
"0475d96d540e42f48e10f7e052c18533",5,"1",3,1,1,2,2,2,2,2,2,2,2,2,2,2
"048117d75d7e486587c27ca4bb7d294f",1,"4",4,4,1,2,2,2,2,2,2,2,2,2,2,2
"04a6909c35374a8088daf007b717dba1",4,"1",6,2,1,2,2,2,2,2,2,2,2,2,2,2
"04adcf9e96a14cc2879a6d47da1a2ae9",7,"2",6,2,2,2,2,2,2,1,2,2,2,2,2,2
"04beb1f67d72438a95bbd2da5ae9bc56",1,"2",6,1,2,2,2,2,2,1,2,2,2,2,2,2
"04e3098df42742428550ed1754b3cce9",1,"2",4,4,2,2,2,2,2,2,2,2,2,2,1,2
"04e34e77abfc4a14a6ddb3f8604a51ee",3,"2",3,4,2,2,2,2,2,1,2,2,2,2,2,2
"04fbfbe14e064de88046b1bd162fb008",4,"2",2,1,1,2,2,2,2,1,1,1,2,2,2,2
"05052c1f4a06454ca9f2ef68f4ed9918",1,"2",2,2,1,2,2,2,2,1,2,2,2,2,2,2
"053050b9f02d468dabfb5515b9f97be6",1,"1",4,3,1,2,2,2,2,2,2,1,2,2,2,2
"0566d903b26649e59275f92f6118361d",7,"1",3,2,1,2,2,2,2,2,2,2,2,2,2,2
"056cb993abee42a89f67363f1b38f878",4,"2",1,1,2,2,2,2,2,1,2,1,2,2,2,2
"056fa1dd91d740dcaa47fc4937363a95",7,"1",6,4,2,2,2,2,2,2,2,2,2,2,2,1
"057535df5a63411bb13f906e251b9130",1,"1",4,1,2,2,2,2,2,2,2,2,2,2,2,1
"057fc24f426f48fca061898d6efa4f49",1,"6",6,1,2,2,2,2,2,1,2,2,2,2,2,2
"0583ffbf78c441f7828b4e53acdd71f1",1,"1",4,4,2,2,2,2,2,1,2,2,2,2,2,2
"058bd214d86846f5949c782fb2f1bfbb",1,"2",4,2,1,2,2,2,2,2,2,2,2,2,2,2
"0592013fe59d4dce8b33b8661323c86d",1,"1",6,1,2,2,2,2,2,2,2,2,1,1,2,2
"05d8c19cfc8f47d4b66bd70bbad5407f",1,"1",4,3,1,2,2,2,2,1,2,1,1,2,2,2
"05dca1a459fe4754bd19d0d175b4da74",1,"2",4,4,2,2,2,2,2,1,2,2,2,2,2,2
"05e99dfa6f5a44a79677019330c423f7",4,"2",1,4,1,2,2,2,2,2,2,2,2,2,2,2
"05ec278a95624c74957734e0ab70ff5b",96,"1",3,1,1,2,2,2,2,2,2,2,2,2,2,2
"06270b496e1b4aa09b4906b0871c21b9",4,"2",1,4,2,2,2,2,2,2,2,1,2,2,2,2
"0634372d290947fc92bad833679f4f23",1,"4",4,4,2,2,2,2,2,2,2,2,1,2,2,2
"0667b6f1adac439db81e063ceead3b03",3,"1",3,2,2,1,2,2,2,2,2,2,2,2,2,2
"068501d062324eb097b62ccfea8a5fa6",4,"1",3,2,1,2,2,2,2,2,2,2,2,2,2,2
"069465eb8c264016bc63f2ba390ad118",1,"1",4,4,2,2,2,2,2,1,2,2,2,2,2,2
"069ce1000ec94312a038a19b8efdd983",1,"1",4,4,1,2,2,2,2,2,2,2,2,2,2,2
"06a3c5174fea45419046bfa97ea3c29b",4,"2",1,4,2,2,2,2,2,1,2,2,2,2,2,2
"06afa3273f6a49a38b98ba52ba888ed8",5,"2",3,1,2,1,2,2,2,2,2,2,2,2,2,2
"06b881a31ba7466e919d01bb09f5e672",1,"1",4,1,2,2,2,2,2,2,2,1,2,2,2,2
"06ba04343a6e4f678e01eec018cac7db",1,"1",1,4,2,2,2,2,2,2,2,2,2,2,2,2
"06c85056727c434f90b8215d4b1df0a2",1,"2",6,4,2,2,2,2,2,1,2,2,2,2,2,2
"06d940520a174c5c843dd683f49c2f95",1,"1",4,1,2,2,2,2,2,2,2,2,2,2,2,1
"06e12afed6db4f9a99423fc4169cc802",1,"2",4,1,2,2,2,2,2,2,2,2,2,2,2,1
"0700ac37276743c3a73536d56c21b04e",1,"2",4,1,1,2,2,2,2,1,2,2,2,2,2,2
"070b86808a434b1fb9f7f75af25bc594",4,"1",1,4,2,2,2,2,2,1,2,2,2,1,2,2
"0731c33c39714e7a8fe032a4c6840fc5",1,"6",4,1,1,2,2,2,2,1,2,2,2,2,2,2
"0751ec0e0fe949e68111233049babbaf",3,"1",1,1,1,2,2,2,2,2,2,1,2,2,2,2
"0774323f6795452793f0f563fcf08d08",1,"3",4,2,1,2,2,2,2,2,2,2,2,2,2,2
"07919f0a80fb43dc9dbbc762b869adbf",3,"2",2,1,1,2,2,2,2,2,2,2,2,2,2,2
"0795321942c34174a89d745e644df105",1,"1",4,3,1,2,2,2,2,2,2,2,2,2,2,2
"07999cf798314e05b4cfb6005c1092cb",1,"1",4,1,2,2,2,2,2,1,2,2,2,2,2,2
"07b307a143384b5cb48a35412b6788d6",4,"2",1,4,2,2,2,1,2,2,2,2,2,2,2,2
"07c445ca0f284db081b29aa91ee7988e",3,"1",6,4,2,2,2,2,2,1,2,2,2,2,2,2
