"hhid","IncomeSource","s11q04"
"004e93d7552248ed95d8bc3ec21bdbdb",21,2
"0071da69d26d4b29a8f9d29d458e68cf",21,2
"008071c371724fe49a5bb047472df87f",21,2
"00854d05d4f044c985ffce60c1b514c2",21,2
"00858c2384184dc3bfc800550a6c8cb5",21,1
"008ffc050d4e47c7920e9c7c2e35887a",21,2
"00a09aedb8c049aa8364d377c26c5f81",21,2
"00a68f13f97141199e9fda8aacbccc8d",21,2
"00bbd034f88649bc980b091d4a5af645",21,2
"00db391b5a9a4ef0954f50f148069c46",21,2
"00e23121bad94719bff27f93646437b3",21,2
"00eb1114df14443a9effe1db5343435d",21,2
"00f1eb71d428408f888b058a8e8664fe",21,2
"0101511a1da74f35b4fb8fd0c2cf8e69",21,2
"0103050b934841289df128242538e3ea",21,2
"01152e19bbdd4744a712260121f34bf7",21,2
"0125c97b154d4f249c07f630cd52a102",21,2
"0130f7b8553e41139cc871d924491db2",21,2
"01474a4d9efd4b8190c37f5fba89a005",21,2
"01483c3751964ad2842b6e4a8b6edcdd",21,2
"014de44f6ef44053a6742d1db80fe516",21,2
"015b2f40827d4d70a5aa4ac958235a78",21,2
"0192be21a93d4c2d83997fb6dc1c3ea6",21,2
"01946faa112841669f992ad1c026ddb6",21,1
"01c14a909dd54c2088fe1b32e84ae2ec",21,2
"01c6b5639280472aa1dbfea2b7c10c24",21,2
"01dfba97dd29447f9a82aef0f59237de",21,2
"01fc2a6821064f528ca01e20dbea8db2",21,2
"020fd884bebf40b0a97f2156b8eda1b6",21,2
"021babeee5f646108cbe9bb3b2a4c485",21,2
"02257a7aa9a94ca9b464e910e2bd642d",21,2
"023400859c2e49d9a0701040d93fa0f2",21,2
"024a80a27283471e857285cf751564ae",21,2
"02617e359bfc48cbaa6ff204cb915790",21,2
"02931fcf3f8c4454919998cd30c933d3",21,2
"02a50a54fb3a4c9f989e246cb0c9200e",21,2
"02ad65979b5d4f9e8654d5912304304d",21,2
"031fbb84e2af4d5e889ccc7492ecbf55",21,2
"03292ce0d7f24e42801500e576140648",21,2
"0349cc41571b406e889303445fe7e34c",21,2
"034e9ec479764a228fa3ebdd8d359cf0",21,1
"034f0004fa7a4a25b4aacdb196177f2b",21,2
"035c9f46cc9a41f9bacdbe9a5de03d8c",21,2
"0367b97ab6cb487095e018a1ffdf17a9",21,2
"036b190944154e22bbd0d574a8d08be0",21,1
"038bf67186f048d1966a17475bedd578",21,2
"03c42091117d479097bf8be7a9dfebb1",21,2
"03d4f5f6631747878b76ad399fb2b80c",21,2
"03dcda394fdc4008868fe663e6f762c8",21,2
"03f862af923942ad9f37fa65f52a8f3d",21,2
"04077875a3894775bb24f2f42e7adc67",21,2
"04079e5069be47278c3ec71eb77a8997",21,1
"040ecbcfb343431bb6645772dd87c2bb",21,2
"0418981cf19046bd930dbbfe8af3c1c4",21,2
"042c4cc37a904f18a05671d5323d78d3",21,1
"043058c9577d4e2ebeeb2c62c20acb22",21,2
"0436a29148344151a89c6a941e52e1d0",21,2
"044525d42e7547cb844fa01062ed908c",21,2
"044c92119a6e44b6bd74f41b5131f7fb",21,2
"044fe31f64084ca4bb3d0474820c95ff",21,2
"0475d96d540e42f48e10f7e052c18533",21,1
"048117d75d7e486587c27ca4bb7d294f",21,2
"04a6909c35374a8088daf007b717dba1",21,2
"04adcf9e96a14cc2879a6d47da1a2ae9",21,2
"04beb1f67d72438a95bbd2da5ae9bc56",21,2
"04e3098df42742428550ed1754b3cce9",21,2
"04e34e77abfc4a14a6ddb3f8604a51ee",21,2
"04fbfbe14e064de88046b1bd162fb008",21,2
"05052c1f4a06454ca9f2ef68f4ed9918",21,2
"053050b9f02d468dabfb5515b9f97be6",21,2
"0566d903b26649e59275f92f6118361d",21,2
"056cb993abee42a89f67363f1b38f878",21,1
"056fa1dd91d740dcaa47fc4937363a95",21,2
"057535df5a63411bb13f906e251b9130",21,2
"057fc24f426f48fca061898d6efa4f49",21,2
"0583ffbf78c441f7828b4e53acdd71f1",21,2
"058bd214d86846f5949c782fb2f1bfbb",21,2
"0592013fe59d4dce8b33b8661323c86d",21,2
"05d8c19cfc8f47d4b66bd70bbad5407f",21,2
"05dca1a459fe4754bd19d0d175b4da74",21,2
"05e99dfa6f5a44a79677019330c423f7",21,1
"05ec278a95624c74957734e0ab70ff5b",21,2
"06270b496e1b4aa09b4906b0871c21b9",21,2
"0634372d290947fc92bad833679f4f23",21,2
"0667b6f1adac439db81e063ceead3b03",21,2
"068501d062324eb097b62ccfea8a5fa6",21,2
"069465eb8c264016bc63f2ba390ad118",21,2
"069ce1000ec94312a038a19b8efdd983",21,1
"06a3c5174fea45419046bfa97ea3c29b",21,2
"06afa3273f6a49a38b98ba52ba888ed8",21,1
"06b881a31ba7466e919d01bb09f5e672",21,2
"06ba04343a6e4f678e01eec018cac7db",21,2
"06c85056727c434f90b8215d4b1df0a2",21,2
"06d940520a174c5c843dd683f49c2f95",21,2
"06e12afed6db4f9a99423fc4169cc802",21,2
"0700ac37276743c3a73536d56c21b04e",21,1
"070b86808a434b1fb9f7f75af25bc594",21,2
"0731c33c39714e7a8fe032a4c6840fc5",21,2
"0751ec0e0fe949e68111233049babbaf",21,2
"0774323f6795452793f0f563fcf08d08",21,2
"07919f0a80fb43dc9dbbc762b869adbf",21,2
"0795321942c34174a89d745e644df105",21,2
"07999cf798314e05b4cfb6005c1092cb",21,1
"07b307a143384b5cb48a35412b6788d6",21,2
"07c445ca0f284db081b29aa91ee7988e",21,2
"08004f29b4234c35bfbea5f38ced207a",21,2
"08211a3e91eb4227bb201b44001ea21b",21,2
"087401704b5c4990995dc6b7af8a6b0a",21,1
"08a2071726b54dae84b17e7b8017588d",21,1
"08a228d06e764dc49fbbf00d813880b8",21,2
"08a88de2ed7b46648366085ed5bef13b",21,2
"08b6ed18afcc4300b2c916163a857437",21,2
"08f3d91754ba4911865d5913f19172fc",21,2
"08f99cd6418241cda1841d6a644074f9",21,2
"09296489a3b04339968d856b0b9e44d9",21,2
"092f4d6bc16a49d19c00dbf10038cb3b",21,2
"097ea672d9004012a57a7084a54061ab",21,2
"098efabf1d9245b6bb031ca40ce7e36c",21,2
"0995195942ce4c61bd7c381d8e79e6a6",21,2
"099f3b6855dc42158237614c25bfb571",21,2
"09c865966539496a8242c1018e90ef5f",21,2
"09eb11716b004f3db526ff17444387ae",21,2
"09f80c42c3cd41999116b6c09d0fe5fb",21,2
"0a049c02fa2046ebbd60a6af568aabae",21,2
"0a27264e6c624c93b389332b558be807",21,2
"0a32ecc59b4543d991993511531bcbdc",21,2
"0a396d4827b24ea099971029d14bd817",21,2
"0a3fa4ae17e5425780754137a4e60987",21,2
"0a48cd3173ac4599b9b722ced71b423c",21,2
"0a72dc2637f34612b2fa35e4d4b6cc60",21,1
"0a762151047143afb734fafb9be8275c",21,2
"0ab5e0705d5b40beb0a2e79f49183356",21,1
"0ac58cb4e81e452daa6d87169534e762",21,2
"0acb15747a494855adae111b05ec1af2",21,2
"0ad4b37a214a455aa6080a4f197e50ca",21,2
"0b195170755f4768ac89c0dc1d08645a",21,2
"0b1dda6c9bc74ad6b7b18d9de2497355",21,2
"0b5e2febcfa54a2aa9c1369db7b62f76",21,2
"0b7f6c75dec34a6bb3c0990283c92be6",21,2
"0b9218083309477ab20ef5b6e13a2ab0",21,2
"0b922762b1a14c53a9f6bbd6ef3ff337",21,2
"0be0f54fc2f44d4d8328e2b8878a06d0",21,2
"0c3e9a0e660a4ec8a84320ec2aee7f95",21,2
"0c62b06017184c17bad1db399f2a4e56",21,2
"0c6c4a83fca94c7db3e8a92b921ca4b0",21,2
"0c7ed7713a3b4c80ab675ecc093d0a2a",21,2
"0cac20f5e69f4d00ac5d1bfc15689dba",21,2
"0ccd9462978a4880b1f650cecd2d26dd",21,2
"0cf284629d3f460eb8d1ac4e90b0639b",21,2
"0d05119207a2485cbe3a503f04c33f1d",21,2
"0d1503da1c134a0e912f2b7115137d57",21,2
"0d15c30cd22c44ca829cb62b6e630c26",21,2
"0d3fe7c0dc864f1eb4c9c7559a351a39",21,2
"0d7d45da8d23438f892a87baa61a4b7a",21,2
"0da5a64fbb634dd5a96a9d945a7ea296",21,2
"0dc5a325d5dd4987b0255e6dc261c7c9",21,2
"0dd53d87ea84437b9f5a26b992f3d396",21,2
"0df38d4bdeaa40a8b3407e57cc315e31",21,2
"0e22abe9b0524c3f81a1babba4b3a651",21,2
"0e25633f83884662b852b82b7c7724cd",21,2
"0e3bcf22a773456eb3475d233a7dc880",21,2
"0e4cdfeceae74763b9dca833f7997b04",21,2
"0e530e4dff074880bc7b09f4d3755c2d",21,2
"0e587b69c8364b7ea11ac6ad8155d944",21,2
"0e6bbfd7a7ff407ba8c19c68b4614a43",21,2
"0e7c523a5c34420c9fdba2a12575cd14",21,2
"0eacd048e8244b7bb60a9ef372d37bd4",21,2
"0ead3d9097d14f19afae3f37ed3fa95e",21,2
"0eb527381cfb4f258ee6a1ad0862d96b",21,2
"0ef4563b33504453b6221a3e597f4ac1",21,2
"0f0210463290453bb298ac2094d5322e",21,2
"0f1fae5e3c164a0689a528daa0977068",21,1
"0f3a4301801440ada74bb46498bddedb",21,2
"0f4fac38703b4b049484b45fcbe5629f",21,1
"0f667b218c504918a233aac6e8ee5bda",21,1
"0f6771f84c3a4bbb850133c3e9b7e498",21,2
"0f6b3b6cb8bb4020a328c9ca1434b2d4",21,2
"0f896c130fda4f5788f29621fde557f3",21,2
"0f89c593c872418cbe8ce314e2d06348",21,1
"0f9890d1fd734a5cace8f29bedc49979",21,2
"0fc2473477df48789bebde3b8239f2c4",21,1
"0fcb437569834d1c9c2606f6766add88",21,2
"0fd53ca28fec43eea667c453445091b8",21,2
"104c763be4a348c7858dd66cc2fbc597",21,2
"10651f09e6a44d788c5947935927ecd0",21,2
"108160782ccd45a9b7a3b97da91f5483",21,2
"108581c17994453a902a47aaec861b78",21,2
"108ebe553d994ae8bee890ebd2447fbf",21,2
"10c39a24e0784c66897740bdbc426cc8",21,2
"10c74627258044b8a3441bd75e51c277",21,2
"10ceb21bdb8d4898873a3a75df1feb74",21,2
"110f81c0d9254505838dcaf2497d130a",21,2
"112126f886be4437a68c163a94797d71",21,2
"11677af1b0144119a6f225a20b75675a",21,2
"117be70b702543a2a9b2c6ed42bde0d8",21,2
"119f2e2e03f143fc879b9f0ed133f62e",21,2
"11c06407f2894aa696b02bd42e1ad325",21,2
"11cce051e10f463e9d807eac544f8298",21,2
