"hhid","PID","s8q02","s8q03","s8q04","s8q06","s8q08","s8q10","s8q12","s8q14","s8q15","s8q16","s8q17","s8q17ab","s8q18","s8q19a","h8q19b_oneDigit","h8q19b_twoDigit","h8q19b_threeDigit","h8q19b_fourDigit","h8q19b_superConfirm","s8q20a","h8q20b_oneDigit","h8q20b_twoDigit","h8q20b_threeDigit","h8q20b_fourDigit","h8q20b_superConfirm","s8q22","s8q22_1","s8q23","s8q24","s8q68","s8q26","s8q27","s8q69","s8q29","s8q30","s8q30b","s8q32","s8q33","s8q70","s8q71","s8q35","s8q72","s8q37","s8q38a","h8q38b_oneDigit","h8q38b_twoDigit","h8q38b_threeDigit","h8q38b_fourDigit","s8q39a","h8q39b_oneDigit","h8q39b_twoDigit","h8q39b_threeDigit","h8q39b_fourDigit","s8q41","s8q42","s8q73","s8q36a","s8q36b","s8q36c","s8q36d","s8q36e","s8q36f","s8q36g","s8q43a","s8q43b","s8q43c","s8q43d","s8q43e","s8q43f","s8q43g","s8q46","s8q77","s8q31a","s8q31c","s8q78","s8q31d1","s8q31d2","s8q79","s8q45b","s8q45c","s8q80","s8q45d1","s8q45d2","s8q100a","s8q100b","s8q100c","s8q100coth","h8q101b_oneDigit","h8q101b_twoDigit","h8q101b_threeDigit","h8q101b_fourDigit","s8q101a","s8q101d","s8q100doth"
"004e93d7552248ed95d8bc3ec21bdbdb",1,1,,1,2,2,2,2,1,,,,,,"BARBER",7,75,754,7549,1,"SALOON",191111,96,960,9602,1,1,,2,2,2,2,2,1,,12,4,,,,,5,4,2,,,,,,,,,,,,,,12,12,12,12,12,12,12,,,,,,,,1,2,160000,4,160000,1,,,,,,,,,,,,,,,,,,
"004e93d7552248ed95d8bc3ec21bdbdb",2,2,1,2,2,2,2,1,1,,,,,,"SUBSISTENCE FARMER",6,63,631,6310,1,"GROWING CASSAVA",11111,1,11222,113,1,6,3,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,0,3,0,0,3,3,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
"0071da69d26d4b29a8f9d29d458e68cf",1,2,2,1,2,2,2,2,1,,,,,,"guarding at residence",9,96,962,9629,1,"guarding at residences",191111,96,960,9609,1,1,,2,2,2,2,2,1,,12,4,,,,,5,3,2,,,,,,,,,,,,,,0,10,10,10,10,10,10,,,,,,,,3,1,130000,4,130000,2,,,,,,,,,,,,,,,,,,
"0071da69d26d4b29a8f9d29d458e68cf",2,1,,2,2,2,2,1,1,,,,,,"weeding cassava",6,63,631,6310,1,"growing crops mainly for food and sell some",11111,1,11222,111,2,6,3,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,3,4,3,3,0,3,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
"008071c371724fe49a5bb047472df87f",1,2,3,2,2,2,2,1,1,,,,,,"WEEDING THE HOUSEHOLD'S CASSAVA GARDEN",6,63,631,6310,1,"CASSAVA MAINLY FOR HOME CONSUMPTION",11111,1,11222,119,1,6,4,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,3,0,0,0,0,0,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
"008071c371724fe49a5bb047472df87f",3,1,,2,2,2,2,1,1,,,,,,"WEEDING THE HOUSEHOLD'S CASSAVA GARDEN",6,63,633,6330,1,"FOOD CROPS AND MILK FOR HOME CONSUMPTION",11111,1,15222,150,1,6,4,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,2,3,2,2,2,2,2,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
"00854d05d4f044c985ffce60c1b514c2",1,2,2,2,1,2,2,1,1,,,,,,"SHOP KEEPER",5,52,522,5221,1,"RETAIL SALE OF GENERAL MERCHANDISE",71111,47,477,4773,1,3,,,,,,,,,,,2,2,1,2,5,4,1,"SUBSISTENCE CROP FARMER",6,63,631,6310,"MATOOKE, COFFEE, BEANS",11111,1,11222,111,6,7,5,6,4,10,10,10,10,8,0,6,0,0,0,0,5,4,,,,,,,,,,,,,,,,,,,,,,,
"00854d05d4f044c985ffce60c1b514c2",2,1,,2,2,2,2,1,1,,,,,,"SUBSISTENCE CROP FARMER",6,63,631,6310,1,"BEANS, CASSAVA, SWEATPOTATOES",11111,1,11222,111,1,6,3,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,6,6,5,6,6,0,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
"00854d05d4f044c985ffce60c1b514c2",3,2,2,2,2,2,2,1,1,,,,,,"SUBSISTENCE CROP FARMER",6,63,631,6310,1,"BEANS, CASSAVA, SWEATPOTATOES",11111,1,11222,111,1,6,3,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,6,6,6,6,6,4,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
"00854d05d4f044c985ffce60c1b514c2",4,2,2,2,1,2,2,2,1,,,,,,"RETAIL SALE OF PRODUCE",5,52,522,5221,1,"RETAIL TRADE",71111,47,472,4721,1,3,,,,,,,,,,,2,2,1,2,5,4,2,,,,,,,,,,,,,,8,12,12,10,10,10,12,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
"00854d05d4f044c985ffce60c1b514c2",6,1,,2,2,2,2,1,1,,,,,,"SUBSISTENCE CROP FARMER",6,63,631,6310,1,"BEANS, CASSAVA, SWEATPOTATOES",11111,1,11222,111,1,6,3,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,5,5,5,5,5,2,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
"00854d05d4f044c985ffce60c1b514c2",8,2,6,2,2,2,2,1,1,,,,,,"SUBSISTENCE CROP FARMER",6,63,631,6310,1,"BEANS, CASSAVA, SWEATPOTATOES",11111,1,11222,111,1,6,3,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,0,0,0,0,0,4,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
"00854d05d4f044c985ffce60c1b514c2",10,2,6,2,2,2,2,2,0,2,2,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,12,
"00858c2384184dc3bfc800550a6c8cb5",1,2,2,2,2,2,2,1,1,,,,,,"subsistence crop farming",6,63,631,6310,1,"production of food crops for home consumption mainly",11111,1,11222,119,1,6,3,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,3,5,5,6,5,6,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
