"hhid","h9q01","h9q02","h9q24a","h9q24b","h9q26","h9q25","h9q27","h9q28","h9q29","h9q30_1","h9q30a","h9q30b","h9q30c","h9q31","h9q32a","h9q32b","h9q32c","h9q33","h9q34","h9q35","h9q36","h9q37","h9q38","h9q03","h9q04","h9q05","h9q06","h9q07","h9q08","h9q09a","h9q09b","h9q10","h9q11","h9q12","h9q13","h9q14","h9q15","h9q15_1","h9q15_2","h9q15_3","s915_4","h9q15_5","h9q16","h9q17","h9q22","h9q22a","h9q22b","h9q23","h9_respondent","h9q30d"
"004e93d7552248ed95d8bc3ec21bdbdb",16,10,3,1,2,2017,1,3,,,".",".",".",2,,,,6,2,,1,,4000000,1,15,14,14,14,6,10,5,0.5,4,2,,,10,"2","4",,2,120,1,4,23,2,,2,"1",
"0071da69d26d4b29a8f9d29d458e68cf",10,10,1,160,1,2003,1,3,,,".",".",".",1,2,,,1,2,,1,,4000000,2,10,14,14,14,1,10,4,0.2,10,2,,,10,"2","3",,1,60,2,4,23,2,,1,"2",
"008071c371724fe49a5bb047472df87f",16,10,4,50,2,2014,1,3,,,,,,2,,,,6,2,,1,,1000000,2,15,14,14,14,6,8,5,0.1,3.5,2,,,10,"1",,,1,140,1,4,22,2,,1,"3",
"00854d05d4f044c985ffce60c1b514c2",10,10,3,8,2,1974,1,3,,,,,,1,1,,,1,2,,1,,28000000,3,10,14,14,15,,150,60,3,10,2,,,10,"6","8","9",1,80,2,4,23,2,,1,"2",
"00858c2384184dc3bfc800550a6c8cb5",10,10,,,,,,,,,".",".",".",,,,,,,,,,,5,10,96,13,14,2,20,2,0.1,20,1,2,"1000",10,"1","2","4",2,200,1,8,22,2,,3,"2",
"008ffc050d4e47c7920e9c7c2e35887a",16,12,,,,,,,,,".",".",".",,,,,,,,,,,3,15,14,14,14,6,30,20,0.8,10,2,,,10,"2","4",,1,80,1,4,23,2,,1,"1",
"00a09aedb8c049aa8364d377c26c5f81",16,10,3,2,2,2007,1,3,,,".",".",".",2,,,,2,2,,1,,25000000,3,15,14,14,13,,,,,10,2,,,,".",".",".",,120,1,4,23,2,,1,"1",
"00a68f13f97141199e9fda8aacbccc8d",10,10,3,3500,1,2007,4,3,,,".",".",".",1,96,,,6,2,,1,,5000000,1,10,12,14,15,,30,5,1,2,2,,,10,"1","4",,1,40,2,2,23,2,,1,"1",
"00bbd034f88649bc980b091d4a5af645",10,10,3,0.2,2,2014,2,3,,,".",".",".",2,,,,1,2,,1,,19000000,3,10,12,13,21,,,,,5,2,,,,".",".",".",,40,2,2,22,2,,2,"1",
"00c9353d8ebe42faabf5919b81d7fae7",,,,,,,,,,,".",".",".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00db391b5a9a4ef0954f50f148069c46",10,10,1,2160,2,2005,1,3,,,".",".",".",2,,,,2,1,1,3,1,700000,2,10,12,13,14,6,7,3,0.1,3,1,2,"5000",10,"1","7",,1,60,1,4,22,2,,1,"2",
"00e23121bad94719bff27f93646437b3",10,10,1,2500,1,2005,5,96,2005,1,"1",,,2,,,,2,2,,1,,4000000,2,10,12,13,16,1,20,20,0.5,10,2,,,10,"2","6","8",1,80,2,3,23,2,,1,"1",
"00eb1114df14443a9effe1db5343435d",15,12,,,,,,,,,".",".",".",,,,,,,,,,,1,10,12,13,11,,,,,1,1,1,"12000",,".",".",".",,40,2,2,22,1,8,1,"2",
"00f1eb71d428408f888b058a8e8664fe",10,10,4,3000,1,1960,2,3,,,".",".",".",1,1,,,1,2,,1,,15000000,3,10,12,13,16,4,3,3,2,5,2,,,10,"4","5","6",2,60,1,2,22,2,,1,"2",
"0101511a1da74f35b4fb8fd0c2cf8e69",10,10,4,900,2,1994,1,3,,,".",".",".",1,3,,,2,2,,1,,10000000,5,10,12,13,15,,30,2,2,20,2,,,10,"4","8","15",1,200,1,4,23,2,,1,"15",
"0103050b934841289df128242538e3ea",11,10,3,2,2,2005,1,3,,,".",".",".",1,5,,,2,2,,1,,12000000,2,10,16,14,14,6,15,60,0.2,10,2,,,10,"1","2","5",1,110,1,4,95,,,,"2",
"01152e19bbdd4744a712260121f34bf7",10,10,96,0.41,1,2010,4,96,2010,1,"2",,,1,3,,,2,2,,1,,7000000,1,10,12,13,18,,,,,5,1,8,"60000",13,,,,2,140,1,2,22,2,,1,"2",
"0125c97b154d4f249c07f630cd52a102",10,10,1,12,1,1980,1,3,,,".",".",".",2,,,,6,2,,1,,100000,2,10,16,96,17,2,1,30,1,2,2,,,10,"1","2",,2,60,1,2,23,2,,1,"1",
"0130f7b8553e41139cc871d924491db2",16,10,1,50,2,2001,1,3,,,,,,2,,,,2,1,1,1,,1800000,4,15,14,14,14,1,20,5,0.5,15,1,2,"1000",10,"2","3","4",2,80,1,4,23,2,,1,"1",
"01474a4d9efd4b8190c37f5fba89a005",10,10,4,15000,2,1997,2,1,2008,1,"2",,,2,,,,1,2,,1,,80000000,6,10,11,13,11,,,,,10,1,1,"50000",,,,,,160,8,2,22,2,,1,"2",
"01483c3751964ad2842b6e4a8b6edcdd",10,10,,,,,,,,,".",".",".",,,,,,,,,,,3,10,16,14,12,6,10,5,0.1,3.5,2,,,10,"2","4","6",1,60,1,4,23,2,,1,"2",
"014de44f6ef44053a6742d1db80fe516",10,10,4,900,1,1987,1,3,,,,,,1,96,,,2,1,3,1,,3000000,2,10,12,14,14,6,40,60,1.5,10,2,,,10,"6","7",,2,80,1,4,23,2,,1,"1",
"015b2f40827d4d70a5aa4ac958235a78",10,10,4,800,3,2011,2,3,,,".",".",".",2,,,,1,2,,1,,1500000,1,10,14,14,18,,,,,2,2,,,10,"1",,,1,15,1,2,23,1,2,1,"1",
"0192be21a93d4c2d83997fb6dc1c3ea6",15,16,,,,,,,,,".",".",".",,,,,,,,,,,1,10,12,13,15,,30,10,0.1,1,2,,,10,"1",,,1,40,2,2,22,1,10,1,"1",
"01946faa112841669f992ad1c026ddb6",15,10,3,0.1,2,2014,1,3,,,".",".",".",2,,,,6,2,,1,,1000000,1,10,14,14,14,6,15,3,0.2,1,2,,,10,"1",,,1,10,2,4,23,1,4,1,"1",
"01c14a909dd54c2088fe1b32e84ae2ec",10,10,4,4000,2,2008,2,3,,,".",".",".",1,96,,,1,2,,1,,500000,1,10,12,14,16,96,30,1,2,2,2,,,10,"1","2","3",1,60,1,2,23,2,,1,"1",
"01c6b5639280472aa1dbfea2b7c10c24",10,10,4,5000,1,2012,2,96,2012,1,"1",,,2,,,,1,2,,1,,3000000,2,10,12,10,12,1,10,5,0.1,3,2,,,10,"1",,,1,40,2,2,22,2,,1,"1",
"01dfba97dd29447f9a82aef0f59237de",10,10,1,50,2,2008,1,3,,,".",".",".",2,,,,2,2,,1,,4000000,3,10,16,14,15,,20,5,0.5,3,2,,,10,"1","3","5",1,80,2,4,23,2,,1,"1",
"01fc2a6821064f528ca01e20dbea8db2",16,10,1,140,2,1997,1,3,,,".",".",".",2,,,,2,2,,1,,1000000,5,15,14,14,14,2,20,5,0.2,20,1,2,"1000",10,"7","8","9",1,160,1,4,23,2,,1,"2",
"020fd884bebf40b0a97f2156b8eda1b6",16,10,1,70,2,1969,1,3,,,".",".",".",2,,,,4,2,,1,,3000000,3,15,15,,14,5,10,15,0.25,5,2,,,10,"2","3",,2,60,1,4,22,2,,1,"2",
"021babeee5f646108cbe9bb3b2a4c485",10,10,1,25,2,2010,2,3,,,".",".",".",2,,,,6,2,,1,,1000000,1,10,12,14,14,6,30,5,0.5,5,2,,,10,"2","5",,1,60,1,4,23,1,4,1,"2",
"02257a7aa9a94ca9b464e910e2bd642d",10,10,3,0.75,1,2008,1,3,,,".",".",".",1,1,,,2,2,,1,,6000000,2,10,16,13,15,,10,2,0.05,2,2,,,10,"1",,,1,80,8,2,23,2,,1,"1",
"023400859c2e49d9a0701040d93fa0f2",15,16,,,,,,,,,".",".",".",,,,,,,,,,,2,10,12,14,14,6,2,3,0.01,4,1,2,"1000",10,"7",,,1,80,2,4,22,1,3,1,"1",
"024a80a27283471e857285cf751564ae",15,16,,,,,,,,,".",".",".",,,,,,,,,,,1,10,12,14,96,1,60,15,2.5,3,2,,,10,"4",,,1,40,2,2,23,1,2,1,"1",
"02617e359bfc48cbaa6ff204cb915790",10,10,1,20000,1,1999,2,1,1999,1,"1",,,2,,,,1,2,,1,,,3,10,12,13,16,1,45,5,1,3,2,,,13,".",".",".",1,100,2,2,23,2,,1,"2",
"02931fcf3f8c4454919998cd30c933d3",10,10,4,5000,1,2001,4,1,2001,1,"2",,,2,,,,2,2,,1,,30000000,4,10,12,16,11,,,,,5,1,1,"30000",,,,,,100,1,1,21,2,,3,"10",
"02a50a54fb3a4c9f989e246cb0c9200e",10,12,,,,,,,,,".",".",".",,,,,,,,,,,1,15,14,14,15,,10,2,0.1,3,2,,,10,"1","2",,1,50,1,4,23,2,,1,"1",
"02ad65979b5d4f9e8654d5912304304d",15,16,,,,,,,,,".",".",".",,,,,,,,,,,1,10,12,13,12,6,2,1,0,2,1,1,"6000",10,"1",,,1,20,2,1,22,1,4,1,"1",
"02dd448165ce46279ca601a02865d543",10,10,,,1,,,,,,".",".",".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"031fbb84e2af4d5e889ccc7492ecbf55",10,10,1,25,2,2005,1,3,,,".",".",".",2,,,,1,2,,1,,5000000,1,10,12,14,15,,15,10,0.2,3,2,,,10,"1","2",,1,60,1,2,23,1,5,1,"1",
"03292ce0d7f24e42801500e576140648",10,10,4,1500,1,1998,2,3,,,".",".",".",1,96,,,1,2,,1,,3500000,2,10,12,13,16,2,40,1,1.6,5,2,,,10,"6","7","8",1,60,2,2,23,2,,1,"9",
"0349cc41571b406e889303445fe7e34c",10,10,1,130,2,1979,1,3,,,,,,2,,,,1,1,1,2,1,12000000,3,10,12,13,14,2,25,10,0.2,10,1,2,"500",10,"5",,,2,80,1,4,22,2,,1,"1",
"034e9ec479764a228fa3ebdd8d359cf0",10,10,4,440,1,1967,2,3,,,,,,1,96,,,1,1,1,1,,14000000,3,10,16,13,15,,50,5,1.6,4,2,,,10,"7",,,1,40,8,4,23,2,,1,"1",
