"t0_hhid","hhid","pid_unps","PID","availablevisit1","ws2aq1a","ws2aq1b_1","ws2aq1b","ws2aq1c","ws2aq2","ws2aq3","ws2aq4","ws2aq5"
"H1650506","004e93d7552248ed95d8bc3ec21bdbdb",,2,1,1,1,"1",1,,,,
"H1810303","0071da69d26d4b29a8f9d29d458e68cf","P18103-011",2,1,1,1,"1",1,,,,
"H1400702","008071c371724fe49a5bb047472df87f","P14007-004",1,1,1,1,"3",1,,,,
"H2790801","00854d05d4f044c985ffce60c1b514c2","P27908-010",8,1,3,,,,3,,,
"H1830701","00858c2384184dc3bfc800550a6c8cb5","P18307-001",1,1,3,,,,1,1,16,"33"
"H3990301","008ffc050d4e47c7920e9c7c2e35887a","P39903-004",4,1,3,,,,3,,,
"H3990301","008ffc050d4e47c7920e9c7c2e35887a","P39903-002",2,1,1,1,"1",1,,,,
"H3950701","00a09aedb8c049aa8364d377c26c5f81","P39507-002",2,1,1,1,"1",1,,,,
"H0491302","00a68f13f97141199e9fda8aacbccc8d",,1,1,1,1,"4",1,,,,
"H1090502","00db391b5a9a4ef0954f50f148069c46","P10905-003",1,1,1,1,"2",1,,,,
"H2370701","00e23121bad94719bff27f93646437b3","P23707-002",2,1,1,1,"1",1,,,,
"H0590907","00eb1114df14443a9effe1db5343435d",,2,1,1,1,"1",1,,,,
"H0531001","00f1eb71d428408f888b058a8e8664fe","P05310-014",2,1,1,1,"1",2,,,18,
"H3730501","0101511a1da74f35b4fb8fd0c2cf8e69","P37305-008",8,1,3,,,,3,,,
"H3730501","0101511a1da74f35b4fb8fd0c2cf8e69","P37305-005",4,2,,,,,,,,
"H3730501","0101511a1da74f35b4fb8fd0c2cf8e69",,15,1,1,1,"1",2,,,21,
"H2451101","0103050b934841289df128242538e3ea","P24511-013",2,1,1,2,,2,,,17,
"H2451101","0103050b934841289df128242538e3ea","P24511-007",1,2,,,,,,,,
"H0120905","01152e19bbdd4744a712260121f34bf7","P01209-029",1,1,2,1,"2",1,,,,
"H1910701","0130f7b8553e41139cc871d924491db2","P19107-008",2,1,1,1,"1",1,,,,
"H3470701","01474a4d9efd4b8190c37f5fba89a005","P34707-013",13,2,,,,,,,,
"H3470701","01474a4d9efd4b8190c37f5fba89a005","P34707-002",2,1,2,2,,1,,,,
"H3470701","01474a4d9efd4b8190c37f5fba89a005","P34707-011",11,2,,,,,,,,
"H2780101","01483c3751964ad2842b6e4a8b6edcdd","P27801-004",4,2,,,,,,,,
"H2780101","01483c3751964ad2842b6e4a8b6edcdd","P27801-002",2,1,1,1,"1",1,,,,
"H1300901","014de44f6ef44053a6742d1db80fe516","P13009-002",2,1,1,1,"1",1,,,,
"H1300901","014de44f6ef44053a6742d1db80fe516","P13009-004",3,1,3,,,,3,,,
"H0600701","0192be21a93d4c2d83997fb6dc1c3ea6","P06007-009",5,1,1,1,"1",2,,,14,
"H0670802","01c14a909dd54c2088fe1b32e84ae2ec",,2,1,2,1,"1",1,,,,
