"hhid","PID","help_id","t0_hhid","pid_unps","availablevisit1","ws4q1","ws4q4","ws4q5a","ws4q5b","ws4q6","ws4q7a","ws4q7b","ws4q8","ws4q9a","ws4q9b","ws4q11","ws4q12","elapsed_months_check","ws4q13","ws4q14","ws4q19","ws4q20a","ws4q20b","ws4q22"
"004e93d7552248ed95d8bc3ec21bdbdb",2,1,"H1650506",,1,1,1,0,1,2,,,2,,,1,"2017-08-24",18,2,4,1,3.5,2,3
"004e93d7552248ed95d8bc3ec21bdbdb",2,2,"H1650506",,1,1,1,0,1,2,,,2,,,1,"2017-08-24",18,2,4,1,3.5,2,3
"004e93d7552248ed95d8bc3ec21bdbdb",2,3,"H1650506",,1,1,1,0,1,2,,,2,,,1,"2017-08-24",18,1,4,1,3.5,2,3
"004e93d7552248ed95d8bc3ec21bdbdb",2,4,"H1650506",,1,1,1,0,1,2,,,2,,,1,"2017-08-24",18,2,4,1,3.5,2,3
"004e93d7552248ed95d8bc3ec21bdbdb",2,5,"H1650506",,1,1,1,0,1,2,,,2,,,1,"2017-08-24",18,2,4,1,3.5,2,3
"004e93d7552248ed95d8bc3ec21bdbdb",2,6,"H1650506",,1,1,1,0,1,2,,,2,,,1,"2017-08-24",18,2,4,1,3.5,2,3
"004e93d7552248ed95d8bc3ec21bdbdb",2,7,"H1650506",,1,1,1,0,1,2,,,2,,,1,"2017-08-24",18,2,4,1,3.5,2,3
"004e93d7552248ed95d8bc3ec21bdbdb",2,8,"H1650506",,1,1,1,0,1,2,,,2,,,1,"2017-08-24",18,2,4,1,3.5,2,3
"0071da69d26d4b29a8f9d29d458e68cf",2,1,"H1810303","P18103-011",1,1,1,0,4,2,,,2,,,4,"2017-11-30",6,2,1,2,,,3
"0071da69d26d4b29a8f9d29d458e68cf",2,2,"H1810303","P18103-011",1,1,1,0,4,2,,,2,,,4,"2017-11-30",6,2,1,2,,,3
"0071da69d26d4b29a8f9d29d458e68cf",2,3,"H1810303","P18103-011",1,1,1,0,4,2,,,2,,,4,"2017-11-30",6,2,1,2,,,3
"0071da69d26d4b29a8f9d29d458e68cf",2,4,"H1810303","P18103-011",1,1,1,0,4,2,,,2,,,4,"2017-11-30",6,2,1,2,,,3
"0071da69d26d4b29a8f9d29d458e68cf",2,5,"H1810303","P18103-011",1,1,1,0,4,2,,,2,,,4,"2017-11-30",6,2,1,2,,,3
"0071da69d26d4b29a8f9d29d458e68cf",2,6,"H1810303","P18103-011",1,1,1,0,4,2,,,2,,,4,"2017-11-30",6,2,1,2,,,3
"0071da69d26d4b29a8f9d29d458e68cf",2,7,"H1810303","P18103-011",1,1,1,0,4,2,,,2,,,4,"2017-11-30",6,1,1,2,,,3
"0071da69d26d4b29a8f9d29d458e68cf",2,8,"H1810303","P18103-011",1,1,1,0,4,2,,,2,,,4,"2017-11-30",6,2,1,2,,,3
"008071c371724fe49a5bb047472df87f",1,1,"H1400702","P14007-004",1,1,1,1,1,1,2,0,2,,,4,"2018-01-04",8,2,5,1,2.9,1,3
"008071c371724fe49a5bb047472df87f",1,2,"H1400702","P14007-004",1,1,1,1,1,1,2,0,2,,,4,"2018-01-04",8,1,5,1,2.9,1,3
"008071c371724fe49a5bb047472df87f",1,3,"H1400702","P14007-004",1,1,1,1,1,1,2,0,2,,,4,"2018-01-04",8,2,5,1,2.9,1,3
"008071c371724fe49a5bb047472df87f",1,4,"H1400702","P14007-004",1,1,1,1,1,1,2,0,2,,,4,"2018-01-04",8,2,5,1,2.9,1,3
"008071c371724fe49a5bb047472df87f",1,5,"H1400702","P14007-004",1,1,1,1,1,1,2,0,2,,,4,"2018-01-04",8,2,5,1,2.9,1,3
"008071c371724fe49a5bb047472df87f",1,6,"H1400702","P14007-004",1,1,1,1,1,1,2,0,2,,,4,"2018-01-04",8,2,5,1,2.9,1,3
"008071c371724fe49a5bb047472df87f",1,7,"H1400702","P14007-004",1,1,1,1,1,1,2,0,2,,,4,"2018-01-04",8,2,5,1,2.9,1,3
"008071c371724fe49a5bb047472df87f",1,8,"H1400702","P14007-004",1,1,1,1,1,1,2,0,2,,,4,"2018-01-04",8,2,5,1,2.9,1,3
"00854d05d4f044c985ffce60c1b514c2",8,1,"H2790801","P27908-010",1,2,,,,,,,2,,,,,,,,,,,
"00854d05d4f044c985ffce60c1b514c2",8,2,"H2790801","P27908-010",1,2,,,,,,,2,,,,,,,,,,,
"00854d05d4f044c985ffce60c1b514c2",8,3,"H2790801","P27908-010",1,2,,,,,,,2,,,,,,,,,,,
"00854d05d4f044c985ffce60c1b514c2",8,4,"H2790801","P27908-010",1,2,,,,,,,2,,,,,,,,,,,
"00854d05d4f044c985ffce60c1b514c2",8,5,"H2790801","P27908-010",1,2,,,,,,,2,,,,,,,,,,,
"00854d05d4f044c985ffce60c1b514c2",8,6,"H2790801","P27908-010",1,2,,,,,,,2,,,,,,,,,,,
"00854d05d4f044c985ffce60c1b514c2",8,7,"H2790801","P27908-010",1,2,,,,,,,2,,,,,,,,,,,
"00854d05d4f044c985ffce60c1b514c2",8,8,"H2790801","P27908-010",1,2,,,,,,,2,,,,,,,,,,,
"00858c2384184dc3bfc800550a6c8cb5",1,1,"H1830701","P18307-001",1,1,1,3,1,1,0,3,1,1,1,9,"2012-06-26",69,,,,,,
"00858c2384184dc3bfc800550a6c8cb5",1,2,"H1830701","P18307-001",1,1,1,3,1,1,0,3,1,1,1,9,"2012-06-26",69,,,,,,
"00858c2384184dc3bfc800550a6c8cb5",1,3,"H1830701","P18307-001",1,1,1,3,1,1,0,3,1,1,1,9,"2012-06-26",69,,,,,,
"00858c2384184dc3bfc800550a6c8cb5",1,4,"H1830701","P18307-001",1,1,1,3,1,1,0,3,1,1,1,9,"2012-06-26",69,,,,,,
"00858c2384184dc3bfc800550a6c8cb5",1,5,"H1830701","P18307-001",1,1,1,3,1,1,0,3,1,1,1,9,"2012-06-26",69,,,,,,
"00858c2384184dc3bfc800550a6c8cb5",1,6,"H1830701","P18307-001",1,1,1,3,1,1,0,3,1,1,1,9,"2012-06-26",69,,,,,,
"00858c2384184dc3bfc800550a6c8cb5",1,7,"H1830701","P18307-001",1,1,1,3,1,1,0,3,1,1,1,9,"2012-06-26",69,,,,,,
"00858c2384184dc3bfc800550a6c8cb5",1,8,"H1830701","P18307-001",1,1,1,3,1,1,0,3,1,1,1,9,"2012-06-26",69,,,,,,
"008ffc050d4e47c7920e9c7c2e35887a",2,1,"H3990301","P39903-002",1,1,1,4,2,1,1,1,2,,,8,"2013-04-15",62,,,,,,
"008ffc050d4e47c7920e9c7c2e35887a",2,2,"H3990301","P39903-002",1,1,1,4,2,1,1,1,2,,,8,"2013-04-15",62,,,,,,
"008ffc050d4e47c7920e9c7c2e35887a",2,3,"H3990301","P39903-002",1,1,1,4,2,1,1,1,2,,,8,"2013-04-15",62,,,,,,
"008ffc050d4e47c7920e9c7c2e35887a",2,4,"H3990301","P39903-002",1,1,1,4,2,1,1,1,2,,,8,"2013-04-15",62,,,,,,
"008ffc050d4e47c7920e9c7c2e35887a",2,5,"H3990301","P39903-002",1,1,1,4,2,1,1,1,2,,,8,"2013-04-15",62,,,,,,
"008ffc050d4e47c7920e9c7c2e35887a",2,6,"H3990301","P39903-002",1,1,1,4,2,1,1,1,2,,,8,"2013-04-15",62,,,,,,
"008ffc050d4e47c7920e9c7c2e35887a",2,7,"H3990301","P39903-002",1,1,1,4,2,1,1,1,2,,,8,"2013-04-15",62,,,,,,
"008ffc050d4e47c7920e9c7c2e35887a",2,8,"H3990301","P39903-002",1,1,1,4,2,1,1,1,2,,,8,"2013-04-15",62,,,,,,
"008ffc050d4e47c7920e9c7c2e35887a",4,1,"H3990301","P39903-004",1,2,,,,,,,2,,,,,,,,,,,
"008ffc050d4e47c7920e9c7c2e35887a",4,2,"H3990301","P39903-004",1,2,,,,,,,2,,,,,,,,,,,
"008ffc050d4e47c7920e9c7c2e35887a",4,3,"H3990301","P39903-004",1,2,,,,,,,2,,,,,,,,,,,
"008ffc050d4e47c7920e9c7c2e35887a",4,4,"H3990301","P39903-004",1,2,,,,,,,2,,,,,,,,,,,
"008ffc050d4e47c7920e9c7c2e35887a",4,5,"H3990301","P39903-004",1,2,,,,,,,2,,,,,,,,,,,
"008ffc050d4e47c7920e9c7c2e35887a",4,6,"H3990301","P39903-004",1,2,,,,,,,2,,,,,,,,,,,
"008ffc050d4e47c7920e9c7c2e35887a",4,7,"H3990301","P39903-004",1,2,,,,,,,2,,,,,,,,,,,
"008ffc050d4e47c7920e9c7c2e35887a",4,8,"H3990301","P39903-004",1,2,,,,,,,2,,,,,,,,,,,
"00a09aedb8c049aa8364d377c26c5f81",2,1,"H3950701","P39507-002",1,1,1,2,2,2,,,2,,,4,"2016-08-29",29,,,,,,
"00a09aedb8c049aa8364d377c26c5f81",2,2,"H3950701","P39507-002",1,1,1,2,2,2,,,2,,,4,"2016-08-29",29,,,,,,
"00a09aedb8c049aa8364d377c26c5f81",2,3,"H3950701","P39507-002",1,1,1,2,2,2,,,2,,,4,"2016-08-29",29,,,,,,
"00a09aedb8c049aa8364d377c26c5f81",2,4,"H3950701","P39507-002",1,1,1,2,2,2,,,2,,,4,"2016-08-29",29,,,,,,
"00a09aedb8c049aa8364d377c26c5f81",2,5,"H3950701","P39507-002",1,1,1,2,2,2,,,2,,,4,"2016-08-29",29,,,,,,
"00a09aedb8c049aa8364d377c26c5f81",2,6,"H3950701","P39507-002",1,1,1,2,2,2,,,2,,,4,"2016-08-29",29,,,,,,
"00a09aedb8c049aa8364d377c26c5f81",2,7,"H3950701","P39507-002",1,1,1,2,2,2,,,2,,,4,"2016-08-29",29,,,,,,
"00a09aedb8c049aa8364d377c26c5f81",2,8,"H3950701","P39507-002",1,1,1,2,2,2,,,2,,,4,"2016-08-29",29,,,,,,
"00a68f13f97141199e9fda8aacbccc8d",1,1,"H0491302",,1,1,1,1,1,2,,,2,,,2,"2014-11-10",50,,,,,,
"00a68f13f97141199e9fda8aacbccc8d",1,2,"H0491302",,1,1,1,1,1,2,,,2,,,2,"2014-11-10",50,,,,,,
"00a68f13f97141199e9fda8aacbccc8d",1,3,"H0491302",,1,1,1,1,1,2,,,2,,,2,"2014-11-10",50,,,,,,
"00a68f13f97141199e9fda8aacbccc8d",1,4,"H0491302",,1,1,1,1,1,2,,,2,,,2,"2014-11-10",50,,,,,,
"00a68f13f97141199e9fda8aacbccc8d",1,5,"H0491302",,1,1,1,1,1,2,,,2,,,2,"2014-11-10",50,,,,,,
"00a68f13f97141199e9fda8aacbccc8d",1,6,"H0491302",,1,1,1,1,1,2,,,2,,,2,"2014-11-10",50,,,,,,
"00a68f13f97141199e9fda8aacbccc8d",1,7,"H0491302",,1,1,1,1,1,2,,,2,,,2,"2014-11-10",50,,,,,,
"00a68f13f97141199e9fda8aacbccc8d",1,8,"H0491302",,1,1,1,1,1,2,,,2,,,2,"2014-11-10",50,,,,,,
"00db391b5a9a4ef0954f50f148069c46",1,1,"H1090502","P10905-003",1,1,1,4,1,2,,,2,,,5,"2018-02-13",3,2,5,1,3,2,3
"00db391b5a9a4ef0954f50f148069c46",1,2,"H1090502","P10905-003",1,1,1,4,1,2,,,2,,,5,"2018-02-13",3,1,5,1,3,2,3
"00db391b5a9a4ef0954f50f148069c46",1,3,"H1090502","P10905-003",1,1,1,4,1,2,,,2,,,5,"2018-02-13",3,2,5,1,3,2,3
"00db391b5a9a4ef0954f50f148069c46",1,4,"H1090502","P10905-003",1,1,1,4,1,2,,,2,,,5,"2018-02-13",3,2,5,1,3,2,3
"00db391b5a9a4ef0954f50f148069c46",1,5,"H1090502","P10905-003",1,1,1,4,1,2,,,2,,,5,"2018-02-13",3,2,5,1,3,2,3
"00db391b5a9a4ef0954f50f148069c46",1,6,"H1090502","P10905-003",1,1,1,4,1,2,,,2,,,5,"2018-02-13",3,2,5,1,3,2,3
"00db391b5a9a4ef0954f50f148069c46",1,7,"H1090502","P10905-003",1,1,1,4,1,2,,,2,,,5,"2018-02-13",3,2,5,1,3,2,3
"00db391b5a9a4ef0954f50f148069c46",1,8,"H1090502","P10905-003",1,1,1,4,1,2,,,2,,,5,"2018-02-13",3,2,5,1,3,2,3
"00e23121bad94719bff27f93646437b3",2,1,"H2370701","P23707-002",1,1,1,2,1,2,,,1,2,1,6,"2014-06-15",53,,,,,,
"00e23121bad94719bff27f93646437b3",2,2,"H2370701","P23707-002",1,1,1,2,1,2,,,1,2,1,6,"2014-06-15",53,,,,,,
"00e23121bad94719bff27f93646437b3",2,3,"H2370701","P23707-002",1,1,1,2,1,2,,,1,2,1,6,"2014-06-15",53,,,,,,
"00e23121bad94719bff27f93646437b3",2,4,"H2370701","P23707-002",1,1,1,2,1,2,,,1,2,1,6,"2014-06-15",53,,,,,,
"00e23121bad94719bff27f93646437b3",2,5,"H2370701","P23707-002",1,1,1,2,1,2,,,1,2,1,6,"2014-06-15",53,,,,,,
"00e23121bad94719bff27f93646437b3",2,6,"H2370701","P23707-002",1,1,1,2,1,2,,,1,2,1,6,"2014-06-15",53,,,,,,
"00e23121bad94719bff27f93646437b3",2,7,"H2370701","P23707-002",1,1,1,2,1,2,,,1,2,1,6,"2014-06-15",53,,,,,,
"00e23121bad94719bff27f93646437b3",2,8,"H2370701","P23707-002",1,1,1,2,1,2,,,1,2,1,6,"2014-06-15",53,,,,,,
"00eb1114df14443a9effe1db5343435d",2,1,"H0590907",,1,1,1,0,1,2,,,2,,,1,"2018-04-16",8,2,5,1,2.5,2,1
"00eb1114df14443a9effe1db5343435d",2,2,"H0590907",,1,1,1,0,1,2,,,2,,,1,"2018-04-16",8,1,5,1,2.5,2,1
"00eb1114df14443a9effe1db5343435d",2,3,"H0590907",,1,1,1,0,1,2,,,2,,,1,"2018-04-16",8,2,5,1,2.5,2,1
"00eb1114df14443a9effe1db5343435d",2,4,"H0590907",,1,1,1,0,1,2,,,2,,,1,"2018-04-16",8,2,5,1,2.5,2,1
"00eb1114df14443a9effe1db5343435d",2,5,"H0590907",,1,1,1,0,1,2,,,2,,,1,"2018-04-16",8,2,5,1,2.5,2,1
