"hhid","district","urban","region","regurb","subreg","equiv","hsize","usize","nrrexp30","fnrfxp30","cpexp30","fcpexp30","welfare","plinen","ctpline","hpline","spline","poor_2019","quints","decile","qurban","qregion"
"004e93d7552248ed95d8bc3ec21bdbdb",211,0,2,20,7,2.84159998595715,4,4,277178.53125,4537.166015625,156414.28125,2423.69970703125,55044.44140625,11463.4453125,15445.5849609375,30611.45703125,41245.17578125,0,,,,
"0071da69d26d4b29a8f9d29d458e68cf",307,1,3,31,9,3.68993334472179,6,6,384130.34375,0,212124.8125,0,57487.4375,11463.4453125,16304.146484375,30611.45703125,43537.83203125,0,3,5,2,4
"008071c371724fe49a5bb047472df87f",207,0,2,20,7,2.60599997639656,4,7,631399.875,0,354471.75,0,136021.390625,11463.4453125,15445.5849609375,30611.45703125,41245.17578125,0,5,9,5,5
"00854d05d4f044c985ffce60c1b514c2",406,0,4,40,13,8.32346659898758,10,10,715589.875,0,397569.0625,0,47764.83984375,11463.4453125,15188.53515625,30611.45703125,40558.76171875,0,2,4,2,2
"00858c2384184dc3bfc800550a6c8cb5",325,0,3,30,9,3.88186663389206,5,6,721416.0625,0,403894.375,0,104046.4296875,11463.4453125,15610.2099609375,30611.45703125,41684.78515625,0,4,8,5,5
"008ffc050d4e47c7920e9c7c2e35887a",322,0,3,30,10,6.40670001506805,8,9,235368.5,0,129879.4140625,0,20272.435546875,11463.4453125,15610.2099609375,30611.45703125,41684.78515625,1,1,1,1,1
"00a09aedb8c049aa8364d377c26c5f81",317,0,3,30,9,5.17476668953896,7,7,387763.4375,0,216465.84375,0,41831.03515625,11463.4453125,15610.2099609375,30611.45703125,41684.78515625,0,2,3,2,3
"00a68f13f97141199e9fda8aacbccc8d",124,0,1,10,2,2.94993332028389,4,4,396802.1875,0,220366.5,0,74702.1953125,11463.4453125,15946.951171875,30611.45703125,42584.00390625,0,3,6,4,2
"00bbd034f88649bc980b091d4a5af645",117,0,1,10,3,2.55243337154388,3,5,1021056.6875,0,576461.9375,0,225847.984375,11463.4453125,15946.951171875,30611.45703125,42584.00390625,0,5,10,5,5
"00db391b5a9a4ef0954f50f148069c46",201,0,2,20,4,4.41083332896233,7,8,602618.5625,0,352085.6875,0,79822.9375,11463.4453125,15445.5849609375,30611.45703125,41245.17578125,0,4,7,4,4
