"hhid","hhidold","batch","region","regurb","subreg","district","dc_2018","s1aq02a","cc_2018","s1aq03a","sc_2018","s1aq04a","pc_2018","urban","response_status","year","month","day","wave","wgt"
"0007d1f1449242feb5a25429644fb991","053050b9f02d468dabfb5515b9f97be6",785,3,30,9,"KOLE",325,"KOLE",1,"OKWERODOT",7,"ADELLOGO",1,0,1,"2019","08","21",8,2621.86374708019
"0010cbae3cea4ec9831f6cd92b02dc16","67961c569fc94401a471eac3902eb04e",767,3,30,9,"KOLE",325,"KOLE",1,"ABOKE",1,"APACH",2,0,1,"2019","04","04",8,1747.90906539893
"00246782f8654441a9df0f6ec0b6fc9f","b4a112be80d94403a11aa9c3a1e177f6",758,3,30,9,"ALEBTONG",323,"MOROTO",1,"ALEBTONG TOWN COUNCIL",4,"NAKABELA",3,0,1,"2019","12","13",8,753.134571061014
"003ed8d32f794609919d60d2ed8813e8","2cb797850b334f1e92c87498fc06141f",465,2,20,6,"NAMISINDWA",223,"BUBULO",1,"MAGALE TOWN COUNCIL",35,"BUTINDUYI",4,0,1,"2019","08","18",8,888.204769776538
"005fbc5779014a0290b088071bde9f72","dc2283dedc044929b39fc5d4e569bd41",190,1,11,2,"WAKISO",113,"BUSIRO",1,"WAKISO",13,"SSUMBWE",6,1,1,"2019","05","30",8,3905.07534053791
"0060071f3f414406af7312d68eae8513","a2634ad4bcfd41efa0d9bd6354359b63",312,1,10,3,"KASSANDA",107,"KASSANDA",3,"KALWANA",2,"KASSAAZI",3,0,1,"2020","01","22",8,2525.37602764623
"007341c9c07448a580714ee6a46d427f","94c8d04cba6547ab91547122f017c835",188,1,11,2,"WAKISO",113,"BUSIRO",1,"WAKISO",13,"BULOBA",2,1,1,"2019","08","05",8,976.268770332719
"008c674975f24ea79f50e30cbd4ee635","49035e3c71464389b22369ebb2ec7573",792,3,30,8,"NAPAK",327,"BOKORA",1,"LOTOME",3,"LOMUNO",3,0,1,"2020","01","31",8,2621.86374708019
"009c1baa0edb44f8af47773ce0b7caaa","2bc61f86f4464846a8be939b5d6326db",1011,4,40,14,"ISINGIRO",418,"ISINGIRO",2,"BIRERE",1,"KASAANA",2,0,1,"2020","02","17",8,1138.58545479852
"00b48fb6bcf84dd581bd7b2be5f908a0","6156b6e4c2fe441f8b8aba1d46865f9b",79,1,10,3,"LUWERO",104,"BAMUNANIKA",1,"ZIROBWE",5,"KAKAKALA",4,0,1,"2020","02","17",8,2020.30078859163
"00b4bea2a97641f88ae09439328edd9a","342c733cafbc4e68923e2a8ab905fc89",32,1,11,1,"KAMPALA",102,"KCCA",1,"RUBAGA DIVISION",3,"NAJJANANKUMBI II",9,1,1,"2019","04","01",8,3806.33800751256
"00c2b27287a74f948fef24a8de42825c","d0770f03778346bb9293a9bb4013ce34",226,1,11,2,"LYANTONDE",114,"KABULA",1,"LYANTONDE TOWN COUNCIL",5,"KALIIRO",1,1,1,"2019","07","02",8,2603.3837331633
"00cb487f12014891b3efa5c8679d18ab","8d6843d2394544fcba72c27e8497a8c3",780,3,30,9,"KOLE",325,"KOLE",1,"BALA",5,"OMOLADYANG",6,0,1,"2020","02","22",8,5243.72749416039
"00d5da8bbd544c548a71f176496ee4b6","e92f355e0ad94ca3b6124678a7f2355d",784,3,30,9,"KOLE",325,"KOLE",1,"OKWERODOT",7,"ADELLOGO",1,0,1,"2020","01","27",8,1310.9318735401
"00dc3a212a1f40698656b2dc7cc97a85","9834be0072104008a2788b64689b3bd5",334,2,20,5,"BUSIA",202,"SAMIA-BUGWE",2,"BUTEBA",5,"BUTEBA",3,0,1,"2019","11","01",8,888.204830606281
"0142f6f0c8f9435c97ac2563a6f390ec","49ee9daaeeb64bfe99182bc63a351dfd",937,4,40,14,"NTUNGAMO",411,"KAJARA",1,"KIBATSI",3,"IBAARE",1,0,1,"2020","02","13",8,3036.22767741671
"014cbd0c0b844976888438f7ea74aa69","8f151cb7d68d449ca0e9e8f5990e388e",651,3,30,11,"MOYO",309,"OBONGI",1,"ITULA",3,"UBBI",5,0,1,"2019","06","25",8,582.636367548126
"0182fc7b5eb44c44aef16c3a178fb762","5f19cad285714a92b4ac079e52f752c7",713,3,30,11,"KOBOKO",319,"KOBOKO",1,"LOBULE",5,"TUKALIRI",8,0,1,"2020","02","21",8,524.372749416039
"018d29620fa44db282c80b6627413e5c","1d938aa42c73429e9889c7a86cedaa2f",765,3,30,8,"AMUDAT",324,"POKOT",1,"LOROO",4,"ABILIEP",1,0,1,"2020","01","28",8,327.732968385024
"0192cb54d502450ca603738439bf616f","bfd8253bd59c4f3199fb4b83b9cee7a6",,2,20,6,"BULAMBULI",225,"BULAMBULI",1,"BULAAGO",3,"DOOBA",4,0,1,"2019","05","17",8,1480.34102685521
"0197cec68e9246a887cae30b13bc7488","ee1e4c79b11b40c782a947bf00ee173d",532,3,30,9,"APAC",302,"MARUZI",2,"IBUJE",5,"AMIIABERIDWOGO",5,0,1,"2019","07","09",8,1747.90921438073
"019f06d347d04d5fa22f1846aba0c59b","c351f08d2d8a4e598e762f285a0ba5b0",956,4,40,14,"NTUNGAMO",411,"RUSHENYI",4,"RUBAARE",3,"NYANGA",3,0,1,"2019","05","18",8,1821.73654583623
"01d0f651c2534a1f8355b9e10e0e9dcb","3453773ffb6941b089ee7f38a4653c85",980,4,40,13,"KYENJOJO",415,"MWENGE",1,"NYABUHARWA",14,"NYABUHARWA",7,0,1,"2019","04","03",8,1012.07581670499
"01d54a65224747fba33cf7b310c7435e","382fa15a185c4992a7a2d7fdb70f0db5",146,1,10,2,"SSEMBABULE",111,"LWEMIYAGA",1,"NTUUSI",2,"KYAMBOGO",4,0,1,"2019","05","24",8,1683.58385080404
"01e7608a258e42c7a2f5af8b551bc247","d2c78a060324412e89fbcde4579963a2",303,1,10,2,"KYOTERA",125,"KAKUUTO",1,"KYEBE",5,"GWANDA",1,0,1,"2019","09","20",8,1262.68801382311
"02087846085249d1ae73a1070233c8bb","08f99cd6418241cda1841d6a644074f9",299,1,10,2,"LWENGO",124,"BUKOTO",1,"MALONGO",7,"KALAGALA",1,0,1,"2019","05","20",8,1443.0719439578
"0222b766ba3d494fbf6fe07cf260dac4","b3defd888f2a4ba8a3dcb4ec09f84222",1153,3,30,10,"OMORO",304,"OMORO",3,"BOBI",1,"PALWO",4,0,1,"2019","08","12",8,1048.74549883208
"024172552bc54600b13887149d11e82c","4cfc17444f5347f2b63940f96adcfdff",1053,4,40,13,"KYEGEGWA",422,"KYAKA",1,"KABWEEZA KYEGEGWA",2,"BULINGO",1,0,1,"2019","05","16",8,9108.68303225013
"02449af9963842c8b8f615b2232735b1","96aa0100b13346adac0d328701bcbf35",102,1,10,2,"MPIGI",106,"MAWOKOTA",1,"MUDUUMA",6,"MBAZZI",6,0,1,"2019","05","11",8,1262.68793000973
"024dec2ae5e84e15a9d92dc84c3b5084","edd3aa336e384c68ba6498c9428215a9",342,2,20,4,"IGANGA",203,"KIGULU",3,"NAKALAMA",3,"NAKALAMA",4,0,1,"2019","05","21",8,2960.68240370914
"025b88ecba4a44279935bd4a0d19bccd","1f4d227ab74a442786bdcafb290b6a12",782,3,30,9,"KOLE",325,"KOLE",1,"OKWERODOT",7,"ADELLOGO",1,0,1,"2019","08","21",8,655.465862279146
"02868c7da57e46529281d2dae35ee7fd","c9c2f90528b14c858eebeb3d15b488f0",501,2,20,4,"LUUKA",229,"LUUKA",1,"BUKOOMA",2,"NABYOTO",3,0,1,"2019","04","09",8,8882.04769776538
