"hhid","h10_respondent","s10q01","s10q02","s10q03","s10q05a","s10q05b","s10q05c","s10q06","s10q07a","s10q07b","s10q08a","s10q08b","s10q08c","s10q08d","s10q08e","s10q08f","s10q08g","s10q08h","s10q08x","s10q08z","s10q09","s10q10","s10q11","s10q12"
"0007d1f1449242feb5a25429644fb991",6,2,,,,,1,2,,,2,2,2,2,2,2,2,1,2,2,8,2,3,1
"0010cbae3cea4ec9831f6cd92b02dc16",2,2,,,,,1,2,,,2,2,2,2,2,2,2,1,2,2,8,2,6,1
"00246782f8654441a9df0f6ec0b6fc9f",2,2,,,,,1,2,,,2,2,2,2,2,1,2,2,2,2,6,2,4,1
"003ed8d32f794609919d60d2ed8813e8",3,2,,,,,1,2,,,2,2,2,2,2,2,2,1,2,2,8,2,2,1
"005fbc5779014a0290b088071bde9f72",1,1,7,5,50000,30,,2,,,2,2,2,2,2,1,2,2,2,2,6,2,4,2
"0060071f3f414406af7312d68eae8513",3,2,,,,,1,2,,,2,2,2,2,2,2,2,1,2,2,8,2,2,1
"007341c9c07448a580714ee6a46d427f",2,2,,,,,4,2,,,2,2,1,2,2,2,2,2,2,2,3,2,1,2
"008c674975f24ea79f50e30cbd4ee635",5,2,,,,,1,2,,,2,2,2,2,2,2,2,1,2,2,8,2,6,3
"009c1baa0edb44f8af47773ce0b7caaa",1,2,,,,,1,2,,,2,2,2,2,2,2,2,1,2,2,8,2,2,1
"00b48fb6bcf84dd581bd7b2be5f908a0",1,2,,,,,1,2,,,2,2,2,2,2,2,2,1,2,2,8,2,4,1
"00b4bea2a97641f88ae09439328edd9a",1,1,24,2,,,,2,,,2,2,2,2,2,2,2,2,2,1,,,,
"00c2b27287a74f948fef24a8de42825c",3,2,,,,,2,2,,,2,2,2,2,2,1,2,2,2,2,6,2,3,3
"00cb487f12014891b3efa5c8679d18ab",2,2,,,,,1,2,,,2,2,2,2,2,2,2,1,2,2,8,2,7,1
"00d5da8bbd544c548a71f176496ee4b6",2,2,,,,,1,2,,,2,2,2,2,2,2,2,1,2,2,8,2,8,3
"00dc3a212a1f40698656b2dc7cc97a85",1,2,,,,,1,2,,,2,2,2,2,2,2,2,1,2,2,8,2,5,1
"0142f6f0c8f9435c97ac2563a6f390ec",1,2,,,,,1,2,,,2,2,2,2,2,2,2,1,2,2,8,2,4,1
"014cbd0c0b844976888438f7ea74aa69",1,2,,,,,1,2,,,2,2,2,2,2,2,2,2,2,1,,,,
"0182fc7b5eb44c44aef16c3a178fb762",1,2,,,,,1,2,,,2,2,2,2,2,2,2,1,2,2,8,2,4,1
"018d29620fa44db282c80b6627413e5c",1,2,,,,,7,2,,,2,2,2,2,2,2,2,1,2,2,8,2,5,3
"0192cb54d502450ca603738439bf616f",1,2,,,,,2,2,,,2,2,2,2,2,2,2,1,2,2,8,2,5,1
"0197cec68e9246a887cae30b13bc7488",1,2,,,,,2,2,,,2,2,2,2,2,2,2,2,2,1,,,,
"019f06d347d04d5fa22f1846aba0c59b",5,2,,,,,1,2,,,2,2,2,2,2,2,2,1,2,2,8,2,3,1
"01d0f651c2534a1f8355b9e10e0e9dcb",1,2,,,,,1,2,,,2,2,2,2,2,2,2,1,2,2,8,2,3,3
"01d54a65224747fba33cf7b310c7435e",2,2,,,,,1,2,,,2,2,2,2,2,2,2,1,2,2,8,2,3,1
"01e7608a258e42c7a2f5af8b551bc247",1,2,,,,,2,2,,,2,2,2,2,2,2,2,1,2,2,8,2,3,1
"02087846085249d1ae73a1070233c8bb",1,2,,,,,1,2,,,2,2,2,2,2,2,2,1,2,2,8,2,3,3
"0222b766ba3d494fbf6fe07cf260dac4",2,2,,,,,1,2,,,2,2,2,2,2,2,2,1,2,2,8,2,6,1
"024172552bc54600b13887149d11e82c",1,2,,,,,1,2,,,2,2,2,2,2,2,2,1,2,2,8,2,3,3
