"hhid","s10q13","s10q14","s10q15a","s10q15b","s10q15c","s10q16","s10q17a","s10q17b","s10q17c"
"0007d1f1449242feb5a25429644fb991",6,2,,,,,,,
"0007d1f1449242feb5a25429644fb991",4,2,,,,,,,
"0007d1f1449242feb5a25429644fb991",9,2,,,,,,,
"0007d1f1449242feb5a25429644fb991",5,2,,,,,,,
"0007d1f1449242feb5a25429644fb991",8,2,,,,,,,
"0007d1f1449242feb5a25429644fb991",2,2,,,,,,,
"0007d1f1449242feb5a25429644fb991",3,2,,,,,,,
"0007d1f1449242feb5a25429644fb991",1,1,1,2,2,2,15000,3,10
"0007d1f1449242feb5a25429644fb991",7,1,2,1,2,,,,
"0010cbae3cea4ec9831f6cd92b02dc16",1,1,1,2,2,6,,,
"0010cbae3cea4ec9831f6cd92b02dc16",7,1,2,1,2,,,,
"0010cbae3cea4ec9831f6cd92b02dc16",8,2,,,,,,,
"0010cbae3cea4ec9831f6cd92b02dc16",2,2,,,,,,,
"0010cbae3cea4ec9831f6cd92b02dc16",6,2,,,,,,,
"0010cbae3cea4ec9831f6cd92b02dc16",5,2,,,,,,,
"0010cbae3cea4ec9831f6cd92b02dc16",9,2,,,,,,,
"0010cbae3cea4ec9831f6cd92b02dc16",3,2,,,,,,,
"0010cbae3cea4ec9831f6cd92b02dc16",4,2,,,,,,,
"00246782f8654441a9df0f6ec0b6fc9f",6,1,1,2,2,2,30000,60,8
"00246782f8654441a9df0f6ec0b6fc9f",8,2,,,,,,,
"00246782f8654441a9df0f6ec0b6fc9f",1,1,1,2,2,6,,,
"00246782f8654441a9df0f6ec0b6fc9f",5,2,,,,,,,
"00246782f8654441a9df0f6ec0b6fc9f",7,1,2,1,2,,,,
"00246782f8654441a9df0f6ec0b6fc9f",2,2,,,,,,,
"00246782f8654441a9df0f6ec0b6fc9f",4,2,,,,,,,
"00246782f8654441a9df0f6ec0b6fc9f",3,2,,,,,,,
"00246782f8654441a9df0f6ec0b6fc9f",9,2,,,,,,,
"003ed8d32f794609919d60d2ed8813e8",8,2,,,,,,,
"003ed8d32f794609919d60d2ed8813e8",3,2,,,,,,,
"003ed8d32f794609919d60d2ed8813e8",6,2,,,,,,,
"003ed8d32f794609919d60d2ed8813e8",4,1,2,1,2,1,1200,1,21
"003ed8d32f794609919d60d2ed8813e8",2,2,,,,,,,
"003ed8d32f794609919d60d2ed8813e8",9,2,,,,,,,
"003ed8d32f794609919d60d2ed8813e8",7,2,,,,,,,
"003ed8d32f794609919d60d2ed8813e8",5,2,,,,,,,
"003ed8d32f794609919d60d2ed8813e8",1,1,1,2,2,5,,,
"005fbc5779014a0290b088071bde9f72",9,2,,,,,,,
"005fbc5779014a0290b088071bde9f72",2,2,,,,,,,
"005fbc5779014a0290b088071bde9f72",3,2,,,,,,,
"005fbc5779014a0290b088071bde9f72",5,2,,,,,,,
"005fbc5779014a0290b088071bde9f72",6,1,1,2,2,1,30000,30,8
"005fbc5779014a0290b088071bde9f72",4,2,,,,,,,
"005fbc5779014a0290b088071bde9f72",7,2,,,,,,,
"005fbc5779014a0290b088071bde9f72",8,1,2,1,2,,,,
"005fbc5779014a0290b088071bde9f72",1,2,,,,,,,
"0060071f3f414406af7312d68eae8513",1,1,1,2,2,6,,,
"0060071f3f414406af7312d68eae8513",5,2,,,,,,,
"0060071f3f414406af7312d68eae8513",8,2,,,,,,,
"0060071f3f414406af7312d68eae8513",7,2,,,,,,,
"0060071f3f414406af7312d68eae8513",3,2,,,,,,,
"0060071f3f414406af7312d68eae8513",4,2,,,,,,,
"0060071f3f414406af7312d68eae8513",9,1,,1,,2,0,,
"0060071f3f414406af7312d68eae8513",2,2,,,,,,,
"0060071f3f414406af7312d68eae8513",6,2,,,,,,,
"007341c9c07448a580714ee6a46d427f",2,2,,,,,,,
"007341c9c07448a580714ee6a46d427f",5,2,,,,,,,
"007341c9c07448a580714ee6a46d427f",7,1,2,1,2,,,,
"007341c9c07448a580714ee6a46d427f",4,1,1,2,2,1,2000,1,96
"007341c9c07448a580714ee6a46d427f",8,2,,,,,,,
"007341c9c07448a580714ee6a46d427f",3,2,,,,,,,
"007341c9c07448a580714ee6a46d427f",1,2,,,,,,,
"007341c9c07448a580714ee6a46d427f",9,2,,,,,,,
"007341c9c07448a580714ee6a46d427f",6,2,,,,,,,
"008c674975f24ea79f50e30cbd4ee635",3,1,1,2,1,6,,,
"008c674975f24ea79f50e30cbd4ee635",9,1,,1,,2,1000,,
"008c674975f24ea79f50e30cbd4ee635",2,2,,,,,,,
"008c674975f24ea79f50e30cbd4ee635",5,2,,,,,,,
"008c674975f24ea79f50e30cbd4ee635",7,2,,,,,,,
"008c674975f24ea79f50e30cbd4ee635",6,2,,,,,,,
"008c674975f24ea79f50e30cbd4ee635",1,1,1,2,1,6,,,
"008c674975f24ea79f50e30cbd4ee635",8,2,,,,,,,
"008c674975f24ea79f50e30cbd4ee635",4,2,,,,,,,
"009c1baa0edb44f8af47773ce0b7caaa",4,2,,,,,,,
"009c1baa0edb44f8af47773ce0b7caaa",3,2,,,,,,,
"009c1baa0edb44f8af47773ce0b7caaa",2,2,,,,,,,
"009c1baa0edb44f8af47773ce0b7caaa",1,1,1,2,2,6,,,
"009c1baa0edb44f8af47773ce0b7caaa",6,2,,,,,,,
"009c1baa0edb44f8af47773ce0b7caaa",5,2,,,,,,,
