"hhid","s12q02","NA1a","NA1b","NA1c","NA1d","NA1e","NA1f","NA1g","NA1h"
"0007d1f1449242feb5a25429644fb991",6,2,2,2,2,2,2,2,2
"003ed8d32f794609919d60d2ed8813e8",3,2,2,2,2,2,2,2,2
"0060071f3f414406af7312d68eae8513",3,2,2,2,2,2,2,2,2
"007341c9c07448a580714ee6a46d427f",2,2,2,2,2,2,2,2,2
"009c1baa0edb44f8af47773ce0b7caaa",1,2,2,2,2,2,2,2,2
"00b4bea2a97641f88ae09439328edd9a",1,2,2,2,2,2,2,2,2
"00c2b27287a74f948fef24a8de42825c",3,2,2,2,2,2,2,2,2
"00cb487f12014891b3efa5c8679d18ab",2,2,2,2,2,2,2,2,2
"00d5da8bbd544c548a71f176496ee4b6",2,2,2,2,2,2,2,2,2
"00dc3a212a1f40698656b2dc7cc97a85",2,2,2,2,2,2,2,2,2
"0142f6f0c8f9435c97ac2563a6f390ec",1,2,2,2,2,2,2,2,2
"0182fc7b5eb44c44aef16c3a178fb762",1,2,2,2,2,2,2,2,2
"018d29620fa44db282c80b6627413e5c",1,2,2,2,2,2,2,2,2
"0192cb54d502450ca603738439bf616f",8,2,2,2,2,2,2,2,2
"0197cec68e9246a887cae30b13bc7488",1,2,2,2,2,2,2,2,2
"019f06d347d04d5fa22f1846aba0c59b",5,2,2,2,2,2,2,2,2
"01d54a65224747fba33cf7b310c7435e",2,2,2,2,2,2,2,2,2
"02087846085249d1ae73a1070233c8bb",1,2,2,2,2,2,2,2,2
"024172552bc54600b13887149d11e82c",1,2,2,2,2,2,2,2,2
"02449af9963842c8b8f615b2232735b1",1,2,2,2,2,2,2,2,2
"029532d2e0d640f888259f1851cfc929",1,2,2,2,2,2,2,2,2
"032de3aed1c34dd5840aba975a5a4468",1,2,2,2,2,2,2,2,2
"034a672611304ed3a91b8a062f4d4046",1,2,2,2,2,2,2,2,2
"039d3e634a2e4f2bb56e3798660eb6ba",1,2,2,2,2,2,2,2,2
"03b2600846004af6ba212269261907a2",1,2,2,2,2,2,2,2,2
"03d9ca9332d545378b468a1883127d8b",1,2,2,2,2,2,2,2,2
"040ceeba10fc44d19c9499e31e34fbfc",1,2,2,2,2,2,2,2,2
"041a9f28bf614e328a856c240a3abd03",1,2,2,2,2,2,2,2,2
"0442775d8d424d59a433ab5940d510ca",5,2,2,2,2,2,2,2,2
"0495834806fb40adb50e0fd619ef5094",1,2,2,2,2,2,2,2,2
"04b011de772e4ce08e33e461bb1741eb",13,2,2,2,2,2,2,2,2
"04bfccbfe0c64dfebc28097777937f16",1,2,2,2,2,2,2,2,2
"04c814d7b9cb4aa2b651aa2e31acf4e9",1,2,2,2,2,2,2,2,2
"04d55903a5d448c3953d1d1ceda1084d",5,2,2,2,2,2,2,2,2
"052f8d3f81c3477aa9366a24c54ddf83",1,2,2,2,2,2,2,2,2
"0540d10333124c9ab290bb9daaf998cc",3,2,2,2,2,2,2,2,2
"054124cd4eff40ec97bf51a44fe4a93c",2,2,2,2,2,2,2,2,2
"05743465c6254f7baedf141b6381f400",1,2,2,2,2,2,2,2,2
"058977f6550c4624b8d171b5d1a58a6e",1,2,2,2,2,2,2,2,2
"0594b58cc0834586919fbbd39a0be23f",3,2,2,2,2,2,2,2,2
"059ff457522a4a8fa64c8b2717080161",2,2,2,2,2,2,2,2,2
"05add010c2404efab0880200dcdc9674",1,2,2,2,2,2,2,2,2
"05b5aece409440ff8a1231a07558d979",1,2,2,2,2,2,2,2,2
"05b8817d114d47058c7877391323d14c",1,2,2,2,2,2,2,2,2
"05dafcf31b4d403aad84cdfff9d1fdfc",2,2,2,2,2,2,2,2,2
"06017013809c4ccc99e9c3dcd7b3c10f",1,2,2,2,2,2,2,2,2
"061989138f624a46be5860a6f7e8934b",2,2,2,2,2,2,2,2,2
"061d004e00b841cea0fa55802483b1b4",1,2,2,2,2,2,2,2,2
"062f7f18a3d7429fabe2c075459a301a",1,2,2,2,2,2,2,2,2
"06403dbe6bbd4f1e82d16fa705c51b73",1,2,2,2,2,2,2,2,2
"066a75cbe6cb4de4a2ba444ec6c9a5b4",2,2,2,2,2,2,2,2,2
"067e98465031426791a3853b69a9a70a",1,2,2,2,2,2,2,2,2
"06816d8d60b141418b768b356970d613",2,2,2,2,2,2,2,2,2
"068c76ff148d44fcbb4ab89429adcb6c",3,2,2,2,2,2,2,2,2
"06ca2b010f7a4724a51adc2505df2e10",2,2,2,2,2,2,2,2,2
"06f7cf0c474046c4926955c6674a42fa",1,2,2,2,2,2,2,2,2
"07446a0d279c4168ae5f4a5aab842b4d",1,2,2,2,2,2,2,2,2
"079da0c0a73b465b9c0be7a5bd9bf920",1,2,2,2,2,2,2,2,2
"079e6812fb50405bbe8cb744b5ef6afd",2,2,2,2,2,,2,2,2
"07cc9720213b487385812471bc510785",1,2,2,2,2,2,2,2,2
"0809936839be4f8b99293dee0663fc53",1,2,2,2,2,2,2,2,2
"082757b50eee4bc29551c3c3c30639da",4,2,2,2,2,2,2,2,2
"0838ec2a8a6147e4936272a5b65b909c",1,2,2,2,2,2,2,2,2
"088271b31f1d44d0b28c819a8e44b373",2,2,2,2,2,2,2,2,2
"088d7d7eb37b4683b391bf34b48482d2",2,2,2,2,2,2,2,2,2
"088fd07aa1784231a7b800bf54b769fd",1,2,2,2,2,2,2,2,2
"089f1c1e30d94938ad4a28294030f670",2,2,2,2,2,2,2,2,2
"08e85672338a4515b2a6ab61f4c5c32d",1,2,2,2,2,2,2,2,2
"08f5b8dae9774128b354032393f6d40f",1,2,2,2,2,2,2,2,2
"08fbc3b8e815467dbc0727e5da6aa1c7",1,2,2,2,2,2,2,2,2
"08fecb64841f493c87c3c24f97d3b1f0",3,2,2,2,2,2,2,2,2
"090f972306904a6d8a21853b2415b8e6",2,2,2,2,2,2,2,2,2
"091517b1a65147a7a3aa3b6c93500495",1,2,2,2,2,2,2,2,2
"091931736aa74c1c900335dad7a3f709",1,2,2,2,2,2,2,2,2
"093cbecd77b441179f3704a9d5bb4367",1,2,2,2,2,2,2,2,2
"0a33bbb4716e43918e2dcb131f616aff",2,2,2,2,2,2,2,2,2
"0a7ad005a1834427a7cf9fd9bad27bbc",1,2,2,2,2,2,2,2,2
"0aa32d2b402845b9acdd93f36a957e2a",2,2,2,2,2,2,2,2,2
"0aa52ee740e54bc18a97dea9206c4dfb",1,2,2,2,2,2,2,2,2
"0aa8447688704ee98df9240ef335054a",2,1,2,2,2,2,2,2,2
"0aaa3c3864af4ed5976f59eea475f982",1,2,2,2,2,2,2,2,2
"0acc53ebc8a949bf941e1a2caf689d21",1,2,2,1,2,2,2,2,2
"0af10a2d6b914d418b2b5b671d12d653",1,2,2,2,2,2,2,2,2
"0b5d1c5449044517bcce04bac511725e",1,2,2,2,2,2,2,2,2
"0b5f5af0b2464b878ac5c214e294cf3b",1,2,2,2,2,2,2,2,2
"0ba00f819c6a456f90b6b9ddca903379",1,2,2,2,2,2,2,2,2
"0bc5ec21008a47488be5243e01553a26",2,2,2,2,2,2,2,2,2
"0bcc7f6fcdc64e7f925c80713a7d5db4",1,2,2,2,2,2,2,2,2
"0c0509871b5f4941aac4d7f09d0451bf",1,2,2,2,2,2,2,2,2
"0c6412b6bb304caab71edeea852ef471",1,2,2,2,2,2,2,2,2
"0c818a61c1164978a7d822e925de9e03",3,2,2,2,2,2,2,2,2
"0ca9880b3e5a43ee9ec44c9863b2f236",1,2,2,2,2,2,2,2,2
"0cd035c06c3647fab7f198d760f73e98",1,2,2,2,2,2,2,2,2
"0cf5ba3c4a7e4b379ed786599920157c",2,1,2,2,2,2,2,2,2
"0d7289cae2764986bbda9ba03d3c2b5f",2,2,2,2,2,2,2,2,2
"0dac56419262429c8f0ca39b7a7c55fc",1,2,2,2,2,2,2,2,2
"0dcf445c997649629cfe96bdbe03d028",11,2,2,2,2,2,2,2,2
"0df40545b17a4ed5942118afbcd884a6",1,2,2,2,2,2,2,2,2
"0df87c6cba494e029a4a6e846462b4e8",1,2,2,2,2,2,2,2,2
