"hhid","FF01","FF02","FF_21a","FF_21b"
"0007d1f1449242feb5a25429644fb991","Cooking oil",127,1,"US-3883"
"0007d1f1449242feb5a25429644fb991","Cooking fat",991,,
"0007d1f1449242feb5a25429644fb991","Salt",150,,
"0010cbae3cea4ec9831f6cd92b02dc16","Cooking oil",127,1,"UO-5682"
"0010cbae3cea4ec9831f6cd92b02dc16","Salt",150,,
"0010cbae3cea4ec9831f6cd92b02dc16","Cooking fat",991,,
"00246782f8654441a9df0f6ec0b6fc9f","Cooking oil",127,2,
"00246782f8654441a9df0f6ec0b6fc9f","Salt",150,,
"00246782f8654441a9df0f6ec0b6fc9f","Cooking fat",991,,
"005fbc5779014a0290b088071bde9f72","Salt",150,,
"005fbc5779014a0290b088071bde9f72","Cooking fat",991,,
"005fbc5779014a0290b088071bde9f72","Cooking oil",127,1,"UO-3066"
"007341c9c07448a580714ee6a46d427f","Salt",150,,
"007341c9c07448a580714ee6a46d427f","Cooking fat",991,,
"007341c9c07448a580714ee6a46d427f","Cooking oil",127,1,"UO-3070"
"009c1baa0edb44f8af47773ce0b7caaa","Salt",150,,
"009c1baa0edb44f8af47773ce0b7caaa","Cooking oil",127,,
"009c1baa0edb44f8af47773ce0b7caaa","Cooking fat",991,2,
"00b48fb6bcf84dd581bd7b2be5f908a0","Cooking fat",991,,
"00b48fb6bcf84dd581bd7b2be5f908a0","Salt",150,,
"00b48fb6bcf84dd581bd7b2be5f908a0","Cooking oil",127,1,"UO-3654"
"00c2b27287a74f948fef24a8de42825c","Cooking oil",127,2,
"00c2b27287a74f948fef24a8de42825c","Salt",150,,
"00c2b27287a74f948fef24a8de42825c","Cooking fat",991,,
"00cb487f12014891b3efa5c8679d18ab","Cooking fat",991,,
"00cb487f12014891b3efa5c8679d18ab","Cooking oil",127,2,
"00cb487f12014891b3efa5c8679d18ab","Salt",150,,
"00d5da8bbd544c548a71f176496ee4b6","Cooking fat",991,,
"00d5da8bbd544c548a71f176496ee4b6","Salt",150,,
"00d5da8bbd544c548a71f176496ee4b6","Cooking oil",127,2,
"00dc3a212a1f40698656b2dc7cc97a85","Cooking fat",991,,
"00dc3a212a1f40698656b2dc7cc97a85","Cooking oil",127,1,"UO-4070"
"00dc3a212a1f40698656b2dc7cc97a85","Salt",150,,
"0182fc7b5eb44c44aef16c3a178fb762","Salt",150,,
"0182fc7b5eb44c44aef16c3a178fb762","Cooking oil",127,1,"UO-3744"
"0182fc7b5eb44c44aef16c3a178fb762","Cooking fat",991,,
"018d29620fa44db282c80b6627413e5c","Cooking oil",127,2,
"018d29620fa44db282c80b6627413e5c","Salt",150,,
"018d29620fa44db282c80b6627413e5c","Cooking fat",991,,
"01d54a65224747fba33cf7b310c7435e","Cooking oil",127,,
"01d54a65224747fba33cf7b310c7435e","Salt",150,,
"01d54a65224747fba33cf7b310c7435e","Cooking fat",991,2,
"02087846085249d1ae73a1070233c8bb","Cooking fat",991,,
"02087846085249d1ae73a1070233c8bb","Cooking oil",127,2,
"02087846085249d1ae73a1070233c8bb","Salt",150,,
"0222b766ba3d494fbf6fe07cf260dac4","Cooking fat",991,,
"0222b766ba3d494fbf6fe07cf260dac4","Cooking oil",127,2,
"0222b766ba3d494fbf6fe07cf260dac4","Salt",150,,
"02449af9963842c8b8f615b2232735b1","Salt",150,,
"02449af9963842c8b8f615b2232735b1","Cooking fat",991,,
"02449af9963842c8b8f615b2232735b1","Cooking oil",127,1,"UO-5618"
"024dec2ae5e84e15a9d92dc84c3b5084","Salt",150,,
"024dec2ae5e84e15a9d92dc84c3b5084","Cooking oil",127,2,
"024dec2ae5e84e15a9d92dc84c3b5084","Cooking fat",991,,
"025b88ecba4a44279935bd4a0d19bccd","Salt",150,,
"025b88ecba4a44279935bd4a0d19bccd","Cooking oil",127,1,"UO-3887"
"025b88ecba4a44279935bd4a0d19bccd","Cooking fat",991,,
"02868c7da57e46529281d2dae35ee7fd","Salt",150,,
"02868c7da57e46529281d2dae35ee7fd","Cooking oil",127,2,
"02868c7da57e46529281d2dae35ee7fd","Cooking fat",991,,
"029532d2e0d640f888259f1851cfc929","Cooking fat",991,,
"029532d2e0d640f888259f1851cfc929","Cooking oil",127,2,
"029532d2e0d640f888259f1851cfc929","Salt",150,,
