"hhid","CEE01","CEE02","CEE02_1","CEE03"
"0007d1f1449242feb5a25429644fb991","Property rates (taxes)",802,2,
"0007d1f1449242feb5a25429644fb991","Local Service tax",804,2,
"0007d1f1449242feb5a25429644fb991","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"0007d1f1449242feb5a25429644fb991","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"0007d1f1449242feb5a25429644fb991","Funerals and other social functions",807,1,100000
"0007d1f1449242feb5a25429644fb991","Income tax",801,2,
"0007d1f1449242feb5a25429644fb991","Remittances, gifts, and other transfers",806,2,
"0007d1f1449242feb5a25429644fb991","Pension and social security payments",805,2,
"0007d1f1449242feb5a25429644fb991","Interest on loans",808,2,
"0007d1f1449242feb5a25429644fb991","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"0010cbae3cea4ec9831f6cd92b02dc16","Interest on loans",808,2,
"0010cbae3cea4ec9831f6cd92b02dc16","Pension and social security payments",805,2,
"0010cbae3cea4ec9831f6cd92b02dc16","Local Service tax",804,2,
"0010cbae3cea4ec9831f6cd92b02dc16","Funerals and other social functions",807,1,100000
"0010cbae3cea4ec9831f6cd92b02dc16","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"0010cbae3cea4ec9831f6cd92b02dc16","Income tax",801,2,
"0010cbae3cea4ec9831f6cd92b02dc16","Property rates (taxes)",802,2,
"0010cbae3cea4ec9831f6cd92b02dc16","Remittances, gifts, and other transfers",806,1,360000
"0010cbae3cea4ec9831f6cd92b02dc16","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"0010cbae3cea4ec9831f6cd92b02dc16","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"00246782f8654441a9df0f6ec0b6fc9f","Pension and social security payments",805,2,
"00246782f8654441a9df0f6ec0b6fc9f","Interest on loans",808,1,68000
"00246782f8654441a9df0f6ec0b6fc9f","Remittances, gifts, and other transfers",806,2,
"00246782f8654441a9df0f6ec0b6fc9f","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"00246782f8654441a9df0f6ec0b6fc9f","Income tax",801,2,
"00246782f8654441a9df0f6ec0b6fc9f","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"00246782f8654441a9df0f6ec0b6fc9f","Local Service tax",804,2,
"00246782f8654441a9df0f6ec0b6fc9f","Property rates (taxes)",802,2,
"00246782f8654441a9df0f6ec0b6fc9f","Funerals and other social functions",807,2,
"00246782f8654441a9df0f6ec0b6fc9f","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"003ed8d32f794609919d60d2ed8813e8","Property rates (taxes)",802,2,
"003ed8d32f794609919d60d2ed8813e8","Interest on loans",808,2,
"003ed8d32f794609919d60d2ed8813e8","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"003ed8d32f794609919d60d2ed8813e8","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"003ed8d32f794609919d60d2ed8813e8","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"003ed8d32f794609919d60d2ed8813e8","Pension and social security payments",805,2,
"003ed8d32f794609919d60d2ed8813e8","Remittances, gifts, and other transfers",806,2,
"003ed8d32f794609919d60d2ed8813e8","Local Service tax",804,2,
"003ed8d32f794609919d60d2ed8813e8","Funerals and other social functions",807,1,3000
"003ed8d32f794609919d60d2ed8813e8","Income tax",801,2,
"005fbc5779014a0290b088071bde9f72","Remittances, gifts, and other transfers",806,1,500000
"005fbc5779014a0290b088071bde9f72","Local Service tax",804,2,
"005fbc5779014a0290b088071bde9f72","Property rates (taxes)",802,2,
"005fbc5779014a0290b088071bde9f72","Income tax",801,2,
"005fbc5779014a0290b088071bde9f72","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"005fbc5779014a0290b088071bde9f72","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"005fbc5779014a0290b088071bde9f72","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"005fbc5779014a0290b088071bde9f72","Interest on loans",808,2,
"005fbc5779014a0290b088071bde9f72","Pension and social security payments",805,2,
"005fbc5779014a0290b088071bde9f72","Funerals and other social functions",807,2,
"007341c9c07448a580714ee6a46d427f","Remittances, gifts, and other transfers",806,1,400000
"007341c9c07448a580714ee6a46d427f","Funerals and other social functions",807,2,
"007341c9c07448a580714ee6a46d427f","Local Service tax",804,2,
"007341c9c07448a580714ee6a46d427f","Income tax",801,2,
"007341c9c07448a580714ee6a46d427f","Pension and social security payments",805,2,
"007341c9c07448a580714ee6a46d427f","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"007341c9c07448a580714ee6a46d427f","Interest on loans",808,2,
"007341c9c07448a580714ee6a46d427f","Property rates (taxes)",802,2,
"007341c9c07448a580714ee6a46d427f","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"007341c9c07448a580714ee6a46d427f","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"00b48fb6bcf84dd581bd7b2be5f908a0","Funerals and other social functions",807,1,20000
"00b48fb6bcf84dd581bd7b2be5f908a0","Pension and social security payments",805,2,
"00b48fb6bcf84dd581bd7b2be5f908a0","Property rates (taxes)",802,2,
"00b48fb6bcf84dd581bd7b2be5f908a0","Income tax",801,2,
"00b48fb6bcf84dd581bd7b2be5f908a0","Remittances, gifts, and other transfers",806,2,
"00b48fb6bcf84dd581bd7b2be5f908a0","Interest on loans",808,2,
"00b48fb6bcf84dd581bd7b2be5f908a0","Local Service tax",804,2,
"00b48fb6bcf84dd581bd7b2be5f908a0","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"00b48fb6bcf84dd581bd7b2be5f908a0","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"00b48fb6bcf84dd581bd7b2be5f908a0","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"00dc3a212a1f40698656b2dc7cc97a85","Remittances, gifts, and other transfers",806,1,50000
"00dc3a212a1f40698656b2dc7cc97a85","Property rates (taxes)",802,2,
"00dc3a212a1f40698656b2dc7cc97a85","Interest on loans",808,1,30000
"00dc3a212a1f40698656b2dc7cc97a85","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"00dc3a212a1f40698656b2dc7cc97a85","Pension and social security payments",805,2,
"00dc3a212a1f40698656b2dc7cc97a85","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"00dc3a212a1f40698656b2dc7cc97a85","Funerals and other social functions",807,1,80000
"00dc3a212a1f40698656b2dc7cc97a85","Income tax",801,2,
"00dc3a212a1f40698656b2dc7cc97a85","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"00dc3a212a1f40698656b2dc7cc97a85","Local Service tax",804,2,
"0142f6f0c8f9435c97ac2563a6f390ec","Pension and social security payments",805,2,
"0142f6f0c8f9435c97ac2563a6f390ec","Remittances, gifts, and other transfers",806,2,
"0142f6f0c8f9435c97ac2563a6f390ec","Income tax",801,2,
"0142f6f0c8f9435c97ac2563a6f390ec","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"0142f6f0c8f9435c97ac2563a6f390ec","Property rates (taxes)",802,2,
"0142f6f0c8f9435c97ac2563a6f390ec","Local Service tax",804,2,
"0142f6f0c8f9435c97ac2563a6f390ec","Funerals and other social functions",807,1,150000
"0142f6f0c8f9435c97ac2563a6f390ec","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"0142f6f0c8f9435c97ac2563a6f390ec","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"0142f6f0c8f9435c97ac2563a6f390ec","Interest on loans",808,2,
"014cbd0c0b844976888438f7ea74aa69","Local Service tax",804,2,
"014cbd0c0b844976888438f7ea74aa69","Funerals and other social functions",807,1,320000
"014cbd0c0b844976888438f7ea74aa69","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"014cbd0c0b844976888438f7ea74aa69","Pension and social security payments",805,2,
"014cbd0c0b844976888438f7ea74aa69","Property rates (taxes)",802,2,
"014cbd0c0b844976888438f7ea74aa69","Income tax",801,2,
"014cbd0c0b844976888438f7ea74aa69","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"014cbd0c0b844976888438f7ea74aa69","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"014cbd0c0b844976888438f7ea74aa69","Remittances, gifts, and other transfers",806,1,240000
"014cbd0c0b844976888438f7ea74aa69","Interest on loans",808,2,
"0182fc7b5eb44c44aef16c3a178fb762","Interest on loans",808,2,
"0182fc7b5eb44c44aef16c3a178fb762","Remittances, gifts, and other transfers",806,2,
"0182fc7b5eb44c44aef16c3a178fb762","Income tax",801,2,
"0182fc7b5eb44c44aef16c3a178fb762","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"0182fc7b5eb44c44aef16c3a178fb762","Property rates (taxes)",802,2,
"0182fc7b5eb44c44aef16c3a178fb762","Local Service tax",804,2,
"0182fc7b5eb44c44aef16c3a178fb762","Funerals and other social functions",807,1,9000
"0182fc7b5eb44c44aef16c3a178fb762","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"0182fc7b5eb44c44aef16c3a178fb762","Pension and social security payments",805,2,
"0182fc7b5eb44c44aef16c3a178fb762","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"0192cb54d502450ca603738439bf616f","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"0192cb54d502450ca603738439bf616f","Property rates (taxes)",802,2,
"0192cb54d502450ca603738439bf616f","Income tax",801,1,240000
"0192cb54d502450ca603738439bf616f","Pension and social security payments",805,2,
"0192cb54d502450ca603738439bf616f","Remittances, gifts, and other transfers",806,2,
"0192cb54d502450ca603738439bf616f","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"0192cb54d502450ca603738439bf616f","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"0192cb54d502450ca603738439bf616f","Local Service tax",804,1,40000
"0192cb54d502450ca603738439bf616f","Funerals and other social functions",807,1,20000
"0192cb54d502450ca603738439bf616f","Interest on loans",808,2,
"019f06d347d04d5fa22f1846aba0c59b","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"019f06d347d04d5fa22f1846aba0c59b","Interest on loans",808,2,
"019f06d347d04d5fa22f1846aba0c59b","Local Service tax",804,2,
"019f06d347d04d5fa22f1846aba0c59b","Income tax",801,2,
"019f06d347d04d5fa22f1846aba0c59b","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"019f06d347d04d5fa22f1846aba0c59b","Funerals and other social functions",807,1,150000
"019f06d347d04d5fa22f1846aba0c59b","Pension and social security payments",805,2,
"019f06d347d04d5fa22f1846aba0c59b","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"019f06d347d04d5fa22f1846aba0c59b","Property rates (taxes)",802,2,
"019f06d347d04d5fa22f1846aba0c59b","Remittances, gifts, and other transfers",806,2,
"01d54a65224747fba33cf7b310c7435e","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"01d54a65224747fba33cf7b310c7435e","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"01d54a65224747fba33cf7b310c7435e","Property rates (taxes)",802,2,
"01d54a65224747fba33cf7b310c7435e","Remittances, gifts, and other transfers",806,2,
"01d54a65224747fba33cf7b310c7435e","Funerals and other social functions",807,1,1000000
"01d54a65224747fba33cf7b310c7435e","Income tax",801,2,
"01d54a65224747fba33cf7b310c7435e","Interest on loans",808,2,
"01d54a65224747fba33cf7b310c7435e","Pension and social security payments",805,2,
"01d54a65224747fba33cf7b310c7435e","Local Service tax",804,2,
"01d54a65224747fba33cf7b310c7435e","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"0222b766ba3d494fbf6fe07cf260dac4","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"0222b766ba3d494fbf6fe07cf260dac4","Local Service tax",804,2,
"0222b766ba3d494fbf6fe07cf260dac4","Pension and social security payments",805,2,
"0222b766ba3d494fbf6fe07cf260dac4","Property rates (taxes)",802,2,
"0222b766ba3d494fbf6fe07cf260dac4","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"0222b766ba3d494fbf6fe07cf260dac4","Income tax",801,2,
"0222b766ba3d494fbf6fe07cf260dac4","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"0222b766ba3d494fbf6fe07cf260dac4","Remittances, gifts, and other transfers",806,2,
"0222b766ba3d494fbf6fe07cf260dac4","Interest on loans",808,2,
"0222b766ba3d494fbf6fe07cf260dac4","Funerals and other social functions",807,1,35000
"024172552bc54600b13887149d11e82c","Interest on loans",808,2,
"024172552bc54600b13887149d11e82c","Property rates (taxes)",802,2,
"024172552bc54600b13887149d11e82c","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"024172552bc54600b13887149d11e82c","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"024172552bc54600b13887149d11e82c","Local Service tax",804,2,
"024172552bc54600b13887149d11e82c","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"024172552bc54600b13887149d11e82c","Pension and social security payments",805,2,
"024172552bc54600b13887149d11e82c","Funerals and other social functions",807,1,10000
"024172552bc54600b13887149d11e82c","Remittances, gifts, and other transfers",806,2,
"024172552bc54600b13887149d11e82c","Income tax",801,2,
"02449af9963842c8b8f615b2232735b1","Property rates (taxes)",802,2,
"02449af9963842c8b8f615b2232735b1","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"02449af9963842c8b8f615b2232735b1","Local Service tax",804,2,
"02449af9963842c8b8f615b2232735b1","Income tax",801,2,
"02449af9963842c8b8f615b2232735b1","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"02449af9963842c8b8f615b2232735b1","Funerals and other social functions",807,1,70000
"02449af9963842c8b8f615b2232735b1","Interest on loans",808,2,
"02449af9963842c8b8f615b2232735b1","Remittances, gifts, and other transfers",806,1,100000
"02449af9963842c8b8f615b2232735b1","Others (like subscriptions, interest to consumer debts, etc.)",809,1,135000
"02449af9963842c8b8f615b2232735b1","Pension and social security payments",805,2,
"024dec2ae5e84e15a9d92dc84c3b5084","Pension and social security payments",805,2,
"024dec2ae5e84e15a9d92dc84c3b5084","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"024dec2ae5e84e15a9d92dc84c3b5084","Funerals and other social functions",807,1,50000
"024dec2ae5e84e15a9d92dc84c3b5084","Remittances, gifts, and other transfers",806,1,50000
"024dec2ae5e84e15a9d92dc84c3b5084","Local Service tax",804,2,
"024dec2ae5e84e15a9d92dc84c3b5084","Property rates (taxes)",802,2,
"024dec2ae5e84e15a9d92dc84c3b5084","Income tax",801,2,
"024dec2ae5e84e15a9d92dc84c3b5084","Interest on loans",808,2,
"024dec2ae5e84e15a9d92dc84c3b5084","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"024dec2ae5e84e15a9d92dc84c3b5084","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"025b88ecba4a44279935bd4a0d19bccd","Local Service tax",804,2,
"025b88ecba4a44279935bd4a0d19bccd","Remittances, gifts, and other transfers",806,2,
"025b88ecba4a44279935bd4a0d19bccd","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"025b88ecba4a44279935bd4a0d19bccd","Property rates (taxes)",802,2,
"025b88ecba4a44279935bd4a0d19bccd","Interest on loans",808,2,
"025b88ecba4a44279935bd4a0d19bccd","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"025b88ecba4a44279935bd4a0d19bccd","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"025b88ecba4a44279935bd4a0d19bccd","Pension and social security payments",805,2,
"025b88ecba4a44279935bd4a0d19bccd","Funerals and other social functions",807,1,55000
"025b88ecba4a44279935bd4a0d19bccd","Income tax",801,2,
"02868c7da57e46529281d2dae35ee7fd","Interest on loans",808,1,50000
"02868c7da57e46529281d2dae35ee7fd","Funerals and other social functions",807,1,50000
"02868c7da57e46529281d2dae35ee7fd","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"02868c7da57e46529281d2dae35ee7fd","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"02868c7da57e46529281d2dae35ee7fd","Property rates (taxes)",802,2,
"02868c7da57e46529281d2dae35ee7fd","Income tax",801,2,
