"hhid","s17q01","s17q02","s17q03","s17q04","s17q05","s17q06","s17q07","s17q08","s17q09","s17q10A","s17q10B","s17q10C","s17q10D","s17q10E","s17q10F","s17q10G","s17q10H","s17q10I","s17q10J","s17q10K","s17q10L","s17q11A","s17q11B","s17q11C","s17q11D","s17q11E","s17q11F","s17q11G","s17q11H","s17q11I","s17q11J","s17q11K","s17q11L","s17q11M","s17q11X"
"0007d1f1449242feb5a25429644fb991",6,1,2,2,2,2,11,,1,,,,,,1,,,,,,,1,,,,1,,,,,,,,,
"0010cbae3cea4ec9831f6cd92b02dc16",2,1,3,1,3,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"00246782f8654441a9df0f6ec0b6fc9f",2,1,2,2,1,1,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"003ed8d32f794609919d60d2ed8813e8",3,1,2,1,2,1,,11,1,1,1,1,1,1,1,,,,,,,1,,,,1,,,,,,,,,
"005fbc5779014a0290b088071bde9f72",1,1,3,1,3,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0060071f3f414406af7312d68eae8513",3,1,3,2,2,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"007341c9c07448a580714ee6a46d427f",2,1,2,1,3,2,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"008c674975f24ea79f50e30cbd4ee635",5,1,2,2,2,1,,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"009c1baa0edb44f8af47773ce0b7caaa",1,1,1,1,3,2,,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"00b48fb6bcf84dd581bd7b2be5f908a0",1,1,3,1,2,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"00b4bea2a97641f88ae09439328edd9a",1,1,1,1,3,2,,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"00c2b27287a74f948fef24a8de42825c",3,1,2,2,3,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"00cb487f12014891b3efa5c8679d18ab",2,1,3,1,3,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"00d5da8bbd544c548a71f176496ee4b6",2,1,2,2,3,2,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"00dc3a212a1f40698656b2dc7cc97a85",2,1,2,2,3,5,2,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0142f6f0c8f9435c97ac2563a6f390ec",1,1,1,1,3,2,7,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"014cbd0c0b844976888438f7ea74aa69",1,2,3,1,3,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0182fc7b5eb44c44aef16c3a178fb762",1,1,3,2,3,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"018d29620fa44db282c80b6627413e5c",1,2,2,2,2,1,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0192cb54d502450ca603738439bf616f",8,1,2,1,3,3,,1,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,
"0197cec68e9246a887cae30b13bc7488",1,1,3,1,1,4,,,1,,1,1,1,,,,,,,,,1,,,,,,,,,,,,,
"019f06d347d04d5fa22f1846aba0c59b",5,2,2,2,2,2,8,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"01d0f651c2534a1f8355b9e10e0e9dcb",1,1,3,1,1,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"01d54a65224747fba33cf7b310c7435e",2,1,2,2,2,2,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"01e7608a258e42c7a2f5af8b551bc247",1,1,2,1,2,4,,4,1,,1,,1,1,,,,,,,,1,,,,,,,,,,,,,
"02087846085249d1ae73a1070233c8bb",1,1,2,1,3,1,8,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0222b766ba3d494fbf6fe07cf260dac4",2,1,1,1,3,2,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"024172552bc54600b13887149d11e82c",1,1,2,1,2,2,7,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"02449af9963842c8b8f615b2232735b1",1,1,2,1,2,2,,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"024dec2ae5e84e15a9d92dc84c3b5084",1,1,2,1,2,5,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"025b88ecba4a44279935bd4a0d19bccd",1,1,2,1,2,2,,3,1,1,1,1,1,1,1,,,1,1,1,1,1,,,,,,,,,,,,,
"02868c7da57e46529281d2dae35ee7fd",1,1,2,2,3,2,,4,1,,,,1,,,,,,,,,1,,,,1,,,,,,,,,
"029532d2e0d640f888259f1851cfc929",1,1,2,1,3,2,4,4,1,1,,,,,,,,,,,1,,,,,1,,,,,,,,,
"02b20908f47043f0b2389ba8246c5bdc",2,1,2,2,3,1,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"02efd503602d4d10a508075b811e5913",1,1,1,1,3,2,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"02fbc725a3074d0fa9debb7a02ba23fb",2,2,2,1,1,2,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"03003a6f1ccd4b1290629662229b5d83",2,1,1,1,3,2,7,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,
