"hhid","PID","pid_unps_wave7","h2q3","h2q4","h2q7","h2q5","h2q6","h2q8","h2q9a","h2q9b","h2q9c","h2q10"
"0007d1f1449242feb5a25429644fb991",1,"1",2,1,1,12,,51,98,98,1968,4
"0007d1f1449242feb5a25429644fb991",2,"3",2,3,2,8,14,24,14,9,1994,5
"0007d1f1449242feb5a25429644fb991",3,"4",1,8,1,12,,22,98,5,1997,5
"0007d1f1449242feb5a25429644fb991",5,"7",1,4,2,1,1,1,26,3,2018,
"0007d1f1449242feb5a25429644fb991",6,,1,8,1,8,5,17,98,5,2002,5
"0007d1f1449242feb5a25429644fb991",7,,1,8,5,,,,,,,
"0010cbae3cea4ec9831f6cd92b02dc16",1,"1",1,1,1,12,,54,12,12,1964,1
"0010cbae3cea4ec9831f6cd92b02dc16",2,"2",2,2,1,12,,52,98,98,1967,1
"0010cbae3cea4ec9831f6cd92b02dc16",4,"6",2,3,1,12,,19,98,5,1999,5
"0010cbae3cea4ec9831f6cd92b02dc16",6,,2,4,5,,,,,,,
"00246782f8654441a9df0f6ec0b6fc9f",1,"1",1,1,1,12,,36,17,6,1983,1
"00246782f8654441a9df0f6ec0b6fc9f",2,"2",2,2,1,12,,31,98,98,1988,1
"00246782f8654441a9df0f6ec0b6fc9f",3,"3",1,3,1,12,,11,28,7,2008,5
"00246782f8654441a9df0f6ec0b6fc9f",4,"4",2,3,1,12,,9,10,4,2010,
"00246782f8654441a9df0f6ec0b6fc9f",5,"5",1,3,1,12,,6,4,9,2013,
"00246782f8654441a9df0f6ec0b6fc9f",6,"6",2,3,1,12,,3,12,3,2016,
"003ed8d32f794609919d60d2ed8813e8",1,"1",2,4,1,12,,13,6,1,2006,5
"003ed8d32f794609919d60d2ed8813e8",2,"2",2,4,1,12,,8,12,6,2011,
"003ed8d32f794609919d60d2ed8813e8",3,"3",2,1,1,12,,89,98,98,1930,4
"003ed8d32f794609919d60d2ed8813e8",4,"4",1,4,1,12,,12,8,9,2006,5
"005fbc5779014a0290b088071bde9f72",1,"1",2,1,1,12,,64,98,12,1954,3
"0060071f3f414406af7312d68eae8513",1,"1",1,8,1,12,,91,98,98,1929,4
"0060071f3f414406af7312d68eae8513",2,"2",1,4,1,12,,42,98,2,1977,3
"0060071f3f414406af7312d68eae8513",3,"3",2,1,1,12,,59,98,98,1961,3
"0060071f3f414406af7312d68eae8513",4,,2,8,5,,,,,,,
