"hhid","PID","pid_unps_wave7","s4q02","s4q03","s4q04","s4q04_1","s4q05","s4q06","s4q07","s4q08","s4q09","s4q10","s4q11","s4q12","s4q7_1a","s4q7_1b","s4q07a","s4q07_3_1","s4q7_3","s4q12_1","s4q12_2","s4q13","s4q14","s4q14b","h4q15h","h4q15i","h4q15j","h4q15e","h4q15b","h4q15c","h4q15d","h4q15k","s4h15f","h4q15g_1","h4q15g","s4q16","s4q17","s4q18"
"0007d1f1449242feb5a25429644fb991",1,"1",2,6,1,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0007d1f1449242feb5a25429644fb991",2,"3",2,6,4,,2,,51,3,,,,,,,,"PRIMARY TEACHERS CERTIFICATE",110,,,,,,,,,,,,,,,,,,,
"0007d1f1449242feb5a25429644fb991",3,"4",2,6,2,,2,,41,3,,,,,,,,"BUILDING",732,,,,,,,,,,,,,,,,,,,
"0007d1f1449242feb5a25429644fb991",6,,1,,2,2,2,,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0010cbae3cea4ec9831f6cd92b02dc16",1,"1",1,,4,2,2,,31,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0010cbae3cea4ec9831f6cd92b02dc16",2,"2",2,1,1,,2,,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0010cbae3cea4ec9831f6cd92b02dc16",4,"6",2,1,1,,2,,15,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00246782f8654441a9df0f6ec0b6fc9f",1,"1",2,2,4,,2,,41,3,,,,,,,,"CERTIFICATE IN TAILORING",723,,,,,,,,,,,,,,,,,,,
"00246782f8654441a9df0f6ec0b6fc9f",2,"2",2,1,1,,2,,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00246782f8654441a9df0f6ec0b6fc9f",3,"3",1,,4,2,3,,,,12,13,1,3,,,,,,2,1,1.5,30,1,49500,2000,9000,,10000,10200,,,,,80700,1,1,2
"00246782f8654441a9df0f6ec0b6fc9f",4,"4",2,2,1,,3,,,,1,1,1,1,,,,,,,1,1.5,30,1,120000,,,,,5100,,,97200,,222300,1,1,2
"00246782f8654441a9df0f6ec0b6fc9f",5,"5",2,1,1,,3,,,,0,1,1,1,,,,,,,1,1.5,30,1,120000,2000,,,10000,5100,,,97200,,234300,1,1,2
"00246782f8654441a9df0f6ec0b6fc9f",6,"6",2,2,1,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"003ed8d32f794609919d60d2ed8813e8",1,"1",2,3,4,,3,,,,12,13,1,1,,,,,,,1,1,20,1,,,6000,,,12000,,,,5000,23000,1,1,3
"003ed8d32f794609919d60d2ed8813e8",2,"2",2,3,4,,3,,,,12,13,1,1,,,,,,,1,1,20,1,,,6000,,,12000,,,,5000,23000,1,1,3
"003ed8d32f794609919d60d2ed8813e8",3,"3",1,,1,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"003ed8d32f794609919d60d2ed8813e8",4,"4",2,3,4,,3,,,,13,14,1,1,,,,,,,1,1,20,1,,,9000,,,8000,,,10000,,27000,1,1,3
"005fbc5779014a0290b088071bde9f72",1,"1",1,,1,1,2,,12,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0060071f3f414406af7312d68eae8513",1,"1",2,3,1,,2,,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0060071f3f414406af7312d68eae8513",2,"2",2,3,1,,2,,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0060071f3f414406af7312d68eae8513",3,"3",1,,1,1,2,,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"007341c9c07448a580714ee6a46d427f",1,"1",2,2,4,,2,,17,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"007341c9c07448a580714ee6a46d427f",2,"2",1,,4,2,2,,17,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"007341c9c07448a580714ee6a46d427f",3,"3",2,2,4,,3,,,,1,1,2,3,,,,,,2,1,0.15,5,1,900000,,,,,,,,,,900000,2,,3
"008c674975f24ea79f50e30cbd4ee635",1,"1",2,5,1,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"008c674975f24ea79f50e30cbd4ee635",2,"2",2,5,1,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"008c674975f24ea79f50e30cbd4ee635",4,"5",2,5,1,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"008c674975f24ea79f50e30cbd4ee635",5,"6",1,,1,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"008c674975f24ea79f50e30cbd4ee635",6,"8",2,5,1,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"009c1baa0edb44f8af47773ce0b7caaa",1,"1",1,,4,2,2,,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"009c1baa0edb44f8af47773ce0b7caaa",2,"2",2,1,4,,3,,,,32,33,2,3,,,,,,1,1,,,,1,,,1,,120000,150000,,90000,1050000,1410000,2,,
"009c1baa0edb44f8af47773ce0b7caaa",4,,2,1,1,,3,,,,11,12,1,1,,,,,,,1,1,45,1,90000,,,,,35000,,,6000,,131000,1,1,2
"00b48fb6bcf84dd581bd7b2be5f908a0",1,"1",1,,4,2,2,,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00b4bea2a97641f88ae09439328edd9a",1,"1",1,,4,2,2,,36,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00b4bea2a97641f88ae09439328edd9a",2,"3",2,1,4,,3,,,,32,33,2,3,,,,,,1,2,,,,1500000,150000,,1500000,250000,60000,90000,,300000,,3850000,2,,
"00b4bea2a97641f88ae09439328edd9a",3,"4",1,,4,2,3,,,,12,13,2,3,,,,,,1,1,,,,600000,,,450000,,45000,60000,,90000,,1245000,2,,
"00c2b27287a74f948fef24a8de42825c",1,"1",2,3,1,,2,,14,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00c2b27287a74f948fef24a8de42825c",2,"2",2,3,4,,3,,,,13,14,1,1,,,,,,,1,1.6,60,1,75000,,,,,50000,,,,,125000,2,,3
"00c2b27287a74f948fef24a8de42825c",3,"4",1,,4,2,2,,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00c2b27287a74f948fef24a8de42825c",4,"5",2,3,1,,3,,,,11,12,1,1,,,,,,,1,1.6,60,1,75000,,,,,306000,,,,,381000,2,,3
"00c2b27287a74f948fef24a8de42825c",5,"6",2,3,1,,3,,,,10,11,1,1,,,,,,,1,1.6,60,1,75000,,,,,306000,,,,,381000,2,,3
"00cb487f12014891b3efa5c8679d18ab",1,"1",1,,1,2,2,,17,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00cb487f12014891b3efa5c8679d18ab",2,"2",1,,1,1,2,,12,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00cb487f12014891b3efa5c8679d18ab",3,"3",2,2,2,,3,,,,33,33,1,2,,,,,,,1,,,,900000,,15000,,,90000,60000,,60000,,1125000,1,1,
"00cb487f12014891b3efa5c8679d18ab",4,"4",2,2,4,,3,,,,40,40,2,3,3,1,3,"hair dressing",1012,2,1,0.5,8,1,400000,,,,,,,,65000,,465000,2,,3
"00d5da8bbd544c548a71f176496ee4b6",1,"1",2,2,4,,2,,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00d5da8bbd544c548a71f176496ee4b6",2,"2",1,,1,1,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00d5da8bbd544c548a71f176496ee4b6",3,"3",2,2,4,,2,,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00d5da8bbd544c548a71f176496ee4b6",4,"4",2,2,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00d5da8bbd544c548a71f176496ee4b6",5,"5",2,2,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00dc3a212a1f40698656b2dc7cc97a85",1,"1",2,2,4,,2,,32,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00dc3a212a1f40698656b2dc7cc97a85",2,"2",1,,4,2,2,,17,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
